Indicator,Country,Gender,Year,Val
(EU) Unemployment rate of young people aged 16-24 years,Cyprus,female,2018,16.2
(EU) Unemployment rate of young people aged 16-24 years,Cyprus,female,2019,14.3
(EU) Age dependency ratio,Czech Republic,combined,2008,40.4
(EU) Age dependency ratio,Czech Republic,combined,2009,40.9
(EU) Age dependency ratio,Czech Republic,combined,2010,42.0
(EU) Age dependency ratio,Czech Republic,combined,2011,43.1
(EU) Age dependency ratio,Czech Republic,combined,2012,44.6
(EU) Age dependency ratio,Czech Republic,combined,2013,46.3
(EU) Age dependency ratio,Czech Republic,combined,2014,47.9
(EU) Age dependency ratio,Czech Republic,combined,2015,49.3
(EU) Age dependency ratio,Czech Republic,combined,2016,50.8
(EU) Age dependency ratio,Czech Republic,combined,2017,52.4
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,male,2008,8.0
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,male,2009,7.5
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,male,2010,8.0
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,male,2011,8.9
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,male,2012,8.7
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,male,2013,7.7
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,male,2014,8.9
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,male,2015,8.5
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,male,2016,8.5
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,male,2017,7.6
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,female,2008,10.1
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,female,2009,9.5
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,female,2010,10.0
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,female,2011,10.6
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,female,2012,10.5
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,female,2013,9.4
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,female,2014,10.5
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,female,2015,11.0
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,female,2016,10.8
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,female,2017,10.7
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,combined,2008,9.0
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,combined,2009,8.6
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,combined,2010,9.0
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,combined,2011,9.8
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,combined,2012,9.6
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,combined,2013,8.6
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,combined,2014,9.7
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,combined,2015,9.7
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,combined,2016,9.7
(EU) At-risk-of-poverty rate after social transfers,Czech Republic,combined,2017,9.1
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Czech Republic,combined,2008,776.8
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Czech Republic,combined,2009,851.4
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Czech Republic,combined,2010,923.5
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Czech Republic,combined,2011,1045.0
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Czech Republic,combined,2012,1039.9
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Czech Republic,combined,2013,968.0
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Czech Republic,combined,2014,1001.6
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Czech Republic,combined,2015,1081.4
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Czech Republic,combined,2016,1168.1
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,male,2008,24.9
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,male,2009,29.7
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,male,2010,29.3
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,male,2011,24.7
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,male,2012,26.3
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,male,2013,27.2
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,male,2014,26.4
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,male,2015,21.8
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,male,2016,23.8
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,female,2008,18.8
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,female,2009,18.0
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,female,2010,16.5
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,female,2011,18.8
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,female,2012,19.6
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,female,2013,17.4
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,female,2014,18.5
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,female,2015,14.8
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,female,2016,15.6
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,combined,2008,21.8
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,combined,2009,23.8
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,combined,2010,22.8
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,combined,2011,21.7
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,combined,2012,22.9
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,combined,2013,22.2
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,combined,2014,22.3
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,combined,2015,18.2
"(EU) Daily smokers aged 15 years and above, %",Czech Republic,combined,2016,19.6
(EU) GDP per capita in Purchasing Power Standards (PPS),Czech Republic,combined,2008,81.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Czech Republic,combined,2009,82.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Czech Republic,combined,2010,82.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Czech Republic,combined,2011,83.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Czech Republic,combined,2012,82.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Czech Republic,combined,2013,83.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Czech Republic,combined,2014,86.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Czech Republic,combined,2015,87.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Czech Republic,combined,2016,87.0
(EU) Inequality of income distribution (income quintile share ratio),Czech Republic,combined,2008,3.4
(EU) Inequality of income distribution (income quintile share ratio),Czech Republic,combined,2009,3.5
(EU) Inequality of income distribution (income quintile share ratio),Czech Republic,combined,2010,3.5
(EU) Inequality of income distribution (income quintile share ratio),Czech Republic,combined,2011,3.5
(EU) Inequality of income distribution (income quintile share ratio),Czech Republic,combined,2012,3.5
(EU) Inequality of income distribution (income quintile share ratio),Czech Republic,combined,2013,3.4
(EU) Inequality of income distribution (income quintile share ratio),Czech Republic,combined,2014,3.5
(EU) Inequality of income distribution (income quintile share ratio),Czech Republic,combined,2015,3.5
(EU) Inequality of income distribution (income quintile share ratio),Czech Republic,combined,2016,3.5
(EU) Inequality of income distribution (income quintile share ratio),Czech Republic,combined,2017,3.4
(EU) Inguinal hernia repairs per 100 000 inhabitants,Czech Republic,combined,2010,169.5
(EU) Inguinal hernia repairs per 100 000 inhabitants,Czech Republic,combined,2011,172.4
(EU) Inguinal hernia repairs per 100 000 inhabitants,Czech Republic,combined,2012,175.0
(EU) Inguinal hernia repairs per 100 000 inhabitants,Czech Republic,combined,2013,170.4
(EU) Inguinal hernia repairs per 100 000 inhabitants,Czech Republic,combined,2014,175.1
(EU) Inguinal hernia repairs per 100 000 inhabitants,Czech Republic,combined,2015,171.6
(EU) Inguinal hernia repairs per 100 000 inhabitants,Czech Republic,combined,2016,171.7
(EU) Inguinal hernia repairs per 100 000 inhabitants,Czech Republic,combined,2017,168.5
"(EU) Life expectancy at birth, years",Czech Republic,male,2008,74.0
"(EU) Life expectancy at birth, years",Czech Republic,male,2009,74.0
"(EU) Life expectancy at birth, years",Czech Republic,male,2010,75.0
"(EU) Life expectancy at birth, years",Czech Republic,male,2011,75.0
"(EU) Life expectancy at birth, years",Czech Republic,male,2012,75.0
"(EU) Life expectancy at birth, years",Czech Republic,male,2013,75.0
"(EU) Life expectancy at birth, years",Czech Republic,male,2014,76.0
"(EU) Life expectancy at birth, years",Czech Republic,male,2015,76.0
"(EU) Life expectancy at birth, years",Czech Republic,male,2016,76.0
"(EU) Life expectancy at birth, years",Czech Republic,female,2008,81.0
"(EU) Life expectancy at birth, years",Czech Republic,female,2009,81.0
"(EU) Life expectancy at birth, years",Czech Republic,female,2010,81.0
"(EU) Life expectancy at birth, years",Czech Republic,female,2011,81.0
"(EU) Life expectancy at birth, years",Czech Republic,female,2012,81.0
"(EU) Life expectancy at birth, years",Czech Republic,female,2013,81.0
"(EU) Life expectancy at birth, years",Czech Republic,female,2014,82.0
"(EU) Life expectancy at birth, years",Czech Republic,female,2015,82.0
"(EU) Life expectancy at birth, years",Czech Republic,female,2016,82.0
"(EU) Life expectancy at birth, years",Czech Republic,combined,2008,77.0
"(EU) Life expectancy at birth, years",Czech Republic,combined,2009,77.0
"(EU) Life expectancy at birth, years",Czech Republic,combined,2010,78.0
"(EU) Life expectancy at birth, years",Czech Republic,combined,2011,78.0
"(EU) Life expectancy at birth, years",Czech Republic,combined,2012,78.0
"(EU) Life expectancy at birth, years",Czech Republic,combined,2013,78.0
"(EU) Life expectancy at birth, years",Czech Republic,combined,2014,79.0
"(EU) Life expectancy at birth, years",Czech Republic,combined,2015,79.0
"(EU) Life expectancy at birth, years",Czech Republic,combined,2016,79.0
(EU) Live births / 1000 persons,Czech Republic,combined,2008,12.0
(EU) Live births / 1000 persons,Czech Republic,combined,2009,11.0
(EU) Live births / 1000 persons,Czech Republic,combined,2010,11.0
(EU) Live births / 1000 persons,Czech Republic,combined,2011,10.0
(EU) Live births / 1000 persons,Czech Republic,combined,2012,10.0
(EU) Live births / 1000 persons,Czech Republic,combined,2013,10.0
(EU) Live births / 1000 persons,Czech Republic,combined,2014,10.0
(EU) Live births / 1000 persons,Czech Republic,combined,2015,11.0
(EU) Live births / 1000 persons,Czech Republic,combined,2016,11.0
(EU) Live births / 1000 persons,Czech Republic,combined,2017,11.0
(EU) Long-term unemployment rate,Czech Republic,male,2008,1.7
(EU) Long-term unemployment rate,Czech Republic,male,2009,1.6
(EU) Long-term unemployment rate,Czech Republic,male,2010,2.6
(EU) Long-term unemployment rate,Czech Republic,male,2011,2.4
(EU) Long-term unemployment rate,Czech Republic,male,2012,2.6
(EU) Long-term unemployment rate,Czech Republic,male,2013,2.5
(EU) Long-term unemployment rate,Czech Republic,male,2014,2.2
(EU) Long-term unemployment rate,Czech Republic,male,2015,2.0
(EU) Long-term unemployment rate,Czech Republic,male,2016,1.4
(EU) Long-term unemployment rate,Czech Republic,male,2017,0.8
(EU) Long-term unemployment rate,Czech Republic,male,2018,0.6
(EU) Long-term unemployment rate,Czech Republic,male,2019,0.6
(EU) Long-term unemployment rate,Czech Republic,female,2008,2.8
(EU) Long-term unemployment rate,Czech Republic,female,2009,2.5
(EU) Long-term unemployment rate,Czech Republic,female,2010,3.5
(EU) Long-term unemployment rate,Czech Republic,female,2011,3.2
(EU) Long-term unemployment rate,Czech Republic,female,2012,3.6
(EU) Long-term unemployment rate,Czech Republic,female,2013,3.7
(EU) Long-term unemployment rate,Czech Republic,female,2014,3.2
(EU) Long-term unemployment rate,Czech Republic,female,2015,2.9
(EU) Long-term unemployment rate,Czech Republic,female,2016,2.0
(EU) Long-term unemployment rate,Czech Republic,female,2017,1.3
(EU) Long-term unemployment rate,Czech Republic,female,2018,0.8
(EU) Long-term unemployment rate,Czech Republic,female,2019,0.7
(EU) Old age dependency ratio,Czech Republic,combined,2008,20.5
(EU) Old age dependency ratio,Czech Republic,combined,2009,20.9
(EU) Old age dependency ratio,Czech Republic,combined,2010,21.7
(EU) Old age dependency ratio,Czech Republic,combined,2011,22.3
(EU) Old age dependency ratio,Czech Republic,combined,2012,23.4
(EU) Old age dependency ratio,Czech Republic,combined,2013,24.6
(EU) Old age dependency ratio,Czech Republic,combined,2014,25.7
(EU) Old age dependency ratio,Czech Republic,combined,2015,26.6
(EU) Old age dependency ratio,Czech Republic,combined,2016,27.6
(EU) Old age dependency ratio,Czech Republic,combined,2017,28.6
(EU) Population aged 0-14 as % of total population,Czech Republic,combined,2008,14.2
(EU) Population aged 0-14 as % of total population,Czech Republic,combined,2009,14.2
(EU) Population aged 0-14 as % of total population,Czech Republic,combined,2010,14.3
(EU) Population aged 0-14 as % of total population,Czech Republic,combined,2011,14.5
(EU) Population aged 0-14 as % of total population,Czech Republic,combined,2012,14.7
(EU) Population aged 0-14 as % of total population,Czech Republic,combined,2013,14.8
(EU) Population aged 0-14 as % of total population,Czech Republic,combined,2014,15.0
(EU) Population aged 0-14 as % of total population,Czech Republic,combined,2015,15.2
(EU) Population aged 0-14 as % of total population,Czech Republic,combined,2016,15.4
(EU) Population aged 0-14 as % of total population,Czech Republic,combined,2017,15.6
(EU) Population aged 0-14 as % of total population,Czech Republic,combined,2018,15.7
(EU) Population aged 15-24 as % of total population,Czech Republic,combined,2008,12.8
(EU) Population aged 15-24 as % of total population,Czech Republic,combined,2009,12.7
(EU) Population aged 15-24 as % of total population,Czech Republic,combined,2010,12.4
(EU) Population aged 15-24 as % of total population,Czech Republic,combined,2011,12.0
(EU) Population aged 15-24 as % of total population,Czech Republic,combined,2012,11.5
(EU) Population aged 15-24 as % of total population,Czech Republic,combined,2013,11.1
(EU) Population aged 15-24 as % of total population,Czech Republic,combined,2014,10.7
(EU) Population aged 15-24 as % of total population,Czech Republic,combined,2015,10.3
(EU) Population aged 15-24 as % of total population,Czech Republic,combined,2016,9.9
(EU) Population aged 15-24 as % of total population,Czech Republic,combined,2017,9.6
(EU) Population aged 15-24 as % of total population,Czech Republic,combined,2018,9.3
(EU) Population aged 25-49 as % of total population,Czech Republic,combined,2008,36.9
(EU) Population aged 25-49 as % of total population,Czech Republic,combined,2009,37.0
(EU) Population aged 25-49 as % of total population,Czech Republic,combined,2010,37.1
(EU) Population aged 25-49 as % of total population,Czech Republic,combined,2011,37.2
(EU) Population aged 25-49 as % of total population,Czech Republic,combined,2012,37.2
(EU) Population aged 25-49 as % of total population,Czech Republic,combined,2013,37.3
(EU) Population aged 25-49 as % of total population,Czech Republic,combined,2014,37.1
(EU) Population aged 25-49 as % of total population,Czech Republic,combined,2015,37.0
(EU) Population aged 25-49 as % of total population,Czech Republic,combined,2016,36.9
(EU) Population aged 25-49 as % of total population,Czech Republic,combined,2017,36.8
(EU) Population aged 25-49 as % of total population,Czech Republic,combined,2018,36.7
(EU) Population aged 50-64 as % of total population,Czech Republic,combined,2008,21.4
(EU) Population aged 50-64 as % of total population,Czech Republic,combined,2009,21.2
(EU) Population aged 50-64 as % of total population,Czech Republic,combined,2010,20.9
(EU) Population aged 50-64 as % of total population,Czech Republic,combined,2011,20.8
(EU) Population aged 50-64 as % of total population,Czech Republic,combined,2012,20.4
(EU) Population aged 50-64 as % of total population,Czech Republic,combined,2013,20.0
(EU) Population aged 50-64 as % of total population,Czech Republic,combined,2014,19.8
(EU) Population aged 50-64 as % of total population,Czech Republic,combined,2015,19.7
(EU) Population aged 50-64 as % of total population,Czech Republic,combined,2016,19.5
(EU) Population aged 50-64 as % of total population,Czech Republic,combined,2017,19.3
(EU) Population aged 50-64 as % of total population,Czech Republic,combined,2018,19.0
(EU) Population aged 65 years and over as % of total population,Czech Republic,combined,2008,14.6
(EU) Population aged 65 years and over as % of total population,Czech Republic,combined,2009,14.9
(EU) Population aged 65 years and over as % of total population,Czech Republic,combined,2010,15.3
(EU) Population aged 65 years and over as % of total population,Czech Republic,combined,2011,15.6
(EU) Population aged 65 years and over as % of total population,Czech Republic,combined,2012,16.2
(EU) Population aged 65 years and over as % of total population,Czech Republic,combined,2013,16.8
(EU) Population aged 65 years and over as % of total population,Czech Republic,combined,2014,17.4
(EU) Population aged 65 years and over as % of total population,Czech Republic,combined,2015,17.8
(EU) Population aged 65 years and over as % of total population,Czech Republic,combined,2016,18.3
(EU) Population aged 65 years and over as % of total population,Czech Republic,combined,2017,18.8
(EU) Population aged 65 years and over as % of total population,Czech Republic,combined,2018,19.2
(EU) Population aged 65-79 as % of total population,Czech Republic,combined,2008,11.3
(EU) Population aged 65-79 as % of total population,Czech Republic,combined,2009,11.5
(EU) Population aged 65-79 as % of total population,Czech Republic,combined,2010,11.7
(EU) Population aged 65-79 as % of total population,Czech Republic,combined,2011,11.9
(EU) Population aged 65-79 as % of total population,Czech Republic,combined,2012,12.4
(EU) Population aged 65-79 as % of total population,Czech Republic,combined,2013,12.9
(EU) Population aged 65-79 as % of total population,Czech Republic,combined,2014,13.4
(EU) Population aged 65-79 as % of total population,Czech Republic,combined,2015,13.9
(EU) Population aged 65-79 as % of total population,Czech Republic,combined,2016,14.3
(EU) Population aged 65-79 as % of total population,Czech Republic,combined,2017,14.8
(EU) Population aged 65-79 as % of total population,Czech Republic,combined,2018,15.2
(EU) Population aged 80 years and over as % of total population,Czech Republic,combined,2008,3.4
(EU) Population aged 80 years and over as % of total population,Czech Republic,combined,2009,3.5
(EU) Population aged 80 years and over as % of total population,Czech Republic,combined,2010,3.6
(EU) Population aged 80 years and over as % of total population,Czech Republic,combined,2011,3.7
(EU) Population aged 80 years and over as % of total population,Czech Republic,combined,2012,3.8
(EU) Population aged 80 years and over as % of total population,Czech Republic,combined,2013,3.9
(EU) Population aged 80 years and over as % of total population,Czech Republic,combined,2014,3.9
(EU) Population aged 80 years and over as % of total population,Czech Republic,combined,2015,4.0
(EU) Population aged 80 years and over as % of total population,Czech Republic,combined,2016,4.0
(EU) Population aged 80 years and over as % of total population,Czech Republic,combined,2017,4.0
(EU) Population aged 80 years and over as % of total population,Czech Republic,combined,2018,4.0
(EU) Population at 1.1.,Czech Republic,male,2008,5065117.0
(EU) Population at 1.1.,Czech Republic,male,2009,5116678.0
(EU) Population at 1.1.,Czech Republic,male,2010,5136166.0
(EU) Population at 1.1.,Czech Republic,male,2011,5147231.0
(EU) Population at 1.1.,Czech Republic,male,2012,5158210.0
(EU) Population at 1.1.,Czech Republic,male,2013,5164349.0
(EU) Population at 1.1.,Czech Republic,male,2014,5162380.0
(EU) Population at 1.1.,Czech Republic,male,2015,5176927.0
(EU) Population at 1.1.,Czech Republic,male,2016,5186330.0
(EU) Population at 1.1.,Czech Republic,male,2017,5200687.0
(EU) Population at 1.1.,Czech Republic,male,2018,5219791.0
(EU) Population at 1.1.,Czech Republic,female,2008,5278305.0
(EU) Population at 1.1.,Czech Republic,female,2009,5309105.0
(EU) Population at 1.1.,Czech Republic,female,2010,5325922.0
(EU) Population at 1.1.,Czech Republic,female,2011,5339500.0
(EU) Population at 1.1.,Czech Republic,female,2012,5347235.0
(EU) Population at 1.1.,Czech Republic,female,2013,5351776.0
(EU) Population at 1.1.,Czech Republic,female,2014,5350039.0
(EU) Population at 1.1.,Czech Republic,female,2015,5361348.0
(EU) Population at 1.1.,Czech Republic,female,2016,5367513.0
(EU) Population at 1.1.,Czech Republic,female,2017,5378133.0
(EU) Population at 1.1.,Czech Republic,female,2018,5390264.0
(EU) Population at 1.1.,Czech Republic,combined,2008,10343422.0
(EU) Population at 1.1.,Czech Republic,combined,2009,10425783.0
(EU) Population at 1.1.,Czech Republic,combined,2010,10462088.0
(EU) Population at 1.1.,Czech Republic,combined,2011,10486731.0
(EU) Population at 1.1.,Czech Republic,combined,2012,10505445.0
(EU) Population at 1.1.,Czech Republic,combined,2013,10516125.0
(EU) Population at 1.1.,Czech Republic,combined,2014,10512419.0
(EU) Population at 1.1.,Czech Republic,combined,2015,10538275.0
(EU) Population at 1.1.,Czech Republic,combined,2016,10553843.0
(EU) Population at 1.1.,Czech Republic,combined,2017,10578820.0
(EU) Population at 1.1.,Czech Republic,combined,2018,10610055.0
(EU) Practising dentists per 100 000 inhabitants,Czech Republic,combined,2008,67.4
(EU) Practising dentists per 100 000 inhabitants,Czech Republic,combined,2009,68.0
(EU) Practising dentists per 100 000 inhabitants,Czech Republic,combined,2010,69.4
(EU) Practising dentists per 100 000 inhabitants,Czech Republic,combined,2011,70.8
(EU) Practising dentists per 100 000 inhabitants,Czech Republic,combined,2012,71.0
(EU) Practising dentists per 100 000 inhabitants,Czech Republic,combined,2013,70.6
(EU) Practising dentists per 100 000 inhabitants,Czech Republic,combined,2014,75.2
(EU) Practising dentists per 100 000 inhabitants,Czech Republic,combined,2015,80.3
(EU) Practising dentists per 100 000 inhabitants,Czech Republic,combined,2016,75.4
(EU) Practising dentists per 100 000 inhabitants,Czech Republic,combined,2017,74.9
(EU) Practising physicians or doctors per 100 000 inhabitants,Czech Republic,combined,2008,357.0
(EU) Practising physicians or doctors per 100 000 inhabitants,Czech Republic,combined,2009,358.3
(EU) Practising physicians or doctors per 100 000 inhabitants,Czech Republic,combined,2010,360.0
(EU) Practising physicians or doctors per 100 000 inhabitants,Czech Republic,combined,2011,364.0
(EU) Practising physicians or doctors per 100 000 inhabitants,Czech Republic,combined,2012,367.7
(EU) Practising physicians or doctors per 100 000 inhabitants,Czech Republic,combined,2013,368.7
(EU) Projected old age dependency ratio in 2030,Czech Republic,combined,2017,36.0
(EU) Projected old age dependency ratio in 2040,Czech Republic,combined,2017,41.9
(EU) Projected old age dependency ratio in 2060,Czech Republic,combined,2017,56.0
"(EU) Pure alcohol consumption, litres per capita",Czech Republic,combined,2008,12.0
"(EU) Pure alcohol consumption, litres per capita",Czech Republic,combined,2009,12.0
"(EU) Pure alcohol consumption, litres per capita",Czech Republic,combined,2010,11.0
"(EU) Pure alcohol consumption, litres per capita",Czech Republic,combined,2011,12.0
"(EU) Pure alcohol consumption, litres per capita",Czech Republic,combined,2012,12.0
"(EU) Pure alcohol consumption, litres per capita",Czech Republic,combined,2013,12.0
"(EU) Pure alcohol consumption, litres per capita",Czech Republic,combined,2014,12.0
"(EU) Pure alcohol consumption, litres per capita",Czech Republic,combined,2015,12.0
"(EU) Pure alcohol consumption, litres per capita",Czech Republic,combined,2016,12.0
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,male,2008,405.7
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,male,2009,392.8
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,male,2010,386.8
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,male,2011,373.9
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,male,2012,359.3
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,male,2013,344.9
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,male,2014,326.6
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,male,2015,324.3
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,female,2008,177.8
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,female,2009,173.4
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,female,2010,166.7
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,female,2011,163.7
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,female,2012,161.7
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,female,2013,157.3
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,female,2014,147.7
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,female,2015,147.5
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,combined,2008,289.4
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,combined,2009,281.0
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,combined,2010,274.8
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,combined,2011,267.1
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,combined,2012,259.0
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,combined,2013,249.8
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,combined,2014,236.1
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Czech Republic,combined,2015,235.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,male,2008,1692.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,male,2009,1697.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,male,2010,1652.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,male,2011,1680.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,male,2012,1656.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,male,2013,1644.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,male,2014,1564.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,male,2015,1604.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,female,2008,1099.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,female,2009,1102.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,female,2010,1064.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,female,2011,1090.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,female,2012,1088.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,female,2013,1073.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,female,2014,1008.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,female,2015,1051.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,combined,2008,1343.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,combined,2009,1346.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,combined,2010,1307.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,combined,2011,1331.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,combined,2012,1323.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,combined,2013,1308.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,combined,2014,1237.0
"(EU) Standard death rates, all causes of death per 100 000",Czech Republic,combined,2015,1280.0
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,male,2008,440.5
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,male,2009,435.5
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,male,2010,432.1
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,male,2011,407.7
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,male,2012,398.9
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,male,2013,389.2
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,male,2014,382.4
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,male,2015,373.3
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,female,2008,244.8
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,female,2009,239.8
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,female,2010,236.5
