Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
2021-01-10,763097,36,501437,55,23751,29,18076,20,9467,70,564543,83,593,22
2021-01-11,1568207,30,966517,47,72285,24,36015,13,21089,75,708058,81,3123,19
2021-01-12,1640428,32,997279,49,71403,24,36563,14,21623,76,730831,84,3297,20
2021-01-13,1641652,32,996646,49,70591,23,36488,14,22720,80,737859,85,3160,19
2021-01-14,1647396,32,1017757,50,70937,23,37403,14,21950,78,754071,87,3234,20
2021-01-15,1627120,32,981817,48,70180,23,41025,15,21819,77,788779,91,2978,18
2021-01-16,991500,37,645625,54,27116,28,22548,17,11654,80,631135,83,1099,27
2021-01-17,797654,38,504031,55,24223,29,20269,22,9880,73,580771,85,910,33
2021-01-18,1276978,61,766926,84,68674,83,22337,25,14124,105,689251,101,2141,78
2021-01-19,1635915,32,1013616,50,72565,24,36885,14,21049,74,736254,85,3328,20
2021-01-20,1575075,31,921371,45,67925,22,35263,13,19281,68,712711,82,2963,18
2021-01-21,1652842,32,1007042,49,71225,24,37003,14,19925,70,760221,87,3258,20
2021-01-22,1672001,33,1018584,50,71317,24,40981,15,20375,72,787474,91,3174,19
2021-01-23,997551,37,619673,52,27942,29,22216,17,10536,73,640381,84,1114,27
2021-01-24,741139,35,458203,50,23974,29,17881,20,8317,62,560522,82,821,30
2021-01-25,1592468,31,978987,48,73131,24,36509,14,19991,71,727393,84,3226,20
2021-01-26,1550953,30,911579,45,68237,23,34574,13,18115,64,653068,75,2965,18
2021-01-27,1660278,32,1004792,49,70353,23,35635,13,19841,70,740154,85,3098,19
2021-01-28,1646806,32,950205,46,70023,23,37015,14,20139,71,768600,88,3208,20
2021-01-29,1511680,29,812264,40,65128,22,37760,14,19047,67,780131,90,2646,16
2021-01-30,942615,35,566837,47,26642,27,21229,16,10284,71,652550,85,811,20
2021-01-31,722853,35,427945,47,23091,28,17531,19,8616,64,573512,84,620,23
2021-02-01,583230,11,337228,16,8611,3,12093,4,12202,41,156759,18,954,6
2021-02-02,1005985,19,543073,25,22756,8,22258,8,8155,28,311607,35,1517,9
2021-02-03,1702598,31,949695,44,69068,23,36347,13,16869,57,656614,74,3057,19
2021-02-04,1785833,33,1033791,48,71341,24,37590,14,20328,69,742193,84,3381,21
2021-02-05,1741015,32,1001775,47,68866,23,40322,15,20136,68,766091,87,3115,19
2021-02-06,1148477,40,715717,57,29248,31,25168,19,12020,74,689415,83,1280,30
2021-02-07,652521,30,367095,38,17110,22,14068,15,7115,42,340122,45,736,26
2021-02-08,1639753,30,964007,45,70984,23,36921,14,17786,60,701146,79,3075,19
2021-02-09,1666467,31,992290,46,69548,23,34582,13,19386,66,682085,77,3123,19
2021-02-10,1750121,32,1052021,49,71257,24,36580,14,22169,75,769088,87,3284,20
2021-02-11,1714656,32,1005348,47,70196,23,37230,14,20144,68,755367,86,3148,19
2021-02-12,1706430,31,965421,45,72130,24,42228,16,20165,69,803912,91,2823,17
2021-02-13,1092063,38,656637,52,29284,31,25456,19,11669,72,666722,80,1198,28
2021-02-14,858014,39,479319,49,23392,30,20489,22,7835,46,551288,73,863,31
2021-02-15,1218593,56,726412,74,65652,84,21792,24,11437,68,641883,85,1764,63
2021-02-16,1627528,30,963223,45,72718,24,36234,13,19126,65,726224,82,3211,20
2021-02-17,1733160,32,1061711,49,74219,25,39205,15,22336,76,821333,93,3349,21
2021-02-18,1381886,25,725951,34,57987,19,31747,12,15843,54,456327,52,2521,16
2021-02-19,1566021,29,809308,38,64121,21,38307,14,14172,48,608152,69,2707,17
2021-02-20,1110589,39,679240,54,30920,33,25729,20,10578,65,657045,79,1381,32
2021-02-21,836095,38,516715,53,25208,32,19844,22,9195,55,605395,80,956,34
2021-02-22,1582054,29,927414,43,69741,23,35468,13,19015,65,691608,78,3079,19
2021-02-23,1730198,32,1040398,48,73492,24,37505,14,20852,71,759850,86,3406,21
2021-02-24,1806306,33,1099351,51,74777,25,39124,15,23223,79,797488,90,3546,22
2021-02-25,1798165,33,1069420,50,75030,25,39397,15,22138,75,814611,92,3543,22
2021-02-26,1822812,34,1065376,50,76696,25,44410,16,21911,74,851052,96,3359,21
2021-02-27,1072932,37,635820,50,28849,31,24256,19,11319,70,681969,82,1324,31
2021-02-28,810071,37,491545,50,23778,30,20086,22,8910,53,619960,82,972,35
2021-03-01,1696274,30,1020837,46,74430,24,36339,13,20359,68,747909,81,3333,21
2021-03-02,1749511,31,1024511,46,75335,24,36611,13,20640,69,763489,83,3472,22
2021-03-03,1846431,33,1119137,50,78770,25,39651,14,22823,77,798577,87,3569,22
2021-03-04,1808744,32,1078036,48,78642,25,39730,14,21727,73,807284,88,3456,22
2021-03-05,1825915,33,1041408,46,79104,25,45027,16,21842,73,846071,92,3270,20
2021-03-06,1167884,38,696719,52,37158,34,27276,20,11951,71,728236,84,3,0
2021-03-07,894119,39,525930,53,29306,34,21547,23,9843,56,662461,82,58,2
2021-03-08,1719586,31,1039763,46,79355,25,39763,14,20685,70,767707,83,3344,21
2021-03-09,1834068,33,1101988,49,79269,25,40944,15,22200,75,791512,86,3602,23
2021-03-10,1849077,33,1104610,49,78069,25,41488,15,22774,77,804700,87,3625,23
2021-03-11,1881902,34,1107502,49,80398,26,42543,15,22617,76,836773,91,3682,23
2021-03-12,1914465,34,1092388,49,82399,26,48553,18,21724,73,873014,95,3507,22
2021-03-13,1257372,41,730218,55,38465,36,31500,23,11932,70,776744,89,0,0
2021-03-14,923968,40,531754,53,30405,35,22347,24,9732,55,673170,83,0,0
2021-03-15,1730024,31,1023990,46,79331,25,39529,14,19986,67,774146,84,3264,20
2021-03-16,1798288,32,1062179,47,77672,25,40038,15,20903,70,786996,85,3394,21
2021-03-17,1866414,34,1103979,49,81431,26,41682,15,22323,75,808876,88,3465,22
2021-03-18,1771092,32,1019472,45,76532,24,39884,14,20264,68,799478,87,3283,21
2021-03-19,1906749,34,1083647,48,80041,26,46605,17,20357,68,863187,94,3331,21
2021-03-20,1307403,43,768908,58,41743,39,33068,24,12558,74,787777,90,0,0
2021-03-21,1013386,44,579358,58,34693,40,26380,28,10358,59,735673,91,0,0
2021-03-22,1801438,32,1095241,49,84171,27,43281,16,20427,69,788542,86,3646,23
2021-03-23,1879574,34,1133504,51,83106,27,41654,15,21590,73,810243,88,3727,23
2021-03-24,1828084,33,1075968,48,79590,25,40301,15,21651,73,794315,86,3578,22
2021-03-25,1925768,35,1127964,50,83556,27,44105,16,21763,73,847633,92,3747,23
2021-03-26,1938246,35,1091753,49,84436,27,49529,18,20805,70,865970,94,3536,22
2021-03-27,1374266,45,781981,59,47484,44,38301,28,12900,76,841595,97,0,0
2021-03-28,807247,35,459949,46,28347,33,21000,22,9104,52,601860,75,0,0
2021-03-29,1742162,31,1002597,45,86467,28,44240,16,18543,62,763647,83,3378,21
2021-03-30,1881537,34,1079381,48,91258,29,46574,17,21019,71,842154,91,3806,24
2021-03-31,1808546,32,995873,44,84850,27,43954,16,20374,69,833052,90,3526,22
2021-04-01,1841815,33,1030209,47,77285,25,38466,13,20490,71,856466,91,3434,21
2021-04-02,1757698,32,958085,44,79770,26,49308,17,18839,65,845252,90,3070,19
2021-04-03,1318461,42,750682,56,47662,42,37706,25,12735,76,779701,85,1503,29
2021-04-04,950194,39,519812,52,40868,45,30673,30,11632,62,749910,87,1066,33
2021-04-05,1818703,33,1088750,50,87048,28,46156,16,19970,69,832239,88,3431,21
2021-04-06,1942198,35,1155101,53,85757,28,45178,16,21695,75,840351,89,3873,24
2021-04-07,1985370,36,1172362,54,85479,28,45747,16,23469,81,858593,91,3809,23
2021-04-08,2013413,36,1177833,54,86715,28,47059,16,22579,78,877834,93,3893,24
2021-04-09,2026724,36,1144311,52,87051,28,52445,18,21978,76,895229,95,3686,23
2021-04-10,1391245,44,790023,59,45962,40,36629,25,12713,76,822112,90,1500,29
2021-04-11,899646,37,504407,51,32034,35,22933,22,9742,52,666435,77,1020,31
2021-04-12,1845836,33,1087799,50,83124,27,43563,15,21192,73,793402,84,3418,21
2021-04-13,2012153,36,1196355,55,87182,28,46150,16,22728,79,832482,88,3877,24
2021-04-14,2018126,36,1199954,55,86698,28,47970,17,23462,81,852606,91,3810,23
2021-04-15,1906733,34,1083083,50,81762,26,44175,15,21198,73,822207,87,3593,22
2021-04-16,2078856,37,1157507,53,87190,28,54355,19,21632,75,889711,95,3591,22
2021-04-17,1425036,45,803352,60,49901,44,39789,27,13313,80,813162,89,0,0
2021-04-18,1082503,45,607333,61,38263,42,30983,30,10865,58,753446,87,0,0
2021-04-19,1911326,34,1147977,53,87167,28,45925,16,21274,74,816540,87,3634,22
2021-04-20,2082495,37,1223642,56,90034,29,49100,17,23528,81,860511,91,4135,25
2021-04-21,1965922,35,1139762,52,83533,27,45253,16,22379,77,828447,88,3788,23
2021-04-22,2040232,37,1166357,53,86606,28,46790,16,21832,75,871573,93,3837,24
2021-04-23,2121350,38,1184193,54,92834,30,56155,20,22035,76,920588,98,3737,23
2021-04-24,1520057,48,809163,61,51570,45,43227,29,13351,80,854964,94,0,0
2021-04-25,985027,41,540989,55,34054,37,23855,23,9777,52,695863,80,0,0
2021-04-26,1955370,35,1156913,53,89303,29,46752,16,21083,73,826605,88,3761,23
2021-04-27,2041698,37,1198299,55,89028,29,47310,16,22603,78,839788,89,4020,25
2021-04-28,2135793,38,1227777,56,92150,30,50011,17,24412,84,888723,94,4027,25
2021-04-29,2028524,36,1166096,53,88705,29,47785,17,22201,77,873037,93,3881,24
2021-04-30,2159476,39,1185321,54,93530,30,57364,20,22322,77,922720,98,3699,23
2021-05-01,1515211,47,818655,59,51067,43,41395,27,13263,77,849633,89,0,0
2021-05-02,1153471,48,620063,64,41827,43,32683,31,11541,68,809865,95,0,0
2021-05-03,1971010,34,1165505,51,91084,29,45800,16,21492,73,828506,86,3744,22
2021-05-04,2120071,37,1227250,54,93107,29,49415,17,22962,78,851039,88,4181,24
2021-05-05,2074543,36,1158445,51,91994,29,48351,17,23236,79,841968,87,3851,22
2021-05-06,2199943,38,1258536,55,94244,30,52748,18,23792,81,905604,94,4168,24
2021-05-07,2238033,39,1222741,54,101637,32,61477,21,22730,77,936747,97,3827,22
2021-05-08,1444674,45,779188,56,56309,48,42664,28,13339,77,854156,89,0,0
2021-05-09,1107878,46,576000,60,54074,55,37795,36,13897,82,854809,100,856,24
2021-05-10,1990039,35,1149109,51,96813,30,50090,17,20751,71,844563,88,3850,22
2021-05-11,2148322,38,1231886,54,97358,30,51588,18,22751,77,873176,91,4227,24
2021-05-12,2182277,38,1238990,54,98930,31,53548,19,23946,81,887381,92,4193,24
2021-05-13,2163052,38,1182347,52,103047,32,55558,19,23439,80,918259,95,4112,24
2021-05-14,2266974,40,1220112,54,104885,33,63394,22,22437,76,947064,98,3963,23
2021-05-15,1637231,51,844096,60,63079,53,49401,33,13516,78,891574,93,11,0
2021-05-16,1201904,50,621750,65,49166,50,36227,35,11062,65,814177,96,14,0
2021-05-17,2022584,35,1157960,51,98458,31,52803,18,20779,71,810018,84,3990,23
2021-05-18,2150049,38,1215676,53,100430,31,54920,19,22367,76,838307,87,4321,25
2021-05-19,2257549,39,1253578,55,104762,33,56851,20,23784,81,915644,95,4367,25
2021-05-20,2269471,40,1243965,55,106604,33,57425,20,23659,80,931659,97,4441,26
2021-05-21,2331876,41,1221591,54,110077,34,67283,24,22520,77,965528,100,4264,25
2021-05-22,1645268,51,839877,60,66293,56,51249,34,13397,77,911148,95,1787,37
2021-05-23,1268928,53,645466,67,58005,59,40613,39,11765,69,885740,104,1358,39
2021-05-24,2118877,37,1192453,52,105528,33,55179,19,21563,73,869940,90,4252,24
2021-05-25,2270945,40,1253998,55,110871,35,58737,21,22854,78,902577,94,4683,27
2021-05-26,2275882,40,1241052,55,114548,36,59613,21,23594,80,921084,96,4429,25
2021-05-27,2352019,41,1246269,55,117293,37,62852,22,23450,80,970920,101,4619,27
2021-05-28,2232599,39,1135369,50,112780,35,66048,23,21520,73,931760,97,4047,23
2021-05-29,1370135,43,648192,46,54774,46,38894,26,11734,68,744860,78,1332,27
2021-05-30,1065176,45,484864,50,43418,45,30072,29,10028,59,664029,78,956,27
2021-05-31,1389651,58,702801,73,102292,105,43039,41,10380,61,756187,89,1651,47
2021-06-01,2258831,40,1230127,57,114759,34,94923,32,22308,76,907698,92,4705,29
2021-06-02,2343745,42,1249102,58,112503,34,90821,31,24325,83,910385,93,4772,29
2021-06-03,2233917,40,1143159,53,102751,31,84815,29,23026,79,895524,91,4419,27
2021-06-04,2310032,41,1160335,54,104564,31,88908,30,22743,78,930743,95,4308,27
2021-06-05,1792204,56,874545,62,72827,59,62687,40,14636,84,946758,96,0,0
2021-06-06,1363344,52,654780,60,61866,63,51469,47,12514,69,921829,100,0,0
2021-06-07,2223265,40,1200737,56,112097,34,89412,30,21511,73,897208,91,4348,27
2021-06-08,2265591,40,1175335,55,108346,33,87986,30,22948,78,878376,89,4561,28
2021-06-09,2386026,43,1259005,59,107918,32,90641,31,23868,81,908563,92,4586,28
2021-06-10,2473818,44,1276901,59,113236,34,91323,31,23498,80,951274,97,4801,30
2021-06-11,2468258,44,1221484,57,118259,36,94566,32,23324,80,968763,99,4371,27
2021-06-12,1775538,55,849178,61,68188,55,61468,39,14450,83,919318,93,0,0
2021-06-13,1379959,53,647385,59,59186,60,51712,47,12047,67,887098,96,0,0
2021-06-14,2223186,40,1176722,55,115254,35,91064,31,21568,74,869235,88,4205,26
2021-06-15,2469785,44,1277203,59,117580,35,96688,33,23460,80,917933,93,4925,30
2021-06-16,2519444,45,1288040,60,119205,36,94690,32,24788,85,945955,96,4745,29
2021-06-17,2552497,46,1281552,60,121580,37,98435,33,23292,80,973485,99,4989,31
2021-06-18,2572013,98,1235675,114,122848,125,104304,96,22491,124,989296,107,4549,117
2021-06-19,1784312,55,841519,60,76508,62,66134,42,13949,80,952944,97,0,0
2021-06-20,1389352,53,652557,60,76969,78,60876,56,13189,73,951631,103,0,0
2021-06-21,2264368,40,1191844,55,123918,37,95740,32,20512,70,926300,94,4601,28
2021-06-22,2354873,42,1172110,55,116165,35,97637,33,22293,76,896868,91,4648,29
2021-06-23,2547416,45,1264095,59,121867,37,101864,34,24223,83,946870,96,5027,31
2021-06-24,2552639,46,1248843,58,121542,37,100509,34,22842,78,978351,99,5045,31
2021-06-25,2582713,46,1214123,56,126722,38,100537,34,22400,76,988675,101,4712,29
2021-06-26,1854179,58,841585,60,76560,62,66738,42,13520,78,950086,97,1682,33
2021-06-27,1559967,60,656004,60,75058,76,62411,57,11883,66,900039,97,1436,37
2021-06-28,2252362,40,1152019,54,122263,37,101482,34,20503,70,924740,94,4564,28
2021-06-29,2343739,42,1169268,54,119355,36,97829,33,21612,74,930011,95,4717,29
2021-06-30,2346388,42,1139886,53,119358,36,99455,34,23001,79,945822,96,4476,28
2021-07-01,2292461,43,1104516,53,114363,36,90018,32,22011,78,933638,97,4598,33
2021-07-02,2296044,43,1121116,54,116542,37,94252,33,21489,76,920188,96,4258,31
2021-07-03,1541988,55,738089,55,63827,50,57381,37,12676,80,777262,84,1768,35
2021-07-04,1468510,63,615001,56,70165,67,63948,60,12816,78,773629,87,1815,51
2021-07-05,1495709,64,770321,70,78370,75,59711,56,10303,62,838087,95,2005,56
2021-07-06,2302002,44,1181416,57,127893,40,100494,35,22648,80,903777,94,4690,34
2021-07-07,2437064,46,1234617,60,122603,39,99137,35,23637,83,926634,96,5028,36
2021-07-08,2364250,45,1164513,56,116274,37,93197,33,22941,81,897858,93,4785,35
2021-07-09,2318387,44,1115969,54,109420,35,88347,31,20632,73,888932,92,4325,31
2021-07-10,1781717,63,855908,63,72964,57,64429,42,14518,91,925950,100,2204,43
2021-07-11,1365854,58,635511,58,62559,60,53178,50,11725,71,830775,94,1549,43
2021-07-12,2245412,43,1171521,57,120503,38,99023,35,20623,73,866231,90,4563,33
2021-07-13,2457526,47,1239045,60,123373,39,105314,37,22286,79,895705,93,5117,37
2021-07-14,2517615,48,1260044,61,120455,38,101843,36,23662,83,919213,96,5018,36
2021-07-15,2581582,49,1275846,62,125587,40,105171,37,23772,84,971048,101,5209,38
2021-07-16,2536569,48,1219118,59,123465,39,104331,37,21730,77,983846,102,4626,34
2021-07-17,1717480,61,795347,59,73001,57,64513,42,13228,83,897001,97,0,0
2021-07-18,1405344,60,640618,58,67362,64,56174,53,11313,68,838604,95,0,0
2021-07-19,2327756,44,1208792,58,126653,40,103403,37,20276,72,897298,93,4717,34
2021-07-20,2462002,47,1217802,59,125809,40,107009,38,22213,78,924495,96,5015,36
2021-07-21,2504568,47,1225595,59,121530,38,104862,37,22865,81,914902,95,4934,36
2021-07-22,2582151,49,1279778,62,127275,40,102275,36,23122,82,963493,100,5187,38
2021-07-23,2552330,48,1219255,59,130474,41,101070,36,22314,79,985198,102,4713,34
2021-07-24,1852402,66,856250,63,84852,66,68579,44,14042,88,950568,103,0,0
2021-07-25,1364830,58,625645,57,66417,63,53090,50,11419,69,864361,98,0,0
2021-07-26,2318455,44,1219135,59,129875,41,101260,36,19910,70,907205,94,4714,34
2021-07-27,2487947,47,1267804,61,128262,41,102950,36,22609,80,918908,96,5132,37
2021-07-28,2534756,48,1276296,62,126767,40,99976,35,23145,82,932094,97,5004,36
2021-07-29,2428764,46,1186642,57,120318,38,94716,33,22164,78,918380,96,4743,34
2021-07-30,2557677,48,1235623,60,131905,42,103531,37,22127,78,988596,103,4812,35
2021-07-31,1841007,65,857333,64,85371,67,67121,43,13932,88,953445,103,0,0
2021-08-01,1351294,57,629963,57,66030,63,51978,50,11627,65,869092,94,0,0
2021-08-02,2333923,45,1208484,60,126151,40,102349,38,19824,71,903514,93,4799,36
2021-08-03,2483802,48,1262043,63,123949,40,103249,38,22828,82,904753,93,5262,39
2021-08-04,2529002,49,1257876,62,123700,40,99332,36,23611,85,921068,95,5016,37
2021-08-05,2529190,49,1259332,62,119999,38,98290,36,22610,81,956306,98,5097,38
2021-08-06,2519444,49,1222343,61,123238,39,101218,37,22179,79,979833,101,4500,34
2021-08-07,1780458,61,836715,61,76835,58,67267,44,14108,85,923751,96,0,0
2021-08-08,1333885,56,598574,54,61066,59,54265,52,11934,66,843489,92,0,0
2021-08-09,2289434,45,1183050,59,109865,35,95599,35,20540,74,891525,92,4845,36
2021-08-10,2442194,48,1245670,62,122544,39,95330,35,23079,83,905508,93,5037,38
2021-08-11,2475949,48,1246306,62,119708,38,94737,35,23338,84,931264,96,4928,37
2021-08-12,2448589,48,1223666,61,119717,38,90818,33,22427,80,965578,99,4764,36
2021-08-13,2430102,47,1189426,59,123849,40,91861,34,21336,76,973883,100,4522,34
2021-08-14,1718222,58,811826,59,75664,57,57650,38,13157,79,904780,94,0,0
2021-08-15,1430620,60,661705,60,72983,70,54362,52,12395,69,918288,100,0,0
2021-08-16,2287627,45,1170216,58,123942,40,100258,37,20087,72,910779,94,4769,36
2021-08-17,2427611,47,1209633,60,120737,39,103616,38,22245,80,909180,94,5081,38
2021-08-18,2445638,48,1210760,60,117216,37,97853,36,22715,81,917872,94,4878,36
2021-08-19,2439624,47,1194375,59,117409,38,93036,34,21838,78,939085,97,4871,36
2021-08-20,2456334,48,1183308,59,124627,40,99533,36,21451,77,969814,100,4590,34
2021-08-21,1715030,58,822340,60,72843,55,61997,41,13046,78,941331,98,1409,30
2021-08-22,745240,31,369246,33,27528,26,16121,16,7979,44,489334,53,560,16
2021-08-23,2052669,40,1032792,51,110003,35,84223,31,18809,67,821654,85,4062,30
2021-08-24,2462365,48,1234884,61,130591,42,98325,36,22679,81,942935,97,5041,38
2021-08-25,2498255,49,1236342,61,127392,41,93307,34,23351,84,957036,98,5165,39
2021-08-26,2480137,48,1222996,61,122067,39,91039,33,22068,79,950534,98,4995,37
2021-08-27,2388210,46,1147249,57,119665,38,90532,33,21211,76,973335,100,4392,33
2021-08-28,1659434,56,776489,56,68988,52,56208,37,12760,77,890293,93,1661,35
2021-08-29,1398566,59,630281,57,68832,66,54068,52,11558,64,890505,97,2076,58
2021-08-30,2321000,45,1182908,59,131574,42,97092,36,19224,69,911105,94,4695,35
2021-08-31,2532584,49,1246463,62,133641,43,99949,37,22724,81,936181,96,5390,40
2021-09-01,2294448,40,1086148,47,118437,36,90598,31,20878,70,811053,85,4551,27
2021-09-02,1661558,29,1188941,51,105647,32,37898,13,21179,71,851145,89,2620,15
2021-09-03,2390392,41,1221668,53,139807,43,97937,34,22585,76,1014806,107,4450,26
2021-09-04,1777639,55,834456,59,84764,72,57137,37,13382,78,927358,97,2104,51
2021-09-05,1415352,56,618622,56,71004,72,45169,43,11931,69,832200,94,1541,53
2021-09-06,1521388,60,733947,67,77906,79,51338,49,10077,59,812884,92,1966,67
2021-09-07,2233674,39,1102372,47,137623,42,113742,39,21143,71,902400,95,4795,28
2021-09-08,2529619,44,1192895,51,135722,41,110925,38,22354,75,896020,94,5228,31
2021-09-09,2702713,47,1249341,54,139547,43,111708,39,23653,80,911040,96,5378,31
2021-09-10,2840443,49,1322430,57,150895,46,113495,39,23037,78,995486,105,5377,31
2021-09-11,1983091,62,870791,62,82235,69,65329,43,13070,76,917704,96,2182,53
2021-09-12,1589976,62,694561,63,77028,78,58979,56,12239,71,899864,102,1679,57
2021-09-13,2852796,49,1441516,62,147829,45,122504,42,21898,74,914827,96,6133,36
2021-09-14,3011275,52,1511145,65,144904,44,120532,42,23132,78,908024,95,6672,39
2021-09-15,2987334,52,1503627,65,139927,43,116413,40,23966,81,904733,95,6410,38
2021-09-16,2534545,44,1210069,52,127995,39,107680,37,20826,70,864413,91,5308,31
2021-09-17,3028545,52,1456201,63,142120,43,119349,41,23282,78,982085,103,6131,36
2021-09-18,2014848,63,871175,62,77267,65,76288,50,14054,82,949178,99,2582,62
2021-09-19,1596823,63,674024,61,69397,70,64139,61,12612,73,914623,103,1897,65
2021-09-20,2883211,50,1481676,64,148068,45,122101,42,21889,74,895109,94,6548,38
2021-09-21,3018312,52,1505803,65,142672,44,123923,43,22399,75,860050,90,6998,41
2021-09-22,3021113,52,1506211,65,139853,43,120056,42,23157,78,872883,92,6812,40
2021-09-23,3016106,52,1483075,64,140127,43,115473,40,23031,78,915198,96,6724,39
2021-09-24,3121747,54,1469705,63,142827,44,116730,40,21941,74,986694,104,6294,37
2021-09-25,2129492,66,872490,62,88460,75,81282,53,13909,81,953628,100,2719,66
2021-09-26,1614677,63,657257,60,80069,81,64937,62,12034,70,895286,101,2238,77
2021-09-27,2873368,50,1489441,64,146154,45,121534,42,21209,71,881116,93,6715,39
2021-09-28,2927715,51,1457421,63,141188,43,118253,41,21727,73,831192,87,6827,40
2021-09-29,3063720,53,1513184,65,137483,42,120032,42,23323,79,886785,93,6789,40
2021-09-30,3146861,55,1516081,65,144838,44,121842,42,23555,79,953501,100,7104,42
2021-10-01,3162881,55,1492942,66,140003,45,116182,40,23098,78,985786,106,6325,35
2021-10-02,2063660,62,883902,63,86563,76,80946,53,14145,80,923455,98,2562,56
2021-10-03,1575738,64,673253,67,74851,82,66758,63,12936,70,887540,105,1904,50
2021-10-04,2864349,50,1419155,63,152598,49,121256,42,21794,73,871945,94,6591,37
2021-10-05,3091160,54,1499767,67,150226,48,124670,43,23644,79,887129,96,7027,39
2021-10-06,3140986,55,1532668,68,149640,48,123097,42,24677,83,913993,98,6972,39
2021-10-07,3190747,56,1523168,68,150072,48,121407,42,24571,83,951212,102,7298,41
2021-10-08,3168473,55,1473912,65,153755,49,123609,43,23356,78,1001210,108,6660,37
2021-10-09,2052699,62,856308,62,84631,75,81969,54,13634,77,919384,97,47,1
2021-10-10,1499385,61,601821,60,65636,72,59049,56,11794,64,806025,95,166,4
2021-10-11,2263615,39,1045865,46,131714,42,114458,39,16917,57,878443,95,3883,22
2021-10-12,3102879,54,1514608,67,154602,49,128194,44,23848,80,910639,98,7292,41
2021-10-13,3157457,55,1511356,67,151319,48,124790,43,24396,82,907632,98,7198,40
2021-10-14,3240686,56,1527543,68,154572,49,126815,44,24144,81,952876,103,7386,41
2021-10-15,3227068,56,1491099,66,150932,48,124654,43,23251,78,990940,107,6786,38
2021-10-16,2042027,61,856990,62,83415,74,74913,49,13307,75,896392,95,2369,52
2021-10-17,1629991,66,663944,66,74826,82,69729,66,12564,68,891527,106,1853,49
2021-10-18,2982883,52,1461843,65,153681,49,127381,44,21454,72,889996,96,6810,38
2021-10-19,3178208,55,1510722,67,153382,49,129993,45,23403,79,899389,97,7250,41
2021-10-20,3234327,56,1525608,68,155242,49,131127,45,24474,82,916246,99,7148,40
2021-10-21,3267697,57,1476434,65,149850,48,127259,44,24007,81,948652,102,7498,42
2021-10-22,3225816,56,1471199,65,145810,46,126554,44,22843,77,986548,106,6297,35
2021-10-23,2077488,62,847596,61,74720,66,82865,54,13556,77,914737,97,2243,49
2021-10-24,1599927,65,659283,66,69611,76,68154,65,12314,67,883371,105,1908,51
2021-10-25,2994936,52,1461023,65,158330,50,125755,43,21724,73,883887,95,7026,39
2021-10-26,2702635,47,1233660,55,130109,41,104517,36,21220,71,738636,80,5278,30
2021-10-27,3300580,57,1503535,67,155865,50,129881,45,24144,81,914494,99,7054,40
2021-10-28,3365971,59,1515489,67,159574,51,132170,45,24814,83,959835,103,7605,43
2021-10-29,3251779,57,1426938,63,153317,49,122632,42,22477,75,963442,104,6597,37
2021-10-30,2044310,61,819620,59,76471,67,69281,45,12642,72,854656,90,2177,48
2021-10-31,1746769,71,656203,66,68674,75,66300,63,12233,67,824978,98,1910,51
2021-11-01,3034306,54,1448304,66,158356,48,131251,46,21387,69,898451,95,6783,40
2021-11-02,2848222,51,1258180,57,147832,45,129297,45,22016,71,853432,90,5679,33
2021-11-03,3293732,58,1507287,69,154203,47,130954,46,23349,75,901230,96,7371,43
2021-11-04,3284315,58,1486942,68,151353,46,126533,44,24009,77,931012,99,7210,42
2021-11-05,3293438,58,1457014,67,150227,46,121824,43,23009,74,966007,102,6769,40
2021-11-06,2195864,69,864499,66,84943,74,80784,53,13672,81,910587,100,2410,70
2021-11-07,1888985,75,614513,62,81181,86,72175,69,10647,57,780686,95,2978,97
2021-11-08,3065533,54,1461178,67,159723,49,131127,46,22136,71,889544,94,6921,41
2021-11-09,3279457,58,1518264,69,157181,48,134070,47,24504,78,898518,95,7677,45
2021-11-10,3351992,59,1514453,69,159254,48,134400,47,24608,79,926005,98,7445,44
2021-11-11,2922235,116,1198235,120,143386,152,122940,118,19846,105,895643,109,5493,179
2021-11-12,3158682,56,1350608,62,141671,43,117650,41,21598,69,919941,98,6082,36
2021-11-13,2169863,69,815114,62,80829,70,74296,49,13124,77,869112,96,2286,66
2021-11-14,1703136,68,657129,66,72488,77,62856,60,12460,66,858311,104,1772,58
2021-11-15,3110969,55,1437414,66,160952,49,132234,46,22208,71,890524,94,6792,40
2021-11-16,3340844,59,1492110,68,161362,49,137235,48,23694,76,902386,96,7472,44
2021-11-17,3369069,60,1501740,69,158372,48,131113,46,24396,78,915266,97,7453,44
2021-11-18,3412249,61,1505488,69,157433,48,132632,46,24071,77,959226,102,7511,44
2021-11-19,3316999,59,1429787,65,151795,46,127093,44,22662,73,987149,105,6842,40
2021-11-20,2135731,68,861772,65,94412,82,82894,55,13195,78,915131,101,2367,68
