_ - rank,_ - code,prob,Average annual wage,education,occupation,short occupation,len,probability,numbEmployed,median_ann_wage,employed_may2016,average_ann_wage
127,19-3099,0.04,80860,Bachelor's degree,"Social Scientists and Related Workers, All Other","Social Scientists and Related Workers, All Other",48,0.04,36380,77020,36380,80860
297,49-9052,0.49,54700,High school diploma or equivalent,Telecommunications Line Installers and Repairers,Telecommunications Line Installers and Repairers,48,0.49,100080,52590,100080,54700
96,33-1011,0.025,65100,High school diploma or equivalent,First-Line Supervisors of Correctional Officers,First-Line Supervisors of Correctional Officers,47,0.025,43230,60560,43230,65100
18,33-1012,0.0044,88400,High school diploma or equivalent,First-Line Supervisors of Police and Detectives,First-Line Supervisors of Police and Detectives,47,0.0044,100200,84840,100200,88400
273,29-2799,0.4,46020,High school diploma or equivalent,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",47,0.4,122170,41070,122170,46020
191,25-2012,0.15,55460,Bachelor's degree,"Kindergarten Teachers, Except Special Education",Kindergarten Teachers,47,0.15,151290,52620,151290,55460
586,13-2081,0.93,57950,Bachelor's degree,Tax Examiners and Collectors and Revenue Agents,Tax Examiners and Collectors and Revenue Agents,47,0.93,58450,52060,58450,57950
622,51-9191,0.95,34610,High school diploma or equivalent,Adhesive Bonding Machine Operators and Tenders,Adhesive Bonding Machine Operators and Tenders,46,0.95,16940,32290,16940,34610
627,43-5032,0.96,41190,High school diploma or equivalent,"Dispatchers, Except Police, Fire and Ambulance",Dispatchers,46,0.96,197910,37940,197910,41190
621,51-2022,0.95,33700,High school diploma or equivalent,Electrical and Electronic Equipment Assemblers,Electrical and Electronic Equipment Assemblers,46,0.95,218530,31310,218530,33700
166,49-9051,0.097,67160,High school diploma or equivalent,Electrical Power-Line Installers and Repairers,Electrical Power-Line Installers and Repairers,46,0.097,117670,68010,117670,67160
233,41-1011,0.28,43910,High school diploma or equivalent,First-Line Supervisors of Retail Sales Workers,First-Line Supervisors of Retail Sales Workers,46,0.28,1194220,39040,1194220,43910
204,53-2011,0.18,152770,Bachelor's degree,"Airline Pilots, Copilots and Flight Engineers","Airline Pilots, Copilots and Flight Engineers",45,0.18,81520,127820,81520,152770
675,13-1031,0.98,64990,High school diploma or equivalent,"Claims Adjusters, Examiners and Investigators","Claims Adjusters, Examiners and Investigators",45,0.98,274420,63680,274420,64990
24,19-3031,0.0047,78690,Doctoral or professional degree,"Clinical, Counseling and School Psychologists","Clinical, Counseling and School Psychologists",45,0.0047,107980,73270,107980,78690
97,21-2021,0.025,44840,Bachelor's degree,"Directors, Religious Activities and Education","Directors, Religious Activities and Education",45,0.025,20590,38610,20590,44840
383,43-4061,0.7,43550,High school diploma or equivalent,"Eligibility Interviewers, Government Programs","Eligibility Interviewers, Government Programs",45,0.7,135940,43350,135940,43550
176,39-5012,0.11,29590,Postsecondary nondegree award,"Hairdressers, Hairstylists and Cosmetologists","Hairdressers, Hairstylists and Cosmetologists",45,0.11,352380,24260,352380,29590
689,43-9041,0.98,40780,High school diploma or equivalent,Insurance Claims and Policy Processing Clerks,Insurance Claims and Policy Processing Clerks,45,0.98,274350,38430,274350,40780
626,51-9071,0.95,42310,High school diploma or equivalent,Jewelers and Precious Stone and Metal Workers,Jewelers and Precious Stone and Metal Workers,45,0.95,26480,38200,26480,42310
299,53-7033,0.5,51260,No formal educational credential,"Loading Machine Operators, Underground Mining","Loading Machine Operators, Underground Mining",45,0.5,2550,53420,2550,51260
533,29-2011,0.9,62440,Bachelor's degree,Medical and Clinical Laboratory Technologists,Medical and Clinical Laboratory Technologists,45,0.9,166730,61070,166730,62440
327,47-5042,0.59,50670,High school diploma or equivalent,Mine Cutting and Channeling Machine Operators,Mine Cutting and Channeling Machine Operators,45,0.59,5930,51900,5930,50670
468,47-4071,0.83,38870,No formal educational credential,Septic Tank Servicers and Sewer Pipe Cleaners,Septic Tank Servicers and Sewer Pipe Cleaners,45,0.83,26320,36430,26320,38870
467,53-6031,0.83,24280,No formal educational credential,Automotive and Watercraft Service Attendants,Automotive and Watercraft Service Attendants,44,0.83,109790,22420,109790,24280
330,49-3023,0.59,41400,Postsecondary nondegree award,Automotive Service Technicians and Mechanics,Automotive Service Technicians and Mechanics,44,0.59,647380,38470,647380,41400
219,29-2031,0.23,57100,Associate's degree,Cardiovascular Technologists and Technicians,Cardiovascular Technologists and Technicians,44,0.23,53760,55570,53760,57100
69,15-1111,0.015,116320,Doctoral or professional degree,Computer and Information Research Scientists,Computer and Information Research Scientists,44,0.015,26580,111840,26580,116320
139,29-2041,0.049,36110,Postsecondary nondegree award,Emergency Medical Technicians and Paramedics,Emergency Medical Technicians and Paramedics,44,0.049,244960,32670,244960,36110
516,51-4051,0.88,41840,High school diploma or equivalent,Metal-Refining Furnace Operators and Tenders,Metal-Refining Furnace Operators and Tenders,44,0.88,17730,41040,17730,41840
37,25-2011,0.0074,33300,Associate's degree,"Preschool Teachers, Except Special Education",Preschool Teachers,44,0.0074,385550,28790,385550,33300
40,25-2054,0.0077,64020,Bachelor's degree,"Special Education Teachers, Secondary School","Special Education Teachers, Secondary School",44,0.0077,132490,59700,132490,64020
684,27-2023,0.98,35540,High school diploma or equivalent,"Umpires, Referees and Other Sports Officials","Umpires, Referees and Other Sports Officials",44,0.98,18660,25660,18660,35540
671,43-3031,0.98,40220,"Some college, no degree","Bookkeeping, Accounting and Auditing Clerks","Bookkeeping, Accounting and Auditing Clerks",43,0.98,1566960,38390,1566960,40220
506,13-1021,0.87,63910,Bachelor's degree,"Buyers and Purchasing Agents, Farm Products","Buyers and Purchasing Agents, Farm Products",43,0.87,11490,58430,11490,63910
658,49-9061,0.97,43920,Associate's degree,Camera and Photographic Equipment Repairers,Camera and Photographic Equipment Repairers,43,0.97,3760,41060,3760,43920
230,53-5021,0.27,81520,Postsecondary nondegree award,"Captains, Mates and Pilots of Water Vessels","Captains, Mates and Pilots of Water Vessels",43,0.27,36720,72680,36720,81520
390,47-4799,0.71,40480,High school diploma or equivalent,"Construction and Related Workers, All Other","Construction and Related Workers, All Other",43,0.71,35340,36890,35340,40480
465,47-2131,0.83,39490,No formal educational credential,"Insulation Workers, Floor, Ceiling and Wall","Insulation Workers, Floor, Ceiling and Wall",43,0.83,29500,35660,29500,39490
593,51-3022,0.94,25510,No formal educational credential,"Meat, Poultry and Fish Cutters and Trimmers","Meat, Poultry and Fish Cutters and Trimmers",43,0.94,149800,24490,149800,25510
288,29-2012,0.47,41700,Associate's degree,Medical and Clinical Laboratory Technicians,Medical and Clinical Laboratory Technicians,43,0.47,160190,38950,160190,41700
368,49-3051,0.66,40860,High school diploma or equivalent,Motorboat Mechanics and Service Technicians,Motorboat Mechanics and Service Technicians,43,0.66,20260,38780,20260,40860
109,15-1142,0.03,84500,Bachelor's degree,Network and Computer Systems Administrators,Network and Computer Systems Administrators,43,0.03,376820,79700,376820,84500
458,53-4021,0.83,55320,High school diploma or equivalent,"Railroad Brake, Signal and Switch Operators","Railroad Brake, Signal and Switch Operators",43,0.83,19860,56570,19860,55320
576,47-5013,0.93,53520,No formal educational credential,"Service Unit Operators, Oil, Gas and Mining","Service Unit Operators, Oil, Gas and Mining",43,0.93,42890,48610,42890,53520
387,49-3011,0.71,61190,Postsecondary nondegree award,Aircraft Mechanics and Service Technicians,Aircraft Mechanics and Service Technicians,42,0.71,128570,60170,128570,61190
216,13-1199,0.23,74870,Bachelor's degree,"Business Operations Specialists, All Other","Business Operations Specialists, All Other",42,0.23,958670,69040,958670,74870
341,51-3093,0.61,30330,High school diploma or equivalent,Food Cooking Machine Operators and Tenders,Food Cooking Machine Operators and Tenders,42,0.61,36520,28350,36520,30330
544,39-3012,0.91,25710,High school diploma or equivalent,Gaming and Sports Book Writers and Runners,Gaming and Sports Book Writers and Runners,42,0.91,11460,22600,11460,25710
274,45-2041,0.41,24280,No formal educational credential,"Graders and Sorters, Agricultural Products","Graders and Sorters, Agricultural Products",42,0.41,38780,22520,38780,24280
50,39-5091,0.01,71590,Postsecondary nondegree award,"Makeup Artists, Theatrical and Performance","Makeup Artists, Theatrical and Performance",42,0.01,3600,60970,3600,71590
21,19-1042,0.0045,95000,Doctoral or professional degree,"Medical Scientists, Except Epidemiologists",Medical Scientists,42,0.0045,108870,80530,108870,95000
291,27-1026,0.48,30090,High school diploma or equivalent,Merchandise Displayers and Window Trimmers,Merchandise Displayers and Window Trimmers,42,0.48,114690,26700,114690,30090
196,29-9011,0.17,72480,Bachelor's degree,Occupational Health and Safety Specialists,Occupational Health and Safety Specialists,42,0.17,76630,70920,76630,72480
223,29-9012,0.25,52520,High school diploma or equivalent,Occupational Health and Safety Technicians,Occupational Health and Safety Technicians,42,0.25,16560,48820,16560,52520
513,43-5061,0.88,49050,High school diploma or equivalent,"Production, Planning and Expediting Clerks","Production, Planning and Expediting Clerks",42,0.88,321780,46760,321780,49050
399,27-3012,0.72,42740,High school diploma or equivalent,Public Address System and Other Announcers,Public Address System and Other Announcers,42,0.72,8020,28940,8020,42740
450,49-2098,0.82,45660,High school diploma or equivalent,Security and Fire Alarm Systems Installers,Security and Fire Alarm Systems Installers,42,0.82,67700,44330,67700,45660
701,23-2093,0.99,51490,High school diploma or equivalent,"Title Examiners, Abstractors and Searchers","Title Examiners, Abstractors and Searchers",42,0.99,54560,45800,54560,51490
642,39-3031,0.96,21740,No formal educational credential,"Ushers, Lobby Attendants and Ticket Takers","Ushers, Lobby Attendants and Ticket Takers",42,0.96,117920,19920,117920,21740
665,19-4011,0.97,40470,Associate's degree,Agricultural and Food Science Technicians,Agricultural and Food Science Technicians,41,0.97,20420,37550,20420,40470
313,49-3022,0.55,36140,High school diploma or equivalent,Automotive Glass Installers and Repairers,Automotive Glass Installers and Repairers,41,0.55,18610,34340,18610,36140
118,11-3021,0.035,145740,Bachelor's degree,Computer and Information Systems Managers,Computer and Information Systems Managers,41,0.035,352510,135800,352510,145740
164,39-9031,0.085,42780,High school diploma or equivalent,Fitness Trainers and Aerobics Instructors,Fitness Trainers and Aerobics Instructors,41,0.085,257410,38160,257410,42780
600,43-4111,0.94,33640,High school diploma or equivalent,"Interviewers, Except Eligibility and Loan","Interviewers, Except Eligibility and Loan",41,0.94,186030,32150,186030,33640
271,23-1023,0.4,115460,Doctoral or professional degree,Judges,Judges,41,0.4,27210,125880,27210,115460
561,43-9071,0.92,32390,High school diploma or equivalent,"Office Machine Operators, Except Computer",Office Machine Operators,41,0.92,58160,30460,58160,32390
67,11-2031,0.015,123360,Bachelor's degree,Public Relations and Fundraising Managers,Public Relations and Fundraising Managers,41,0.015,63970,107320,63970,123360
585,53-7081,0.93,37690,No formal educational credential,Refuse and Recyclable Material Collectors,Refuse and Recyclable Material Collectors,41,0.93,114680,35270,114680,37690
76,25-2053,0.016,61910,Bachelor's degree,"Special Education Teachers, Middle School","Special Education Teachers, Middle School",41,0.016,90250,58560,90250,61910
529,51-8021,0.89,61410,High school diploma or equivalent,Stationary Engineers and Boiler Operators,Stationary Engineers and Boiler Operators,41,0.89,33720,59400,33720,61410
416,51-9011,0.76,50300,High school diploma or equivalent,Chemical Equipment Operators and Tenders,Chemical Equipment Operators and Tenders,40,0.76,73840,47780,73840,50300
470,41-2012,0.83,25940,High school diploma or equivalent,Gaming Change Persons and Booth Cashiers,Gaming Change Persons and Booth Cashiers,40,0.83,23120,23780,23120,25940
380,53-3033,0.69,34790,High school diploma or equivalent,Light Truck or Delivery Services Drivers,Light Truck or Delivery Services Drivers,40,0.69,858710,30580,858710,34790
567,51-9123,0.92,32040,No formal educational credential,"Painting, Coating and Decorating Workers","Painting, Coating and Decorating Workers",40,0.92,15450,30030,15450,32040
218,29-2037,0.23,69240,Associate's degree,Ambulance Drivers and Attendants,Radiologic Technologists and Technicians,40,0.23,35850,68420,35850,69240
329,49-3092,0.59,38040,High school diploma or equivalent,Recreational Vehicle Service Technicians,Recreational Vehicle Service Technicians,40,0.59,13520,36430,13520,38040
275,51-2041,0.41,40000,High school diploma or equivalent,Structural Metal Fabricators and Fitters,Structural Metal Fabricators and Fitters,40,0.41,77270,37730,77270,40000
106,29-2056,0.029,33870,Associate's degree,Veterinary Technologists and Technicians,Veterinary Technologists and Technicians,40,0.029,99390,32490,99390,33870
541,13-2021,0.9,58030,Bachelor's degree,Appraisers and Assessors of Real Estate,Appraisers and Assessors of Real Estate,39,0.9,60770,51850,60770,58030
146,23-1022,0.06,72730,Bachelor's degree,"Arbitrators, Mediators and Conciliators","Arbitrators, Mediators and Conciliators",39,0.06,6300,59770,6300,72730
102,21-1021,0.028,47510,Bachelor's degree,"Child, Family and School Social Workers","Child, Family and School Social Workers",39,0.028,298840,43250,298840,47510
667,43-4041,0.97,39320,High school diploma or equivalent,"Credit Authorizers, Checkers and Clerks","Credit Authorizers, Checkers and Clerks",39,0.97,37680,36930,37680,39320
52,11-9033,0.01,105770,Master's degree,"Education Administrators, Postsecondary","Education Administrators, Postsecondary",39,0.01,138430,90760,138430,105770
431,53-3032,0.79,43590,Postsecondary nondegree award,Heavy and Tractor-Trailer Truck Drivers,Heavy and Tractor-Trailer Truck Drivers,39,0.79,1704520,41340,1704520,43590
57,19-3032,0.012,104570,Master's degree,Industrial-Organizational Psychologists,Industrial-Organizational Psychologists,39,0.012,1020,82760,1020,104570
352,49-9071,0.64,39360,High school diploma or equivalent,"Maintenance and Repair Workers, General","Maintenance and Repair Workers, General",39,0.64,1332480,36940,1332480,39360
545,49-9063,0.91,37690,High school diploma or equivalent,Musical Instrument Repairers and Tuners,Musical Instrument Repairers and Tuners,39,0.91,7980,35010,7980,37690
542,53-7072,0.9,46270,High school diploma or equivalent,"Pump Operators, Except Wellhead Pumpers",Pump Operators,39,0.9,12030,42470,12030,46270
598,51-4121,0.94,42450,High school diploma or equivalent,"Welders, Cutters, Solderers and Brazers","Welders, Cutters, Solderers and Brazers",39,0.94,382730,39390,382730,42450
82,17-1011,0.018,84470,Bachelor's degree,"Architects, Except Landscape and Naval",Architects,38,0.018,99860,76930,99860,84470
78,11-9041,0.017,143870,Bachelor's degree,Architectural and Engineering Managers,Architectural and Engineering Managers,38,0.017,178390,134730,178390,143870
648,51-2023,0.97,35410,High school diploma or equivalent,Electromechanical Equipment Assemblers,Electromechanical Equipment Assemblers,38,0.97,45540,33350,45540,35410
98,17-2072,0.025,103760,Bachelor's degree,"Electronics Engineers, Except Computer",Electronics Engineers,38,0.025,132100,99210,132100,103760
588,53-7051,0.93,34260,No formal educational credential,Industrial Truck and Tractor Operators,Industrial Truck and Tractor Operators,38,0.93,542750,32460,542750,34260
623,37-3011,0.95,28560,No formal educational credential,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Workers,38,0.95,906570,26320,906570,28560
121,13-1121,0.037,52020,Bachelor's degree,"Meeting, Convention and Event Planners","Meeting, Convention and Event Planners",38,0.037,95850,47350,95850,52020
411,47-2141,0.75,41510,No formal educational credential,"Painters, Construction and Maintenance","Painters, Construction and Maintenance",38,0.75,217280,37570,217280,41510
249,47-2152,0.35,56030,High school diploma or equivalent,"Plumbers, Pipefitters and Steamfitters","Plumbers, Pipefitters and Steamfitters",38,0.35,411870,51450,411870,56030
298,43-5031,0.49,41070,High school diploma or equivalent,"Police, Fire and Ambulance Dispatchers","Police, Fire and Ambulance Dispatchers",38,0.49,95170,38870,95170,41070
679,43-5071,0.98,33150,High school diploma or equivalent,"Shipping, Receiving and Traffic Clerks","Shipping, Receiving and Traffic Clerks",38,0.98,676990,31180,676990,33150
304,51-6041,0.52,26040,High school diploma or equivalent,Shoe and Leather Workers and Repairers,Shoe and Leather Workers and Repairers,38,0.52,7780,23940,7780,26040
479,51-6052,0.84,30670,No formal educational credential,"Tailors, Dressmakers and Custom Sewers","Tailors, Dressmakers and Custom Sewers",38,0.84,21660,28240,21660,30670
690,51-2093,0.98,42470,High school diploma or equivalent,Timing Device Assemblers and Adjusters,Timing Device Assemblers and Adjusters,38,0.98,790,37040,790,42470
316,27-4011,0.55,47450,Postsecondary nondegree award,Audio and Video Equipment Technicians,Audio and Video Equipment Technicians,37,0.55,69670,42230,69670,47450
558,49-3021,0.91,45180,High school diploma or equivalent,Automotive Body and Related Repairers,Automotive Body and Related Repairers,37,0.91,143940,41540,143940,45180
525,53-3022,0.89,31110,High school diploma or equivalent,"Bus Drivers, School or Special Client","Bus Drivers, School or Special Client",37,0.89,515020,30150,515020,31110
246,33-3021,0.34,81490,High school diploma or equivalent,Detectives and Criminal Investigators,Detectives and Criminal Investigators,37,0.34,104980,78120,104980,81490
225,17-3025,0.25,52500,Associate's degree,Environmental Engineering Technicians,Environmental Engineering Technicians,37,0.25,16550,49170,16550,52500
575,51-2091,0.93,33020,High school diploma or equivalent,Fiberglass Laminators and Fabricators,Fiberglass Laminators and Fabricators,37,0.93,19400,30870,19400,33020
348,31-9799,0.63,37720,High school diploma or equivalent,"Healthcare Support Workers, All Other","Healthcare Support Workers, All Other",37,0.63,93830,36330,93830,37720
51,17-2121,0.01,99860,Bachelor's degree,Marine Engineers and Naval Architects,Marine Engineers and Naval Architects,37,0.01,8120,93350,8120,99860
491,51-8099,0.86,55340,High school diploma or equivalent,"Plant and System Operators, All Other","Plant and System Operators, All Other",37,0.86,11970,54930,11970,55340
33,11-9151,0.0067,70870,Bachelor's degree,Social and Community Service Managers,Social and Community Service Managers,37,0.0067,126230,64680,126230,70870
181,15-1133,0.13,110590,Bachelor's degree,"Software Developers, Systems Software","Software Developers, Systems Software",37,0.13,409820,106860,409820,110590
595,47-2051,0.94,43720,No formal educational credential,Cement Masons and Concrete Finishers,Cement Masons and Concrete Finishers,36,0.94,173920,39180,173920,43720
350,47-4011,0.63,61250,High school diploma or equivalent,Construction and Building Inspectors,Construction and Building Inspectors,36,0.63,94960,58480,94960,61250
557,19-4041,0.91,62240,Associate's degree,Geological and Petroleum Technicians,Geological and Petroleum Technicians,36,0.91,15100,56470,15100,62240
653,51-9022,0.97,30860,No formal educational credential,"Grinding and Polishing Workers, Hand","Grinding and Polishing Workers, Hand",36,0.97,26670,28720,26670,30860
36,11-9111,0.0073,109370,Bachelor's degree,Medical and Health Services Managers,Medical and Health Services Managers,36,0.0073,332150,96540,332150,109370
167,33-3051,0.098,62760,High school diploma or equivalent,Police and Sheriff’s Patrol Officers,Police and Sheriff’s Patrol Officers,36,0.098,657690,59680,657690,62760
409,11-9131,0.75,71980,High school diploma or equivalent,Postmasters and Mail Superintendents,Postmasters and Mail Superintendents,36,0.75,14720,71670,14720,71980
243,33-9021,0.31,53530,High school diploma or equivalent,Private Detectives and Investigators,Private Detectives and Investigators,36,0.31,28490,48190,28490,53530
628,43-4171,0.96,29120,High school diploma or equivalent,Receptionists and Information Clerks,Receptionists and Information Clerks,36,0.96,997770,27920,997770,29120
520,51-4194,0.88,38860,High school diploma or equivalent,"Tool Grinders, Filers and Sharpeners","Tool Grinders, Filers and Sharpeners",36,0.88,9550,36650,9550,38860
64,13-1151,0.014,63350,Bachelor's degree,Training and Development Specialists,Training and Development Specialists,36,0.014,269710,59020,269710,63350
124,11-2011,0.039,117810,Bachelor's degree,Advertising and Promotions Managers,Advertising and Promotions Managers,35,0.039,28860,100810,28860,117810
149,53-1011,0.066,51900,High school diploma or equivalent,Aircraft Cargo Handling Supervisors,Aircraft Cargo Handling Supervisors,35,0.066,7460,47360,7460,51900
393,39-3091,0.72,22000,No formal educational credential,Amusement and Recreation Attendants,Amusement and Recreation Attendants,35,0.72,286740,20160,286740,22000
515,17-1021,0.88,66160,Bachelor's degree,Cartographers and Photogrammetrists,Cartographers and Photogrammetrists,35,0.88,12100,62750,12100,66160
487,51-8091,0.85,59430,High school diploma or equivalent,Chemical Plant and System Operators,Chemical Plant and System Operators,35,0.85,33300,59920,33300,59430
119,27-1021,0.037,70880,Bachelor's degree,Commercial and Industrial Designers,Commercial and Industrial Designers,35,0.037,31860,67790,31860,70880
309,47-5041,0.54,52650,No formal educational credential,Continuous Mining Machine Operators,Continuous Mining Machine Operators,35,0.54,12030,51840,12030,52650
285,43-4031,0.46,39160,High school diploma or equivalent,"Court, Municipal and License Clerks","Court, Municipal and License Clerks",35,0.46,128620,36670,128620,39160
302,41-9011,0.51,30570,High school diploma or equivalent,Demonstrators and Product Promoters,Demonstrators and Product Promoters,35,0.51,86500,25610,86500,30570
433,47-2081,0.79,47400,No formal educational credential,Drywall and Ceiling Tile Installers,Drywall and Ceiling Tile Installers,35,0.79,93180,41090,93180,47400
443,17-3012,0.81,63390,Associate's degree,Electrical and Electronics Drafters,Electrical and Electronics Drafters,35,0.81,26750,59970,26750,63390
449,51-2031,0.82,43090,High school diploma or equivalent,Engine and Other Machine Assemblers,Engine and Other Machine Assemblers,35,0.82,38150,41210,38150,43090
456,45-3011,0.83,30740,No formal educational credential,Fishers and Related Fishing Workers,Fishers and Related Fishing Workers,35,0.83,520,27110,520,30740
278,19-4093,0.42,38630,Associate's degree,Forest and Conservation Technicians,Forest and Conservation Technicians,35,0.42,30090,35560,30090,38630
307,47-4041,0.53,45500,High school diploma or equivalent,Hazardous Materials Removal Workers,Hazardous Materials Removal Workers,35,0.53,44280,40640,44280,45500
604,43-4081,0.94,23530,High school diploma or equivalent,"Hotel, Motel and Resort Desk Clerks","Hotel, Motel and Resort Desk Clerks",35,0.94,248440,22070,248440,23530
326,25-4013,0.59,44780,Bachelor's degree,Museum Technicians and Conservators,Museum Technicians and Conservators,35,0.59,10970,40040,10970,44780
618,51-5113,0.95,33270,High school diploma or equivalent,Print Binding and Finishing Workers,Print Binding and Finishing Workers,35,0.95,52730,31410,52730,33270
459,53-4031,0.83,58220,High school diploma or equivalent,Railroad Conductors and Yardmasters,Railroad Conductors and Yardmasters,35,0.83,42880,57480,42880,58220
306,47-5012,0.53,57140,No formal educational credential,"Rotary Drill Operators, Oil and Gas","Rotary Drill Operators, Oil and Gas",35,0.53,17400,54430,17400,57140
185,21-1093,0.13,34120,High school diploma or equivalent,Social and Human Service Assistants,Social and Human Service Assistants,35,0.13,360650,31810,360650,34120
48,25-3999,0.0095,30900,Bachelor's degree,"Teachers and Instructors, All Other","Teachers and Instructors, All Other",35,0.0095,609960,28010,609960,30900
372,53-3021,0.67,41780,High school diploma or equivalent,"Bus Drivers, Transit and Intercity","Bus Drivers, Transit and Intercity",34,0.67,169680,39790,169680,41780
566,51-7011,0.92,34800,High school diploma or equivalent,Cabinetmakers and Bench Carpenters,Cabinetmakers and Bench Carpenters,34,0.92,97980,33050,97980,34800
256,53-7061,0.37,24660,No formal educational credential,Cleaners of Vehicles and Equipment,Cleaners of Vehicles and Equipment,34,0.37,348770,22220,348770,24660
403,51-2021,0.73,35340,High school diploma or equivalent,"Coil Winders, Tapers and Finishers","Coil Winders, Tapers and Finishers",34,0.73,14090,33940,14090,35340
630,11-3111,0.96,126900,Bachelor's degree,Compensation and Benefits Managers,Benefits Managers,17,0.96,15230,116240,15230,126900
488,47-5021,0.85,51240,High school diploma or equivalent,"Earth Drillers, Except Oil and Gas","Earth Drillers, Except Oil and Gas",34,0.85,18500,44360,18500,51240
108,17-3026,0.03,56920,Associate's degree,Industrial Engineering Technicians,Industrial Engineering Technicians,34,0.03,63220,53330,63220,56920
263,17-3027,0.38,57180,Associate's degree,Mechanical Engineering Technicians,Mechanical Engineering Technicians,34,0.38,45510,54480,45510,57180
501,45-2090,0.87,24860,No formal educational credential,Miscellaneous Agricultural Workers,Miscellaneous Agricultural Workers,34,0.87,342870,22520,342870,24860
382,51-9122,0.69,46270,High school diploma or equivalent,"Painters, Transportation Equipment","Painters, Transportation Equipment",34,0.69,54860,42150,54860,46270
355,51-8012,0.64,81500,High school diploma or equivalent,Power Distributors and Dispatchers,Power Distributors and Dispatchers,34,0.64,11380,81900,11380,81500
534,47-2171,0.9,53600,High school diploma or equivalent,Reinforcing Iron and Rebar Workers,Reinforcing Iron and Rebar Workers,34,0.9,20020,47600,20020,53600
186,25-3021,0.13,43150,High school diploma or equivalent,Self-Enrichment Education Teachers,Self-Enrichment Education Teachers,34,0.13,229840,37330,229840,43150
647,51-6042,0.97,26530,High school diploma or equivalent,Shoe Machine Operators and Tenders,Shoe Machine Operators and Tenders,34,0.97,3500,26150,3500,26530
357,19-4061,0.65,46820,Bachelor's degree,Social Science Research Assistants,Social Science Research Assistants,34,0.65,30030,43190,30030,46820
240,19-1023,0.3,64890,Bachelor's degree,Zoologists and Wildlife Biologists,Zoologists and Wildlife Biologists,34,0.3,17720,60520,17720,64890
39,19-3091,0.0077,66440,Master's degree,Anthropologists and Archeologists,Anthropologists and Archeologists,33,0.0077,6470,63190,6470,66440
331,33-3012,0.6,46750,High school diploma or equivalent,Correctional Officers and Jailers,Correctional Officers and Jailers,33,0.6,431600,42820,431600,46750
268,47-4021,0.39,76860,High school diploma or equivalent,Elevator Installers and Repairers,Elevator Installers and Repairers,33,0.39,22240,78890,22240,76860
38,25-9021,0.0075,52150,Master's degree,Farm and Home Management Advisors,Farm and Home Management Advisors,33,0.0075,8620,49490,8620,52150
289,33-2021,0.48,61660,Postsecondary nondegree award,Fire Inspectors and Investigators,Fire Inspectors and Investigators,33,0.48,11910,58440,11910,61660
158,19-1012,0.077,71270,Bachelor's degree,Food Scientists and Technologists,Food Scientists and Technologists,33,0.077,14200,63950,14200,71270
685,13-1032,0.98,65930,Postsecondary nondegree award,"Insurance Appraisers, Auto Damage","Insurance Appraisers, Auto Damage",33,0.98,15130,63510,15130,65930
476,51-4192,0.84,47720,High school diploma or equivalent,"Layout Workers, Metal and Plastic","Layout Workers, Metal and Plastic",33,0.84,9070,45820,9070,47720
656,51-9083,0.97,34220,High school diploma or equivalent,Ophthalmic Laboratory Technicians,Ophthalmic Laboratory Technicians,33,0.97,28570,30640,28570,34220
543,49-9097,0.9,62710,High school diploma or equivalent,Signal and Track Switch Repairers,Signal and Track Switch Repairers,33,0.9,8680,65350,8680,62710
130,15-1132,0.042,104300,Bachelor's degree,"Software Developers, Applications","Software Developers, Applications",33,0.042,794000,100080,794000,104300
457,47-2221,0.83,56040,High school diploma or equivalent,Structural Iron and Steel Workers,Structural Iron and Steel Workers,33,0.83,69440,51800,69440,56040
635,17-3031,0.96,45490,High school diploma or equivalent,Surveying and Mapping Technicians,Surveying and Mapping Technicians,33,0.96,53920,42450,53920,45490
30,11-3131,0.0063,115180,Bachelor's degree,Training and Development Managers,Training and Development Managers,33,0.0063,32880,105830,32880,115180
401,11-3011,0.73,98930,Bachelor's degree,Administrative Services Managers,Administrative Services Managers,32,0.73,266280,90050,266280,98930
305,17-3011,0.52,54290,Associate's degree,Architectural and Civil Drafters,Architectural and Civil Drafters,32,0.52,96810,51640,96810,54290
371,19-2021,0.67,94840,Bachelor's degree,Atmospheric and Space Scientists,Atmospheric and Space Scientists,32,0.67,9800,92460,9800,94840
66,19-1029,0.015,77830,Bachelor's degree,"Biological Scientists, All Other","Biological Scientists, All Other",32,0.015,35110,74790,35110,77830
460,35-2012,0.83,26370,No formal educational credential,"Cooks, Institution and Cafeteria","Cooks, Institution and Cafeteria",32,0.83,409850,24750,409850,26370
315,43-4051,0.55,35170,High school diploma or equivalent,Customer Service Representatives,Customer Service Representatives,32,0.55,2707040,32300,2707040,35170
26,51-6092,0.0049,48460,High school diploma or equivalent,Fabric and Apparel Patternmakers,Fabric and Apparel Patternmakers,32,0.0049,5310,39650,5310,48460
245,13-2099,0.33,76230,Bachelor's degree,"Financial Specialists, All Other","Financial Specialists, All Other",32,0.33,123270,69470,123270,76230
392,51-6011,0.71,23210,No formal educational credential,Laundry and Dry-Cleaning Workers,Laundry and Dry-Cleaning Workers,32,0.71,207710,21510,207710,23210
68,27-1014,0.015,72200,Bachelor's degree,Multimedia Artists and Animators,Multimedia Artists and Animators,32,0.015,29810,65300,29810,72200
