"storenum","OPENDATE","date_super","conversion","st","county","STREETADDR","STRCITY","STRSTATE","ZIPCODE","type_store"
1864,11/2/1992 ,,,"27","053","8000 LAKELAND AVENUE","Brooklyn Park","MN","55445","Wal-Mart"
1865,11/2/1992 ,,,"27","127","1410 EAST BRIDGE STREET","Redwood Falls","MN","56283","Wal-Mart"
1866,3/2/1993 ,10/9/2002 ,1,"23","007","615 WILTON ROAD","Farmington","ME","04938","Supercenter"
1867,11/2/1992 ,,,"24","013","280 WOODWORD ROAD","Westminster","MD","21157","Wal-Mart"
1868,2/2/1993 ,3/1/2002 ,1,"23","001","100 MT AUBURN AVE","Auburn","ME","04210","Supercenter"
1869,2/2/1993 ,,,"34","005","150 ROUTE 70 EAST","Marlton","NJ","08053","Wal-Mart"
1870,1/5/1993 ,,,"16","057","2470 WEST PULLMAN ROAD","Moscow","ID","83843","Wal-Mart"
1871,11/2/1992 ,,,"36","045","20823 NYS RT 3","Watertown","NY","13601","Wal-Mart"
1872,1/5/1993 ,3/1/2000 ,1,"30","049","2750 PROSPECT AVENUE","Helena","MT","59601","Supercenter"
1873,8/31/1993 ,,,"44","007","1776 PLAINFIELD PIKE","Cranston","RI","02921","Wal-Mart"
1874,2/2/1993 ,4/6/2005 ,1,"12","015","2931 SOUTH MCCALL ROAD","Englewood","FL","34224","Supercenter"
1875,8/4/1992 ,,,"24","003","7992 CRAIN HWY.","Glen Burnie","MD","21061","Wal-Mart"
1876,11/2/1992 ,,,"41","027","2700 WASCO AVE","Hood River","OR","97031","Wal-Mart"
1877,11/2/1992 ,,,"06","107","1250 WEST HENDERSON AVENUE","Porterville","CA","93257","Wal-Mart"
1878,11/2/1992 ,,,"16","065","530 NORTH 2ND EAST","Rexburg","ID","83440","Wal-Mart"
1879,11/25/1992 ,,,"06","071","621 MONTARA ROAD","Barstow","CA","92311","Wal-Mart"
1880,1/5/1993 ,4/23/2003 ,1,"41","011","2051 NEWMARK AVENUE","Coos Bay","OR","97420","Supercenter"
1881,1/5/1993 ,,,"06","067","7901 WATT AVENUE","N. Highlands","CA","95843","Wal-Mart"
1882,11/2/1992 ,,,"06","019","3400 FLORAL AVENUE","Selma","CA","93662","Wal-Mart"
1883,8/4/1992 ,5/14/2003 ,1,"42","007","PA. RT.18/WAL-MART PLAZA SHPG.","Monaca","PA","15061","Supercenter"
1884,1/10/1997 ,1/10/1997 ,0,"42","069","900 COMMERCE BLVD","Dickson City","PA","18519","Supercenter"
1885,9/30/1992 ,10/30/2002 ,1,"42","019","400 BUTLER COMMONS","Butler","PA","16001","Supercenter"
1886,11/2/1992 ,5/12/2004 ,1,"42","041","6520 CARLISLE PIKE/SUITE 550","Mechanicsburg","PA","17050","Supercenter"
1887,1/5/1993 ,,,"42","081","1015 N LOYALSOCK AVE","Montoursville","PA","17754","Wal-Mart"
1888,9/30/1992 ,7/25/2001 ,1,"49","005","1550 NORTH MAIN","North Logan","UT","84341","Supercenter"
1889,9/30/1992 ,,,"41","061","11619 ISLAND AVENUE","Lagrande","OR","97850","Wal-Mart"
1890,4/30/1993 ,11/4/2002 ,1,"24","045","2702 N. SALISBURY BLVD","Salisbury","MD","21801","Supercenter"
1891,1/5/1993 ,,,"09","003","420 BUCKLAND HILLS DR","Manchester","CT","06040","Wal-Mart"
1892,11/2/1992 ,,,"17","031","9450 WEST JOLIET ROAD","Hodgkins","IL","60525","Wal-Mart"
1893,9/28/1993 ,,,"24","033","3300 NW CRAIN HWY","Bowie","MD","20716","Wal-Mart"
1894,11/25/1992 ,,,"39","103","4141 PEARL ROAD","Medina","OH","44256","Wal-Mart"
1895,1/5/1993 ,,,"39","153","3750-I WEST MARKET ST","Fairlawn","OH","44333","Wal-Mart"
1896,3/31/1993 ,3/1/1998 ,1,"08","041","8250 RAZORBACK RD","Colorado Springs","CO","80920","Supercenter"
1897,2/2/1993 ,,,"17","031","801 MEACHAM ROAD","Elk Grove Village","IL","60007","Wal-Mart"
1898,3/2/1993 ,,,"17","089","150 SMITH ROAD","St. Charles","IL","60174","Wal-Mart"
1899,3/2/1993 ,,,"06","065","2663 CANYON SPRINGS PARKWAY","Riverside (E)","CA","92507","Wal-Mart"
1900,11/2/1992 ,3/12/2003 ,1,"16","067","385 NORTH OVERLAND AVENUE","Burley","ID","83318","Supercenter"
1901,11/2/1992 ,7/11/2001 ,1,"30","093","3901 HARRISON AVENUE","Butte","MT","59701","Supercenter"
1902,1/5/1993 ,3/19/2003 ,1,"16","019","1201 SO. 25TH EAST","Idaho Falls","ID","83406","Supercenter"
1903,1/5/1993 ,1/31/2006 ,1,"06","101","1150 HARTER ROAD","Yuba City","CA","95993","Supercenter"
1904,6/1/1993 ,,,"51","107","950 EDWARDS FERRY ROAD NE","Leesburg","VA","20176","Wal-Mart"
1905,11/2/1992 ,3/1/2000 ,1,"16","011","565 JENSEN GROVE DR.","Blackfoot","ID","83221","Supercenter"
1906,9/1/1992 ,,,"25","005","42 FAIRHAVEN COMMONS WAY","Fairhaven","MA","02719","Wal-Mart"
1907,2/2/1993 ,,,"33","005","18 GEORGE'S FIELD","Hinsdale","NH","03451","Wal-Mart"
1908,11/2/1992 ,,,"55","009","2292 MAIN STREET","Green Bay (E)","WI","54311","Wal-Mart"
1909,2/2/1993 ,,,"36","063","5555 PORTER ROAD","Niagara Falls","NY","14304","Wal-Mart"
1910,1/5/1993 ,,,"06","015","900 E WASHINGTON BLVD","Crescent City","CA","95531","Wal-Mart"
1911,3/2/1993 ,,,"39","153","2887 SOUTH ARLINGTON ST","Akron (S)","OH","44312","Wal-Mart"
1912,3/31/1993 ,,,"06","065","479 N MCKINLEY ST.","Corona","CA","92879","Wal-Mart"
1913,3/2/1993 ,,,"39","173","1120 SOUTH MAIN STREET","Bowling Green","OH","43402","Wal-Mart"
1914,2/2/1993 ,,,"06","071","4210 EAST HIGHLAND AVE","San Bernardino","CA","92346","Wal-Mart"
1915,2/2/1993 ,,,"06","071","57980 29 PALMS HWY","Yucca Valley","CA","92284","Wal-Mart"
1916,11/2/1993 ,,,"12","099","22100 US HWY 441","Boca Raton","FL","33428","Wal-Mart"
1917,4/30/1993 ,,,"06","073","170 TOWN CENTER PARKWAY","Santee","CA","92071","Wal-Mart"
1918,2/2/1993 ,,,"25","021","250 HARTFORD AVENUE","Bellingham","MA","02019","Wal-Mart"
1919,2/2/1993 ,,,"23","019","1000 OUTER W BROADWAY","Lincoln","ME","04457","Wal-Mart"
1920,2/2/1993 ,,,"41","047","5250 COMMERCIAL ST. SE","Salem (S)","OR","97306","Wal-Mart"
1921,6/30/1993 ,,,"34","029","525 RTE. 72 WEST","Mannahawkin","NJ","08050","Wal-Mart"
1922,3/31/1993 ,,,"06","071","12549 FOOTHILL BLVD.","Rancho Cucamonga","CA","91739","Wal-Mart"
1923,6/30/1993 ,,,"26","081","3999 ALPINE AVENUE","Comstock Park","MI","49321","Wal-Mart"
1924,2/2/1993 ,6/13/2001 ,1,"23","003","781 MAIN STREET","Presque Isle","ME","04769","Supercenter"
1925,1/5/1993 ,,,"41","041","160 NW 25TH STREET","Newport","OR","97365","Wal-Mart"
1926,2/2/1993 ,,,"36","075","341 ROUTE 104 EAST","Oswego","NY","13126","Wal-Mart"
1927,9/21/1993 ,,,"39","153","8160 MACEDONIA COMMONS BLVD","MacEdonia","OH","44056","Wal-Mart"
1928,3/31/1993 ,,,"26","049","4313 CORUNNA ROAD","Flint","MI","48532","Wal-Mart"
1929,2/2/1993 ,8/20/2003 ,1,"27","017","1308 HWY 33 SOUTH","Cloquet","MN","55720","Supercenter"
1930,2/2/1993 ,,,"33","015","58 PLAISTOW ROAD","Plaistow","NH","03865","Wal-Mart"
1931,11/2/1992 ,4/10/2002 ,1,"55","085","2121 LINCOLN ST","Rhinelander","WI","54501","Supercenter"
1932,8/31/1993 ,,,"23","009","461 HIGH STREET","Ellsworth","ME","04605","Wal-Mart"
1933,7/27/1993 ,,,"17","031","137 WEST NORTH AVE.","Northlake","IL","60164","Wal-Mart"
1934,2/2/1993 ,7/20/2005 ,1,"51","117","315 FURR ST","South Hill","VA","23970","Supercenter"
1935,3/2/1993 ,10/27/2004 ,1,"42","021","150 TOWN CENTRE DRIVE","Johnstown","PA","15904","Supercenter"
1936,11/2/1992 ,,,"26","033","4516 I-75 BUSINESS SPUR","Sault St Marie","MI","49783","Wal-Mart"
1937,11/25/1992 ,5/25/2005 ,1,"39","031","23605 C.R. #202","Coshocton","OH","43812","Supercenter"
1938,3/2/1993 ,,,"17","031","7050 SOUTH CICERO AVENUE","Bedford Park","IL","60638","Wal-Mart"
1939,4/30/1993 ,10/12/2005 ,1,"23","005","15 TIBBETTS DRIVE","Brunswick","ME","04011","Supercenter"
1940,3/2/1993 ,8/18/2004 ,1,"36","083","279 TROY ROAD","E. Greenbush","NY","12061","Supercenter"
1941,5/17/1994 ,,,"06","037","1950 AUTO CENTER DRIVE","Glendora","CA","91740","Wal-Mart"
1942,3/2/1993 ,8/7/2002 ,1,"26","139","2629 NORTH PARK DRIVE","Holland","MI","49424","Supercenter"
1943,4/30/1993 ,3/1/2002 ,1,"31","109","4700 N 27TH STREET","Lincoln (N)","NE","68521","Supercenter"
1945,3/31/1993 ,3/1/2000 ,1,"42","117","1169 SOUTH MAIN STREET","Mansfield","PA","16933","Supercenter"
1946,3/31/1993 ,,,"36","089","49 SMITH ROAD","Massena","NY","13662","Wal-Mart"
1947,4/30/1993 ,5/21/2003 ,1,"53","047","902 ENGH ROAD","Omak","WA","98841","Supercenter"
1948,10/26/1993 ,,,"54","029","243 THREE SPRINGS DRIVE RD.","Weirton","WV","26062","Wal-Mart"
1949,3/31/1993 ,,,"36","013","10401 BENNETT ROAD","Fredonia","NY","14063","Wal-Mart"
1950,2/2/1993 ,,,"37","091","1532-1556 E. MEMORIAL DR.","Ahoskie","NC","27910","Wal-Mart"
1951,3/31/1993 ,5/9/2001 ,1,"41","045","1775 EAST IDAHO AVE.","Ontario","OR","97914","Supercenter"
1952,4/30/1993 ,,,"27","003","8450 UNIVERSITY AVENUE NE","Fridley","MN","55432","Wal-Mart"
1953,3/31/1993 ,,,"37","069","279 FRANKLIN PLAZA","Louisburg","NC","27549","Wal-Mart"
1954,4/30/1993 ,,,"23","031","1327 MAIN STREET","Sanford","ME","04073","Wal-Mart"
1955,4/30/1993 ,7/11/2001 ,1,"17","201","3849 NORTH RIDGE DRIVE","Rockford","IL","61114","Supercenter"
1956,4/30/1993 ,3/1/2000 ,1,"30","111","2525 KING AVE WEST","Billings","MT","59102","Supercenter"
1957,6/1/1993 ,,,"12","021","11225 TAMIAMI TRAIL NORTH","Naples (N)","FL","34110","Wal-Mart"
1958,4/30/1993 ,4/30/1993 ,0,"48","427","4534 E HWY 83","Rio Grand City","TX","78582","Supercenter"
1959,3/2/1993 ,4/24/2002 ,1,"36","071","470 ROUTE 211 EAST","Wallkill","NY","10940","Supercenter"
1960,6/30/1993 ,,,"12","057","1505 N. DALE MABRY HWY","Tampa (S)","FL","33607","Wal-Mart"
1961,6/1/1993 ,,,"21","037","6711 ALEXANDRIA PIKE","Alexandria","KY","41001","Wal-Mart"
1962,8/31/1993 ,3/1/2000 ,1,"18","067","1920 E. MARKLAND AVE","Kokomo","IN","46901","Supercenter"
1963,6/1/1993 ,,,"06","099","2111 FULKERTH ROAD","Turlock","CA","95380","Wal-Mart"
1964,6/1/1993 ,10/29/2003 ,1,"44","009","258 POST ROAD","Westerly","RI","02891","Supercenter"
1965,10/26/1993 ,3/1/1999 ,1,"19","155","3201 MANAWA DR","Council Bluffs","IA","51503","Supercenter"
1966,2/2/1993 ,8/24/2005 ,1,"36","051","4235 VETERAN DRIVE","Geneseo","NY","14454","Supercenter"
1967,6/1/1993 ,,,"25","013","1105 BOSTON ROAD","Springfield","MA","01119","Wal-Mart"
1968,8/31/1993 ,4/6/2005 ,1,"24","025","645 SOUTH PHILADELPHIA BLVD","Aberdeen","MD","21001","Supercenter"
1969,1/25/1994 ,,,"51","041","900 WAL-MART WAY","Midlothian","VA","23113","Wal-Mart"
1970,7/27/1993 ,,,"25","017","280 WASHINGTON STREET","Hudson","MA","01749","Wal-Mart"
1971,3/2/1993 ,8/29/2001 ,1,"27","109","3400 NORTH WEST 55TH STREET","Rochester","MN","55901","Supercenter"
1972,10/26/1993 ,,,"06","001","2700 LAS POSITAS ROAD","Livermore","CA","94550","Wal-Mart"
1973,6/1/1993 ,,,"36","013","350 E. FAIRMOUNT AVE","Jamestown","NY","14750","Wal-Mart"
1974,8/31/1993 ,,,"23","003","17 LUDLOW ROAD","Houlton","ME","04730","Wal-Mart"
1975,8/31/1993 ,3/1/1998 ,1,"33","019","14 BOWEN STREET","Claremont","NH","03743","Supercenter"
1976,7/27/1993 ,,,"36","015","830 COUNTY ROUTE 64, BLD 3","Elmira","NY","14903","Wal-Mart"
1977,8/31/1993 ,,,"34","029","1872 ROUTE 88","Brick","NJ","08723","Wal-Mart"
1978,10/26/1993 ,4/21/2004 ,1,"18","099","2505 NORTH OAK ROAD","Plymouth","IN","46563","Supercenter"
1979,1/4/1994 ,,,"06","033","15960 DAM ROAD","Clearlake","CA","95422","Wal-Mart"
1980,9/19/1995 ,,,"09","015","625 SCHOOL STREET","Putnam","CT","06260","Wal-Mart"
1981,10/26/1993 ,,,"24","037","45485 MIRAMAR WAY","California","MD","20619","Wal-Mart"
1982,4/30/1993 ,4/25/2001 ,1,"55","087","955 NORTH MUTUAL WAY","Appleton","WI","54913","Supercenter"
1983,8/31/1993 ,,,"06","099","1670 MITCHELL ROAD","Ceres","CA","95307","Wal-Mart"
1984,9/28/1993 ,,,"25","003","830 CURRAN MEMORIAL HWY","N. Adams","MA","01247","Wal-Mart"
1985,9/27/1994 ,,,"24","003","3549 RUSSETT GREEN EAST","Laurel","MD","20724","Wal-Mart"
1986,9/28/1993 ,8/17/2005 ,1,"39","077","340 WEST WIND DRIVE","Norwalk","OH","44857","Supercenter"
1987,10/26/1993 ,5/19/2004 ,1,"26","087","555 EAST GENESEE","Lapeer","MI","48446","Supercenter"
1988,7/27/1993 ,11/2/2005 ,1,"06","061","900 PLEASANT GROVE BLVD","Rocklin","CA","95678","Supercenter"
1989,10/26/1993 ,,,"06","083","701 W CENTRAL AVENUE","Lompoc","CA","93436","Wal-Mart"
1990,8/31/1993 ,,,"39","041","1760 COLUMBUS PIKE","Delaware","OH","43015","Wal-Mart"
1991,1/25/1994 ,,,"18","105","3201 WEST STATE HWY 45","Bloomington","IN","47403","Wal-Mart"
1992,7/27/1993 ,,,"06","071","1540 W. FOOTHILL BLVD","Upland","CA","91786","Wal-Mart"
1993,3/31/1993 ,,,"36","055","4828 LAKE ROAD SOUTH","Brockport","NY","14420","Wal-Mart"
1994,1/4/1994 ,7/14/2004 ,1,"36","019","25 CONSUMER SQUARE","Plattsburgh","NY","12901","Supercenter"
1995,8/31/1993 ,3/1/2000 ,1,"16","005","4240 YELLOWSTONE AVE","Chubbuck","ID","83202","Supercenter"
1996,1/4/1994 ,,,"12","011","2551 E HALLANDALE BEACH BLVD","Hallandale","FL","33009","Wal-Mart"
1997,8/31/1993 ,,,"36","001","579 TROY/SCHENECTADY ROAD","Colonie","NY","12110","Wal-Mart"
2000,6/1/1993 ,,,"37","055","5400 N. CROATAN HWY/SUITE 100","Kitty Hawk","NC","27949","Wal-Mart"
2001,8/31/1993 ,,,"06","019","5125 EAST KINGS CANYON","Fresno (SE)","CA","93727","Wal-Mart"
2002,10/26/1993 ,9/28/2005 ,1,"06","085","7150 CAMINO ARROYO","Gilroy","CA","95020","Supercenter"
2003,10/26/1993 ,,,"34","023","979 ROUTE#1 SOUTH","North Brunswick","NJ","08902","Wal-Mart"
2004,1/4/1994 ,3/1/1999 ,1,"19","061","4200 DODGE STREET","Dubuque","IA","52003","Supercenter"
2005,10/26/1993 ,3/1/2004 ,1,"37","025","2420 SUPERCENTER DRIVE N.E.","Kannapolis","NC","28083","Supercenter"
2006,7/27/1993 ,,,"16","069","2981 THAIN GRADE","Lewiston","ID","83501","Wal-Mart"
2007,7/27/1993 ,3/1/2004 ,1,"53","025","1005 N. STRATFORD ROAD","Moses Lake","WA","98837","Supercenter"
2008,8/31/1993 ,,,"42","085","1566 W MAIN ST EXTENSION","Grove City","PA","16127","Wal-Mart"
2009,8/31/1993 ,,,"24","025","401 CONSTANT FRIENDSHIP BLVD.","Abingdon","MD","21009","Wal-Mart"
2010,7/27/1993 ,9/1/2004 ,1,"26","021","2107 SOUTH 11TH STREET","Niles","MI","49120","Supercenter"
2012,8/31/1993 ,,,"25","027","742 MAIN STREET","Oxford","MA","01537","Wal-Mart"
2013,9/28/1993 ,1/26/2005 ,1,"23","011","80 WATERVILLE COMMONS DRIVE","Waterville","ME","04901","Supercenter"
2014,9/28/1993 ,10/27/2004 ,1,"26","143","2129 W HOUGHTON LAKE DR","Houghton Lake","MI","48629","Supercenter"
2015,8/31/1993 ,,,"51","059","13059 FAIR LAKES PARKWAY","Fairfax (W)","VA","22033","Wal-Mart"
2016,8/31/1993 ,10/15/2003 ,1,"53","065","810 NORTH HWY 395","Colville","WA","99114","Supercenter"
2019,6/1/1993 ,,,"42","051","80 MATTHEW DRIVE","Uniontown","PA","15401","Wal-Mart"
2020,10/19/1993 ,,,"18","073","905 SOUTH COLLEGE AVENUE","Rensselaer","IN","47978","Wal-Mart"
2021,9/28/1993 ,9/10/2003 ,1,"25","005","36 PARAMOUNT DRIVE","Raynham","MA","02767","Supercenter"
2022,1/4/1994 ,3/1/2000 ,1,"09","015","474 BOSTON POST ROAD","North Windham","CT","06256","Supercenter"
2023,1/4/1994 ,3/1/1997 ,1,"42","075","1355 EAST LEHMAN STREET","Lebanon","PA","17046","Supercenter"
2024,1/4/1994 ,,,"42","131","809 STATE ROAD 29 SOUTH","Tunkhannock","PA","18657","Wal-Mart"
2025,9/28/1993 ,,,"06","077","3010 W GRANT LINE ROAD","Tracey","CA","95304","Wal-Mart"
2027,10/26/1993 ,1/26/2005 ,1,"24","001","12500 COUNTRY CLUB MALL RD SW","Lavale","MD","21502","Supercenter"
2028,1/4/1994 ,,,"06","065","5200 VAN BUREN BLVD","Riverside (S)","CA","92503","Wal-Mart"
2029,9/28/1993 ,,,"41","029","3615 CRATER LAKE HWY","Medford","OR","97504","Wal-Mart"
2030,10/26/1993 ,,,"06","109","1101 SANGUINETTI ROAD","Sonora","CA","95370","Wal-Mart"
2031,10/26/1993 ,,,"06","001","30600 DYER STREET","Union City","CA","94587","Wal-Mart"
2032,10/26/1993 ,,,"06","111","2001 NORTH  ROSE AVENUE","Oxnard","CA","93030","Wal-Mart"
2035,10/26/1993 ,7/18/2001 ,1,"39","037","1501 WAGONER AVENUE","Greenville","OH","45331","Supercenter"
2036,8/31/1993 ,3/1/1999 ,1,"54","039","2700 MOUNTAINEER BLV","South Charleston","WV","25309","Supercenter"
2037,5/17/1994 ,,,"53","027","909 EAST WISHKAH(HWY 12&101 E)","Aberdeen","WA","98520","Wal-Mart"
2038,1/25/1994 ,,,"51","107","45415 DULLES CROSSING PLAZA","Sterling Park","VA","20166","Wal-Mart"
2039,10/26/1993 ,,,"06","047","3055 LOUGHBOROUGH DRIVE","Merced","CA","95348","Wal-Mart"
2040,1/4/1994 ,,,"34","005","2106 MT HOLLY ROAD","Burlington","NJ","08016","Wal-Mart"
2041,10/26/1993 ,,,"34","033","709 SOUTH BROADWAY","Pennsville","NJ","08070","Wal-Mart"
2043,1/25/1994 ,,,"36","121","2348 ROUTE #19","Warsaw","NY","14569","Wal-Mart"
2044,3/30/1994 ,,,"06","007","2044 FOREST AVENUE","Chico","CA","95928","Wal-Mart"
2045,1/3/1995 ,,,"24","005","8118 PERRY HILLS ROAD","White Marsh","MD","21236","Wal-Mart"
2046,10/26/1993 ,3/1/1999 ,1,"23","011","201 CIVIC CENTER DR","Augusta","ME","04330","Supercenter"
2047,1/4/1994 ,7/10/2002 ,1,"23","025","1573 MAIN STREET","Palmyra","ME","04965","Supercenter"
2048,10/19/1993 ,,,"06","095","300 CHADBOURNE ROAD","Fairfield","CA","94534","Wal-Mart"
2049,9/28/1993 ,4/10/2002 ,1,"42","013","2600 PLANK ROAD COMMONS","Altoona","PA","16602","Supercenter"
2050,1/25/1994 ,,,"32","003","300 EAST LAKE MEAD DRIVE","Henderson","NV","89015","Wal-Mart"
2051,1/4/1994 ,1/20/2005 ,1,"04","015","3396 NO. STOCKTON HILL ROAD","Kingman","AZ","86401","Supercenter"
2052,1/4/1994 ,,,"06","045","1155 AIRPORT PARK BLVD","Ukiah","CA","95482","Wal-Mart"
2053,10/26/1993 ,,,"06","021","470 AIRPORT AVENUE","Willows","CA","95988","Wal-Mart"
2054,1/4/1994 ,,,"06","005","10355 WICKLOW WAY","Martell","CA","95642","Wal-Mart"
2055,11/2/1993 ,3/1/1999 ,1,"33","013","344 LOUDON ROAD","Concord","NH","03301","Supercenter"
2056,1/4/1994 ,7/18/2001 ,1,"36","091","16 OLD GICK ROAD","Wilton","NY","12866","Supercenter"
2057,1/25/1994 ,,,"33","005","750 US HWY 202","Rindge","NH","03461","Wal-Mart"
2058,9/28/1993 ,5/11/2005 ,1,"37","183","1725 NEW HOPE CHURCH ROAD","Raleigh (NE)","NC","27609","Supercenter"
2059,10/26/1993 ,4/13/2005 ,1,"42","129","2200 GREENGATE CENTRE BLVD","Greensburg","PA","15601","Supercenter"
2060,9/28/1993 ,,,"21","067","3180 RICHMOND ROAD","Lexington (SE)","KY","40509","Wal-Mart"
2061,10/19/1993 ,7/18/2001 ,1,"26","005","412 CROSS OAKS MALL","Plainwell","MI","49080","Supercenter"
2062,1/4/1994 ,4/21/2004 ,1,"26","021","1400 MALL DRIVE","Benton Harbor","MI","49022","Supercenter"
2063,1/4/1994 ,,,"39","099","6001 MAHONING AVENUE","Austintown","OH","44515","Wal-Mart"
2064,1/4/1994 ,1/27/2006 ,1,"42","103","220 ROUTE 6 & 209","Milford","PA","18337","Supercenter"
2065,1/25/1994 ,3/1/2000 ,1,"47","093","8445 WALBROOK DRIVE","Knoxville","TN","37923","Supercenter"
2066,7/26/1994 ,5/22/2002 ,1,"48","201","2727 DUNVALE ROAD","Westheimer","TX","77063","Supercenter"
2068,11/2/1993 ,,,"42","017","495 SOUTH OXFORD VALLEY ROAD","Fairless Hills","PA","19030","Wal-Mart"
2069,11/2/1993 ,,,"41","029","300 WEST VALLEY VIEW","Talent","OR","97540","Wal-Mart"
2073,3/22/1994 ,,,"39","035","10000 BROOKPARK ROAD","Brooklyn","OH","44130","Wal-Mart"
2075,10/26/1994 ,,,"41","017","20120 PINEBROOK BLVD","Bend","OR","97702","Wal-Mart"
2077,9/27/1994 ,,,"06","065","31700 GRAPE STREET","Lake Elsinore","CA","92530","Wal-Mart"
2078,3/30/1994 ,4/9/2003 ,1,"39","167","804 PIKE STREET","Marietta","OH","45750","Supercenter"
2079,3/30/1994 ,9/25/2002 ,1,"26","103","3225 US 41 WEST","Marquette","MI","49855","Supercenter"
2080,3/30/1994 ,4/7/2004 ,1,"26","025","6020 B DRIVE NORTH","Battle Creek","MI","49014","Supercenter"
2081,3/30/1994 ,,,"12","103","23106 US HWY 19 NORTH","Clearwater","FL","33765","Wal-Mart"
2082,7/26/1994 ,,,"06","037","12701 TOWNE CENTER DR","Cerritos","CA","90703","Wal-Mart"
2083,1/4/1994 ,,,"54","061","5005 GREENBAG ROAD","Morgantown","WV","26501","Wal-Mart"
2084,1/25/1994 ,5/12/2004 ,1,"30","031","1500 NORTH 7TH AVENUE","Bozeman","MT","59715","Supercenter"
2086,4/26/1994 ,,,"48","085","1901 PRESTON ROAD","Plano","TX","75093","Wal-Mart"
2087,7/26/1994 ,,,"27","123","850 EAST COUNTY RD E","Vadnais Heights","MN","55127","Wal-Mart"
2088,7/25/1995 ,,,"36","037","4133 VETERANS MEMORIAL DRIVE","Batavia","NY","14020","Wal-Mart"
2089,3/15/1995 ,3/15/1995 ,1,"51","191","13245 LEE HWY","Bristol","VA","24202","Supercenter"
2090,10/13/1999 ,,,"34","037","230 STATE HIGHWAY","Franklin","NJ","07416","Wal-Mart"
2091,6/29/1994 ,,,"12","086","8651 N.W. 13TH TERRACE","Miami","FL","33126","Wal-Mart"
2092,1/3/1995 ,,,"36","089","3000 FORD STREET EXTENSION","Ogdensburg","NY","13669","Wal-Mart"
2093,3/21/1995 ,10/20/2004 ,1,"36","065","710 HORATIO ST","Utica","NY","13502","Supercenter"
2094,5/17/1994 ,,,"06","073","1800 UNIVERSITY DRIVE","Vista","CA","92083","Wal-Mart"
2095,6/29/1994 ,,,"25","023","3005 CRANBERRY HWY (RT 6 & 28)","Wareham","MA","02538","Wal-Mart"
2096,2/20/1996 ,,,"42","017","100 EAST STREET ROAD","Warminster","PA","18974","Wal-Mart"
2097,3/30/1994 ,,,"36","021","351 FAIRVIEW AVENUE","Hudson","NY","12534","Wal-Mart"
2098,10/26/1994 ,3/13/2002 ,1,"39","049","3900 MORSE ROAD","Columbus (NE)","OH","43219","Supercenter"
2099,9/27/1994 ,,,"06","079","180 NIBLICK ROAD","Paso Robles","CA","93446","Wal-Mart"
2100,8/31/1994 ,4/9/2003 ,1,"26","031","1150 SOUTH MAIN","Cheboygan","MI","49721","Supercenter"
2101,3/30/1994 ,8/22/2001 ,1,"53","005","2720 SO. QUILLAN ST.","Kennewick","WA","99337","Supercenter"
2102,3/22/1994 ,5/23/2001 ,1,"26","105","4854 WEST US HWY 10","Ludington","MI","49431","Supercenter"
2103,4/26/1994 ,,,"25","021","550 PROVIDENCE HWY","Walpole","MA","02081","Wal-Mart"
2104,8/31/1994 ,11/2/2005 ,1,"36","071","1201 UNION AVE, ROUTE 300","Newburgh","NY","12550","Supercenter"
2105,1/4/1994 ,,,"48","113","13307 MIDWAY ROAD","Farmer's Branch","TX","75244","Wal-Mart"
2106,7/26/1994 ,,,"32","031","2863 NORTHTOWNE LANE","Reno (N)","NV","89512","Wal-Mart"
2107,10/17/1995 ,,,"36","063","5783 SO. TRANSIT ROAD","Lockport","NY","14094","Wal-Mart"
2108,10/22/1994 ,,,"34","001","4620 BLACK HORSE PIKE","May's Landing","NJ","08330","Wal-Mart"
2109,1/3/1995 ,,,"34","011","2291 NORTH SECOND STREET","Millville","NJ","08332","Wal-Mart"
2110,5/17/1994 ,,,"06","037","14501 LAKEWOOD BLVD","Paramount","CA","90723","Wal-Mart"
2111,7/26/1994 ,4/17/2002 ,1,"01","117","5335 HWY 280 SOUTH","Birmingham","AL","35242","Supercenter"
2112,10/18/1994 ,,,"04","013","4915 NORTH PIMA ROAD","Scottsdale","AZ","85251","Wal-Mart"
2113,1/3/1995 ,10/15/2003 ,1,"04","013","1607 WEST BETHANY HOME RD","Christown","AZ","85015","Supercenter"
2114,8/30/1994 ,8/30/1994 ,1,"12","133","1621 MAIN STEET","Chipley","FL","32428","Supercenter"
2115,8/31/1994 ,3/1/1999 ,1,"39","157","231 BLUEBELL DR N.W.","New Philadelphia","OH","44663","Supercenter"
2116,9/19/1995 ,10/12/2005 ,1,"36","113","891 ROUTE #9","Glens Falls","NY","12804","Supercenter"
2117,10/26/1994 ,,,"06","047","1575 WEST PACHECO BLVD","Los Banos","CA","93635","Wal-Mart"
2118,10/22/1994 ,,,"25","027","301 MASSACHUSETTS AVE","Lunenburg","MA","01462","Wal-Mart"
2119,9/27/1994 ,,,"06","085","301 RANCH DRIVE","Milpitas","CA","95035","Wal-Mart"
2120,10/26/1994 ,,,"36","017","5396 STATE HWY 12","Norwich","NY","13815","Wal-Mart"
2121,10/18/1994 ,5/28/2003 ,1,"53","045","100 E WALLACE KNEELAND BVLD","Shelton","WA","98584","Supercenter"
2122,7/26/1994 ,,,"25","021","30 MEMORIAL DRIVE","Avon","MA","02322","Wal-Mart"
