"Col1","person","dept","eow","cause","cause_short","date","year","canine","dept_name","state","description","latitude","longitude","state_name"
"539","Deputy Sheriff John Mullen Sack","Peoria County Sheriff's Department, IL","EOW: Thursday, October 1, 1987","Cause of Death: Gunfire","Gunfire","1987-10-01","1987","False","Peoria County Sheriff's Department","IL","Springfield","39.798363","-89.654961","Illinois"
"540","Deputy Sheriff Howard Edward Dutton","Baldwin County Sheriff's Office, AL","EOW: Friday, October 2, 1987","Cause of Death: Gunfire","Gunfire","1987-10-02","1987","False","Baldwin County Sheriff's Office","AL","Montgomery","32.377716","-86.300568","Alabama"
"541","Police Officer John James Fitzpatrick","Detroit Police Department, MI","EOW: Friday, October 9, 1987","Cause of Death: Vehicular assault","Vehicular assault","1987-10-09","1987","False","Detroit Police Department","MI","Lansing","42.733635","-84.555328","Michigan"
"542","Deputy Dennis M. Sullivan","Shasta County Sheriff's Department, CA","EOW: Saturday, October 10, 1987","Cause of Death: Automobile accident","Automobile accident","1987-10-10","1987","False","Shasta County Sheriff's Department","CA","Sacramento","38.576668","-121.493629","California"
"543","Policeman Clifford Riddle","Tullahoma Police Department, TN","EOW: Saturday, October 10, 1987","Cause of Death: Automobile accident","Automobile accident","1987-10-10","1987","False","Tullahoma Police Department","TN","Nashville","36.16581","-86.784241","Tennessee"
"544","Trooper Elizabeth S. Cobb","Alabama Department of Public Safety, AL","EOW: Sunday, October 11, 1987","Cause of Death: Gunfire","Gunfire","1987-10-11","1987","False","Alabama Department of Public Safety","AL","Montgomery","32.377716","-86.300568","Alabama"
"545","Patrolman Lester J. Guischard","Buena Borough Police Department, NJ","EOW: Wednesday, October 14, 1987","Cause of Death: Automobile accident","Automobile accident","1987-10-14","1987","False","Buena Borough Police Department","NJ","Trenton","40.220596","-74.769913","New Jersey"
"546","Officer Bruce A. Petersen","Arizona Department of Public Safety, AZ","EOW: Tuesday, October 20, 1987","Cause of Death: Automobile accident","Automobile accident","1987-10-20","1987","False","Arizona Department of Public Safety","AZ","Phoenix","33.448143","-112.096962","Arizona"
"547","Officer Troy Louis Barboza","Honolulu Police Department, HI","EOW: Thursday, October 22, 1987","Cause of Death: Gunfire","Gunfire","1987-10-22","1987","False","Honolulu Police Department","HI","Honolulu","21.307442","-157.857376","Hawaii"
"548","Patrolman George William Raffield, Jr","Midlothian Police Department, TX","EOW: Friday, October 23, 1987","Cause of Death: Gunfire","Gunfire","1987-10-23","1987","False","Midlothian Police Department","TX","Austin","30.27467","-97.740349","Texas"
"549","Detective Roy Joseph Sergei","Boston Police Department, MA","EOW: Monday, October 26, 1987","Cause of Death: Gunfire","Gunfire","1987-10-26","1987","False","Boston Police Department","MA","Boston","42.358162","-71.063698","Massachusetts"
"550","Patrolman Larry K. Baggett","Owensboro Police Department, KY","EOW: Monday, October 26, 1987","Cause of Death: Heart attack","Heart attack","1987-10-26","1987","False","Owensboro Police Department","KY","Frankfort","38.186722","-84.875374","Kentucky"
"551","Patrolman Ernest Cecil Holbert","Cleveland Police Department, OH","EOW: Tuesday, October 27, 1987","Cause of Death: Gunfire","Gunfire","1987-10-27","1987","False","Cleveland Police Department","OH","Columbus","39.961346","-82.999069","Ohio"
"552","Sheriff Wally L. Larson","Barron County Sheriff's Department, WI","EOW: Wednesday, October 28, 1987","Cause of Death: Automobile accident","Automobile accident","1987-10-28","1987","False","Barron County Sheriff's Department","WI","Madison","43.074684","-89.384445","Wisconsin"
"553","State Park Ranger II George Kowatch, III","California Department of Parks and Recreation, CA","EOW: Monday, November 2, 1987","Cause of Death: Automobile accident","Automobile accident","1987-11-02","1987","False","California Department of Parks and Recreation","CA","Sacramento","38.576668","-121.493629","California"
"554","Police Officer Andre Barksdale","Detroit Police Department, MI","EOW: Monday, November 2, 1987","Cause of Death: Gunfire","Gunfire","1987-11-02","1987","False","Detroit Police Department","MI","Lansing","42.733635","-84.555328","Michigan"
"555","Senior Deputy Edwin H. Arendt","Stearns County Sheriff's Department, MN","EOW: Tuesday, November 3, 1987","Cause of Death: Automobile accident","Automobile accident","1987-11-03","1987","False","Stearns County Sheriff's Department","MN","St. Paul","44.955097","-93.102211","Minnesota"
"556","Officer Patricia E. Quinn","Washington Township (Gloucester County) Police Department, NJ","EOW: Wednesday, November 4, 1987","Cause of Death: Training accident","Training accident","1987-11-04","1987","False","Washington Township (Gloucester County) Police Department","NJ","Trenton","40.220596","-74.769913","New Jersey"
"557","Patrolman Albert O. DeSmet","Roseville Police Department, MI","EOW: Thursday, November 5, 1987","Cause of Death: Vehicle pursuit","Vehicle pursuit","1987-11-05","1987","False","Roseville Police Department","MI","Lansing","42.733635","-84.555328","Michigan"
"558","Deputy Sheriff William Joseph Heffernan","Island County Sheriff's Department, WA","EOW: Saturday, November 14, 1987","Cause of Death: Gunfire","Gunfire","1987-11-14","1987","False","Island County Sheriff's Department","WA","Olympia","47.035805","-122.905014","Washington"
"559","Deputy Sheriff John Robert Saxerud","Island County Sheriff's Department, WA","EOW: Saturday, November 14, 1987","Cause of Death: Gunfire","Gunfire","1987-11-14","1987","False","Island County Sheriff's Department","WA","Olympia","47.035805","-122.905014","Washington"
"560","Patrolman Jackson Dee Elmer","Murray Police Department, UT","EOW: Saturday, November 14, 1987","Cause of Death: Struck by vehicle","Struck by vehicle","1987-11-14","1987","False","Murray Police Department","UT","Salt Lake City","40.777477","-111.888237","Utah"
"561","Corporal David Bruce Pulling","Delaware State Police, DE","EOW: Wednesday, November 18, 1987","Cause of Death: Training accident","Training accident","1987-11-18","1987","False","Delaware State Police","DE","Dover","39.157307","-75.519722","Delaware"
"562","Wildlife Officer Ray Lynn Barnes","Florida Game and Fresh Water Fish Commission, FL","EOW: Saturday, November 21, 1987","Cause of Death: Gunfire","Gunfire","1987-11-21","1987","False","Florida Game and Fresh Water Fish Commission","FL","Tallahassee","30.438118","-84.281296","Florida"
"563","Trooper Thomas J. Consorte","New York State Police, NY","EOW: Monday, November 23, 1987","Cause of Death: Struck by vehicle","Struck by vehicle","1987-11-23","1987","False","New York State Police","NY","Albany","42.652843","-73.757874","New York"
"564","Sergeant Jerry Lee Sukstorf","North Platte Police Department, NE","EOW: Wednesday, November 25, 1987","Cause of Death: Heart attack","Heart attack","1987-11-25","1987","False","North Platte Police Department","NE","Lincoln","40.808075","-96.699654","Nebraska"
"565","Officer Mark Thomas Taylor","California Highway Patrol, CA","EOW: Thursday, November 26, 1987","Cause of Death: Struck by vehicle","Struck by vehicle","1987-11-26","1987","False","California Highway Patrol","CA","Sacramento","38.576668","-121.493629","California"
"566","Sergeant Laverne Daniel Schulz","South Miami Police Department, FL","EOW: Friday, November 27, 1987","Cause of Death: Heart attack","Heart attack","1987-11-27","1987","False","South Miami Police Department","FL","Tallahassee","30.438118","-84.281296","Florida"
"567","Police Officer Linda G. Smith","Detroit Police Department, MI","EOW: Saturday, November 28, 1987","Cause of Death: Vehicle pursuit","Vehicle pursuit","1987-11-28","1987","False","Detroit Police Department","MI","Lansing","42.733635","-84.555328","Michigan"
"568","Deputy Sheriff Ronald Edgar Unger","Roscommon Township Police Department, MI","EOW: Monday, November 30, 1987","Cause of Death: Heart attack","Heart attack","1987-11-30","1987","False","Roscommon Township Police Department","MI","Lansing","42.733635","-84.555328","Michigan"
"569","Deputy Sheriff Lonny Gene Brewer","San Diego County Sheriff's Department, CA","EOW: Saturday, December 5, 1987","Cause of Death: Gunfire","Gunfire","1987-12-05","1987","False","San Diego County Sheriff's Department","CA","Sacramento","38.576668","-121.493629","California"
"570","Officer Omega Graham, Jr.","Fort Wayne Police Department, IN","EOW: Thursday, December 10, 1987","Cause of Death: Gunfire (Accidental)","Gunfire (Accidental)","1987-12-10","1987","False","Fort Wayne Police Department","IN","Indianapolis","39.768623","-86.162643","Indiana"
"571","Correctional Officer Hoyt L. Ergle","Florida Department of Corrections, FL","EOW: Tuesday, December 15, 1987","Cause of Death: Gunfire (Accidental)","Gunfire (Accidental)","1987-12-15","1987","False","Florida Department of Corrections","FL","Tallahassee","30.438118","-84.281296","Florida"
"572","Police Officer Charles Rafael Alcuri","Ozark Police Department, AL","EOW: Saturday, December 19, 1987","Cause of Death: Gunfire","Gunfire","1987-12-19","1987","False","Ozark Police Department","AL","Montgomery","32.377716","-86.300568","Alabama"
"573","Police Officer John Drew Seifert","Ozark Police Department, AL","EOW: Saturday, December 19, 1987","Cause of Death: Gunfire","Gunfire","1987-12-19","1987","False","Ozark Police Department","AL","Montgomery","32.377716","-86.300568","Alabama"
"574","Police Officer Janice Marlene Vanderveer","Burleson Police Department, TX","EOW: Sunday, December 27, 1987","Cause of Death: Struck by vehicle","Struck by vehicle","1987-12-27","1987","False","Burleson Police Department","TX","Austin","30.27467","-97.740349","Texas"
"575","Correctional Officer Jack L. Budd","Michigan Department of Corrections, MI","EOW: Sunday, December 27, 1987","Cause of Death: Stabbed","Stabbed","1987-12-27","1987","False","Michigan Department of Corrections","MI","Lansing","42.733635","-84.555328","Michigan"
"576","Patrol Specialist Lee R. Seward","Chicago Police Department, IL","EOW: Wednesday, December 30, 1987","Cause of Death: Gunfire","Gunfire","1987-12-30","1987","False","Chicago Police Department","IL","Springfield","39.798363","-89.654961","Illinois"
"577","Correctional Officer Jeffery B. Blakey","Cook County Sheriff's Office - Department of Corrections, IL","EOW: Tuesday, January 5, 1988","Cause of Death: Assault","Assault","1988-01-05","1988","False","Cook County Sheriff's Office - Department of Corrections","IL","Springfield","39.798363","-89.654961","Illinois"
"578","Detective Sergeant Mario Alberto Salas","Del Rio Police Department, TX","EOW: Thursday, January 7, 1988","Cause of Death: Vehicle pursuit","Vehicle pursuit","1988-01-07","1988","False","Del Rio Police Department","TX","Austin","30.27467","-97.740349","Texas"
"579","Deputy Sheriff Jack B. Miller","Los Angeles County Sheriff's Department, CA","EOW: Saturday, January 9, 1988","Cause of Death: Gunfire","Gunfire","1988-01-09","1988","False","Los Angeles County Sheriff's Department","CA","Sacramento","38.576668","-121.493629","California"
"580","Officer James Allen Joe","Dallas Police Department, TX","EOW: Thursday, January 14, 1988","Cause of Death: Gunfire","Gunfire","1988-01-14","1988","False","Dallas Police Department","TX","Austin","30.27467","-97.740349","Texas"
"581","Special Agent Virgil Lee Bensyl","Illinois State Police, IL","EOW: Friday, January 15, 1988","Cause of Death: Gunfire","Gunfire","1988-01-15","1988","False","Illinois State Police","IL","Springfield","39.798363","-89.654961","Illinois"
"582","Deputy Sheriff Kenneth D. Nelson","Cumberland County Sheriff's Office, TN","EOW: Sunday, January 17, 1988","Cause of Death: Struck by vehicle","Struck by vehicle","1988-01-17","1988","False","Cumberland County Sheriff's Office","TN","Nashville","36.16581","-86.784241","Tennessee"
"583","Police Officer Arthur E. Ford","Stockton Police Department, CA","EOW: Monday, January 18, 1988","Cause of Death: Heart attack","Heart attack","1988-01-18","1988","False","Stockton Police Department","CA","Sacramento","38.576668","-121.493629","California"
"584","Detective Mark Alan Bolhouse","Fort Myers Police Department, FL","EOW: Tuesday, January 19, 1988","Cause of Death: Heart attack","Heart attack","1988-01-19","1988","False","Fort Myers Police Department","FL","Tallahassee","30.438118","-84.281296","Florida"
"585","Sergeant Richard Earl Deffner","Sacramento County Sheriff's Department, CA","EOW: Thursday, January 21, 1988","Cause of Death: Gunfire","Gunfire","1988-01-21","1988","False","Sacramento County Sheriff's Department","CA","Sacramento","38.576668","-121.493629","California"
"586","Deputy Sheriff Mary C. Mohr","Vilas County Sheriff's Department, WI","EOW: Thursday, January 21, 1988","Cause of Death: Automobile accident","Automobile accident","1988-01-21","1988","False","Vilas County Sheriff's Department","WI","Madison","43.074684","-89.384445","Wisconsin"
"587","Officer John Glenn Chase","Dallas Police Department, TX","EOW: Saturday, January 23, 1988","Cause of Death: Gunfire","Gunfire","1988-01-23","1988","False","Dallas Police Department","TX","Austin","30.27467","-97.740349","Texas"
"588","Auxiliary Lieutenant Nicholas Galasso","Larchmont Police Department, NY","EOW: Tuesday, January 26, 1988","Cause of Death: Heart attack","Heart attack","1988-01-26","1988","False","Larchmont Police Department","NY","Albany","42.652843","-73.757874","New York"
"589","Lieutenant Freddie Floyd House","Utah Department of Corrections, UT","EOW: Thursday, January 28, 1988","Cause of Death: Gunfire","Gunfire","1988-01-28","1988","False","Utah Department of Corrections","UT","Salt Lake City","40.777477","-111.888237","Utah"
"590","Patrolman Jerry L. Hartless","San Diego Police Department, CA","EOW: Sunday, January 31, 1988","Cause of Death: Gunfire","Gunfire","1988-01-31","1988","False","San Diego Police Department","CA","Sacramento","38.576668","-121.493629","California"
"591","Deputy Sheriff James Marshall Richardson","Pulaski County Sheriff's Department, KY","EOW: Monday, February 1, 1988","Cause of Death: Heart attack","Heart attack","1988-02-01","1988","False","Pulaski County Sheriff's Department","KY","Frankfort","38.186722","-84.875374","Kentucky"
"592","Deputy Sheriff Jack Allerton Romeis","Alachua County Sheriff's Office, FL","EOW: Monday, February 1, 1988","Cause of Death: Vehicle pursuit","Vehicle pursuit","1988-02-01","1988","False","Alachua County Sheriff's Office","FL","Tallahassee","30.438118","-84.281296","Florida"
"593","Detective Terry Wayne McNett","Sedgwick County Sheriff's Office, KS","EOW: Wednesday, February 3, 1988","Cause of Death: Gunfire","Gunfire","1988-02-03","1988","False","Sedgwick County Sheriff's Office","KS","Topeka","39.048191","-95.677956","Kansas"
"594","Cadet W. E. Bayless, III","North Carolina Highway Patrol, NC","EOW: Friday, February 5, 1988","Cause of Death: Heart attack","Heart attack","1988-02-05","1988","False","North Carolina Highway Patrol","NC","Raleigh","35.78043","-78.639099","North Carolina"
"595","Officer Scott Stanton Smith","Odessa Police Department, TX","EOW: Saturday, February 6, 1988","Cause of Death: Motorcycle accident","Motorcycle accident","1988-02-06","1988","False","Odessa Police Department","TX","Austin","30.27467","-97.740349","Texas"
"596","Deputy Sheriff Gary Douglas Blackwood","Dorchester County Sheriff's Office, SC","EOW: Sunday, February 7, 1988","Cause of Death: Electrocuted","Electrocuted","1988-02-07","1988","False","Dorchester County Sheriff's Office","SC","Columbia","34.000343","-81.033211","South Carolina"
"597","Detective Robert W. Wallis","Denver Police Department, CO","EOW: Tuesday, February 9, 1988","Cause of Death: Vehicular assault","Vehicular assault","1988-02-09","1988","False","Denver Police Department","CO","Denver","39.739227","-104.984856","Colorado"
"598","Detective Thomas J. Gill","Boston Police Department, MA","EOW: Wednesday, February 10, 1988","Cause of Death: Struck by train","Struck by train","1988-02-10","1988","False","Boston Police Department","MA","Boston","42.358162","-71.063698","Massachusetts"
"599","Police Officer Julie A. Englehardt","Lansing Police Department, MI","EOW: Friday, February 12, 1988","Cause of Death: Gunfire","Gunfire","1988-02-12","1988","False","Lansing Police Department","MI","Lansing","42.733635","-84.555328","Michigan"
"600","Deputy Sheriff Charles E. Lovett","Baxter County Sheriff's Department, AR","EOW: Friday, February 12, 1988","Cause of Death: Heart attack","Heart attack","1988-02-12","1988","False","Baxter County Sheriff's Department","AR","Little Rock","34.746613","-92.288986","Arkansas"
"601","Patrolman Wayne G. Allison","New Mexico State Police, NM","EOW: Saturday, February 13, 1988","Cause of Death: Aircraft accident","Aircraft accident","1988-02-13","1988","False","New Mexico State Police","NM","Santa Fe","35.68224","-105.939728","New Mexico"
"602","Police Officer Andre Keith Williams, Sr.","Mississippi River Bridge Authority Police Department, LA","EOW: Tuesday, February 16, 1988","Cause of Death: Drowned","Drowned","1988-02-16","1988","False","Mississippi River Bridge Authority Police Department","LA","Baton Rouge","30.457069","-91.187393","Louisiana"
"603","Chief of Police Jessie William Lundy","Leesville Police Department, SC","EOW: Wednesday, February 17, 1988","Cause of Death: Gunfire (Accidental)","Gunfire (Accidental)","1988-02-17","1988","False","Leesville Police Department","SC","Columbia","34.000343","-81.033211","South Carolina"
"604","Officer Andrew Winzer","Houston Police Department, TX","EOW: Thursday, February 18, 1988","Cause of Death: Automobile accident","Automobile accident","1988-02-18","1988","False","Houston Police Department","TX","Austin","30.27467","-97.740349","Texas"
"605","Detective Sherman C. Griffiths","Boston Police Department, MA","EOW: Thursday, February 18, 1988","Cause of Death: Gunfire","Gunfire","1988-02-18","1988","False","Boston Police Department","MA","Boston","42.358162","-71.063698","Massachusetts"
"606","Police Officer Edward R. Byrne","New York City Police Department, NY","EOW: Friday, February 26, 1988","Cause of Death: Gunfire","Gunfire","1988-02-26","1988","False","New York City Police Department","NY","Albany","42.652843","-73.757874","New York"
"607","Officer Gary Don McCarthy","Dallas Police Department, TX","EOW: Friday, February 26, 1988","Cause of Death: Gunfire","Gunfire","1988-02-26","1988","False","Dallas Police Department","TX","Austin","30.27467","-97.740349","Texas"
"608","Lieutenant Earl James Kennicutt","Ramsey County Sheriff's Department, MN","EOW: Wednesday, March 2, 1988","Cause of Death: Heart attack","Heart attack","1988-03-02","1988","False","Ramsey County Sheriff's Department","MN","St. Paul","44.955097","-93.102211","Minnesota"
"609","Patrolman Donald V. Deford","Lincoln Township Police Department, MI","EOW: Monday, March 14, 1988","Cause of Death: Heart attack","Heart attack","1988-03-14","1988","False","Lincoln Township Police Department","MI","Lansing","42.733635","-84.555328","Michigan"
"610","Deputy Sheriff Wayne Martin Bryant, Jr.","Pulaski County Sheriff's Office, AR","EOW: Friday, March 18, 1988","Cause of Death: Gunfire","Gunfire","1988-03-18","1988","False","Pulaski County Sheriff's Office","AR","Little Rock","34.746613","-92.288986","Arkansas"
"611","Deputy Sheriff Eugene James Heimann","Fort Bend County Sheriff's Office, TX","EOW: Monday, March 21, 1988","Cause of Death: Gunfire","Gunfire","1988-03-21","1988","False","Fort Bend County Sheriff's Office","TX","Austin","30.27467","-97.740349","Texas"
"612","Officer Paul Douglas Hulsey, Jr.","Beaumont Police Department, TX","EOW: Tuesday, March 22, 1988","Cause of Death: Gunfire","Gunfire","1988-03-22","1988","False","Beaumont Police Department","TX","Austin","30.27467","-97.740349","Texas"
"613","Trooper Samuel F. Holcomb, Jr.","Tennessee Highway Patrol, TN","EOW: Sunday, March 27, 1988","Cause of Death: Struck by vehicle","Struck by vehicle","1988-03-27","1988","False","Tennessee Highway Patrol","TN","Nashville","36.16581","-86.784241","Tennessee"
"614","Sergeant George Aguilar","Inglewood Police Department, CA","EOW: Thursday, March 31, 1988","Cause of Death: Gunfire","Gunfire","1988-03-31","1988","False","Inglewood Police Department","CA","Sacramento","38.576668","-121.493629","California"
"615","Police Officer Victor Estefan","Miami Police Department, FL","EOW: Thursday, March 31, 1988","Cause of Death: Gunfire","Gunfire","1988-03-31","1988","False","Miami Police Department","FL","Tallahassee","30.438118","-84.281296","Florida"
"616","Deputy Sheriff Robert J. Shaw","Monterey County Sheriff's Department, CA","EOW: Saturday, April 9, 1988","Cause of Death: Heart attack","Heart attack","1988-04-09","1988","False","Monterey County Sheriff's Department","CA","Sacramento","38.576668","-121.493629","California"
"617","Trooper First Class Eric Dwight Monk","Maryland State Police, MD","EOW: Saturday, April 9, 1988","Cause of Death: Struck by vehicle","Struck by vehicle","1988-04-09","1988","False","Maryland State Police","MD","Annapolis","38.978764","-76.490936","Maryland"
"618","Police Officer Daniel Allen Jarema","Lockport Police Department, IL","EOW: Wednesday, April 13, 1988","Cause of Death: Automobile accident","Automobile accident","1988-04-13","1988","False","Lockport Police Department","IL","Springfield","39.798363","-89.654961","Illinois"
"619","Police Officer Anthony Oswald McLean","New York City Housing Authority Police Department, NY","EOW: Wednesday, April 13, 1988","Cause of Death: Gunfire","Gunfire","1988-04-13","1988","False","New York City Housing Authority Police Department","NY","Albany","42.652843","-73.757874","New York"
"620","Patrol Officer Aubrey Eugene McCurry","Myrtle Point Police Department, OR","EOW: Friday, April 22, 1988","Cause of Death: Vehicular assault","Vehicular assault","1988-04-22","1988","False","Myrtle Point Police Department","OR","Salem","44.938461","-123.030403","Oregon"
"621","Sergeant John F. McCormick","New York City Police Department, NY","EOW: Wednesday, April 27, 1988","Cause of Death: Gunfire (Accidental)","Gunfire (Accidental)","1988-04-27","1988","False","New York City Police Department","NY","Albany","42.652843","-73.757874","New York"
"622","Patrolman Stephen A. Sandlin","Mountainair Police Department, NM","EOW: Saturday, May 7, 1988","Cause of Death: Gunfire","Gunfire","1988-05-07","1988","False","Mountainair Police Department","NM","Santa Fe","35.68224","-105.939728","New Mexico"
"623","Patrolman Alton Embry, Jr.","Louisville Police Department, KY","EOW: Saturday, May 7, 1988","Cause of Death: Automobile accident","Automobile accident","1988-05-07","1988","False","Louisville Police Department","KY","Frankfort","38.186722","-84.875374","Kentucky"
"624","Patrol Officer Joseph Francis Doyle","Brown University Police Department, RI","EOW: Sunday, May 8, 1988","Cause of Death: Assault","Assault","1988-05-08","1988","False","Brown University Police Department","RI","Providence","41.830914","-71.414963","Rhode Island"
"625","Deputy Sheriff Bobby Earl Raulston","Dale County Sheriff's Office, AL","EOW: Monday, May 9, 1988","Cause of Death: Aircraft accident","Aircraft accident","1988-05-09","1988","False","Dale County Sheriff's Office","AL","Montgomery","32.377716","-86.300568","Alabama"
"626","Trooper John A. Andrulewicz","Pennsylvania State Police, PA","EOW: Monday, May 9, 1988","Cause of Death: Automobile accident","Automobile accident","1988-05-09","1988","False","Pennsylvania State Police","PA","Harrisburg","40.264378","-76.883598","Pennsylvania"
"627","Police Officer Steven Lee Ticer","Florence Police Department, AL","EOW: Thursday, May 12, 1988","Cause of Death: Vehicular assault","Vehicular assault","1988-05-12","1988","False","Florence Police Department","AL","Montgomery","32.377716","-86.300568","Alabama"
"628","Police Officer Helen P. Cardwell","Chicago Police Department, IL","EOW: Thursday, May 19, 1988","Cause of Death: Automobile accident","Automobile accident","1988-05-19","1988","False","Chicago Police Department","IL","Springfield","39.798363","-89.654961","Illinois"
"629","Group Supervisor Leslie Martin Macarro","California Department of the Youth Authority, CA","EOW: Friday, May 20, 1988","Cause of Death: Struck by vehicle","Struck by vehicle","1988-05-20","1988","False","California Department of the Youth Authority","CA","Sacramento","38.576668","-121.493629","California"
"630","Police Officer John W. Mathews","Chicago Police Department, IL","EOW: Saturday, May 21, 1988","Cause of Death: Assault","Assault","1988-05-21","1988","False","Chicago Police Department","IL","Springfield","39.798363","-89.654961","Illinois"
"631","Police Officer Kenneth L. Collings","Phoenix Police Department, AZ","EOW: Friday, May 27, 1988","Cause of Death: Gunfire","Gunfire","1988-05-27","1988","False","Phoenix Police Department","AZ","Phoenix","33.448143","-112.096962","Arizona"
"632","Chief of Police Ferman Raines","Waynesville Police Department, MO","EOW: Sunday, May 29, 1988","Cause of Death: Automobile accident","Automobile accident","1988-05-29","1988","False","Waynesville Police Department","MO","Jefferson City","38.579201","-92.172935","Missouri"
"633","Patrolman Brian Jeffery Tunnell","Miami Police Department, OK","EOW: Sunday, June 5, 1988","Cause of Death: Gunfire","Gunfire","1988-06-05","1988","False","Miami Police Department","OK","Oklahoma City","35.492207","-97.503342","Oklahoma"
"634","Police Officer James C. Beyea","Los Angeles Police Department, CA","EOW: Tuesday, June 7, 1988","Cause of Death: Gunfire","Gunfire","1988-06-07","1988","False","Los Angeles Police Department","CA","Sacramento","38.576668","-121.493629","California"
"635","Sergeant Francis Leo Yates","Charles County Sheriff's Office, MD","EOW: Wednesday, June 8, 1988","Cause of Death: Heart attack","Heart attack","1988-06-08","1988","False","Charles County Sheriff's Office","MD","Annapolis","38.978764","-76.490936","Maryland"
"636","Corporal James A. Ross","Mammoth Police Department, AZ","EOW: Friday, June 10, 1988","Cause of Death: Gunfire","Gunfire","1988-06-10","1988","False","Mammoth Police Department","AZ","Phoenix","33.448143","-112.096962","Arizona"
"637","Officer Charles David Stegall","Baton Rouge City Police Department, LA","EOW: Tuesday, June 14, 1988","Cause of Death: Vehicular assault","Vehicular assault","1988-06-14","1988","False","Baton Rouge City Police Department","LA","Baton Rouge","30.457069","-91.187393","Louisiana"
"638","Police Officer Gary L. Peaco","New York City Housing Authority Police Department, NY","EOW: Thursday, June 16, 1988","Cause of Death: Automobile accident","Automobile accident","1988-06-16","1988","False","New York City Housing Authority Police Department","NY","Albany","42.652843","-73.757874","New York"
"639","Deputy Sheriff Jeffery Mark Gathings","West Carroll Parish Sheriff's Office, LA","EOW: Sunday, June 19, 1988","Cause of Death: Gunfire","Gunfire","1988-06-19","1988","False","West Carroll Parish Sheriff's Office","LA","Baton Rouge","30.457069","-91.187393","Louisiana"
"640","Sergeant Warren Joseph Broussard","Baton Rouge City Police Department, LA","EOW: Tuesday, June 21, 1988","Cause of Death: Gunfire","Gunfire","1988-06-21","1988","False","Baton Rouge City Police Department","LA","Baton Rouge","30.457069","-91.187393","Louisiana"
"641","Police Officer William Don Craig","Miami Police Department, FL","EOW: Tuesday, June 21, 1988","Cause of Death: Vehicular assault","Vehicular assault","1988-06-21","1988","False","Miami Police Department","FL","Tallahassee","30.438118","-84.281296","Florida"
"642","Corrections Officer Lyle Herman","California Department of Corrections and Rehabilitation, CA","EOW: Wednesday, June 22, 1988","Cause of Death: Assault","Assault","1988-06-22","1988","False","California Department of Corrections and Rehabilitation","CA","Sacramento","38.576668","-121.493629","California"
"643","Officer Joel Michael Davis","East Palo Alto Police Department, CA","EOW: Wednesday, June 22, 1988","Cause of Death: Gunfire","Gunfire","1988-06-22","1988","False","East Palo Alto Police Department","CA","Sacramento","38.576668","-121.493629","California"
"644","Officer Edward A. Rebel","Arizona Department of Public Safety, AZ","EOW: Tuesday, June 28, 1988","Cause of Death: Gunfire","Gunfire","1988-06-28","1988","False","Arizona Department of Public Safety","AZ","Phoenix","33.448143","-112.096962","Arizona"
"645","Detective James David Mandrell","Sumner County Sheriff's Department, TN","EOW: Tuesday, June 28, 1988","Cause of Death: Gunfire","Gunfire","1988-06-28","1988","False","Sumner County Sheriff's Department","TN","Nashville","36.16581","-86.784241","Tennessee"
"646","Deputy Vernon P. Marconnet","Maricopa County Sheriff's Office, AZ","EOW: Thursday, June 30, 1988","Cause of Death: Gunfire","Gunfire","1988-06-30","1988","False","Maricopa County Sheriff's Office","AZ","Phoenix","33.448143","-112.096962","Arizona"
"647","Police Officer Scott Richard Rakow","Miami Beach Police Department, FL","EOW: Thursday, June 30, 1988","Cause of Death: Gunfire","Gunfire","1988-06-30","1988","False","Miami Beach Police Department","FL","Tallahassee","30.438118","-84.281296","Florida"
"648","Police Officer Herbert Lee Evans, Jr.","Augusta Police Department, GA","EOW: Sunday, July 3, 1988","Cause of Death: Gunfire (Accidental)","Gunfire (Accidental)","1988-07-03","1988","False","Augusta Police Department","GA","Atlanta<br>","33.749027","-84.388229","Georgia"
"649","K9 Xito","Marion County Sheriff's Department, IN","EOW: Sunday, July 3, 1988","Cause of Death: Struck by vehicle","Struck by vehicle","1988-07-03","1988","True","Marion County Sheriff's Department","IN","Indianapolis","39.768623","-86.162643","Indiana"
"650","Trooper Wilson A. Atkins, Jr.","Arkansas State Police, AR","EOW: Sunday, July 3, 1988","Cause of Death: Struck by vehicle","Struck by vehicle","1988-07-03","1988","False","Arkansas State Police","AR","Little Rock","34.746613","-92.288986","Arkansas"
"651","Chief of Police Gregory Lynn Lange","Claremont Police Department, MN","EOW: Tuesday, July 5, 1988","Cause of Death: Gunfire","Gunfire","1988-07-05","1988","False","Claremont Police Department","MN","St. Paul","44.955097","-93.102211","Minnesota"
"652","Patrolman Edwyn Joseph Gorrell","San Antonio Police Department, TX","EOW: Tuesday, July 5, 1988","Cause of Death: Gunfire","Gunfire","1988-07-05","1988","False","San Antonio Police Department","TX","Austin","30.27467","-97.740349","Texas"
"653","Senior Court Clerk Alphonso B. Deal","New York State Office of Court Administration, NY","EOW: Thursday, July 7, 1988","Cause of Death: Gunfire","Gunfire","1988-07-07","1988","False","New York State Office of Court Administration","NY","Albany","42.652843","-73.757874","New York"
