Indicator,Unit,Subgroup,Time Period,Data Value
AIDS-related deaths,Number,Males 10-19 estimate,2008,18909
AIDS-related deaths,Number,Males 10-19 estimate,2009,19832
AIDS-related deaths,Number,Males 10-19 estimate,2010,20542
AIDS-related deaths,Number,Males 10-19 estimate,2011,21284
AIDS-related deaths,Number,Males 10-19 lower estimate,1990,608
AIDS-related deaths,Number,Males 10-19 lower estimate,1991,798
AIDS-related deaths,Number,Males 10-19 lower estimate,1992,1079
AIDS-related deaths,Number,Males 10-19 lower estimate,1993,1413
AIDS-related deaths,Number,Males 10-19 lower estimate,1994,1787
AIDS-related deaths,Number,Males 10-19 lower estimate,1995,2191
AIDS-related deaths,Number,Males 10-19 lower estimate,1996,2644
AIDS-related deaths,Number,Males 10-19 lower estimate,1997,3207
AIDS-related deaths,Number,Males 10-19 lower estimate,1998,3900
AIDS-related deaths,Number,Males 10-19 lower estimate,1999,4680
AIDS-related deaths,Number,Males 10-19 lower estimate,2000,5640
AIDS-related deaths,Number,Males 10-19 lower estimate,2001,6713
AIDS-related deaths,Number,Males 10-19 lower estimate,2002,7865
AIDS-related deaths,Number,Males 10-19 lower estimate,2003,9189
AIDS-related deaths,Number,Males 10-19 lower estimate,2004,10603
AIDS-related deaths,Number,Males 10-19 lower estimate,2005,11935
AIDS-related deaths,Number,Males 10-19 lower estimate,2006,13295
AIDS-related deaths,Number,Males 10-19 lower estimate,2007,14470
AIDS-related deaths,Number,Males 10-19 lower estimate,2008,15240
AIDS-related deaths,Number,Males 10-19 lower estimate,2009,16080
AIDS-related deaths,Number,Males 10-19 lower estimate,2010,16576
AIDS-related deaths,Number,Males 10-19 lower estimate,2011,17203
AIDS-related deaths,Number,Males 10-19 lower estimate,2012,17606
AIDS-related deaths,Number,Males 10-19 lower estimate,2013,17719
AIDS-related deaths,Number,Males 10-19 lower estimate,2014,17561
AIDS-related deaths,Number,Males 10-19 lower estimate,2015,17287
AIDS-related deaths,Number,Males 10-19 upper estimate,1990,2923
AIDS-related deaths,Number,Males 10-19 upper estimate,1991,3570
AIDS-related deaths,Number,Males 10-19 upper estimate,1992,4395
AIDS-related deaths,Number,Males 10-19 upper estimate,1993,5296
AIDS-related deaths,Number,Males 10-19 upper estimate,1994,6017
AIDS-related deaths,Number,Males 10-19 upper estimate,1995,6729
AIDS-related deaths,Number,Males 10-19 upper estimate,1996,7420
AIDS-related deaths,Number,Males 10-19 upper estimate,1997,8222
AIDS-related deaths,Number,Males 10-19 upper estimate,1998,9213
AIDS-related deaths,Number,Males 10-19 upper estimate,1999,10187
AIDS-related deaths,Number,Males 10-19 upper estimate,2000,11342
AIDS-related deaths,Number,Males 10-19 upper estimate,2001,12698
AIDS-related deaths,Number,Males 10-19 upper estimate,2002,14131
AIDS-related deaths,Number,Males 10-19 upper estimate,2003,15790
AIDS-related deaths,Number,Males 10-19 upper estimate,2004,17650
AIDS-related deaths,Number,Males 10-19 upper estimate,2005,19278
AIDS-related deaths,Number,Males 10-19 upper estimate,2006,20962
AIDS-related deaths,Number,Males 10-19 upper estimate,2007,22491
AIDS-related deaths,Number,Males 10-19 upper estimate,2008,23697
AIDS-related deaths,Number,Males 10-19 upper estimate,2009,24660
AIDS-related deaths,Number,Males 10-19 upper estimate,2010,25687
AIDS-related deaths,Number,Males 10-19 upper estimate,2011,26761
AIDS-related deaths,Number,Males 10-19 upper estimate,2012,27569
AIDS-related deaths,Number,Males 10-19 upper estimate,2013,27981
AIDS-related deaths,Number,Males 10-19 upper estimate,2014,27561
AIDS-related deaths,Number,Males 10-19 upper estimate,2015,26868
AIDS-related deaths,Number,All sexes 10-19 estimate,1990,3015
AIDS-related deaths,Number,All sexes 10-19 estimate,1991,3827
AIDS-related deaths,Number,All sexes 10-19 estimate,1992,4882
AIDS-related deaths,Number,All sexes 10-19 estimate,1993,6124
AIDS-related deaths,Number,All sexes 10-19 estimate,1994,7437
AIDS-related deaths,Number,All sexes 10-19 estimate,1995,8874
AIDS-related deaths,Number,All sexes 10-19 estimate,1996,10395
AIDS-related deaths,Number,All sexes 10-19 estimate,1997,12092
AIDS-related deaths,Number,All sexes 10-19 estimate,1998,13962
AIDS-related deaths,Number,All sexes 10-19 estimate,1999,15937
AIDS-related deaths,Number,All sexes 10-19 estimate,2000,18163
AIDS-related deaths,Number,All sexes 10-19 estimate,2001,20598
AIDS-related deaths,Number,All sexes 10-19 estimate,2002,23171
AIDS-related deaths,Number,All sexes 10-19 estimate,2003,26013
AIDS-related deaths,Number,All sexes 10-19 estimate,2004,29065
AIDS-related deaths,Number,All sexes 10-19 estimate,2005,31947
AIDS-related deaths,Number,All sexes 10-19 estimate,2006,34767
AIDS-related deaths,Number,All sexes 10-19 estimate,2007,37370
AIDS-related deaths,Number,All sexes 10-19 estimate,2008,39015
AIDS-related deaths,Number,All sexes 10-19 estimate,2009,40655
AIDS-related deaths,Number,All sexes 10-19 estimate,2010,41817
AIDS-related deaths,Number,All sexes 10-19 estimate,2011,42845
AIDS-related deaths,Number,All sexes 10-19 estimate,2012,43363
AIDS-related deaths,Number,All sexes 10-19 estimate,2013,43155
AIDS-related deaths,Number,All sexes 10-19 estimate,2014,42299
AIDS-related deaths,Number,All sexes 10-19 estimate,2015,41461
AIDS-related deaths,Number,All sexes 10-19 lower estimate,1990,1503
AIDS-related deaths,Number,All sexes 10-19 lower estimate,1991,1965
AIDS-related deaths,Number,All sexes 10-19 lower estimate,1992,2633
AIDS-related deaths,Number,All sexes 10-19 lower estimate,1993,3438
AIDS-related deaths,Number,All sexes 10-19 lower estimate,1994,4416
AIDS-related deaths,Number,All sexes 10-19 lower estimate,1995,5509
AIDS-related deaths,Number,All sexes 10-19 lower estimate,1996,6727
AIDS-related deaths,Number,All sexes 10-19 lower estimate,1997,8144
AIDS-related deaths,Number,All sexes 10-19 lower estimate,1998,9760
AIDS-related deaths,Number,All sexes 10-19 lower estimate,1999,11464
AIDS-related deaths,Number,All sexes 10-19 lower estimate,2000,13470
AIDS-related deaths,Number,All sexes 10-19 lower estimate,2001,15601
AIDS-related deaths,Number,All sexes 10-19 lower estimate,2002,17814
AIDS-related deaths,Number,All sexes 10-19 lower estimate,2003,20292
AIDS-related deaths,Number,All sexes 10-19 lower estimate,2004,22941
AIDS-related deaths,Number,All sexes 10-19 lower estimate,2005,25395
AIDS-related deaths,Number,All sexes 10-19 lower estimate,2006,27911
AIDS-related deaths,Number,All sexes 10-19 lower estimate,2007,30072
AIDS-related deaths,Number,All sexes 10-19 lower estimate,2008,31444
AIDS-related deaths,Number,All sexes 10-19 lower estimate,2009,32964
AIDS-related deaths,Number,All sexes 10-19 lower estimate,2010,33744
AIDS-related deaths,Number,All sexes 10-19 lower estimate,2011,34629
AIDS-related deaths,Number,All sexes 10-19 lower estimate,2012,34931
AIDS-related deaths,Number,All sexes 10-19 lower estimate,2013,34637
AIDS-related deaths,Number,All sexes 10-19 lower estimate,2014,33956
AIDS-related deaths,Number,All sexes 10-19 lower estimate,2015,33456
AIDS-related deaths,Number,All sexes 10-19 upper estimate,1990,7228
AIDS-related deaths,Number,All sexes 10-19 upper estimate,1991,8797
AIDS-related deaths,Number,All sexes 10-19 upper estimate,1992,10726
AIDS-related deaths,Number,All sexes 10-19 upper estimate,1993,12883
AIDS-related deaths,Number,All sexes 10-19 upper estimate,1994,14865
AIDS-related deaths,Number,All sexes 10-19 upper estimate,1995,16916
AIDS-related deaths,Number,All sexes 10-19 upper estimate,1996,18881
AIDS-related deaths,Number,All sexes 10-19 upper estimate,1997,20879
AIDS-related deaths,Number,All sexes 10-19 upper estimate,1998,23057
AIDS-related deaths,Number,All sexes 10-19 upper estimate,1999,24957
AIDS-related deaths,Number,All sexes 10-19 upper estimate,2000,27090
AIDS-related deaths,Number,All sexes 10-19 upper estimate,2001,29509
AIDS-related deaths,Number,All sexes 10-19 upper estimate,2002,32006
AIDS-related deaths,Number,All sexes 10-19 upper estimate,2003,34869
AIDS-related deaths,Number,All sexes 10-19 upper estimate,2004,38190
AIDS-related deaths,Number,All sexes 10-19 upper estimate,2005,41019
AIDS-related deaths,Number,All sexes 10-19 upper estimate,2006,44008
AIDS-related deaths,Number,All sexes 10-19 upper estimate,2007,46742
AIDS-related deaths,Number,All sexes 10-19 upper estimate,2008,48893
AIDS-related deaths,Number,All sexes 10-19 upper estimate,2009,50552
AIDS-related deaths,Number,All sexes 10-19 upper estimate,2010,52291
AIDS-related deaths,Number,All sexes 10-19 upper estimate,2011,53870
AIDS-related deaths,Number,All sexes 10-19 upper estimate,2012,54699
AIDS-related deaths,Number,All sexes 10-19 upper estimate,2013,54697
AIDS-related deaths,Number,All sexes 10-19 upper estimate,2014,53293
AIDS-related deaths,Number,All sexes 10-19 upper estimate,2015,51998
New HIV Infections,Number,Females 50+ estimate,1990,46325
New HIV Infections,Number,Females 50+ estimate,1991,52839
New HIV Infections,Number,Females 50+ estimate,1992,59537
New HIV Infections,Number,Females 50+ estimate,1993,66243
New HIV Infections,Number,Females 50+ estimate,1994,73208
New HIV Infections,Number,Females 50+ estimate,1995,78195
New HIV Infections,Number,Females 50+ estimate,1996,81970
New HIV Infections,Number,Females 50+ estimate,1997,83513
New HIV Infections,Number,Females 50+ estimate,1998,82247
New HIV Infections,Number,Females 50+ estimate,1999,79530
New HIV Infections,Number,Females 50+ estimate,2000,75216
New HIV Infections,Number,Females 50+ estimate,2001,70805
New HIV Infections,Number,Females 50+ estimate,2002,66049
New HIV Infections,Number,Females 50+ estimate,2003,61595
New HIV Infections,Number,Females 50+ estimate,2004,57788
New HIV Infections,Number,Females 50+ estimate,2005,54777
New HIV Infections,Number,Females 50+ estimate,2006,52466
New HIV Infections,Number,Females 50+ estimate,2007,51320
New HIV Infections,Number,Females 50+ estimate,2008,50319
New HIV Infections,Number,Females 50+ estimate,2009,50078
New HIV Infections,Number,Females 50+ estimate,2010,50110
New HIV Infections,Number,Females 50+ estimate,2011,50320
New HIV Infections,Number,Females 50+ estimate,2012,50549
New HIV Infections,Number,Females 50+ estimate,2013,50721
New HIV Infections,Number,Females 50+ estimate,2014,50731
New HIV Infections,Number,Females 50+ estimate,2015,50312
New HIV Infections,Number,Females 50+ lower estimate,1990,40831
New HIV Infections,Number,Females 50+ lower estimate,1991,47046
New HIV Infections,Number,Females 50+ lower estimate,1992,53128
New HIV Infections,Number,Females 50+ lower estimate,1993,59102
New HIV Infections,Number,Females 50+ lower estimate,1994,65385
New HIV Infections,Number,Females 50+ lower estimate,1995,70104
New HIV Infections,Number,Females 50+ lower estimate,1996,74218
New HIV Infections,Number,Females 50+ lower estimate,1997,75960
New HIV Infections,Number,Females 50+ lower estimate,1998,74758
New HIV Infections,Number,Females 50+ lower estimate,1999,72140
New HIV Infections,Number,Females 50+ lower estimate,2000,68332
New HIV Infections,Number,Females 50+ lower estimate,2001,64306
New HIV Infections,Number,Females 50+ lower estimate,2002,59948
New HIV Infections,Number,Females 50+ lower estimate,2003,55921
New HIV Infections,Number,Females 50+ lower estimate,2004,52447
New HIV Infections,Number,Females 50+ lower estimate,2005,49715
New HIV Infections,Number,Females 50+ lower estimate,2006,47745
New HIV Infections,Number,Females 50+ lower estimate,2007,46510
New HIV Infections,Number,Females 50+ lower estimate,2008,45474
New HIV Infections,Number,Females 50+ lower estimate,2009,45136
New HIV Infections,Number,Females 50+ lower estimate,2010,44843
New HIV Infections,Number,Females 50+ lower estimate,2011,44964
New HIV Infections,Number,Females 50+ lower estimate,2012,45048
New HIV Infections,Number,Females 50+ lower estimate,2013,45109
New HIV Infections,Number,Females 50+ lower estimate,2014,44933
New HIV Infections,Number,Females 50+ lower estimate,2015,44296
New HIV Infections,Number,Females 50+ upper estimate,1990,52917
New HIV Infections,Number,Females 50+ upper estimate,1991,59546
New HIV Infections,Number,Females 50+ upper estimate,1992,66818
New HIV Infections,Number,Females 50+ upper estimate,1993,74702
New HIV Infections,Number,Females 50+ upper estimate,1994,82856
New HIV Infections,Number,Females 50+ upper estimate,1995,87996
New HIV Infections,Number,Females 50+ upper estimate,1996,91285
New HIV Infections,Number,Females 50+ upper estimate,1997,92533
New HIV Infections,Number,Females 50+ upper estimate,1998,90659
New HIV Infections,Number,Females 50+ upper estimate,1999,87244
New HIV Infections,Number,Females 50+ upper estimate,2000,82729
New HIV Infections,Number,Females 50+ upper estimate,2001,77907
New HIV Infections,Number,Females 50+ upper estimate,2002,73014
New HIV Infections,Number,Females 50+ upper estimate,2003,68294
New HIV Infections,Number,Females 50+ upper estimate,2004,64119
New HIV Infections,Number,Females 50+ upper estimate,2005,60835
New HIV Infections,Number,Females 50+ upper estimate,2006,58246
New HIV Infections,Number,Females 50+ upper estimate,2007,56987
New HIV Infections,Number,Females 50+ upper estimate,2008,55891
New HIV Infections,Number,Females 50+ upper estimate,2009,55653
New HIV Infections,Number,Females 50+ upper estimate,2010,56159
New HIV Infections,Number,Females 50+ upper estimate,2011,56714
New HIV Infections,Number,Females 50+ upper estimate,2012,57190
New HIV Infections,Number,Females 50+ upper estimate,2013,57651
New HIV Infections,Number,Females 50+ upper estimate,2014,57787
New HIV Infections,Number,Females 50+ upper estimate,2015,57876
New HIV Infections,Number,Males 50+ estimate,1990,54228
New HIV Infections,Number,Males 50+ estimate,1991,61744
New HIV Infections,Number,Males 50+ estimate,1992,68462
New HIV Infections,Number,Males 50+ estimate,1993,74536
New HIV Infections,Number,Males 50+ estimate,1994,84084
New HIV Infections,Number,Males 50+ estimate,1995,88570
New HIV Infections,Number,Males 50+ estimate,1996,91482
New HIV Infections,Number,Males 50+ estimate,1997,92493
New HIV Infections,Number,Males 50+ estimate,1998,90949
New HIV Infections,Number,Males 50+ estimate,1999,88269
New HIV Infections,Number,Males 50+ estimate,2000,84261
New HIV Infections,Number,Males 50+ estimate,2001,80209
New HIV Infections,Number,Males 50+ estimate,2002,75909
New HIV Infections,Number,Males 50+ estimate,2003,71886
New HIV Infections,Number,Males 50+ estimate,2004,68548
New HIV Infections,Number,Males 50+ estimate,2005,65924
New HIV Infections,Number,Males 50+ estimate,2006,63966
New HIV Infections,Number,Males 50+ estimate,2007,63385
New HIV Infections,Number,Males 50+ estimate,2008,62854
New HIV Infections,Number,Males 50+ estimate,2009,63329
New HIV Infections,Number,Males 50+ estimate,2010,64320
New HIV Infections,Number,Males 50+ estimate,2011,65634
New HIV Infections,Number,Males 50+ estimate,2012,66994
New HIV Infections,Number,Males 50+ estimate,2013,68296
New HIV Infections,Number,Males 50+ estimate,2014,69697
New HIV Infections,Number,Males 50+ estimate,2015,70674
New HIV Infections,Number,Males 50+ lower estimate,1990,47796
New HIV Infections,Number,Males 50+ lower estimate,1991,54975
New HIV Infections,Number,Males 50+ lower estimate,1992,61092
New HIV Infections,Number,Males 50+ lower estimate,1993,66501
New HIV Infections,Number,Males 50+ lower estimate,1994,75099
New HIV Infections,Number,Males 50+ lower estimate,1995,79406
New HIV Infections,Number,Males 50+ lower estimate,1996,82830
New HIV Infections,Number,Males 50+ lower estimate,1997,84127
New HIV Infections,Number,Males 50+ lower estimate,1998,82668
New HIV Infections,Number,Males 50+ lower estimate,1999,80067
New HIV Infections,Number,Males 50+ lower estimate,2000,76549
New HIV Infections,Number,Males 50+ lower estimate,2001,72847
New HIV Infections,Number,Males 50+ lower estimate,2002,68898
New HIV Infections,Number,Males 50+ lower estimate,2003,65264
New HIV Infections,Number,Males 50+ lower estimate,2004,62213
New HIV Infections,Number,Males 50+ lower estimate,2005,59832
New HIV Infections,Number,Males 50+ lower estimate,2006,58210
New HIV Infections,Number,Males 50+ lower estimate,2007,57444
New HIV Infections,Number,Males 50+ lower estimate,2008,56802
New HIV Infections,Number,Males 50+ lower estimate,2009,57079
New HIV Infections,Number,Males 50+ lower estimate,2010,57559
New HIV Infections,Number,Males 50+ lower estimate,2011,58648
New HIV Infections,Number,Males 50+ lower estimate,2012,59704
New HIV Infections,Number,Males 50+ lower estimate,2013,60740
New HIV Infections,Number,Males 50+ lower estimate,2014,61731
New HIV Infections,Number,Males 50+ lower estimate,2015,62222
New HIV Infections,Number,Males 50+ upper estimate,1990,61943
New HIV Infections,Number,Males 50+ upper estimate,1991,69581
New HIV Infections,Number,Males 50+ upper estimate,1992,76835
New HIV Infections,Number,Males 50+ upper estimate,1993,84053
New HIV Infections,Number,Males 50+ upper estimate,1994,95166
New HIV Infections,Number,Males 50+ upper estimate,1995,99671
New HIV Infections,Number,Males 50+ upper estimate,1996,101878
New HIV Infections,Number,Males 50+ upper estimate,1997,102483
New HIV Infections,Number,Males 50+ upper estimate,1998,100252
New HIV Infections,Number,Males 50+ upper estimate,1999,96831
New HIV Infections,Number,Males 50+ upper estimate,2000,92677
New HIV Infections,Number,Males 50+ upper estimate,2001,88254
New HIV Infections,Number,Males 50+ upper estimate,2002,83913
New HIV Infections,Number,Males 50+ upper estimate,2003,79705
New HIV Infections,Number,Males 50+ upper estimate,2004,76058
New HIV Infections,Number,Males 50+ upper estimate,2005,73215
New HIV Infections,Number,Males 50+ upper estimate,2006,71013
New HIV Infections,Number,Males 50+ upper estimate,2007,70384
New HIV Infections,Number,Males 50+ upper estimate,2008,69814
New HIV Infections,Number,Males 50+ upper estimate,2009,70379
New HIV Infections,Number,Males 50+ upper estimate,2010,72085
New HIV Infections,Number,Males 50+ upper estimate,2011,73974
New HIV Infections,Number,Males 50+ upper estimate,2012,75795
New HIV Infections,Number,Males 50+ upper estimate,2013,77628
New HIV Infections,Number,Males 50+ upper estimate,2014,79391
New HIV Infections,Number,Males 50+ upper estimate,2015,81298
New HIV Infections,Number,All sexes 50+ estimate,1990,100544
New HIV Infections,Number,All sexes 50+ estimate,1991,114574
New HIV Infections,Number,All sexes 50+ estimate,1992,127998
New HIV Infections,Number,All sexes 50+ estimate,1993,140766
New HIV Infections,Number,All sexes 50+ estimate,1994,157273
New HIV Infections,Number,All sexes 50+ estimate,1995,166787
New HIV Infections,Number,All sexes 50+ estimate,1996,173472
New HIV Infections,Number,All sexes 50+ estimate,1997,176025
New HIV Infections,Number,All sexes 50+ estimate,1998,173185
New HIV Infections,Number,All sexes 50+ estimate,1999,167793
New HIV Infections,Number,All sexes 50+ estimate,2000,159500
New HIV Infections,Number,All sexes 50+ estimate,2001,151000
New HIV Infections,Number,All sexes 50+ estimate,2002,141976
New HIV Infections,Number,All sexes 50+ estimate,2003,133522
New HIV Infections,Number,All sexes 50+ estimate,2004,126340
New HIV Infections,Number,All sexes 50+ estimate,2005,120698
New HIV Infections,Number,All sexes 50+ estimate,2006,116451
New HIV Infections,Number,All sexes 50+ estimate,2007,114694
New HIV Infections,Number,All sexes 50+ estimate,2008,113169
New HIV Infections,Number,All sexes 50+ estimate,2009,113384
New HIV Infections,Number,All sexes 50+ estimate,2010,114455
New HIV Infections,Number,All sexes 50+ estimate,2011,115932
New HIV Infections,Number,All sexes 50+ estimate,2012,117519
New HIV Infections,Number,All sexes 50+ estimate,2013,119025
New HIV Infections,Number,All sexes 50+ estimate,2014,120437
New HIV Infections,Number,All sexes 50+ estimate,2015,120978
New HIV Infections,Number,All sexes 50+ lower estimate,1990,88619
New HIV Infections,Number,All sexes 50+ lower estimate,1991,102014
New HIV Infections,Number,All sexes 50+ lower estimate,1992,114219
New HIV Infections,Number,All sexes 50+ lower estimate,1993,125590
New HIV Infections,Number,All sexes 50+ lower estimate,1994,140467
New HIV Infections,Number,All sexes 50+ lower estimate,1995,149530
New HIV Infections,Number,All sexes 50+ lower estimate,1996,157066
New HIV Infections,Number,All sexes 50+ lower estimate,1997,160104
New HIV Infections,Number,All sexes 50+ lower estimate,1998,157416
New HIV Infections,Number,All sexes 50+ lower estimate,1999,152202
New HIV Infections,Number,All sexes 50+ lower estimate,2000,144903
New HIV Infections,Number,All sexes 50+ lower estimate,2001,137140
New HIV Infections,Number,All sexes 50+ lower estimate,2002,128863
New HIV Infections,Number,All sexes 50+ lower estimate,2003,121223
New HIV Infections,Number,All sexes 50+ lower estimate,2004,114664
New HIV Infections,Number,All sexes 50+ lower estimate,2005,109545
New HIV Infections,Number,All sexes 50+ lower estimate,2006,105973
New HIV Infections,Number,All sexes 50+ lower estimate,2007,103945
New HIV Infections,Number,All sexes 50+ lower estimate,2008,102272
New HIV Infections,Number,All sexes 50+ lower estimate,2009,102194
New HIV Infections,Number,All sexes 50+ lower estimate,2010,102424
New HIV Infections,Number,All sexes 50+ lower estimate,2011,103593
New HIV Infections,Number,All sexes 50+ lower estimate,2012,104731
New HIV Infections,Number,All sexes 50+ lower estimate,2013,105856
New HIV Infections,Number,All sexes 50+ lower estimate,2014,106672
New HIV Infections,Number,All sexes 50+ lower estimate,2015,106511
New HIV Infections,Number,All sexes 50+ upper estimate,1990,114850
New HIV Infections,Number,All sexes 50+ upper estimate,1991,129117
New HIV Infections,Number,All sexes 50+ upper estimate,1992,143652
New HIV Infections,Number,All sexes 50+ upper estimate,1993,158740
New HIV Infections,Number,All sexes 50+ upper estimate,1994,178001
New HIV Infections,Number,All sexes 50+ upper estimate,1995,187692
New HIV Infections,Number,All sexes 50+ upper estimate,1996,193186
New HIV Infections,Number,All sexes 50+ upper estimate,1997,195038
New HIV Infections,Number,All sexes 50+ upper estimate,1998,190899
New HIV Infections,Number,All sexes 50+ upper estimate,1999,184068
New HIV Infections,Number,All sexes 50+ upper estimate,2000,175431
New HIV Infections,Number,All sexes 50+ upper estimate,2001,166146
New HIV Infections,Number,All sexes 50+ upper estimate,2002,156947
New HIV Infections,Number,All sexes 50+ upper estimate,2003,148045
New HIV Infections,Number,All sexes 50+ upper estimate,2004,140181
New HIV Infections,Number,All sexes 50+ upper estimate,2005,134046
New HIV Infections,Number,All sexes 50+ upper estimate,2006,129280
New HIV Infections,Number,All sexes 50+ upper estimate,2007,127359
New HIV Infections,Number,All sexes 50+ upper estimate,2008,125701
New HIV Infections,Number,All sexes 50+ upper estimate,2009,126006
New HIV Infections,Number,All sexes 50+ upper estimate,2010,128272
New HIV Infections,Number,All sexes 50+ upper estimate,2011,130663
New HIV Infections,Number,All sexes 50+ upper estimate,2012,132958
New HIV Infections,Number,All sexes 50+ upper estimate,2013,135289
New HIV Infections,Number,All sexes 50+ upper estimate,2014,137189
New HIV Infections,Number,All sexes 50+ upper estimate,2015,139165
AIDS-related deaths,Number,Females 50+ estimate,1990,14600
AIDS-related deaths,Number,Females 50+ estimate,1991,19169
AIDS-related deaths,Number,Females 50+ estimate,1992,24655
AIDS-related deaths,Number,Females 50+ estimate,1993,31110
AIDS-related deaths,Number,Females 50+ estimate,1994,38559
AIDS-related deaths,Number,Females 50+ estimate,1995,47109
AIDS-related deaths,Number,Females 50+ estimate,1996,55501
AIDS-related deaths,Number,Females 50+ estimate,1997,65444
AIDS-related deaths,Number,Females 50+ estimate,1998,76653
AIDS-related deaths,Number,Females 50+ estimate,1999,88319
AIDS-related deaths,Number,Females 50+ estimate,2000,100601
AIDS-related deaths,Number,Females 50+ estimate,2001,113098
AIDS-related deaths,Number,Females 50+ estimate,2002,124883
AIDS-related deaths,Number,Females 50+ estimate,2003,135396
AIDS-related deaths,Number,Females 50+ estimate,2004,142541
AIDS-related deaths,Number,Females 50+ estimate,2005,143754
AIDS-related deaths,Number,Females 50+ estimate,2006,140277
AIDS-related deaths,Number,Females 50+ estimate,2007,132512
AIDS-related deaths,Number,Females 50+ estimate,2008,119866
AIDS-related deaths,Number,Females 50+ estimate,2009,108415
AIDS-related deaths,Number,Females 50+ estimate,2010,100885
AIDS-related deaths,Number,Females 50+ estimate,2011,97162
AIDS-related deaths,Number,Females 50+ estimate,2012,92365
AIDS-related deaths,Number,Females 50+ estimate,2013,83474
AIDS-related deaths,Number,Females 50+ estimate,2014,77155
AIDS-related deaths,Number,Females 50+ estimate,2015,75330
New HIV Infections,Number,Females Young people (15-24) estimate,1990,372965
New HIV Infections,Number,Females Young people (15-24) estimate,1991,436560
New HIV Infections,Number,Females Young people (15-24) estimate,1992,501253
New HIV Infections,Number,Females Young people (15-24) estimate,1993,561413
New HIV Infections,Number,Females Young people (15-24) estimate,1994,624290
New HIV Infections,Number,Females Young people (15-24) estimate,1995,669304
New HIV Infections,Number,Females Young people (15-24) estimate,1996,697535
New HIV Infections,Number,Females Young people (15-24) estimate,1997,702488
New HIV Infections,Number,Females Young people (15-24) estimate,1998,684833
New HIV Infections,Number,Females Young people (15-24) estimate,1999,657847
New HIV Infections,Number,Females Young people (15-24) estimate,2000,618424
New HIV Infections,Number,Females Young people (15-24) estimate,2001,580097
New HIV Infections,Number,Females Young people (15-24) estimate,2002,542160
New HIV Infections,Number,Females Young people (15-24) estimate,2003,508906
New HIV Infections,Number,Females Young people (15-24) estimate,2004,480864
New HIV Infections,Number,Females Young people (15-24) estimate,2005,459168
New HIV Infections,Number,Females Young people (15-24) estimate,2006,441798
New HIV Infections,Number,Females Young people (15-24) estimate,2007,434506
New HIV Infections,Number,Females Young people (15-24) estimate,2008,424752
New HIV Infections,Number,Females Young people (15-24) estimate,2009,419114
New HIV Infections,Number,Females Young people (15-24) estimate,2010,415056
New HIV Infections,Number,Females Young people (15-24) estimate,2011,413173
New HIV Infections,Number,Females Young people (15-24) estimate,2012,409643
New HIV Infections,Number,Females Young people (15-24) estimate,2013,404983
New HIV Infections,Number,Females Young people (15-24) estimate,2014,398919
New HIV Infections,Number,Females Young people (15-24) estimate,2015,388758
New HIV Infections,Number,Females Young people (15-24) lower estimate,1990,321719
New HIV Infections,Number,Females Young people (15-24) lower estimate,1991,382271
New HIV Infections,Number,Females Young people (15-24) lower estimate,1992,438349
New HIV Infections,Number,Females Young people (15-24) lower estimate,1993,496171
New HIV Infections,Number,Females Young people (15-24) lower estimate,1994,557539
New HIV Infections,Number,Females Young people (15-24) lower estimate,1995,596734
New HIV Infections,Number,Females Young people (15-24) lower estimate,1996,623957
New HIV Infections,Number,Females Young people (15-24) lower estimate,1997,625475
New HIV Infections,Number,Females Young people (15-24) lower estimate,1998,613093
New HIV Infections,Number,Females Young people (15-24) lower estimate,1999,586520
New HIV Infections,Number,Females Young people (15-24) lower estimate,2000,555619
New HIV Infections,Number,Females Young people (15-24) lower estimate,2001,516187
New HIV Infections,Number,Females Young people (15-24) lower estimate,2002,484218
New HIV Infections,Number,Females Young people (15-24) lower estimate,2003,455364
New HIV Infections,Number,Females Young people (15-24) lower estimate,2004,430260
New HIV Infections,Number,Females Young people (15-24) lower estimate,2005,410541
New HIV Infections,Number,Females Young people (15-24) lower estimate,2006,392165
New HIV Infections,Number,Females Young people (15-24) lower estimate,2007,385286
New HIV Infections,Number,Females Young people (15-24) lower estimate,2008,376252
New HIV Infections,Number,Females Young people (15-24) lower estimate,2009,371201
New HIV Infections,Number,Females Young people (15-24) lower estimate,2010,363414
New HIV Infections,Number,Females Young people (15-24) lower estimate,2011,361864
New HIV Infections,Number,Females Young people (15-24) lower estimate,2012,357037
New HIV Infections,Number,Females Young people (15-24) lower estimate,2013,350421
New HIV Infections,Number,Females Young people (15-24) lower estimate,2014,344271
New HIV Infections,Number,Females Young people (15-24) lower estimate,2015,334452
New HIV Infections,Number,Females Young people (15-24) upper estimate,1990,435202
New HIV Infections,Number,Females Young people (15-24) upper estimate,1991,507203
New HIV Infections,Number,Females Young people (15-24) upper estimate,1992,576343
New HIV Infections,Number,Females Young people (15-24) upper estimate,1993,645893
New HIV Infections,Number,Females Young people (15-24) upper estimate,1994,711369
New HIV Infections,Number,Females Young people (15-24) upper estimate,1995,763098
New HIV Infections,Number,Females Young people (15-24) upper estimate,1996,787468
New HIV Infections,Number,Females Young people (15-24) upper estimate,1997,797641
New HIV Infections,Number,Females Young people (15-24) upper estimate,1998,769372
New HIV Infections,Number,Females Young people (15-24) upper estimate,1999,741492
New HIV Infections,Number,Females Young people (15-24) upper estimate,2000,699980
