Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Latitude,Longitude,Location
64291728,3/8/2025 18:58,,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11221,267 LEWIS AVENUE,LEWIS AVENUE,MONROE STREET,MADISON STREET,MONROE STREET,MADISON STREET,ADDRESS,BROOKLYN,LEWIS AVENUE,,In Progress,,3/10/2025 13:22,03 BROOKLYN,BROOKLYN,1002058,189488,Unspecified,BROOKLYN,40.68675964,-73.93578905,POINT (-73.93578904925444 40.686759643985425)
64293346,3/8/2025 18:47,,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,11249,118 SOUTH    3 STREET,SOUTH    3 STREET,BERRY STREET,BEDFORD AVENUE,BERRY STREET,BEDFORD AVENUE,ADDRESS,BROOKLYN,SOUTH    3 STREET,,In Progress,,3/10/2025 5:28,01 BROOKLYN,BROOKLYN,994463,198949,Unspecified,BROOKLYN,40.7127399,-73.96316026,POINT (-73.96316026460903 40.71273989891328)
64289115,3/8/2025 18:19,3/11/2025 13:33,DSNY,Department of Sanitation,Dead Animal,Bird,Street,11204,2177 66 STREET,66 STREET,SEA BEACH LINE,BAY PARKWAY,SEA BEACH LINE,BAY PARKWAY,ADDRESS,BROOKLYN,66 STREET,,Closed,,3/8/2025 22:30,11 BROOKLYN,BROOKLYN,989204,162719,Unspecified,BROOKLYN,40.61330109,-73.98215684,POINT (-73.9821568408632 40.61330108588418)
64289309,3/8/2025 18:01,3/8/2025 23:50,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11211,350 MASPETH AVENUE,MASPETH AVENUE,VANDERVOORT AVENUE,DEAD END,VANDERVOORT AVENUE,DEAD END,ADDRESS,BROOKLYN,MASPETH AVENUE,,Closed,,3/8/2025 23:50,01 BROOKLYN,BROOKLYN,1003716,201052,Unspecified,BROOKLYN,40.71849661,-73.92977731,POINT (-73.92977731468619 40.71849660931797)
64287966,3/8/2025 18:01,3/8/2025 23:50,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11211,350 MASPETH AVENUE,MASPETH AVENUE,VANDERVOORT AVENUE,DEAD END,VANDERVOORT AVENUE,DEAD END,ADDRESS,BROOKLYN,MASPETH AVENUE,,Closed,,3/8/2025 23:50,01 BROOKLYN,BROOKLYN,1003716,201052,Unspecified,BROOKLYN,40.71849661,-73.92977731,POINT (-73.92977731468619 40.71849660931797)
64293490,3/8/2025 18:00,3/8/2025 23:51,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10009,532 EAST   12 STREET,EAST   12 STREET,AVENUE A,AVENUE B,AVENUE A,AVENUE B,ADDRESS,NEW YORK,EAST   12 STREET,,Closed,,3/8/2025 23:51,03 MANHATTAN,MANHATTAN,989669,204765,Unspecified,MANHATTAN,40.72870765,-73.98044822,POINT (-73.98044821721834 40.7287076510075)
64291727,3/8/2025 17:46,3/11/2025 14:33,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,11355,142-19 BOOTH MEMORIAL AVENUE,BOOTH MEMORIAL AVENUE,142 STREET,146 STREET,142 STREET,146 STREET,ADDRESS,FLUSHING,BOOTH MEMORIAL AVENUE,,Closed,,3/10/2025 13:54,07 QUEENS,QUEENS,1033270,211020,Unspecified,QUEENS,40.74574187,-73.82309022,POINT (-73.82309022099615 40.74574187348082)
64295408,3/8/2025 17:45,3/13/2025 15:14,DSNY,Department of Sanitation,Dead Animal,Squirrel,Street,11209,4 AVENUE,4 AVENUE,4 AVENUE,SHORE ROAD,4 AVENUE,SHORE ROAD,INTERSECTION,,,,Closed,,3/11/2025 12:38,10 BROOKLYN,BROOKLYN,974568,162016,Unspecified,BROOKLYN,40.61136759,-74.03487131,POINT (-74.03487130935147 40.611367591001866)
64289001,3/8/2025 17:28,3/11/2025 15:19,DSNY,Department of Sanitation,Dead Animal,Opossum,Street,10302,270 DECKER AVENUE,DECKER AVENUE,BARRETT AVENUE,ORANGE AVENUE,BARRETT AVENUE,ORANGE AVENUE,ADDRESS,STATEN ISLAND,DECKER AVENUE,,Closed,,3/10/2025 5:49,01 STATEN ISLAND,STATEN ISLAND,945705,167707,Unspecified,STATEN ISLAND,40.62690964,-74.13885852,POINT (-74.1388585157849 40.626909637116746)
64292676,3/8/2025 17:01,3/9/2025 3:18,NYPD,New York City Police Department,Animal-Abuse,Tortured,Residential Building/House,10034,118 POST AVENUE,POST AVENUE,WEST  204 STREET,WEST  207 STREET,WEST  204 STREET,WEST  207 STREET,ADDRESS,NEW YORK,POST AVENUE,,Closed,,3/9/2025 3:18,12 MANHATTAN,MANHATTAN,1006310,254246,Unspecified,MANHATTAN,40.86449362,-73.92024487,POINT (-73.92024487024199 40.8644936221606)
64293491,3/8/2025 16:52,3/8/2025 17:33,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11211,350 MASPETH AVENUE,MASPETH AVENUE,VANDERVOORT AVENUE,DEAD END,VANDERVOORT AVENUE,DEAD END,ADDRESS,BROOKLYN,MASPETH AVENUE,,Closed,,3/8/2025 17:33,01 BROOKLYN,BROOKLYN,1003716,201052,Unspecified,BROOKLYN,40.71849661,-73.92977731,POINT (-73.92977731468619 40.71849660931797)
64294738,3/8/2025 16:46,3/10/2025 12:24,DSNY,Department of Sanitation,Dead Animal,Opossum,Sidewalk,11426,251-16 83 AVENUE,83 AVENUE,251 STREET,252 STREET,251 STREET,252 STREET,ADDRESS,BELLEROSE,83 AVENUE,,Closed,,3/8/2025 12:20,13 QUEENS,QUEENS,1062685,208065,Unspecified,QUEENS,40.7374192,-73.71696858,POINT (-73.71696858426976 40.73741920113508)
64295687,3/8/2025 16:39,3/8/2025 17:27,NYPD,New York City Police Department,Animal-Abuse,No Shelter,Residential Building,11238,388 ST MARKS AVENUE,ST MARKS AVENUE,GRAND AVENUE,CLASSON AVENUE,GRAND AVENUE,CLASSON AVENUE,ADDRESS,BROOKLYN,ST MARKS AVENUE,,Closed,,3/8/2025 17:27,08 BROOKLYN,BROOKLYN,994813,185981,Unspecified,BROOKLYN,40.67714534,-73.9619181,POINT (-73.96191810121151 40.67714533920554)
64288831,3/8/2025 16:35,3/8/2025 17:27,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11238,388 ST MARKS AVENUE,ST MARKS AVENUE,GRAND AVENUE,CLASSON AVENUE,GRAND AVENUE,CLASSON AVENUE,ADDRESS,BROOKLYN,ST MARKS AVENUE,,Closed,,3/8/2025 17:27,08 BROOKLYN,BROOKLYN,994813,185981,Unspecified,BROOKLYN,40.67714534,-73.9619181,POINT (-73.96191810121151 40.67714533920554)
64296291,3/8/2025 16:11,3/10/2025 14:03,DSNY,Department of Sanitation,Dead Animal,Bird,Street,11691,BEACH CHANNEL DRIVE,BEACH CHANNEL DRIVE,BEACH CHANNEL DRIVE,MOTT AVENUE,BEACH CHANNEL DRIVE,MOTT AVENUE,INTERSECTION,,,,Closed,,3/10/2025 13:17,14 QUEENS,QUEENS,1052204,159911,Unspecified,QUEENS,40.60533454,-73.75527434,POINT (-73.75527433977965 40.605334540935694)
64287555,3/8/2025 16:00,3/10/2025 14:01,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,11101,34-02 37 STREET,37 STREET,34 AVENUE,35 AVENUE,34 AVENUE,35 AVENUE,ADDRESS,LONG ISLAND CITY,37 STREET,,Closed,,3/10/2025 6:10,01 QUEENS,QUEENS,1005672,215145,Unspecified,QUEENS,40.75717387,-73.92267626,POINT (-73.92267626231103 40.757173869120166)
64290488,3/8/2025 15:49,3/10/2025 13:08,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,10314,64 SIGNS ROAD,SIGNS ROAD,TODDY AVENUE,CARREAU AVENUE,TODDY AVENUE,CARREAU AVENUE,ADDRESS,STATEN ISLAND,SIGNS ROAD,,Closed,,3/8/2025 22:39,02 STATEN ISLAND,STATEN ISLAND,938239,158612,Unspecified,STATEN ISLAND,40.60191016,-74.16569278,POINT (-74.16569277603037 40.60191015504984)
64290746,3/8/2025 15:33,3/8/2025 15:41,DPR,Department of Parks and Recreation,Animal in a Park,Domestic Strays,Street/Curbside,10457,CROTONA PARK,CROTONA PARK,CLAREMONT PARKWAY,CROTONA PARK NORTH,CLAREMONT PARKWAY,CROTONA PARK NORTH,UNRECOGNIZED,BRONX,CROTONA PARK,,Closed,,3/8/2025 15:41,03 BRONX,BRONX,1013229,244598,Unspecified,BRONX,40.83799274,-73.89527183,POINT (-73.89527182764397 40.83799273965483)
64297727,3/8/2025 15:30,3/8/2025 15:47,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11211,350 MASPETH AVENUE,MASPETH AVENUE,VANDERVOORT AVENUE,DEAD END,VANDERVOORT AVENUE,DEAD END,ADDRESS,BROOKLYN,MASPETH AVENUE,,Closed,,3/8/2025 15:47,01 BROOKLYN,BROOKLYN,1003716,201052,Unspecified,BROOKLYN,40.71849661,-73.92977731,POINT (-73.92977731468619 40.71849660931797)
64293347,3/8/2025 15:25,3/10/2025 14:01,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11101,34 AVENUE,34 AVENUE,34 AVENUE,37 STREET,34 AVENUE,37 STREET,INTERSECTION,,,,Closed,,3/10/2025 5:54,01 QUEENS,QUEENS,1005731,215236,Unspecified,QUEENS,40.7574235,-73.92246301,POINT (-73.92246300834366 40.75742349765329)
64296560,3/8/2025 15:24,3/8/2025 15:48,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11211,350 MASPETH AVENUE,MASPETH AVENUE,VANDERVOORT AVENUE,DEAD END,VANDERVOORT AVENUE,DEAD END,ADDRESS,BROOKLYN,MASPETH AVENUE,,Closed,,3/8/2025 15:48,01 BROOKLYN,BROOKLYN,1003716,201052,Unspecified,BROOKLYN,40.71849661,-73.92977731,POINT (-73.92977731468619 40.71849660931797)
64289000,3/8/2025 15:14,3/11/2025 14:33,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11355,142-19 BOOTH MEMORIAL AVENUE,BOOTH MEMORIAL AVENUE,142 STREET,146 STREET,142 STREET,146 STREET,ADDRESS,FLUSHING,BOOTH MEMORIAL AVENUE,,Closed,,3/10/2025 13:54,07 QUEENS,QUEENS,1033270,211020,Unspecified,QUEENS,40.74574187,-73.82309022,POINT (-73.82309022099615 40.74574187348082)
64287556,3/8/2025 15:05,3/10/2025 14:01,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11101,34-20 37 AVENUE,37 AVENUE,34 STREET,35 STREET,34 STREET,35 STREET,ADDRESS,LONG ISLAND CITY,37 AVENUE,,Closed,,3/10/2025 5:58,01 QUEENS,QUEENS,1004042,213828,Unspecified,QUEENS,40.75356284,-73.9285637,POINT (-73.92856369961146 40.75356283940757)
64297523,3/8/2025 13:48,3/10/2025 10:39,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,11360,200-04 26 AVENUE,26 AVENUE,200 STREET,201 STREET,200 STREET,201 STREET,ADDRESS,BAYSIDE,26 AVENUE,,Closed,,3/10/2025 4:44,11 QUEENS,QUEENS,1042049,221449,Unspecified,QUEENS,40.7743137,-73.79131787,POINT (-73.79131786638843 40.77431370229548)
64294032,3/8/2025 13:48,3/8/2025 18:20,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,10040,52 ARDEN STREET,ARDEN STREET,NAGLE AVENUE,SHERMAN AVENUE,NAGLE AVENUE,SHERMAN AVENUE,ADDRESS,NEW YORK,ARDEN STREET,,Closed,,3/8/2025 18:20,12 MANHATTAN,MANHATTAN,1004333,253454,Unspecified,MANHATTAN,40.86232454,-73.92739483,POINT (-73.92739483266651 40.86232454147022)
64296065,3/8/2025 13:20,3/8/2025 14:59,NYPD,New York City Police Department,Animal-Abuse,Other (complaint details),Residential Building/House,11201,99 FLEET PLACE,FLEET PLACE,FAIR STREET,WILLOUGHBY STREET,FAIR STREET,WILLOUGHBY STREET,ADDRESS,BROOKLYN,FLEET PLACE,,Closed,,3/8/2025 14:59,02 BROOKLYN,BROOKLYN,989309,191657,Unspecified,BROOKLYN,40.69272952,-73.98175695,POINT (-73.98175694864635 40.69272951866776)
64289354,3/8/2025 13:16,3/8/2025 13:54,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11205,100 WASHINGTON PARK,WASHINGTON PARK,MYRTLE AVENUE,WILLOUGHBY AVENUE,MYRTLE AVENUE,WILLOUGHBY AVENUE,ADDRESS,BROOKLYN,WASHINGTON PARK,,Closed,,3/8/2025 13:54,02 BROOKLYN,BROOKLYN,991541,191573,Unspecified,BROOKLYN,40.6924974,-73.97370832,POINT (-73.9737083167811 40.692497400764616)
64295032,3/8/2025 13:08,3/8/2025 14:45,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11211,350 MASPETH AVENUE,MASPETH AVENUE,VANDERVOORT AVENUE,DEAD END,VANDERVOORT AVENUE,DEAD END,ADDRESS,BROOKLYN,MASPETH AVENUE,,Closed,,3/8/2025 14:45,01 BROOKLYN,BROOKLYN,1003716,201052,Unspecified,BROOKLYN,40.71849661,-73.92977731,POINT (-73.92977731468619 40.71849660931797)
64289847,3/8/2025 13:07,3/12/2025 13:46,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,3+ Family Apartment Building,10458,2874 GRAND CONCOURSE,GRAND CONCOURSE,MINERVA PLACE,EAST 199 STREET,MINERVA PLACE,EAST  199 STREET,ADDRESS,BRONX,GRAND CONCOURSE,N/A,Closed,,3/8/2025 13:07,07 BRONX,BRONX,1014641,256500,Unspecified,BRONX,40.87065541,-73.890115,POINT (-73.89011500207667 40.870655411048666)
64290450,3/8/2025 12:38,3/10/2025 10:39,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11364,61-24 224 STREET,224 STREET,223 PLACE,64 AVENUE,223 PLACE,64 AVENUE,ADDRESS,OAKLAND GARDENS,224 STREET,,Closed,,3/10/2025 4:43,11 QUEENS,QUEENS,1052607,212264,Unspecified,QUEENS,40.749028,-73.753292,POINT (-73.75329200223197 40.74902799616412)
64290313,3/8/2025 12:36,3/8/2025 19:01,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11212,2038 STRAUSS STREET,STRAUSS STREET,BLAKE AVENUE,DUMONT AVENUE,BLAKE AVENUE,DUMONT AVENUE,ADDRESS,BROOKLYN,STRAUSS STREET,,Closed,,3/8/2025 19:01,16 BROOKLYN,BROOKLYN,1007788,181257,Unspecified,BROOKLYN,40.66415403,-73.91515694,POINT (-73.91515693768766 40.66415403055515)
64295571,3/8/2025 12:07,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,3+ Family Apartment Building,11693,8400 SHORE FRONT PARKWAY,SHORE FRONT PARKWAY,BEACH   84 STREET,BEACH   90 STREET,BEACH   84 STREET,BEACH   90 STREET,ADDRESS,FAR ROCKAWAY,SHORE FRONT PARKWAY,,In Progress,,,14 QUEENS,QUEENS,1037096,152590,Unspecified,QUEENS,40.58534289,-73.8097405,POINT (-73.80974049886493 40.585342891917264)
64295688,3/8/2025 12:00,3/10/2025 13:02,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,1-2 Family Dwelling,10303,18 NOAH COURT,NOAH COURT,BEND,DEAD END,BEND,DEAD END,ADDRESS,STATEN ISLAND,NOAH COURT,N/A,Closed,,3/8/2025 12:00,01 STATEN ISLAND,STATEN ISLAND,941536,170685,Unspecified,STATEN ISLAND,40.63506448,-74.15389617,POINT (-74.15389617351013 40.63506448472087)
64294622,3/8/2025 12:00,3/11/2025 13:33,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11214,8102 16 AVENUE,16 AVENUE,81 STREET,82 STREET,81 STREET,82 STREET,ADDRESS,BROOKLYN,16 AVENUE,,Closed,,3/8/2025 22:26,11 BROOKLYN,BROOKLYN,983016,162553,Unspecified,BROOKLYN,40.61284675,-74.00444455,POINT (-74.00444455154923 40.61284674908331)
64296221,3/8/2025 11:58,3/10/2025 12:24,DSNY,Department of Sanitation,Dead Animal,Opossum,Street,11426,83 AVENUE,83 AVENUE,83 AVENUE,252 STREET,83 AVENUE,252 STREET,INTERSECTION,,,,Closed,,3/8/2025 12:21,13 QUEENS,QUEENS,1062868,208121,Unspecified,QUEENS,40.73757128,-73.71630758,POINT (-73.71630758193422 40.73757128165541)
64295380,3/8/2025 11:52,3/10/2025 13:45,DSNY,Department of Sanitation,Dead Animal,Squirrel,Street,11364,58-24 BELL BOULEVARD,BELL BOULEVARD,58 AVENUE,HORACE HARDING EXPRESSWAY,58 AVENUE,HORACE HARDING EXPRESSWAY,ADDRESS,OAKLAND GARDENS,BELL BOULEVARD,,Closed,,3/10/2025 12:35,11 QUEENS,QUEENS,1050167,212216,Unspecified,QUEENS,40.74891477,-73.76209866,POINT (-73.7620986593523 40.748914773971315)
64296253,3/8/2025 11:34,,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,10473,936 CASTLE HILL AVENUE,CASTLE HILL AVENUE,QUIMBY AVENUE,BRUCKNER BOULEVARD,QUIMBY AVENUE,BRUCKNER BOULEVARD,ADDRESS,BRONX,CASTLE HILL AVENUE,,In Progress,,3/8/2025 23:22,09 BRONX,BRONX,1025836,240390,Unspecified,BRONX,40.82639264,-73.84973713,POINT (-73.84973713325205 40.826392638185744)
64289931,3/8/2025 11:21,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,1-2 Family Dwelling,10469,1019 EAST  212 STREET,EAST  212 STREET,PAULDING AVENUE,LACONIA AVENUE,PAULDING AVENUE,LACONIA AVENUE,ADDRESS,BRONX,EAST  212 STREET,,In Progress,,,12 BRONX,BRONX,1023927,258460,Unspecified,BRONX,40.87599815,-73.85652798,POINT (-73.85652797852671 40.87599814507699)
64297803,3/8/2025 10:47,3/8/2025 11:52,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10016,VINCENT F ALBANO JR PLAYGROUND,VINCENT F ALBANO JR PLAYGROUND,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,UNRECOGNIZED,NEW YORK,VINCENT F ALBANO JR PLAYGROUND,,Closed,,3/8/2025 11:52,06 MANHATTAN,MANHATTAN,990228,209581,Unspecified,MANHATTAN,40.74192602,-73.97842706,POINT (-73.97842706282222 40.74192602269478)
64287967,3/8/2025 10:42,3/8/2025 14:23,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10028,97 EAST END AVENUE,EAST END AVENUE,EAST   83 STREET,CARL SCHURZ PARK PATH,EAST   83 STREET,CARL SCHURZ PARK PATH,ADDRESS,NEW YORK,EAST END AVENUE,,Closed,,3/8/2025 14:23,08 MANHATTAN,MANHATTAN,999267,221100,Unspecified,MANHATTAN,40.773532,-73.94578211,POINT (-73.94578210607861 40.77353200012174)
64291188,3/8/2025 10:29,3/11/2025 15:14,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10451,EAST  150 STREET,EAST  150 STREET,EAST  150 STREET,GRAND CONCOURSE,EAST  150 STREET,GRAND CONCOURSE,INTERSECTION,,,,Closed,,3/10/2025 4:39,04 BRONX,BRONX,1004489,237844,Unspecified,BRONX,40.8194793,-73.92687796,POINT (-73.9268779616802 40.81947930249286)
64298350,3/8/2025 10:24,3/8/2025 10:24,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Cat,3+ Family Apartment Building,11223,2470 WEST    1 STREET,WEST    1 STREET,AVENUE X,AVENUE Y,AVENUE X,AVENUE Y,ADDRESS,BROOKLYN,WEST    1 STREET,N/A,Closed,,3/11/2025 9:21,15 BROOKLYN,BROOKLYN,992331,153890,Unspecified,BROOKLYN,40.58906497,-73.97090468,POINT (-73.97090467504073 40.58906497409391)
64287557,3/8/2025 10:17,3/11/2025 14:12,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11385,1652 NORMAN STREET,NORMAN STREET,WYCKOFF AVENUE,CYPRESS AVENUE,WYCKOFF AVENUE,CYPRESS AVENUE,ADDRESS,RIDGEWOOD,NORMAN STREET,,Closed,,3/10/2025 13:44,05 QUEENS,QUEENS,1011380,192931,Unspecified,QUEENS,40.69618621,-73.90216253,POINT (-73.90216253346446 40.69618621402131)
64287977,3/8/2025 10:13,3/8/2025 15:52,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,11213,1152 SAINT MARKS AVENUE,SAINT MARKS AVENUE,SCHENECTADY AVENUE,UTICA AVENUE,SCHENECTADY AVENUE,UTICA AVENUE,ADDRESS,BROOKLYN,ST MARKS AVENUE,,Closed,,3/8/2025 11:46,08 BROOKLYN,BROOKLYN,1003116,184919,Unspecified,BROOKLYN,40.67421659,-73.93198697,POINT (-73.93198697317673 40.67421658785273)
64292184,3/8/2025 10:02,3/8/2025 14:37,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10028,1000 5 AVENUE,5 AVENUE,EAST   81 STREET,EAST   82 STREET,EAST   81 STREET,EAST   82 STREET,ADDRESS,NEW YORK,5 AVENUE,,Closed,,3/8/2025 14:37,64 MANHATTAN,MANHATTAN,994623,222956,Unspecified,MANHATTAN,40.7786329,-73.9625461,POINT (-73.96254609596876 40.77863290127972)
64295520,3/8/2025 9:54,3/8/2025 18:19,NYPD,New York City Police Department,Animal-Abuse,Tortured,Residential Building/House,10040,52 ARDEN STREET,ARDEN STREET,NAGLE AVENUE,SHERMAN AVENUE,NAGLE AVENUE,SHERMAN AVENUE,ADDRESS,NEW YORK,ARDEN STREET,,Closed,,3/8/2025 18:19,12 MANHATTAN,MANHATTAN,1004333,253454,Unspecified,MANHATTAN,40.86232454,-73.92739483,POINT (-73.92739483266651 40.86232454147022)
64289058,3/8/2025 9:41,3/12/2025 15:24,DSNY,Department of Sanitation,Dead Animal,Cat,Street,10303,3014 RICHMOND TERRACE,RICHMOND TERRACE,HARBOR ROAD,LOCKMAN AVENUE,HARBOR ROAD,LOCKMAN AVENUE,ADDRESS,STATEN ISLAND,RICHMOND TERRACE,,Closed,,3/8/2025 21:15,01 STATEN ISLAND,STATEN ISLAND,939729,171484,Unspecified,STATEN ISLAND,40.63724867,-74.16041195,POINT (-74.16041195174708 40.63724866790197)
64289009,3/8/2025 9:39,3/10/2025 13:08,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,10314,SIGNS ROAD,SIGNS ROAD,SIGNS ROAD,TODDY AVENUE,SIGNS ROAD,TODDY AVENUE,INTERSECTION,,,,Closed,,3/8/2025 22:40,02 STATEN ISLAND,STATEN ISLAND,938339,158601,Unspecified,STATEN ISLAND,40.60188048,-74.16533259,POINT (-74.16533258654846 40.60188048096012)
64297524,3/8/2025 9:30,,DSNY,Department of Sanitation,Dead Animal,Cat,Street,10472,1497 WESTCHESTER AVENUE,WESTCHESTER AVENUE,EVERGREEN AVENUE,WHEELER AVENUE,EVERGREEN AVENUE,WHEELER AVENUE,ADDRESS,BRONX,WESTCHESTER AVENUE,,In Progress,,3/8/2025 23:20,09 BRONX,BRONX,1017369,241145,Unspecified,BRONX,40.8285007,-73.88032721,POINT (-73.8803272096596 40.82850070221919)
64296486,3/8/2025 8:56,3/8/2025 9:05,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10028,97 EAST END AVENUE,EAST END AVENUE,EAST   83 STREET,CARL SCHURZ PARK PATH,EAST   83 STREET,CARL SCHURZ PARK PATH,ADDRESS,NEW YORK,EAST END AVENUE,,Closed,,3/8/2025 9:05,08 MANHATTAN,MANHATTAN,999267,221100,Unspecified,MANHATTAN,40.773532,-73.94578211,POINT (-73.94578210607861 40.77353200012174)
64287960,3/8/2025 8:55,3/8/2025 9:05,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10028,97 EAST END AVENUE,EAST END AVENUE,EAST   83 STREET,CARL SCHURZ PARK PATH,EAST   83 STREET,CARL SCHURZ PARK PATH,ADDRESS,NEW YORK,EAST END AVENUE,,Closed,,3/8/2025 9:05,08 MANHATTAN,MANHATTAN,999267,221100,Unspecified,MANHATTAN,40.773532,-73.94578211,POINT (-73.94578210607861 40.77353200012174)
64297748,3/8/2025 8:54,3/8/2025 9:05,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10028,97 EAST END AVENUE,EAST END AVENUE,EAST   83 STREET,CARL SCHURZ PARK PATH,EAST   83 STREET,CARL SCHURZ PARK PATH,ADDRESS,NEW YORK,EAST END AVENUE,,Closed,,3/8/2025 9:06,08 MANHATTAN,MANHATTAN,999267,221100,Unspecified,MANHATTAN,40.773532,-73.94578211,POINT (-73.94578210607861 40.77353200012174)
64293497,3/8/2025 8:53,3/8/2025 9:06,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10028,97 EAST END AVENUE,EAST END AVENUE,EAST   83 STREET,CARL SCHURZ PARK PATH,EAST   83 STREET,CARL SCHURZ PARK PATH,ADDRESS,NEW YORK,EAST END AVENUE,,Closed,,3/8/2025 9:06,08 MANHATTAN,MANHATTAN,999267,221100,Unspecified,MANHATTAN,40.773532,-73.94578211,POINT (-73.94578210607861 40.77353200012174)
64290745,3/8/2025 8:52,3/8/2025 9:14,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10028,97 EAST END AVENUE,EAST END AVENUE,EAST   83 STREET,CARL SCHURZ PARK PATH,EAST   83 STREET,CARL SCHURZ PARK PATH,ADDRESS,NEW YORK,EAST END AVENUE,,Closed,,3/8/2025 9:14,08 MANHATTAN,MANHATTAN,999267,221100,Unspecified,MANHATTAN,40.773532,-73.94578211,POINT (-73.94578210607861 40.77353200012174)
64287925,3/8/2025 8:50,3/8/2025 9:14,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10028,97 EAST END AVENUE,EAST END AVENUE,EAST   83 STREET,CARL SCHURZ PARK PATH,EAST   83 STREET,CARL SCHURZ PARK PATH,ADDRESS,NEW YORK,EAST END AVENUE,,Closed,,3/8/2025 9:14,08 MANHATTAN,MANHATTAN,999267,221100,Unspecified,MANHATTAN,40.773532,-73.94578211,POINT (-73.94578210607861 40.77353200012174)
64296220,3/8/2025 8:38,3/10/2025 12:24,DSNY,Department of Sanitation,Dead Animal,Opossum,Sidewalk,11426,251-16 83 AVENUE,83 AVENUE,251 STREET,252 STREET,251 STREET,252 STREET,ADDRESS,BELLEROSE,83 AVENUE,,Closed,,3/8/2025 12:20,13 QUEENS,QUEENS,1062685,208065,Unspecified,QUEENS,40.7374192,-73.71696858,POINT (-73.71696858426976 40.73741920113508)
64289008,3/8/2025 8:27,3/10/2025 13:08,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,10314,67 SIGNS ROAD,SIGNS ROAD,TODDY AVENUE,CARREAU AVENUE,TODDY AVENUE,CARREAU AVENUE,ADDRESS,STATEN ISLAND,SIGNS ROAD,,Closed,,3/8/2025 22:42,02 STATEN ISLAND,STATEN ISLAND,938189,158625,Unspecified,STATEN ISLAND,40.60194558,-74.16587292,POINT (-74.16587292203461 40.601945577610834)
64292582,3/8/2025 8:27,3/10/2025 12:23,DSNY,Department of Sanitation,Dead Animal,Other,Street,11413,145 ROAD,145 ROAD,145 ROAD,228 STREET,145 ROAD,228 STREET,INTERSECTION,,,,Closed,,3/8/2025 12:04,13 QUEENS,QUEENS,1053024,180221,Unspecified,QUEENS,40.66107463,-73.75211427,POINT (-73.7521142713353 40.66107463388947)
