"","cd_code","cluster","region","dem_perc","gop_perc","dem_margin","clinton_margin","swing"
"356","TN-04","Rural-suburban mix","South",33.6,63.4,-29.8,-40.9,11.1
"357","TN-05","Sparse suburban","South",67.8,32.2,35.7,18.2,17.5
"358","TN-06","Pure rural","South",28.3,69.5,-41.2,-48.8,7.6
"359","TN-07","Pure rural","South",32.1,66.9,-34.8,-39,4.2
"360","TN-08","Rural-suburban mix","South",30.1,67.7,-37.6,-35.4,-2.2
"361","TN-09","Dense suburban","South",80,19.2,60.7,57.3,3.4
"362","TX-01","Pure rural","South",26.3,72.3,-45.9,-46.6,0.7
"363","TX-02","Dense suburban","South",45.6,52.8,-7.3,-9.2,1.9
"364","TX-03","Dense suburban","South",44.2,54.2,-10,-13.9,3.9
"365","TX-04","Pure rural","South",23,75.7,-52.7,-53.2,0.5
"366","TX-05","Rural-suburban mix","South",37.5,62.3,-24.8,-28.3,3.5
"367","TX-06","Dense suburban","South",45.4,53.1,-7.7,-12.2,4.5
"368","TX-07","Urban-suburban mix","South",52.5,47.5,5.1,1.4,3.7
"369","TX-08","Rural-suburban mix","South",24.9,73.4,-48.6,-48.3,-0.3
"370","TX-09","Urban-suburban mix","South",89.1,0,89.1,61.2,NA
"371","TX-10","Rural-suburban mix","South",46.8,51.1,-4.3,-9.1,4.8
"372","TX-11","Rural-suburban mix","South",18.4,80.1,-61.7,-58.5,-3.2
"373","TX-12","Sparse suburban","South",33.9,64.3,-30.4,-30,-0.4
"374","TX-13","Rural-suburban mix","South",16.9,81.5,-64.6,-62.8,-1.8
"375","TX-14","Sparse suburban","South",39.3,59.2,-19.9,-19.7,-0.2
"376","TX-15","Sparse suburban","South",59.7,38.8,20.9,16.6,4.3
"377","TX-16","Dense suburban","South",68.5,27,41.4,40.3,1.1
"378","TX-17","Rural-suburban mix","South",41.3,56.8,-15.5,-17.3,1.8
"379","TX-18","Dense suburban","South",75.2,20.8,54.4,56.3,-1.9
"380","TX-19","Rural-suburban mix","South",24.8,75.2,-50.5,-48.7,-1.8
"381","TX-20","Dense suburban","South",80.9,0,80.9,26.4,NA
"382","TX-21","Dense suburban","South",47.6,50.2,-2.6,-9.9,7.3
"383","TX-22","Sparse suburban","South",46.5,51.4,-4.9,-7.8,2.9
"384","TX-23","Rural-suburban mix","South",48.7,49.2,-0.4,3.5,-3.9
"385","TX-24","Dense suburban","South",47.5,50.6,-3.1,-6.2,3.1
"386","TX-25","Rural-suburban mix","South",44.8,53.5,-8.7,-14.7,6
"387","TX-26","Sparse suburban","South",39,59.4,-20.4,-26.2,5.8
"388","TX-27","Rural-suburban mix","South",36.6,60.3,-23.7,-23.4,-0.3
"389","TX-28","Sparse suburban","South",84.4,0,84.4,19.7,NA
"390","TX-29","Dense suburban","South",75.1,23.9,51.1,45.6,5.5
"391","TX-30","Dense suburban","South",91.1,0,91.1,60.8,NA
"392","TX-31","Sparse suburban","South",47.7,50.6,-2.9,-12.5,9.6
"393","TX-32","Dense suburban","South",52.3,45.8,6.5,1.9,4.6
"394","TX-33","Dense suburban","South",76.2,21.9,54.3,49.1,5.2
"395","TX-34","Rural-suburban mix","South",60,40,20,21.5,-1.5
"396","TX-35","Dense suburban","South",71.3,26,45.2,33.3,11.9
"397","TX-36","Rural-suburban mix","South",27.4,72.6,-45.1,-46.5,1.4
"398","UT-01","Sparse suburban","West",24.9,61.6,-36.7,-27.4,-9.3
"399","UT-02","Rural-suburban mix","West",38.9,56.1,-17.2,-14,-3.2
"400","UT-03","Sparse suburban","West",27.3,67.5,-40.2,-23.9,-16.3
"401","UT-04","Dense suburban","West",50.1,49.9,0.3,-6.7,7
"402","VT-AL","Pure rural","Northeast",69.2,26,43.3,26.4,16.9
"403","VA-01","Rural-suburban mix","South",44.7,55.2,-10.5,-12.4,1.9
"404","VA-02","Dense suburban","South",51.1,48.8,2.2,-3.4,5.6
"405","VA-03","Dense suburban","South",91.2,0,91.2,31.5,NA
"406","VA-04","Rural-suburban mix","South",62.6,35.9,26.7,21.4,5.3
"407","VA-05","Pure rural","South",46.6,53.2,-6.5,-11,4.5
"408","VA-06","Rural-suburban mix","South",40.2,59.7,-19.5,-24.6,5.1
"409","VA-07","Rural-suburban mix","South",50.3,48.4,1.9,-6.5,8.4
"410","VA-08","Urban-suburban mix","South",76.1,23.7,52.4,51.8,0.6
"411","VA-09","Pure rural","South",34.8,65.2,-30.4,-41.3,10.9
"412","VA-10","Sparse suburban","South",56.1,43.7,12.4,9.8,2.6
"413","VA-11","Dense suburban","South",71.1,26.9,44.2,38.9,5.3
"414","WA-01","Sparse suburban","West",59.3,40.7,18.5,16.4,2.1
"415","WA-02","Dense suburban","West",71.3,0,71.3,22.1,NA
"416","WA-03","Rural-suburban mix","West",47.3,52.7,-5.3,-7.4,2.1
"417","WA-04","Rural-suburban mix","West",37.2,62.8,-25.6,-22.9,-2.7
"418","WA-05","Rural-suburban mix","West",45.2,54.8,-9.5,-13,3.5
"419","WA-06","Rural-suburban mix","West",63.9,36.1,27.8,12.4,15.4
"420","WA-07","Urban-suburban mix","West",83.6,16.4,67.1,69.8,-2.7
"421","WA-08","Sparse suburban","West",52.4,47.6,4.8,3,1.8
"422","WA-09","Dense suburban","West",100,0,100,47.1,NA
"423","WA-10","Dense suburban","West",61.5,38.5,23.1,11.3,11.8
"424","WV-01","Pure rural","South",35.4,64.6,-29.2,-41.6,12.4
"425","WV-02","Pure rural","South",43,54,-11,-36.4,25.4
"426","WV-03","Pure rural","South",43.6,56.4,-12.7,-49.3,36.6
"427","WI-01","Sparse suburban","Midwest",42.3,54.6,-12.3,-10.3,-2
"428","WI-02","Rural-suburban mix","Midwest",100,0,100,36.3,NA
"429","WI-03","Pure rural","Midwest",59.7,40.3,19.3,-4.5,23.8
"430","WI-04","Urban-suburban mix","Midwest",75.7,21.7,54,51.5,2.5
"431","WI-05","Sparse suburban","Midwest",38,62,-24,-19.8,-4.2
"432","WI-06","Rural-suburban mix","Midwest",44.5,55.5,-11,-16.6,5.6
"433","WI-07","Pure rural","Midwest",38.5,60.1,-21.6,-20.3,-1.3
"434","WI-08","Rural-suburban mix","Midwest",36.3,63.7,-27.4,-17.4,-10
"435","WY-AL","Pure rural","West",29.8,63.6,-33.8,-46.3,12.5
