Year,Country,Continent,Emission
2009,St. Vincent And The Grenadines,North America,2.114511922
2010,St. Vincent And The Grenadines,North America,2.146876944
2011,St. Vincent And The Grenadines,North America,2.179923359
2008,Venezuela,South America,6.6048923
2009,Venezuela,South America,6.525292813
2010,Venezuela,South America,6.811756484
2011,Venezuela,South America,6.416333581
2008,Vietnam,Asia,1.497496085
2009,Vietnam,Asia,1.636370776
2010,Vietnam,Asia,1.76169543
2011,Vietnam,Asia,1.971433571
2008,Vanuatu,Oceania,0.406838707
2009,Vanuatu,Oceania,0.508462532
2010,Vanuatu,Oceania,0.496591183
2011,Vanuatu,Oceania,0.591265773
2008,West Bank And Gaza,Asia,0.570947494
2009,West Bank And Gaza,Asia,0.564577775
2010,West Bank And Gaza,Asia,0.534014834
2011,West Bank And Gaza,Asia,0.572406877
2008,Samoa,Oceania,1.039489751
2009,Samoa,Oceania,1.072106118
2010,Samoa,Oceania,1.103870902
2011,Samoa,Oceania,1.252110076
2008,Yemen,Asia,0.989904581
2009,Yemen,Asia,1.026251462
2010,Yemen,Asia,1.090060254
2011,Yemen,Asia,0.919967617
2008,South Africa,Africa,9.506481163
2009,South Africa,Africa,9.545494788
2010,South Africa,Africa,8.957153524
2011,South Africa,Africa,9.257216472
2008,Dem Rep Of Congo,Africa,0.048411373
2009,Dem Rep Of Congo,Africa,0.045604097
2010,Dem Rep Of Congo,Africa,0.049328064
2011,Dem Rep Of Congo,Africa,0.050302688
2008,Zambia,Africa,0.164691753
2009,Zambia,Africa,0.184057876
2010,Zambia,Africa,0.192078658
2011,Zambia,Africa,0.212449645
2008,Zimbabwe,Africa,0.569255428
2009,Zimbabwe,Africa,0.600521157
2010,Zimbabwe,Africa,0.646072745
2011,Zimbabwe,Africa,0.691697897
