"","person","dept","eow","cause","cause_short","date","year","canine","dept_name","state","description","latitude","longitude","state_name"
"1132","Patrolman Raymond Paul Rexer","Bay City Police Department, MI","EOW: Saturday, April 27, 1991","Cause of Death: Gunfire","Gunfire","1991-04-27",1991,"False","Bay City Police Department","MI","Lansing",42.733635,-84.555328,"Michigan"
"1133","Patrolman Terry James Jablonski","Bay City Police Department, MI","EOW: Saturday, April 27, 1991","Cause of Death: Gunfire","Gunfire","1991-04-27",1991,"False","Bay City Police Department","MI","Lansing",42.733635,-84.555328,"Michigan"
"1134","Deputy Sheriff Christopher C. Willems","Sedgwick County Sheriff's Office, KS","EOW: Sunday, May 12, 1991","Cause of Death: Gunfire","Gunfire","1991-05-12",1991,"False","Sedgwick County Sheriff's Office","KS","Topeka",39.048191,-95.677956,"Kansas"
"1135","Trooper Douglas Wayne Tripp","Tennessee Highway Patrol, TN","EOW: Sunday, May 19, 1991","Cause of Death: Gunfire","Gunfire","1991-05-19",1991,"False","Tennessee Highway Patrol","TN","Nashville",36.16581,-86.784241,"Tennessee"
"1136","Deputy Sheriff Richard S. Cochran, II","King County Sheriff's Office, WA","EOW: Wednesday, May 22, 1991","Cause of Death: Motorcycle accident","Motorcycle accident","1991-05-22",1991,"False","King County Sheriff's Office","WA","Olympia",47.035805,-122.905014,"Washington"
"1137","Deputy Sheriff Kenneth Mason McCarty","Bourbon County Sheriff's Department, KY","EOW: Thursday, May 23, 1991","Cause of Death: Automobile accident","Automobile accident","1991-05-23",1991,"False","Bourbon County Sheriff's Department","KY","Frankfort",38.186722,-84.875374,"Kentucky"
"1138","Deputy Sheriff Douglas Gene Nanney","Madison County Sheriff's Office, TN","EOW: Friday, May 24, 1991","Cause of Death: Vehicle pursuit","Vehicle pursuit","1991-05-24",1991,"False","Madison County Sheriff's Office","TN","Nashville",36.16581,-86.784241,"Tennessee"
"1139","K9 Kim","Huntington Beach Police Department, CA","EOW: Sunday, May 26, 1991","Cause of Death: Stabbed","Stabbed","1991-05-26",1991,"True","Huntington Beach Police Department","CA","Sacramento",38.576668,-121.493629,"California"
"1140","Lieutenant Thomas L. Kleis","Beech Grove Police Department, IN","EOW: Tuesday, May 28, 1991","Cause of Death: Vehicle pursuit","Vehicle pursuit","1991-05-28",1991,"False","Beech Grove Police Department","IN","Indianapolis",39.768623,-86.162643,"Indiana"
"1141","Trooper Russell A. Bagshaw","Connecticut State Police, CT","EOW: Wednesday, June 5, 1991","Cause of Death: Gunfire","Gunfire","1991-06-05",1991,"False","Connecticut State Police","CT","Hartford",41.764046,-72.682198,"Connecticut"
"1142","Captain Raymond Bussell Merritt","Tift County Sheriff's Office, GA","EOW: Saturday, June 8, 1991","Cause of Death: Gunfire","Gunfire","1991-06-08",1991,"False","Tift County Sheriff's Office","GA","Atlanta",33.749027,-84.388229,"Georgia"
"1143","Captain Stanley Delano Rhem","New York City Department of Correction, NY","EOW: Monday, June 10, 1991","Cause of Death: Gunfire","Gunfire","1991-06-10",1991,"False","New York City Department of Correction","NY","Albany",42.652843,-73.757874,"New York"
"1144","Officer Charles Brian Stafford","Miami Springs Police Department, FL","EOW: Tuesday, June 11, 1991","Cause of Death: Gunfire","Gunfire","1991-06-11",1991,"False","Miami Springs Police Department","FL","Tallahassee",30.438118,-84.281296,"Florida"
"1145","Police Officer Kenneth Michael Hansen","New York City Police Department, NY","EOW: Tuesday, June 11, 1991","Cause of Death: Drowned","Drowned","1991-06-11",1991,"False","New York City Police Department","NY","Albany",42.652843,-73.757874,"New York"
"1146","Police Officer Charles Randall Champe","Los Angeles Police Department, CA","EOW: Thursday, June 13, 1991","Cause of Death: Aircraft accident","Aircraft accident","1991-06-13",1991,"False","Los Angeles Police Department","CA","Sacramento",38.576668,-121.493629,"California"
"1147","Police Officer Gary Alan Howe","Los Angeles Police Department, CA","EOW: Thursday, June 13, 1991","Cause of Death: Aircraft accident","Aircraft accident","1991-06-13",1991,"False","Los Angeles Police Department","CA","Sacramento",38.576668,-121.493629,"California"
"1148","Deputy Harold Charles Voege, Jr.","Ripley County Sheriff's Department, MO","EOW: Sunday, June 16, 1991","Cause of Death: Accidental","Accidental","1991-06-16",1991,"False","Ripley County Sheriff's Department","MO","Jefferson City",38.579201,-92.172935,"Missouri"
"1149","Corporal Robert Howard Hinson","Columbus County Sheriff's Office, NC","EOW: Tuesday, June 18, 1991","Cause of Death: Gunfire","Gunfire","1991-06-18",1991,"False","Columbus County Sheriff's Office","NC","Raleigh",35.78043,-78.639099,"North Carolina"
"1150","Chief of Police Ralph C. Brooks","Antrim Police Department, NH","EOW: Tuesday, June 18, 1991","Cause of Death: Heart attack","Heart attack","1991-06-18",1991,"False","Antrim Police Department","NH","Concord",43.206898,-71.537994,"New Hampshire"
"1151","K9 Jupp","Pittsburgh Police Department, PA","EOW: Friday, June 21, 1991","Cause of Death: Struck by vehicle","Struck by vehicle","1991-06-21",1991,"True","Pittsburgh Police Department","PA","Harrisburg",40.264378,-76.883598,"Pennsylvania"
"1152","Police Officer Richard Michael Leskie","Detroit Police Department, MI","EOW: Monday, July 1, 1991","Cause of Death: Gunfire","Gunfire","1991-07-01",1991,"False","Detroit Police Department","MI","Lansing",42.733635,-84.555328,"Michigan"
"1153","Agent Kenneth Dale Aycock","Louisiana Department of Wildlife and Fisheries, LA","EOW: Saturday, July 6, 1991","Cause of Death: Drowned","Drowned","1991-07-06",1991,"False","Louisiana Department of Wildlife and Fisheries","LA","Baton Rouge",30.457069,-91.187393,"Louisiana"
"1154","Trooper Kermit Fitzpatrick","Michigan State Police, MI","EOW: Sunday, July 7, 1991","Cause of Death: Gunfire","Gunfire","1991-07-07",1991,"False","Michigan State Police","MI","Lansing",42.733635,-84.555328,"Michigan"
"1155","Patrolman Jeffery Dean Ginn","Pasadena Police Department, TX","EOW: Wednesday, July 10, 1991","Cause of Death: Gunfire","Gunfire","1991-07-10",1991,"False","Pasadena Police Department","TX","Austin",30.27467,-97.740349,"Texas"
"1156","Patrolman Donald Burton Gamblin, Jr.","Shawnee Police Department, KS","EOW: Saturday, July 13, 1991","Cause of Death: Vehicular assault","Vehicular assault","1991-07-13",1991,"False","Shawnee Police Department","KS","Topeka",39.048191,-95.677956,"Kansas"
"1157","Deputy Sheriff Blanco Aquino","Kenosha County Sheriff's Department, WI","EOW: Sunday, July 21, 1991","Cause of Death: Vehicular assault","Vehicular assault","1991-07-21",1991,"False","Kenosha County Sheriff's Department","WI","Madison",43.074684,-89.384445,"Wisconsin"
"1158","Lieutenant William Patrick Farrell","Front Royal Police Department, VA","EOW: Wednesday, July 24, 1991","Cause of Death: Duty related illness","Duty related illness","1991-07-24",1991,"False","Front Royal Police Department","VA","Richmond",37.538857,-77.43364,"Virginia"
"1159","Officer James Anthony Martin","New Canaan Police Department, CT","EOW: Wednesday, July 24, 1991","Cause of Death: Electrocuted","Electrocuted","1991-07-24",1991,"False","New Canaan Police Department","CT","Hartford",41.764046,-72.682198,"Connecticut"
"1160","Officer Richard H. Buckner","Clanton Police Department, AL","EOW: Sunday, July 28, 1991","Cause of Death: Automobile accident","Automobile accident","1991-07-28",1991,"False","Clanton Police Department","AL","Montgomery",32.377716,-86.300568,"Alabama"
"1161","Deputy Sheriff Gary Allan Johnson","Montgomery County Sheriff's Office, NY","EOW: Thursday, August 1, 1991","Cause of Death: Vehicular assault","Vehicular assault","1991-08-01",1991,"False","Montgomery County Sheriff's Office","NY","Albany",42.652843,-73.757874,"New York"
"1162","Deputy Sheriff Marion Dyer Hodges","Gregg County Sheriff's Department, TX","EOW: Sunday, August 4, 1991","Cause of Death: Fall","Fall","1991-08-04",1991,"False","Gregg County Sheriff's Department","TX","Austin",30.27467,-97.740349,"Texas"
"1163","Captain Richard Barry Zbinden","Pomona Police Department, CA","EOW: Tuesday, August 13, 1991","Cause of Death: Gunfire","Gunfire","1991-08-13",1991,"False","Pomona Police Department","CA","Sacramento",38.576668,-121.493629,"California"
"1164","Officer Jimmie Lamar Haynes","Chicago Housing Authority Police Department, IL","EOW: Saturday, August 17, 1991","Cause of Death: Gunfire","Gunfire","1991-08-17",1991,"False","Chicago Housing Authority Police Department","IL","Springfield",39.798363,-89.654961,"Illinois"
"1165","Police Officer William Joseph Werner, IV","Westminster Police Department, SC","EOW: Sunday, August 18, 1991","Cause of Death: Vehicular assault","Vehicular assault","1991-08-18",1991,"False","Westminster Police Department","SC","Columbia",34.000343,-81.033211,"South Carolina"
"1166","Police Officer Christopher Bieker May","Fulton County Police Department, GA","EOW: Monday, August 19, 1991","Cause of Death: Gunfire","Gunfire","1991-08-19",1991,"False","Fulton County Police Department","GA","Atlanta",33.749027,-84.388229,"Georgia"
"1167","Sergeant Roy Arthur Williams","Collier County Sheriff's Office, FL","EOW: Thursday, August 22, 1991","Cause of Death: Automobile accident","Automobile accident","1991-08-22",1991,"False","Collier County Sheriff's Office","FL","Tallahassee",30.438118,-84.281296,"Florida"
"1168","Deputy Sheriff Michael William Morrow","Pine County Sheriff's Department, MN","EOW: Saturday, August 24, 1991","Cause of Death: Assault","Assault","1991-08-24",1991,"False","Pine County Sheriff's Department","MN","St. Paul",44.955097,-93.102211,"Minnesota"
"1169","Officer Randal N. Young","Honolulu Police Department, HI","EOW: Wednesday, August 28, 1991","Cause of Death: Vehicular assault","Vehicular assault","1991-08-28",1991,"False","Honolulu Police Department","HI","Honolulu",21.307442,-157.857376,"Hawaii"
"1170","Special Agent Jessie Bruce Dobson, Jr.","Florida Department of Law Enforcement, FL","EOW: Friday, August 30, 1991","Cause of Death: Aircraft accident","Aircraft accident","1991-08-30",1991,"False","Florida Department of Law Enforcement","FL","Tallahassee",30.438118,-84.281296,"Florida"
"1171","Auxiliary Officer George Wayne Starr","Virginia Beach Police Department, VA","EOW: Saturday, August 31, 1991","Cause of Death: Struck by vehicle","Struck by vehicle","1991-08-31",1991,"False","Virginia Beach Police Department","VA","Richmond",37.538857,-77.43364,"Virginia"
"1172","Officer William Robert Jack","Carlsbad Police Department, CA","EOW: Sunday, September 1, 1991","Cause of Death: Motorcycle accident","Motorcycle accident","1991-09-01",1991,"False","Carlsbad Police Department","CA","Sacramento",38.576668,-121.493629,"California"
"1173","Officer Leonard Leon Kolodziej","Phoenix Police Department, AZ","EOW: Wednesday, September 4, 1991","Cause of Death: Gunfire","Gunfire","1991-09-04",1991,"False","Phoenix Police Department","AZ","Phoenix",33.448143,-112.096962,"Arizona"
"1174","Patrol Officer John E. Reeve","Memphis Police Department, TN","EOW: Monday, September 9, 1991","Cause of Death: Automobile accident","Automobile accident","1991-09-09",1991,"False","Memphis Police Department","TN","Nashville",36.16581,-86.784241,"Tennessee"
"1175","Sergeant William Dickerson","Wayne County Sheriff's Department, MI","EOW: Wednesday, September 11, 1991","Cause of Death: Gunfire","Gunfire","1991-09-11",1991,"False","Wayne County Sheriff's Department","MI","Lansing",42.733635,-84.555328,"Michigan"
"1176","Police Officer Hector Antonio Fontanez-Diaz","New York City Police Department, NY","EOW: Thursday, September 12, 1991","Cause of Death: Gunfire","Gunfire","1991-09-12",1991,"False","New York City Police Department","NY","Albany",42.652843,-73.757874,"New York"
"1177","Corporal Jeffery Scott Sanford","Harris County Sheriff's Office, TX","EOW: Saturday, September 14, 1991","Cause of Death: Gunfire","Gunfire","1991-09-14",1991,"False","Harris County Sheriff's Office","TX","Austin",30.27467,-97.740349,"Texas"
"1178","Officer John W. Duty","St. Joseph Police Department, MO","EOW: Sunday, September 15, 1991","Cause of Death: Struck by vehicle","Struck by vehicle","1991-09-15",1991,"False","St. Joseph Police Department","MO","Jefferson City",38.579201,-92.172935,"Missouri"
"1179","Police Officer Ronald Wayne Davis","San Diego Police Department, CA","EOW: Tuesday, September 17, 1991","Cause of Death: Gunfire","Gunfire","1991-09-17",1991,"False","San Diego Police Department","CA","Sacramento",38.576668,-121.493629,"California"
"1180","Special Agent Debra Goodale Tison","Florida Division of Alcoholic Beverages and Tobacco, FL","EOW: Friday, September 20, 1991","Cause of Death: Vehicular assault","Vehicular assault","1991-09-20",1991,"False","Florida Division of Alcoholic Beverages and Tobacco","FL","Tallahassee",30.438118,-84.281296,"Florida"
"1181","Probationary Police Officer Neil McGroary","New York City Police Department, NY","EOW: Sunday, September 22, 1991","Cause of Death: Heart attack","Heart attack","1991-09-22",1991,"False","New York City Police Department","NY","Albany",42.652843,-73.757874,"New York"
"1182","Trooper Robert William Jones","Alabama Department of Public Safety, AL","EOW: Thursday, October 3, 1991","Cause of Death: Automobile accident","Automobile accident","1991-10-03",1991,"False","Alabama Department of Public Safety","AL","Montgomery",32.377716,-86.300568,"Alabama"
"1183","Lieutenant James Ronnie Woodard","Metro Nashville Police Department, TN","EOW: Wednesday, October 9, 1991","Cause of Death: Gunfire","Gunfire","1991-10-09",1991,"False","Metro Nashville Police Department","TN","Nashville",36.16581,-86.784241,"Tennessee"
"1184","Game Warden Kirk D. Inberg","Wyoming Department of Game and Fish, WY","EOW: Wednesday, October 16, 1991","Cause of Death: Aircraft accident","Aircraft accident","1991-10-16",1991,"False","Wyoming Department of Game and Fish","WY","Cheyenne",41.140259,-104.820236,"Wyoming"
"1185","Deputy James Lee Williams","Kern County Sheriff's Department, CA","EOW: Saturday, October 19, 1991","Cause of Death: Automobile accident","Automobile accident","1991-10-19",1991,"False","Kern County Sheriff's Department","CA","Sacramento",38.576668,-121.493629,"California"
"1186","Officer John William Grubensky","Oakland Police Department, CA","EOW: Sunday, October 20, 1991","Cause of Death: Fire","Fire","1991-10-20",1991,"False","Oakland Police Department","CA","Sacramento",38.576668,-121.493629,"California"
"1187","Deputy Kenneth Fredrick Perrigo","Shasta County Sheriff's Department, CA","EOW: Monday, October 21, 1991","Cause of Death: Gunfire","Gunfire","1991-10-21",1991,"False","Shasta County Sheriff's Department","CA","Sacramento",38.576668,-121.493629,"California"
"1188","Corrections Officer Peter Michael Petrosino","New York State Department of Correctional Services, NY","EOW: Thursday, October 24, 1991","Cause of Death: Duty related illness","Duty related illness","1991-10-24",1991,"False","New York State Department of Correctional Services","NY","Albany",42.652843,-73.757874,"New York"
"1189","Officer Jeremiah J. Hurley, Jr.","Boston Police Department, MA","EOW: Monday, October 28, 1991","Cause of Death: Bomb","Bomb","1991-10-28",1991,"False","Boston Police Department","MA","Boston",42.358162,-71.063698,"Massachusetts"
"1190","Officer Thomas Crouch","Maryland Toll Facilities Police Department, MD","EOW: Thursday, October 31, 1991","Cause of Death: Struck by vehicle","Struck by vehicle","1991-10-31",1991,"False","Maryland Toll Facilities Police Department","MD","Annapolis",38.978764,-76.490936,"Maryland"
"1191","Sergeant John Wayne DeLashmit","Covington Police Department, TN","EOW: Monday, November 4, 1991","Cause of Death: Heart attack","Heart attack","1991-11-04",1991,"False","Covington Police Department","TN","Nashville",36.16581,-86.784241,"Tennessee"
"1192","Deputy Sheriff Glover Emerson Bryant, III","Okeechobee County Sheriff's Department, FL","EOW: Friday, November 8, 1991","Cause of Death: Aircraft accident","Aircraft accident","1991-11-08",1991,"False","Okeechobee County Sheriff's Department","FL","Tallahassee",30.438118,-84.281296,"Florida"
"1193","Patrolman Ernesto Serna","El Paso Police Department, TX","EOW: Tuesday, November 12, 1991","Cause of Death: Gunfire","Gunfire","1991-11-12",1991,"False","El Paso Police Department","TX","Austin",30.27467,-97.740349,"Texas"
"1194","Police Officer Donald Ray Tucker","Clinton Police Department, NC","EOW: Thursday, November 14, 1991","Cause of Death: Gunfire","Gunfire","1991-11-14",1991,"False","Clinton Police Department","NC","Raleigh",35.78043,-78.639099,"North Carolina"
"1195","Sergeant Richard Allen Beck","Vernon Police Department, TX","EOW: Sunday, November 17, 1991","Cause of Death: Gunfire","Gunfire","1991-11-17",1991,"False","Vernon Police Department","TX","Austin",30.27467,-97.740349,"Texas"
"1196","Trooper Marvin Leroy Titus","South Carolina Highway Patrol, SC","EOW: Wednesday, November 20, 1991","Cause of Death: Gunfire","Gunfire","1991-11-20",1991,"False","South Carolina Highway Patrol","SC","Columbia",34.000343,-81.033211,"South Carolina"
"1197","Patrol Officer Eugene A. Griffin","Charlotte Police Department, NC","EOW: Friday, November 22, 1991","Cause of Death: Gunfire","Gunfire","1991-11-22",1991,"False","Charlotte Police Department","NC","Raleigh",35.78043,-78.639099,"North Carolina"
"1198","Corporal Wilno Ray Langlois","West Baton Rouge Parish Sheriff's Office, LA","EOW: Sunday, November 24, 1991","Cause of Death: Automobile accident","Automobile accident","1991-11-24",1991,"False","West Baton Rouge Parish Sheriff's Office","LA","Baton Rouge",30.457069,-91.187393,"Louisiana"
"1199","Patrolman Joseph Charles Giampaolo","Perry Police Department, GA","EOW: Thursday, November 28, 1991","Cause of Death: Duty related illness","Duty related illness","1991-11-28",1991,"False","Perry Police Department","GA","Atlanta",33.749027,-84.388229,"Georgia"
"1200","Wildlife Officer Larry Allen Hart","Ohio Department of Natural Resources - Division of Wildlife, OH","EOW: Saturday, December 7, 1991","Cause of Death: Heart attack","Heart attack","1991-12-07",1991,"False","Ohio Department of Natural Resources - Division of Wildlife","OH","Columbus",39.961346,-82.999069,"Ohio"
"1201","Deputy Sheriff Sandra Belle Wilson","Miller County Sheriff's Department, MO","EOW: Tuesday, December 10, 1991","Cause of Death: Gunfire","Gunfire","1991-12-10",1991,"False","Miller County Sheriff's Department","MO","Jefferson City",38.579201,-92.172935,"Missouri"
"1202","Deputy Sheriff Leslie Blaine Roark","Moniteau County Sheriff's Department, MO","EOW: Tuesday, December 10, 1991","Cause of Death: Gunfire","Gunfire","1991-12-10",1991,"False","Moniteau County Sheriff's Department","MO","Jefferson City",38.579201,-92.172935,"Missouri"
"1203","Sheriff Charles R. Smith","Cooper County Sheriff's Department, MO","EOW: Tuesday, December 10, 1991","Cause of Death: Gunfire","Gunfire","1991-12-10",1991,"False","Cooper County Sheriff's Department","MO","Jefferson City",38.579201,-92.172935,"Missouri"
"1204","Corporal Leroy Mallett Dantzler","South Carolina Department of Natural Resources, SC","EOW: Wednesday, December 11, 1991","Cause of Death: Automobile accident","Automobile accident","1991-12-11",1991,"False","South Carolina Department of Natural Resources","SC","Columbia",34.000343,-81.033211,"South Carolina"
"1205","Senior Corporal Lawrence David Bromley","Dallas Police Department, TX","EOW: Wednesday, December 11, 1991","Cause of Death: Gunfire (Accidental)","Gunfire (Accidental)","1991-12-11",1991,"False","Dallas Police Department","TX","Austin",30.27467,-97.740349,"Texas"
"1206","Deputy Sheriff Allen Richard Lipford","Johnson County Sheriff's Office, TN","EOW: Wednesday, December 11, 1991","Cause of Death: Gunfire","Gunfire","1991-12-11",1991,"False","Johnson County Sheriff's Office","TN","Nashville",36.16581,-86.784241,"Tennessee"
"1207","Trooper I David Hunter O'Brien","South Carolina Highway Patrol, SC","EOW: Saturday, December 14, 1991","Cause of Death: Automobile accident","Automobile accident","1991-12-14",1991,"False","South Carolina Highway Patrol","SC","Columbia",34.000343,-81.033211,"South Carolina"
"1208","Officer Niles Frederick Johantgen","Atlanta Police Department, GA","EOW: Saturday, December 21, 1991","Cause of Death: Gunfire","Gunfire","1991-12-21",1991,"False","Atlanta Police Department","GA","Atlanta",33.749027,-84.388229,"Georgia"
"1209","Sergeant Keith R. Levine","New York City Police Department, NY","EOW: Saturday, December 28, 1991","Cause of Death: Gunfire","Gunfire","1991-12-28",1991,"False","New York City Police Department","NY","Albany",42.652843,-73.757874,"New York"
"1210","Detective Sergeant Steven Ernest Bauer","North Miami Police Department, FL","EOW: Friday, January 3, 1992","Cause of Death: Gunfire","Gunfire","1992-01-03",1992,"False","North Miami Police Department","FL","Tallahassee",30.438118,-84.281296,"Florida"
"1211","Patrolman Fred Wayne Robinson","Roanoke City Police Department, VA","EOW: Sunday, January 5, 1992","Cause of Death: Automobile accident","Automobile accident","1992-01-05",1992,"False","Roanoke City Police Department","VA","Richmond",37.538857,-77.43364,"Virginia"
"1212","Officer Adolph Conic","Eudora Police Department, AR","EOW: Thursday, January 9, 1992","Cause of Death: Heart attack","Heart attack","1992-01-09",1992,"False","Eudora Police Department","AR","Little Rock",34.746613,-92.288986,"Arkansas"
"1213","Patrolman Ben James Franklin","Akron Police Department, OH","EOW: Friday, January 10, 1992","Cause of Death: Heart attack","Heart attack","1992-01-10",1992,"False","Akron Police Department","OH","Columbus",39.961346,-82.999069,"Ohio"
"1214","Corrections Officer Thomas Luke Brannigan","Blair County Prison, PA","EOW: Wednesday, January 15, 1992","Cause of Death: Heart attack","Heart attack","1992-01-15",1992,"False","Blair County Prison","PA","Harrisburg",40.264378,-76.883598,"Pennsylvania"
"1215","Police Officer Robert Harry Bonnet","Coral Gables Police Department, FL","EOW: Friday, January 17, 1992","Cause of Death: Heart attack","Heart attack","1992-01-17",1992,"False","Coral Gables Police Department","FL","Tallahassee",30.438118,-84.281296,"Florida"
"1216","Agent Ricky Dodge","Louisiana Department of Wildlife and Fisheries, LA","EOW: Tuesday, January 21, 1992","Cause of Death: Automobile accident","Automobile accident","1992-01-21",1992,"False","Louisiana Department of Wildlife and Fisheries","LA","Baton Rouge",30.457069,-91.187393,"Louisiana"
"1217","Police Officer Harold Lee Hammons","Dallas Police Department, TX","EOW: Wednesday, January 22, 1992","Cause of Death: Gunfire (Accidental)","Gunfire (Accidental)","1992-01-22",1992,"False","Dallas Police Department","TX","Austin",30.27467,-97.740349,"Texas"
"1218","Deputy Sheriff Ronald Eugene Bays","Barrow County Sheriff's Office, GA","EOW: Thursday, January 23, 1992","Cause of Death: Automobile accident","Automobile accident","1992-01-23",1992,"False","Barrow County Sheriff's Office","GA","Atlanta",33.749027,-84.388229,"Georgia"
"1219","Trooper George Van Dorse Holcomb","Tennessee Highway Patrol, TN","EOW: Sunday, January 26, 1992","Cause of Death: Struck by vehicle","Struck by vehicle","1992-01-26",1992,"False","Tennessee Highway Patrol","TN","Nashville",36.16581,-86.784241,"Tennessee"
"1220","Deputy Sheriff Larry John Miller","Hood County Sheriff's Office, TX","EOW: Monday, January 27, 1992","Cause of Death: Automobile accident","Automobile accident","1992-01-27",1992,"False","Hood County Sheriff's Office","TX","Austin",30.27467,-97.740349,"Texas"
"1221","Deputy Arthur Clay Briscoe","Powell County Sheriff's Department, KY","EOW: Thursday, January 30, 1992","Cause of Death: Gunfire","Gunfire","1992-01-30",1992,"False","Powell County Sheriff's Department","KY","Frankfort",38.186722,-84.875374,"Kentucky"
"1222","Sheriff Steve Lynn Bennett","Powell County Sheriff's Department, KY","EOW: Thursday, January 30, 1992","Cause of Death: Gunfire","Gunfire","1992-01-30",1992,"False","Powell County Sheriff's Department","KY","Frankfort",38.186722,-84.875374,"Kentucky"
"1223","Police Officer Hilario Serrano","New York City Police Department, NY","EOW: Friday, January 31, 1992","Cause of Death: Gunfire","Gunfire","1992-01-31",1992,"False","New York City Police Department","NY","Albany",42.652843,-73.757874,"New York"
"1224","Trooper James R. DeLoach","Michigan State Police, MI","EOW: Saturday, February 1, 1992","Cause of Death: Struck by train","Struck by train","1992-02-01",1992,"False","Michigan State Police","MI","Lansing",42.733635,-84.555328,"Michigan"
"1225","Trooper James Herbert Fulford, Jr.","Florida Highway Patrol, FL","EOW: Saturday, February 1, 1992","Cause of Death: Bomb","Bomb","1992-02-01",1992,"False","Florida Highway Patrol","FL","Tallahassee",30.438118,-84.281296,"Florida"
"1226","Trooper Steven J. Niewiek","Michigan State Police, MI","EOW: Sunday, February 2, 1992","Cause of Death: Struck by train","Struck by train","1992-02-02",1992,"False","Michigan State Police","MI","Lansing",42.733635,-84.555328,"Michigan"
"1227","Sergeant Rickey Joe Simmons","Jackson Police Department, MS","EOW: Tuesday, February 4, 1992","Cause of Death: Gunfire","Gunfire","1992-02-04",1992,"False","Jackson Police Department","MS","Jackson",32.303848,-90.182106,"Mississippi"
"1228","Patrolman Michael D. Love","Rochester Borough Police Department, PA","EOW: Saturday, February 8, 1992","Cause of Death: Gunfire","Gunfire","1992-02-08",1992,"False","Rochester Borough Police Department","PA","Harrisburg",40.264378,-76.883598,"Pennsylvania"
"1229","Officer Anthony Crawford Jones","Dillingham Police Department, AK","EOW: Wednesday, February 12, 1992","Cause of Death: Gunfire","Gunfire","1992-02-12",1992,"False","Dillingham Police Department","AK","Juneau",58.301598,-134.420212,"Alaska"
"1230","Chief of Police Anthony J. Terminelli","Washington Borough Police Department, NJ","EOW: Tuesday, February 18, 1992","Cause of Death: Heart attack","Heart attack","1992-02-18",1992,"False","Washington Borough Police Department","NJ","Trenton",40.220596,-74.769913,"New Jersey"
"1231","Trooper Hardy Merl Godbold","South Carolina Highway Patrol, SC","EOW: Saturday, February 29, 1992","Cause of Death: Vehicle pursuit","Vehicle pursuit","1992-02-29",1992,"False","South Carolina Highway Patrol","SC","Columbia",34.000343,-81.033211,"South Carolina"
"1232","Deputy Sheriff Rex Harrison St. John","Karnes County Sheriff's Department, TX","EOW: Saturday, February 29, 1992","Cause of Death: Vehicular assault","Vehicular assault","1992-02-29",1992,"False","Karnes County Sheriff's Department","TX","Austin",30.27467,-97.740349,"Texas"
"1233","Deputy Kevin Douglas Mathews","Palm Beach County Sheriff's Office, FL","EOW: Friday, March 6, 1992","Cause of Death: Struck by vehicle","Struck by vehicle","1992-03-06",1992,"False","Palm Beach County Sheriff's Office","FL","Tallahassee",30.438118,-84.281296,"Florida"
"1234","Police Officer Robert H. Perkins","Chicago Police Department, IL","EOW: Saturday, March 7, 1992","Cause of Death: Gunfire","Gunfire","1992-03-07",1992,"False","Chicago Police Department","IL","Springfield",39.798363,-89.654961,"Illinois"
"1235","Agent II Paul Douglas Eirwin, Sr.","Oklahoma Alcoholic Beverage Laws Enforcement Commission, OK","EOW: Saturday, March 14, 1992","Cause of Death: Automobile accident","Automobile accident","1992-03-14",1992,"False","Oklahoma Alcoholic Beverage Laws Enforcement Commission","OK","Oklahoma City",35.492207,-97.503342,"Oklahoma"
"1236","Sheriff Cecil E. Cyrus","Johnson County Sheriff's Office, KY","EOW: Wednesday, March 18, 1992","Cause of Death: Gunfire","Gunfire","1992-03-18",1992,"False","Johnson County Sheriff's Office","KY","Frankfort",38.186722,-84.875374,"Kentucky"
"1237","Major Paul Joseph Ernst","Marion County Sheriff's Department, IN","EOW: Saturday, March 21, 1992","Cause of Death: Motorcycle accident","Motorcycle accident","1992-03-21",1992,"False","Marion County Sheriff's Department","IN","Indianapolis",39.768623,-86.162643,"Indiana"
"1238","Deputy Anita Karen Pospisil","Palm Beach County Sheriff's Office, FL","EOW: Tuesday, March 24, 1992","Cause of Death: Automobile accident","Automobile accident","1992-03-24",1992,"False","Palm Beach County Sheriff's Office","FL","Tallahassee",30.438118,-84.281296,"Florida"
"1239","Auxiliary Police Officer Armando Rosario","New York City Police Department - Auxiliary Police Section, NY","EOW: Wednesday, March 25, 1992","Cause of Death: Gunfire","Gunfire","1992-03-25",1992,"False","New York City Police Department - Auxiliary Police Section","NY","Albany",42.652843,-73.757874,"New York"
"1240","Police Officer Joseph T. Alcamo","New York City Police Department, NY","EOW: Thursday, March 26, 1992","Cause of Death: Automobile accident","Automobile accident","1992-03-26",1992,"False","New York City Police Department","NY","Albany",42.652843,-73.757874,"New York"
"1241","Captain James Rodriguez","New York City Health and Hospital Police Department, NY","EOW: Thursday, March 26, 1992","Cause of Death: Gunfire","Gunfire","1992-03-26",1992,"False","New York City Health and Hospital Police Department","NY","Albany",42.652843,-73.757874,"New York"
"1242","Officer Michael Capparelli","Chicago Department of Aviation Police, IL","EOW: Friday, March 27, 1992","Cause of Death: Automobile accident","Automobile accident","1992-03-27",1992,"False","Chicago Department of Aviation Police","IL","Springfield",39.798363,-89.654961,"Illinois"
