"City, State",Classification,Definition,DRG,Hospital Referral Region Description,Provider City,Provider Id,Provider Name,Provider State,Provider Street Address,Provider Zip Code,Average Covered Charges ,Average Total Payments ,Number of Records,Reimbursement Rate,Total Discharges ,Total Payment
"MIAMI, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Miami,MIAMI,100008,BAPTIST HOSPITAL OF MIAMI INC,FL,8900 N KENDALL DR,33176,"$34,686","$6,342",1,0.182852437,121,"767,424.00"
"CRYSTAL RIVER, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Ocala,CRYSTAL RIVER,100249,SEVEN RIVERS REGIONAL MEDICAL CENTER,FL,6201 N SUNCOAST BLVD,34428,"$15,082","$4,352",1,0.288569868,25,"108,807"
"INVERNESS, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Ocala,INVERNESS,100023,CITRUS MEMORIAL HOSPITAL,FL,502 HIGHLAND BLVD,34452,"$18,260","$4,241",1,0.232266816,65,"275,674.00"
"OCALA, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Ocala,OCALA,100062,MUNROE REGIONAL MEDICAL CENTER,FL,1500 SW 1ST AVE,34474,"$16,058","$4,265",1,0.265600449,65,"277,221.00"
"OCALA, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Ocala,OCALA,100212,OCALA REGIONAL MEDICAL CENTER,FL,1431 SW 1ST AVE,34478,"$22,092","$4,160",1,0.188297372,65,"270,389.00"
"SEBASTIAN, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,SEBASTIAN,100217,SEBASTIAN RIVER MEDICAL CENTER,FL,13695 US HWY 1,32978,"$25,267","$4,524",1,0.179050807,14,"63,336"
"OKEECHOBEE, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,OKEECHOBEE,100252,RAULERSON HOSPITAL,FL,1796 HWY 441 NORTH,34972,"$22,644","$6,204",1,0.273985912,16,"99,264"
"SAINT CLOUD, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,SAINT CLOUD,100302,ST CLOUD REGIONAL MEDICAL CENTER,FL,2906 17TH STREET,34769,"$16,936","$4,399",1,0.259740678,22,"96,776.00"
"ORANGE CITY, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,ORANGE CITY,100072,FLORIDA HOSPITAL FISH MEMORIAL,FL,1055 SAXON BLVD,32763,"$14,390","$4,394",1,0.305375871,24,"105,464.00"
"MELBOURNE, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,MELBOURNE,100291,WUESTHOFF MEDICAL CENTER - MELBOURNE,FL,250 NORTH WICKHAM ROAD,32935,"$11,179","$4,415",1,0.39494732,27,"119,203.00"
"TITUSVILLE, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,TITUSVILLE,100028,PARRISH MEDICAL CENTER,FL,951 N WASHINGTON AVE,32796,"$12,663","$4,461",1,0.352260292,28,"124,896.00"
"SEBRING, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,SEBRING,100049,HIGHLANDS REGIONAL MEDICAL CENTER,FL,3600 S HIGHLANDS AVE,33870,"$22,584","$4,394",1,0.194569141,29,"127,428.00"
"SANFORD, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,SANFORD,100161,CENTRAL FLORIDA REGIONAL HOSPITAL,FL,1401 W SEMINOLE BLVD,32771,"$21,363","$4,563",1,0.213599417,31,"141,456.00"
"DELAND, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,DELAND,100045,FLORIDA HOSPITAL DELAND,FL,701 W PLYMOUTH AVE,32720,"$15,859","$4,684",1,0.295356617,39,"182,676"
"FORT PIERCE, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,FORT PIERCE,100246,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,FL,1700 S 23RD ST,34950,"$42,873","$5,344",1,0.124638467,40,"213,745"
"COCOA BEACH, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,COCOA BEACH,100177,CAPE CANAVERAL HOSPITAL,FL,701 W COCOA BEACH CAUSEWAY,32932,"$16,822","$4,532",1,0.269407596,44,"199,412.00"
"CLERMONT, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,CLERMONT,100051,SOUTH LAKE HOSPITAL,FL,1900 DON WICKHAM DR,34711,"$21,545","$4,491",1,0.208425397,48,"215,545.00"
"DAVENPORT, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,DAVENPORT,100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,FL,40100 US HWY 27 N,33837,"$25,187","$4,663",1,0.185133135,48,"223,818"
"VERO BEACH, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,VERO BEACH,100105,INDIAN RIVER MEDICAL CENTER,FL,1000 36TH ST,32960,"$10,334","$4,699",1,0.454694266,48,"225,552"
"OCOEE, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,OCOEE,100030,HEALTH CENTRAL,FL,10000 W COLONIAL DR,34761,"$19,749","$4,876",1,0.246875492,56,"273,028"
"SEBRING, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,SEBRING,100109,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,FL,4200 SUN N' LAKE BLVD,33871,"$19,403","$4,585",1,0.236312325,58,"265,944.00"
"LAKE WALES, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,LAKE WALES,100099,LAKE WALES MEDICAL CENTER,FL,410 S 11TH ST,33853,"$31,665","$4,299",1,0.13577777,60,"257,965.00"
"KISSIMMEE, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,KISSIMMEE,100110,OSCEOLA REGIONAL MEDICAL CENTER,FL,700 WEST OAK STREET,34741,"$31,457","$5,128",1,0.163012527,66,"338,444.00"
"TAVARES, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,TAVARES,100057,FLORIDA HOSPITAL WATERMAN,FL,1000 WATERMAN WAY,32778,"$18,359","$4,396",1,0.239433201,68,"298,912.00"
"WINTER HAVEN, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,WINTER HAVEN,100052,WINTER HAVEN HOSPITAL,FL,200 AVE F NE,33881,"$22,774","$4,614",1,0.202621025,77,"355,314.00"
"LEESBURG, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,LEESBURG,100084,LEESBURG REGIONAL MEDICAL CENTER,FL,600 E DIXIE AVE,34748,"$17,885","$4,407",1,0.246429577,87,"383,439.00"
"ROCKLEDGE, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,ROCKLEDGE,100092,WUESTHOFF MEDICAL CENTER  ROCKLEDGE,FL,110 LONGWOOD AVE,32955,"$12,872","$4,482",1,0.348221774,98,"439,256.00"
"THE VILLAGES, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,THE VILLAGES,100290,"VILLAGES REGIONAL HOSPITAL, THE",FL,1451 EL CAMINO REAL,32159,"$15,996","$4,199",1,0.262515029,103,"432,530.00"
"MELBOURNE, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,MELBOURNE,100019,HOLMES REGIONAL MEDICAL CENTER,FL,1350 S HICKORY ST,32901,"$19,968","$4,420",1,0.22135273,166,"733,719.00"
"ORLANDO, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,ORLANDO,100006,ORLANDO HEALTH,FL,1414 S KUHL AVE,32806,"$24,905","$6,084",1,0.244303383,207,"1,259,467.00"
"ORLANDO, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Orlando,ORLANDO,100007,FLORIDA HOSPITAL,FL,601 E ROLLINS ST,32803,"$24,289","$5,190",1,0.213664724,455,"2,361,286.00"
"PALM COAST, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Ormond Beach,PALM COAST,100118,FLORIDA HOSPITAL FLAGLER,FL,60 MEMORIAL MEDICAL PKWY,32164,"$13,369","$5,251",1,0.392778526,42,"220,542"
"DAYTONA BEACH, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Ormond Beach,DAYTONA BEACH,100068,FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER,FL,301 MEMORIAL MEDICAL PARKWAY,32117,"$10,731","$4,329",1,0.403458352,56,"242,447.00"
"DAYTONA BEACH, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Ormond Beach,DAYTONA BEACH,100017,HALIFAX HEALTH MEDICAL CENTER,FL,303 N CLYDE MORRIS BLVD,32114,"$15,353","$4,923",1,0.320635073,65,"319,972.00"
"PANAMA CITY, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Panama City,PANAMA CITY,100026,BAY MEDICAL CENTER,FL,615 N BONITA AVE,32401,"$17,069","$4,512",1,0.264365643,44,"198,546.00"
"PANAMA CITY, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Panama City,PANAMA CITY,100242,GULF COAST MEDICAL CENTER,FL,449 W 23RD ST,32405,"$31,467","$4,570",1,0.145224893,46,"210,211.00"
"GULF BREEZE, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Pensacola,GULF BREEZE,100266,GULF BREEZE HOSPITAL,FL,1110 GULF BREEZE PKWY,32561,"$13,365","$4,006",1,0.299749336,12,"48,072"
"NICEVILLE, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Pensacola,NICEVILLE,100054,TWIN CITIES HOSPITAL,FL,2190 HWY 85 N,32578,"$39,046","$4,091",1,0.104774527,16,"65,456"
"MILTON, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Pensacola,MILTON,100124,SANTA ROSA MEDICAL CENTER,FL,6002 BERRYHILL RD,32570,"$21,158","$4,596",1,0.217240266,18,"82,734.00"
"DEFUNIAK SPRING, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Pensacola,DEFUNIAK SPRING,100081,HEALTHMARK REGIONAL MEDICAL CENTER,FL,4413 US HWY 331 S,32435,"$9,500","$4,353",1,0.458216992,19,"82,710.00"
"MIRAMAR BEACH, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Pensacola,MIRAMAR BEACH,100292,SACRED HEART HOSPITAL ON THE EMERALD COAST,FL,7800 US HWY 98 W,32550,"$21,601","$4,056",1,0.187774274,24,"97,345.00"
"PENSACOLA, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Pensacola,PENSACOLA,100093,BAPTIST HOSPITAL,FL,1000 W MORENO ST,32501,"$17,926","$4,508",1,0.251487434,26,"117,211.00"
"CRESTVIEW, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Pensacola,CRESTVIEW,100122,NORTH OKALOOSA MEDICAL CENTER,FL,151 REDSTONE AVE SE,32539,"$33,945","$5,247",1,0.154566266,31,"162,649.00"
"FORT WALTON BEA, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Pensacola,FORT WALTON BEA,100223,FORT WALTON BEACH MEDICAL CENTER,FL,1000 MAR-WALT DR,32547,"$32,830","$4,332",1,0.131958072,33,"142,961.00"
"PENSACOLA, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Pensacola,PENSACOLA,100025,SACRED HEART HOSPITAL,FL,5151 N 9TH AVE,32504,"$13,575","$5,288",1,0.389514782,45,"237,939.00"
"PENSACOLA, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Pensacola,PENSACOLA,100231,WEST FLORIDA HOSPITAL,FL,8383 N DAVIS HWY,32514,"$26,205","$4,313",1,0.164568991,61,"263,066.00"
"ENGLEWOOD, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Sarasota,ENGLEWOOD,100267,ENGLEWOOD COMMUNITY HOSPITAL,FL,700 MEDICAL BLVD,34223,"$26,169","$4,457",1,0.170310332,19,"84,680.00"
"VENICE, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Sarasota,VENICE,100070,VENICE REGIONAL MEDICAL CENTER,FL,540 THE RIALTO,34285,"$20,085","$4,234",1,0.210809214,45,"190,530"
"SARASOTA, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Sarasota,SARASOTA,100087,SARASOTA MEMORIAL HOSPITAL,FL,1700 S TAMIAMI TRL,34239,"$14,042","$4,449",1,0.316789777,124,"551,614"
"SAINT PETERSBUR, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - St. Petersburg,SAINT PETERSBUR,100180,ST PETERSBURG GENERAL HOSPITAL,FL,6500 38TH AVE N,33710,"$46,196","$5,084",1,0.110053771,20,"101,680"
"SAINT PETERSBUR, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - St. Petersburg,SAINT PETERSBUR,100239,EDWARD WHITE HOSPITAL,FL,2323 9TH AVE N,33713,"$26,609","$4,524",1,0.170033806,21,"95,012.00"
"SAINT PETERSBUR, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - St. Petersburg,SAINT PETERSBUR,100238,NORTHSIDE HOSPITAL,FL,6000 49TH STREET N,33709,"$43,848","$4,528",1,0.103275264,22,"99,625.00"
"SAINT PETERSBUR, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - St. Petersburg,SAINT PETERSBUR,100032,BAYFRONT MEDICAL CENTER INC,FL,701 6TH ST S,33701,"$26,657","$5,322",1,0.199662675,50,"266,118"
"SAINT PETERSBUR, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - St. Petersburg,SAINT PETERSBUR,100067,ST ANTHONY'S HOSPITAL,FL,1200 7TH AVENUE NORTH,33705,"$19,034","$4,403",1,0.231322767,64,"281,793"
"PERRY, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Tallahassee,PERRY,100106,DOCTOR'S MEMORIAL HOSPITAL INC,FL,333 N BYRON BUTLER PKWY,32348,"$10,632","$5,270",1,0.495669554,12,"63,240"
"TALLAHASSEE, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Tallahassee,TALLAHASSEE,100254,CAPITAL REGIONAL MEDICAL CENTER,FL,2626 CAPITAL MEDICAL BLVD,32308,"$24,916","$4,745",1,0.190442445,67,"317,913.00"
"TALLAHASSEE, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Tallahassee,TALLAHASSEE,100135,TALLAHASSEE MEMORIAL HEALTHCARE,FL,1300 MICCOSUKEE RD,32308,"$22,607","$5,003",1,0.221285059,83,"415,208.00"
"DADE CITY, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Tampa,DADE CITY,100211,PASCO REGIONAL MEDICAL CENTER,FL,13100 FT KING ROAD,33525,"$17,134","$4,839",1,0.282431164,13,"62,909.00"
"SUN CITY CENTER, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Tampa,SUN CITY CENTER,100259,SOUTH BAY HOSPITAL,FL,4016 SUN CITY CENTER BLVD,33573,"$34,059","$4,187",1,0.122933616,31,"129,797"
"ZEPHYRHILLS, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Tampa,ZEPHYRHILLS,100046,FLORIDA HOSPITAL ZEPHYRHILLS,FL,7050 GALL BLVD,33541,"$25,157","$4,351",1,0.172954614,36,"156,636"
"TAMPA, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Tampa,TAMPA,100206,MEMORIAL HOSPITAL OF TAMPA,FL,2901 SWANN AVE,33609,"$26,402","$4,218",1,0.159752542,48,"202,452"
"BRANDON, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Tampa,BRANDON,100243,BRANDON REGIONAL HOSPITAL,FL,119 OAKFIELD DR,33511,"$31,448","$4,841",1,0.153923204,52,"251,712.00"
"TAMPA, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Tampa,TAMPA,100173,FLORIDA HOSPITAL TAMPA,FL,3100 E FLETCHER AVE,33613,"$22,730","$4,725",1,0.207891997,77,"363,848.00"
"TAMPA, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Tampa,TAMPA,100128,TAMPA GENERAL HOSPITAL,FL,1 TAMPA GENERAL CIRCLE,33606,"$38,681","$7,183",1,0.185693995,118,"847,580.00"
"TAMPA, FL",Blood Diseases,RED BLOOD CELL DISORDERS W/O MCC,812,FL - Tampa,TAMPA,100075,ST JOSEPH'S HOSPITAL,FL,3001 W MARTIN LUTHER KING JR BLVD,33677,"$20,531","$5,189",1,0.252733672,118,"612,287.00"
"DOUGLAS, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,FL - Jacksonville,DOUGLAS,110089,COFFEE REGIONAL MEDICAL CENTER,GA,1101 OCILLA ROAD,31533,"$26,571","$9,135",1,0.343785955,14,"127,887.00"
"THOMASVILLE, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,FL - Tallahassee,THOMASVILLE,110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,GA,915 GORDON AVENUE & MIMOSA DRIVE,31792,"$24,256","$7,548",1,0.311159621,20,"150,951"
"VALDOSTA, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,FL - Tallahassee,VALDOSTA,110122,SOUTH GEORGIA MEDICAL CENTER,GA,"2501 NORTH PATTERSON STREET, PO BOX 1727",31603,"$19,088","$7,252",1,0.379945814,21,"152,299.00"
"ALBANY, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Albany,ALBANY,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,GA,417 THIRD AVENUE,31703,"$28,587","$8,696",1,0.30417812,12,"104,348.00"
"ATLANTA, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,ATLANTA,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",GA,5665 PEACHTREE DUNWOODY ROAD,30342,"$37,034","$7,418",1,0.200289168,11,"81,593.00"
"CARROLLTON, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,CARROLLTON,110011,TANNER MEDICAL CENTER - CARROLLTON,GA,705 DIXIE STREET,30117,"$26,625","$9,623",1,0.361418509,11,"105,849.00"
"LAGRANGE, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,LAGRANGE,110016,WEST GEORGIA MEDICAL CENTER,GA,1514 VERNON ROAD,30240,"$19,562","$7,529",1,0.384896717,11,"82,824.00"
"LITHONIA, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,LITHONIA,110226,DEKALB MEDICAL CENTER AT HILLANDALE,GA,2801 DEKALB MEDICAL PARKWAY,30058,"$17,767","$7,550",1,0.424945123,11,"83,050"
"NEWNAN, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,NEWNAN,110229,"PIEDMONT NEWNAN HOSPITAL, INC",GA,60 HOSPITAL ROAD,30263,"$28,489","$7,497",1,0.26315252,11,"82,467"
"CONYERS, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,CONYERS,110091,ROCKDALE MEDICAL CENTER,GA,"1412 MILSTEAD AVENUE, NE",30012,"$29,226","$7,951",1,0.272049682,12,"95,410.00"
"GRIFFIN, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,GRIFFIN,110031,SPALDING REGIONAL MEDICAL CENTER,GA,601 SOUTH 8TH STREET,30223,"$34,396","$7,867",1,0.22872178,12,"94,404"
"MONROE, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,MONROE,110046,WALTON REGIONAL MEDICAL CENTER,GA,330 ALCOVY STREET,30655,"$15,292","$7,782",1,0.508896312,12,"93,384"
"SNELLVILLE, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,SNELLVILLE,110192,EMORY EASTSIDE MEDICAL CENTER,GA,1700 MEDICAL WAY,30078,"$42,355","$10,352",1,0.244402952,12,"124,220.00"
"STOCKBRIDGE, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,STOCKBRIDGE,110191,"HENRY MEDICAL CENTER, INC",GA,1133 EAGLE'S LANDING PARKWAY,30281,"$24,522","$7,651",1,0.312001713,12,"91,809"
"RIVERDALE, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,RIVERDALE,110165,SOUTHERN REGIONAL MEDICAL CENTER,GA,"11 UPPER RIVERDALE ROAD, SW",30274,"$29,165","$8,530",1,0.292464775,14,"119,416.00"
"ATLANTA, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,ATLANTA,110010,EMORY UNIVERSITY HOSPITAL,GA,"1364 CLIFTON ROAD, NE",30322,"$27,476","$13,669",1,0.497498959,16,"218,709"
"CUMMING, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,CUMMING,110005,NORTHSIDE HOSPITAL FORSYTH,GA,1200 NORTHSIDE FORSYTH DRIVE,30041,"$61,249","$11,299",1,0.184468397,16,"180,777"
"FAYETTEVILLE, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,FAYETTEVILLE,110215,PIEDMONT FAYETTE HOSPITAL,GA,1255 HIGHWAY 54 WEST,30214,"$24,262","$6,983",1,0.287813373,16,"111,728"
"LAWRENCEVILLE, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,LAWRENCEVILLE,110087,GWINNETT MEDICAL CENTER,GA,1000 MEDICAL CENTER BOULEVARD,30045,"$25,637","$7,840",1,0.305796769,16,"125,436"
"ATLANTA, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,ATLANTA,110161,NORTHSIDE HOSPITAL,GA,"1000 JOHNSON FERRY ROAD, NE",30342,"$47,342","$8,942",1,0.18888494,17,"152,018.00"
"GAINESVILLE, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,GAINESVILLE,110029,"NORTHEAST GEORGIA MEDICAL CENTER, INC",GA,743 SPRING STREET,30501,"$25,526","$7,545",1,0.295585585,17,"128,267.00"
"ATLANTA, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,ATLANTA,110083,PIEDMONT HOSPITAL,GA,1968 PEACHTREE RD NW,30309,"$25,213","$7,081",1,0.280848296,20,"141,620"
"AUSTELL, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,AUSTELL,110143,WELLSTAR COBB HOSPITAL,GA,3950 AUSTELL RD,30106,"$34,110","$8,908",1,0.261157635,20,"178,162"
"ATHENS, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,ATHENS,110074,ATHENS REGIONAL MEDICAL CENTER,GA,1199 PRINCE AVENUE,30606,"$19,700","$7,756",1,0.39371376,22,"170,632"
"DECATUR, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,DECATUR,110076,DEKALB MEDICAL CENTER,GA,2701 N DECATUR ROAD,30033,"$27,087","$9,291",1,0.343015583,24,"222,991.00"
"MARIETTA, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,MARIETTA,110035,WELLSTAR KENNESTONE HOSPITAL,GA,677 CHURCH STREET,30060,"$39,872","$7,712",1,0.19341085,26,"200,504.00"
"ATLANTA, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,ATLANTA,110079,GRADY MEMORIAL HOSPITAL,GA,"80 JESSE HILL, JR DRIVE SE",30303,"$26,053","$11,818",1,0.453623118,31,"366,361.00"
"ATLANTA, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Atlanta,ATLANTA,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,GA,550 PEACHTREE ST NE,30308,"$19,961","$9,541",1,0.477960935,47,"448,411.00"
"AUGUSTA, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Augusta,AUGUSTA,110028,UNIVERSITY HOSPITAL,GA,1350 WALTON WAY,30901,"$21,038","$7,619",1,0.362134767,24,"182,848.00"
"AUGUSTA, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Augusta,AUGUSTA,110034,MEDICAL COLLEGE OF GA HOSPITALS AND CLINICS,GA,1120 15TH STREET,30912,"$48,625","$18,692",1,0.384413761,31,"579,458.00"
"COLUMBUS, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Columbus,COLUMBUS,110129,"ST FRANCIS HOSPITAL, INC",GA,2122 MANCHESTER EXPRESSWAY,31995,"$14,291","$7,545",1,0.527971636,15,"113,176.00"
"COLUMBUS, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Columbus,COLUMBUS,110064,"MEDICAL CENTER, THE",GA,710 CENTER ST BOX 951,31901,"$24,608","$9,227",1,0.374973332,16,"147,636"
"MACON, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Macon,MACON,110164,COLISEUM MEDICAL CENTER,GA,350 HOSPITAL DRIVE,31217,"$27,613","$8,215",1,0.297513328,14,"115,013.00"
"MACON, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Macon,MACON,110107,MEDICAL CENTER OF CENTRAL GEORGIA,GA,777 HEMLOCK STREET,31201,"$19,171","$11,193",1,0.583853782,15,"167,900.00"
"WARNER ROBINS, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Macon,WARNER ROBINS,110069,HOUSTON MEDICAL CENTER,GA,1601 WATSON BOULEVARD,31093,"$25,175","$9,455",1,0.375567967,18,"170,189.00"
"DUBLIN, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Macon,DUBLIN,110125,FAIRVIEW PARK HOSPITAL,GA,200 INDUSTRIAL BOULEVARD,31021,"$32,294","$8,495",1,0.263039706,27,"229,353.00"
"ROME, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Rome,ROME,110168,REDMOND REGIONAL MEDICAL CENTER,GA,501 REDMOND ROAD,30165,"$21,363","$6,831",1,0.319758608,13,"88,804.00"
"CLAXTON, GA",Blood Diseases,RED BLOOD CELL DISORDERS W MCC,811,GA - Savannah,CLAXTON,110142,EVANS MEMORIAL HOSPITAL,GA,200 N RIVER STREET,30417,"$20,069","$7,387",1,0.368065811,11,"81,252.00"
