Country Name,Indicator Name,Year,Value
Australia,CO2 emissions (metric tons per capita),1972,11.951631555
Australia,Domestic credit provided by financial sector (% of GDP),1972,42.1226012301
Australia,Electric power consumption (kWh per capita),1972,3880.92889125
Australia,Energy use (kg of oil equivalent per capita),1972,4035.20634439
Australia,Exports of goods and services (% of GDP),1972,12.832107264200001
Australia,"Fertility rate, total (births per woman)",1972,2.7439999999999998
Australia,GDP growth (annual %),1972,3.9108611299000002
Australia,Imports of goods and services (% of GDP),1972,12.037974398800001
Australia,"Industry, value added (% of GDP)",1972,39.1002608118
Australia,"Inflation, GDP deflator (annual %)",1972,6.183164248430001
Australia,"Life expectancy at birth, total (years)",1972,71.4575609756
Australia,Population density (people per sq. km of land area),1972,1.7152415292299998
Australia,"Services, etc., value added (% of GDP)",1972,53.865998859399994
Austria,"Agriculture, value added (% of GDP)",1972,
Austria,CO2 emissions (metric tons per capita),1972,7.448516814439999
Austria,Domestic credit provided by financial sector (% of GDP),1972,56.6204054764
Austria,Electric power consumption (kWh per capita),1972,3404.46920754
Austria,Energy use (kg of oil equivalent per capita),1972,2627.32249578
Austria,Exports of goods and services (% of GDP),1972,26.9956990393
Austria,"Fertility rate, total (births per woman)",1972,2.08
Austria,GDP growth (annual %),1972,6.20786097185
Austria,Imports of goods and services (% of GDP),1972,27.408277577699998
Austria,"Industry, value added (% of GDP)",1972,
Austria,"Inflation, GDP deflator (annual %)",1972,7.59993199764
Austria,"Life expectancy at birth, total (years)",1972,70.4634146341
Austria,Population density (people per sq. km of land area),1972,91.3562727053
Austria,"Services, etc., value added (% of GDP)",1972,
Azerbaijan,"Agriculture, value added (% of GDP)",1972,
Azerbaijan,CO2 emissions (metric tons per capita),1972,
Azerbaijan,Domestic credit provided by financial sector (% of GDP),1972,
Azerbaijan,Electric power consumption (kWh per capita),1972,
Azerbaijan,Energy use (kg of oil equivalent per capita),1972,
Azerbaijan,Exports of goods and services (% of GDP),1972,
Azerbaijan,"Fertility rate, total (births per woman)",1972,4.348
Azerbaijan,GDP growth (annual %),1972,
Azerbaijan,Imports of goods and services (% of GDP),1972,
Azerbaijan,"Industry, value added (% of GDP)",1972,
Azerbaijan,"Inflation, GDP deflator (annual %)",1972,
Azerbaijan,"Life expectancy at birth, total (years)",1972,65.1481219512
Azerbaijan,Population density (people per sq. km of land area),1972,64.8085847844
Azerbaijan,"Services, etc., value added (% of GDP)",1972,
"Bahamas, The","Agriculture, value added (% of GDP)",1972,
"Bahamas, The",CO2 emissions (metric tons per capita),1972,36.4959739997
"Bahamas, The",Domestic credit provided by financial sector (% of GDP),1972,44.8976138094
"Bahamas, The",Electric power consumption (kWh per capita),1972,
"Bahamas, The",Energy use (kg of oil equivalent per capita),1972,
"Bahamas, The",Exports of goods and services (% of GDP),1972,
"Bahamas, The","Fertility rate, total (births per woman)",1972,3.469
"Bahamas, The",GDP growth (annual %),1972,-3.4973359333699996
"Bahamas, The",Imports of goods and services (% of GDP),1972,
"Bahamas, The","Industry, value added (% of GDP)",1972,
"Bahamas, The","Inflation, GDP deflator (annual %)",1972,6.78665889465
"Bahamas, The","Life expectancy at birth, total (years)",1972,66.42226829270001
"Bahamas, The",Population density (people per sq. km of land area),1972,17.7666333666
"Bahamas, The","Services, etc., value added (% of GDP)",1972,
Bahrain,"Agriculture, value added (% of GDP)",1972,
Bahrain,CO2 emissions (metric tons per capita),1972,16.0359774901
Bahrain,Domestic credit provided by financial sector (% of GDP),1972,
Bahrain,Electric power consumption (kWh per capita),1972,1960.03275433
Bahrain,Energy use (kg of oil equivalent per capita),1972,5960.21133509
Bahrain,Exports of goods and services (% of GDP),1972,
Bahrain,"Fertility rate, total (births per woman)",1972,6.0889999999999995
Bahrain,GDP growth (annual %),1972,
Bahrain,Imports of goods and services (% of GDP),1972,
Bahrain,"Industry, value added (% of GDP)",1972,
Bahrain,"Inflation, GDP deflator (annual %)",1972,
Bahrain,"Life expectancy at birth, total (years)",1972,65.2777073171
Bahrain,Population density (people per sq. km of land area),1972,332.736231884
Bahrain,"Services, etc., value added (% of GDP)",1972,
Bangladesh,"Agriculture, value added (% of GDP)",1972,59.6099059973
Bangladesh,CO2 emissions (metric tons per capita),1972,0.0519295297619
Bangladesh,Domestic credit provided by financial sector (% of GDP),1972,
Bangladesh,Electric power consumption (kWh per capita),1972,10.5063022572
Bangladesh,Energy use (kg of oil equivalent per capita),1972,86.903766977
Bangladesh,Exports of goods and services (% of GDP),1972,5.67473040282
Bangladesh,"Fertility rate, total (births per woman)",1972,6.928
Bangladesh,GDP growth (annual %),1972,-13.973728702
Bangladesh,Imports of goods and services (% of GDP),1972,13.732559153099999
Bangladesh,"Industry, value added (% of GDP)",1972,6.06410210551
Bangladesh,"Inflation, GDP deflator (annual %)",1972,4.40201965201
Bangladesh,"Life expectancy at birth, total (years)",1972,47.0343170732
Bangladesh,Population density (people per sq. km of land area),1972,519.155611892
Bangladesh,"Services, etc., value added (% of GDP)",1972,34.3259918972
Barbados,"Agriculture, value added (% of GDP)",1972,
Barbados,CO2 emissions (metric tons per capita),1972,2.0807526476400002
Barbados,Domestic credit provided by financial sector (% of GDP),1972,
Barbados,Electric power consumption (kWh per capita),1972,
Barbados,Energy use (kg of oil equivalent per capita),1972,
Barbados,Exports of goods and services (% of GDP),1972,
Barbados,"Fertility rate, total (births per woman)",1972,2.7939999999999996
Barbados,GDP growth (annual %),1972,
Barbados,Imports of goods and services (% of GDP),1972,
Barbados,"Industry, value added (% of GDP)",1972,
Barbados,"Inflation, GDP deflator (annual %)",1972,
Barbados,"Life expectancy at birth, total (years)",1972,66.0440731707
Barbados,Population density (people per sq. km of land area),1972,561.490697674
Barbados,"Services, etc., value added (% of GDP)",1972,
Belarus,"Agriculture, value added (% of GDP)",1972,
Belarus,CO2 emissions (metric tons per capita),1972,
Belarus,Domestic credit provided by financial sector (% of GDP),1972,
Belarus,Electric power consumption (kWh per capita),1972,
Belarus,Energy use (kg of oil equivalent per capita),1972,
Belarus,Exports of goods and services (% of GDP),1972,
Belarus,"Fertility rate, total (births per woman)",1972,2.28
Belarus,GDP growth (annual %),1972,
Belarus,Imports of goods and services (% of GDP),1972,
Belarus,"Industry, value added (% of GDP)",1972,
Belarus,"Inflation, GDP deflator (annual %)",1972,
Belarus,"Life expectancy at birth, total (years)",1972,70.0924146341
Belarus,Population density (people per sq. km of land area),1972,45.301557878100006
Belarus,"Services, etc., value added (% of GDP)",1972,
Belgium,"Agriculture, value added (% of GDP)",1972,
Belgium,CO2 emissions (metric tons per capita),1972,13.4726952569
Belgium,Domestic credit provided by financial sector (% of GDP),1972,40.090272212600006
Belgium,Electric power consumption (kWh per capita),1972,3612.35553281
Belgium,Energy use (kg of oil equivalent per capita),1972,4473.92951273
Belgium,Exports of goods and services (% of GDP),1972,43.677138130900005
Belgium,"Fertility rate, total (births per woman)",1972,2.09
Belgium,GDP growth (annual %),1972,5.29560440417
Belgium,Imports of goods and services (% of GDP),1972,40.901579934000004
Belgium,"Industry, value added (% of GDP)",1972,
Belgium,"Inflation, GDP deflator (annual %)",1972,6.317820354319999
Belgium,"Life expectancy at birth, total (years)",1972,71.4051219512
Belgium,Population density (people per sq. km of land area),1972,
Belgium,"Services, etc., value added (% of GDP)",1972,
Belize,"Agriculture, value added (% of GDP)",1972,
Belize,CO2 emissions (metric tons per capita),1972,1.24013747759
Belize,Domestic credit provided by financial sector (% of GDP),1972,
Belize,Electric power consumption (kWh per capita),1972,
Belize,Energy use (kg of oil equivalent per capita),1972,
Belize,Exports of goods and services (% of GDP),1972,
Belize,"Fertility rate, total (births per woman)",1972,6.284
Belize,GDP growth (annual %),1972,10.218303839099999
Belize,Imports of goods and services (% of GDP),1972,
Belize,"Industry, value added (% of GDP)",1972,
Belize,"Inflation, GDP deflator (annual %)",1972,-1.23523514874
Belize,"Life expectancy at birth, total (years)",1972,66.48090243899999
Belize,Population density (people per sq. km of land area),1972,5.57422183253
Belize,"Services, etc., value added (% of GDP)",1972,
Benin,"Agriculture, value added (% of GDP)",1972,34.2310223417
Benin,CO2 emissions (metric tons per capita),1972,0.127891948804
Benin,Domestic credit provided by financial sector (% of GDP),1972,9.579851500830001
Benin,Electric power consumption (kWh per capita),1972,
Benin,Energy use (kg of oil equivalent per capita),1972,380.812029086
Benin,Exports of goods and services (% of GDP),1972,14.384402214000001
Benin,"Fertility rate, total (births per woman)",1972,6.8229999999999995
Benin,GDP growth (annual %),1972,6.42636754449
Benin,Imports of goods and services (% of GDP),1972,26.8001493927
Benin,"Industry, value added (% of GDP)",1972,13.8881251965
Benin,"Inflation, GDP deflator (annual %)",1972,5.31722607762
Benin,"Life expectancy at birth, total (years)",1972,43.479804878
Benin,Population density (people per sq. km of land area),1972,26.9537069883
Benin,"Services, etc., value added (% of GDP)",1972,51.8808534288
Bermuda,"Agriculture, value added (% of GDP)",1972,
Bermuda,CO2 emissions (metric tons per capita),1972,4.66832103321
Bermuda,Domestic credit provided by financial sector (% of GDP),1972,
Bermuda,Electric power consumption (kWh per capita),1972,
Bermuda,Energy use (kg of oil equivalent per capita),1972,
Bermuda,Exports of goods and services (% of GDP),1972,
Bermuda,"Fertility rate, total (births per woman)",1972,
Bermuda,GDP growth (annual %),1972,1.8126888217500001
Bermuda,Imports of goods and services (% of GDP),1972,
Bermuda,"Industry, value added (% of GDP)",1972,
Bermuda,"Inflation, GDP deflator (annual %)",1972,9.52577076132
Bermuda,"Life expectancy at birth, total (years)",1972,
Bermuda,Population density (people per sq. km of land area),1972,1084.0
Bermuda,"Services, etc., value added (% of GDP)",1972,
Bhutan,"Agriculture, value added (% of GDP)",1972,
Bhutan,CO2 emissions (metric tons per capita),1972,0.011726444779900001
Bhutan,Domestic credit provided by financial sector (% of GDP),1972,
Bhutan,Electric power consumption (kWh per capita),1972,
Bhutan,Energy use (kg of oil equivalent per capita),1972,
Bhutan,Exports of goods and services (% of GDP),1972,
Bhutan,"Fertility rate, total (births per woman)",1972,6.678999999999999
Bhutan,GDP growth (annual %),1972,
Bhutan,Imports of goods and services (% of GDP),1972,
Bhutan,"Industry, value added (% of GDP)",1972,
Bhutan,"Inflation, GDP deflator (annual %)",1972,
Bhutan,"Life expectancy at birth, total (years)",1972,38.4714878049
Bhutan,Population density (people per sq. km of land area),1972,6.69289215162
Bhutan,"Services, etc., value added (% of GDP)",1972,
Bolivia,"Agriculture, value added (% of GDP)",1972,20.1894129453
Bolivia,CO2 emissions (metric tons per capita),1972,0.7602361810860001
Bolivia,Domestic credit provided by financial sector (% of GDP),1972,20.7715311005
Bolivia,Electric power consumption (kWh per capita),1972,173.474752506
Bolivia,Energy use (kg of oil equivalent per capita),1972,240.15717025400002
Bolivia,Exports of goods and services (% of GDP),1972,21.1124401914
Bolivia,"Fertility rate, total (births per woman)",1972,6.182
Bolivia,GDP growth (annual %),1972,7.967485482160001
Bolivia,Imports of goods and services (% of GDP),1972,24.019138756
Bolivia,"Industry, value added (% of GDP)",1972,34.941043652800005
Bolivia,"Inflation, GDP deflator (annual %)",1972,18.9960330824
Bolivia,"Life expectancy at birth, total (years)",1972,46.463219512200006
Bolivia,Population density (people per sq. km of land area),1972,4.33683190252
Bolivia,"Services, etc., value added (% of GDP)",1972,44.869543401899996
Bosnia and Herzegovina,"Agriculture, value added (% of GDP)",1972,
Bosnia and Herzegovina,CO2 emissions (metric tons per capita),1972,
Bosnia and Herzegovina,Domestic credit provided by financial sector (% of GDP),1972,
Bosnia and Herzegovina,Electric power consumption (kWh per capita),1972,
Bosnia and Herzegovina,Energy use (kg of oil equivalent per capita),1972,
Bosnia and Herzegovina,Exports of goods and services (% of GDP),1972,
Bosnia and Herzegovina,"Fertility rate, total (births per woman)",1972,2.75
Bosnia and Herzegovina,GDP growth (annual %),1972,
Bosnia and Herzegovina,Imports of goods and services (% of GDP),1972,
Bosnia and Herzegovina,"Industry, value added (% of GDP)",1972,
Bosnia and Herzegovina,"Inflation, GDP deflator (annual %)",1972,
Bosnia and Herzegovina,"Life expectancy at birth, total (years)",1972,67.1751463415
Bosnia and Herzegovina,Population density (people per sq. km of land area),1972,75.2549411765
Bosnia and Herzegovina,"Services, etc., value added (% of GDP)",1972,
Botswana,"Agriculture, value added (% of GDP)",1972,
Botswana,CO2 emissions (metric tons per capita),1972,0.029742319744099997
Botswana,Domestic credit provided by financial sector (% of GDP),1972,
Botswana,Electric power consumption (kWh per capita),1972,
Botswana,Energy use (kg of oil equivalent per capita),1972,
Botswana,Exports of goods and services (% of GDP),1972,37.372147915
Botswana,"Fertility rate, total (births per woman)",1972,6.579
Botswana,GDP growth (annual %),1972,26.361940947399997
Botswana,Imports of goods and services (% of GDP),1972,60.54287962229999
Botswana,"Industry, value added (% of GDP)",1972,
Botswana,"Inflation, GDP deflator (annual %)",1972,10.7754221871
Botswana,"Life expectancy at birth, total (years)",1972,55.61273170729999
Botswana,Population density (people per sq. km of land area),1972,1.3053023485600002
Botswana,"Services, etc., value added (% of GDP)",1972,
Brazil,"Agriculture, value added (% of GDP)",1972,12.994681548800001
Brazil,CO2 emissions (metric tons per capita),1972,1.1340514615200001
Brazil,Domestic credit provided by financial sector (% of GDP),1972,46.659185094799994
Brazil,Electric power consumption (kWh per capita),1972,494.167295829
Brazil,Energy use (kg of oil equivalent per capita),1972,741.6918705969999
Brazil,Exports of goods and services (% of GDP),1972,7.259175691339999
Brazil,"Fertility rate, total (births per woman)",1972,4.782
Brazil,GDP growth (annual %),1972,12.05280225
Brazil,Imports of goods and services (% of GDP),1972,8.84407556452
Brazil,"Industry, value added (% of GDP)",1972,38.4372900961
Brazil,"Inflation, GDP deflator (annual %)",1972,19.1444079459
Brazil,"Life expectancy at birth, total (years)",1972,59.924804878
Brazil,Population density (people per sq. km of land area),1972,12.065410605699999
Brazil,"Services, etc., value added (% of GDP)",1972,48.5680282621
British Virgin Islands,"Agriculture, value added (% of GDP)",1972,
British Virgin Islands,CO2 emissions (metric tons per capita),1972,2.1730370370400003
British Virgin Islands,Domestic credit provided by financial sector (% of GDP),1972,
British Virgin Islands,Electric power consumption (kWh per capita),1972,
British Virgin Islands,Energy use (kg of oil equivalent per capita),1972,
British Virgin Islands,Exports of goods and services (% of GDP),1972,
British Virgin Islands,"Fertility rate, total (births per woman)",1972,
British Virgin Islands,GDP growth (annual %),1972,
British Virgin Islands,Imports of goods and services (% of GDP),1972,
British Virgin Islands,"Industry, value added (% of GDP)",1972,
British Virgin Islands,"Inflation, GDP deflator (annual %)",1972,
British Virgin Islands,"Life expectancy at birth, total (years)",1972,
British Virgin Islands,Population density (people per sq. km of land area),1972,67.5
British Virgin Islands,"Services, etc., value added (% of GDP)",1972,
Brunei Darussalam,"Agriculture, value added (% of GDP)",1972,
Brunei Darussalam,CO2 emissions (metric tons per capita),1972,66.702811698
Brunei Darussalam,Domestic credit provided by financial sector (% of GDP),1972,
Brunei Darussalam,Electric power consumption (kWh per capita),1972,1677.99430328
Brunei Darussalam,Energy use (kg of oil equivalent per capita),1972,1236.99906935
Brunei Darussalam,Exports of goods and services (% of GDP),1972,
Brunei Darussalam,"Fertility rate, total (births per woman)",1972,5.757999999999999
Brunei Darussalam,GDP growth (annual %),1972,
Brunei Darussalam,Imports of goods and services (% of GDP),1972,
Brunei Darussalam,"Industry, value added (% of GDP)",1972,
Brunei Darussalam,"Inflation, GDP deflator (annual %)",1972,
Brunei Darussalam,"Life expectancy at birth, total (years)",1972,67.6988536585
Brunei Darussalam,Population density (people per sq. km of land area),1972,26.913851992399998
Brunei Darussalam,"Services, etc., value added (% of GDP)",1972,
Bulgaria,"Agriculture, value added (% of GDP)",1972,
Bulgaria,CO2 emissions (metric tons per capita),1972,7.7156567011
Bulgaria,Domestic credit provided by financial sector (% of GDP),1972,
Bulgaria,Electric power consumption (kWh per capita),1972,2486.06608988
Bulgaria,Energy use (kg of oil equivalent per capita),1972,2262.78654882
Bulgaria,Exports of goods and services (% of GDP),1972,
Bulgaria,"Fertility rate, total (births per woman)",1972,2.03
Bulgaria,GDP growth (annual %),1972,
Bulgaria,Imports of goods and services (% of GDP),1972,
Bulgaria,"Industry, value added (% of GDP)",1972,
Bulgaria,"Inflation, GDP deflator (annual %)",1972,
Bulgaria,"Life expectancy at birth, total (years)",1972,70.8995121951
Bulgaria,Population density (people per sq. km of land area),1972,77.5214679563
Bulgaria,"Services, etc., value added (% of GDP)",1972,
Burkina Faso,"Agriculture, value added (% of GDP)",1972,33.18583806
Burkina Faso,CO2 emissions (metric tons per capita),1972,0.027698414347000003
Burkina Faso,Domestic credit provided by financial sector (% of GDP),1972,1.4853720030200002
Burkina Faso,Electric power consumption (kWh per capita),1972,
Burkina Faso,Energy use (kg of oil equivalent per capita),1972,
Burkina Faso,Exports of goods and services (% of GDP),1972,6.39972719518
Burkina Faso,"Fertility rate, total (births per woman)",1972,6.697
Burkina Faso,GDP growth (annual %),1972,2.31149874125
Burkina Faso,Imports of goods and services (% of GDP),1972,21.288999666
Burkina Faso,"Industry, value added (% of GDP)",1972,24.2524206316
Burkina Faso,"Inflation, GDP deflator (annual %)",1972,7.29664525533
Burkina Faso,"Life expectancy at birth, total (years)",1972,39.9951707317
Burkina Faso,Population density (people per sq. km of land area),1972,21.290829678399998
Burkina Faso,"Services, etc., value added (% of GDP)",1972,42.5617413084
Burundi,"Agriculture, value added (% of GDP)",1972,65.32475224859999
Burundi,CO2 emissions (metric tons per capita),1972,0.0206746754958
Burundi,Domestic credit provided by financial sector (% of GDP),1972,8.825027552160002
Burundi,Electric power consumption (kWh per capita),1972,
Burundi,Energy use (kg of oil equivalent per capita),1972,
Burundi,Exports of goods and services (% of GDP),1972,11.734443446300002
Burundi,"Fertility rate, total (births per woman)",1972,7.348
Burundi,GDP growth (annual %),1972,-6.40396492291
Burundi,Imports of goods and services (% of GDP),1972,15.0749696695
Burundi,"Industry, value added (% of GDP)",1972,11.6023831922
Burundi,"Inflation, GDP deflator (annual %)",1972,4.29080996997
Burundi,"Life expectancy at birth, total (years)",1972,44.1849512195
Burundi,Population density (people per sq. km of land area),1972,138.136098131
Burundi,"Services, etc., value added (% of GDP)",1972,23.0728645592
Cabo Verde,"Agriculture, value added (% of GDP)",1972,
Cabo Verde,CO2 emissions (metric tons per capita),1972,0.18751004426800003
Cabo Verde,Domestic credit provided by financial sector (% of GDP),1972,
Cabo Verde,Electric power consumption (kWh per capita),1972,
Cabo Verde,Energy use (kg of oil equivalent per capita),1972,
Cabo Verde,Exports of goods and services (% of GDP),1972,
Cabo Verde,"Fertility rate, total (births per woman)",1972,6.8870000000000005
Cabo Verde,GDP growth (annual %),1972,
Cabo Verde,Imports of goods and services (% of GDP),1972,
Cabo Verde,"Industry, value added (% of GDP)",1972,
Cabo Verde,"Inflation, GDP deflator (annual %)",1972,
Cabo Verde,"Life expectancy at birth, total (years)",1972,55.033560975600004
Cabo Verde,Population density (people per sq. km of land area),1972,67.93746898260001
Cabo Verde,"Services, etc., value added (% of GDP)",1972,
Cambodia,"Agriculture, value added (% of GDP)",1972,
Cambodia,CO2 emissions (metric tons per capita),1972,0.0160061938339
Cambodia,Domestic credit provided by financial sector (% of GDP),1972,
Cambodia,Electric power consumption (kWh per capita),1972,
Cambodia,Energy use (kg of oil equivalent per capita),1972,
Cambodia,Exports of goods and services (% of GDP),1972,
Cambodia,"Fertility rate, total (births per woman)",1972,6.175
Cambodia,GDP growth (annual %),1972,
Cambodia,Imports of goods and services (% of GDP),1972,
Cambodia,"Industry, value added (% of GDP)",1972,
Cambodia,"Inflation, GDP deflator (annual %)",1972,
Cambodia,"Life expectancy at birth, total (years)",1972,36.7572439024
Cambodia,Population density (people per sq. km of land area),1972,41.531622479
Cambodia,"Services, etc., value added (% of GDP)",1972,
Cameroon,"Agriculture, value added (% of GDP)",1972,31.9650417545
Cameroon,CO2 emissions (metric tons per capita),1972,0.120787752366
Cameroon,Domestic credit provided by financial sector (% of GDP),1972,15.1498592263
Cameroon,Electric power consumption (kWh per capita),1972,149.69778708
Cameroon,Energy use (kg of oil equivalent per capita),1972,386.14642293800006
Cameroon,Exports of goods and services (% of GDP),1972,20.3918695755
Cameroon,"Fertility rate, total (births per woman)",1972,6.2860000000000005
Cameroon,GDP growth (annual %),1972,2.67384329241
Cameroon,Imports of goods and services (% of GDP),1972,26.085749913
Cameroon,"Industry, value added (% of GDP)",1972,18.8559330948
Cameroon,"Inflation, GDP deflator (annual %)",1972,7.97638345829
Cameroon,"Life expectancy at birth, total (years)",1972,47.132195122
Cameroon,Population density (people per sq. km of land area),1972,15.092496456600001
Cameroon,"Services, etc., value added (% of GDP)",1972,49.179025627399994
Canada,"Agriculture, value added (% of GDP)",1972,
Canada,CO2 emissions (metric tons per capita),1972,17.3294250049
Canada,Domestic credit provided by financial sector (% of GDP),1972,50.4811992641
Canada,Electric power consumption (kWh per capita),1972,9903.77623413
Canada,Energy use (kg of oil equivalent per capita),1972,6933.60655182
Canada,Exports of goods and services (% of GDP),1972,21.289653361
Canada,"Fertility rate, total (births per woman)",1972,1.98
Canada,GDP growth (annual %),1972,5.44585557971
Canada,Imports of goods and services (% of GDP),1972,20.3535204397
Canada,"Industry, value added (% of GDP)",1972,
Canada,"Inflation, GDP deflator (annual %)",1972,5.900125270249999
Canada,"Life expectancy at birth, total (years)",1972,72.933902439
Canada,Population density (people per sq. km of land area),1972,2.41860744641
Canada,"Services, etc., value added (% of GDP)",1972,
Cayman Islands,"Agriculture, value added (% of GDP)",1972,
Cayman Islands,CO2 emissions (metric tons per capita),1972,5.42616158627
Cayman Islands,Domestic credit provided by financial sector (% of GDP),1972,
Cayman Islands,Electric power consumption (kWh per capita),1972,
Cayman Islands,Energy use (kg of oil equivalent per capita),1972,
Cayman Islands,Exports of goods and services (% of GDP),1972,
Cayman Islands,"Fertility rate, total (births per woman)",1972,
Cayman Islands,GDP growth (annual %),1972,
Cayman Islands,Imports of goods and services (% of GDP),1972,
Cayman Islands,"Industry, value added (% of GDP)",1972,
Cayman Islands,"Inflation, GDP deflator (annual %)",1972,
Cayman Islands,"Life expectancy at birth, total (years)",1972,
Cayman Islands,Population density (people per sq. km of land area),1972,42.2375
Cayman Islands,"Services, etc., value added (% of GDP)",1972,
Central African Republic,"Agriculture, value added (% of GDP)",1972,38.4912840409
Central African Republic,CO2 emissions (metric tons per capita),1972,0.0887472102413
Central African Republic,Domestic credit provided by financial sector (% of GDP),1972,20.8315855957
Central African Republic,Electric power consumption (kWh per capita),1972,
Central African Republic,Energy use (kg of oil equivalent per capita),1972,
Central African Republic,Exports of goods and services (% of GDP),1972,24.934800686
Central African Republic,"Fertility rate, total (births per woman)",1972,5.952999999999999
Central African Republic,GDP growth (annual %),1972,-0.000867174831114
Central African Republic,Imports of goods and services (% of GDP),1972,33.8130870581
Central African Republic,"Industry, value added (% of GDP)",1972,27.2727325479
Central African Republic,"Inflation, GDP deflator (annual %)",1972,4.64423708915
Central African Republic,"Life expectancy at birth, total (years)",1972,43.508024390200006
Central African Republic,Population density (people per sq. km of land area),1972,3.0509839802200003
Central African Republic,"Services, etc., value added (% of GDP)",1972,34.235983411199996
Chad,"Agriculture, value added (% of GDP)",1972,39.5225400114
Chad,CO2 emissions (metric tons per capita),1972,0.0317089934515
Chad,Domestic credit provided by financial sector (% of GDP),1972,7.564125351860001
Chad,Electric power consumption (kWh per capita),1972,
Chad,Energy use (kg of oil equivalent per capita),1972,
Chad,Exports of goods and services (% of GDP),1972,14.5650982907
Chad,"Fertility rate, total (births per woman)",1972,6.636
Chad,GDP growth (annual %),1972,1.14961609483
Chad,Imports of goods and services (% of GDP),1972,19.3840592629
Chad,"Industry, value added (% of GDP)",1972,13.503205951400002
Chad,"Inflation, GDP deflator (annual %)",1972,5.55368367597
Chad,"Life expectancy at birth, total (years)",1972,42.1994146341
Chad,Population density (people per sq. km of land area),1972,3.0288087301599997
Chad,"Services, etc., value added (% of GDP)",1972,46.974254037200005
Channel Islands,"Agriculture, value added (% of GDP)",1972,
Channel Islands,CO2 emissions (metric tons per capita),1972,
Channel Islands,Domestic credit provided by financial sector (% of GDP),1972,
Channel Islands,Electric power consumption (kWh per capita),1972,
Channel Islands,Energy use (kg of oil equivalent per capita),1972,
Channel Islands,Exports of goods and services (% of GDP),1972,
Channel Islands,"Fertility rate, total (births per woman)",1972,1.9180000000000001
Channel Islands,GDP growth (annual %),1972,
Channel Islands,Imports of goods and services (% of GDP),1972,
Channel Islands,"Industry, value added (% of GDP)",1972,
Channel Islands,"Inflation, GDP deflator (annual %)",1972,
Channel Islands,"Life expectancy at birth, total (years)",1972,71.9380487805
Channel Islands,Population density (people per sq. km of land area),1972,650.584210526
Channel Islands,"Services, etc., value added (% of GDP)",1972,
Chile,"Agriculture, value added (% of GDP)",1972,8.365508365510001
Chile,CO2 emissions (metric tons per capita),1972,2.84291142148
Chile,Domestic credit provided by financial sector (% of GDP),1972,41.9926752123
Chile,Electric power consumption (kWh per capita),1972,802.69787158
Chile,Energy use (kg of oil equivalent per capita),1972,891.2738674039999
Chile,Exports of goods and services (% of GDP),1972,9.82187447977
Chile,"Fertility rate, total (births per woman)",1972,3.665
Chile,GDP growth (annual %),1972,-0.819195514517
Chile,Imports of goods and services (% of GDP),1972,13.2345596804
Chile,"Industry, value added (% of GDP)",1972,38.0094380094
Chile,"Inflation, GDP deflator (annual %)",1972,85.5438622254
Chile,"Life expectancy at birth, total (years)",1972,63.822902438999996
Chile,Population density (people per sq. km of land area),1972,13.3370964531
Chile,"Services, etc., value added (% of GDP)",1972,53.6250536251
China,"Agriculture, value added (% of GDP)",1972,32.416549130199996
China,CO2 emissions (metric tons per capita),1972,1.08067663654
China,Domestic credit provided by financial sector (% of GDP),1972,
China,Electric power consumption (kWh per capita),1972,163.911928819
China,Energy use (kg of oil equivalent per capita),1972,477.168708746
China,Exports of goods and services (% of GDP),1972,3.24792352296
China,"Fertility rate, total (births per woman)",1972,5.0360000000000005
China,GDP growth (annual %),1972,3.81
China,Imports of goods and services (% of GDP),1972,2.5074439743
China,"Industry, value added (% of GDP)",1972,42.7675912866
China,"Inflation, GDP deflator (annual %)",1972,0.0741856164182
China,"Life expectancy at birth, total (years)",1972,60.9593414634
China,Population density (people per sq. km of land area),1972,91.8200942668
China,"Services, etc., value added (% of GDP)",1972,24.8119417019
Colombia,"Agriculture, value added (% of GDP)",1972,24.5931157551
Colombia,CO2 emissions (metric tons per capita),1972,1.3600666580200003
Colombia,Domestic credit provided by financial sector (% of GDP),1972,26.1947957429
Colombia,Electric power consumption (kWh per capita),1972,389.47063229400004
Colombia,Energy use (kg of oil equivalent per capita),1972,598.975288294
Colombia,Exports of goods and services (% of GDP),1972,14.239455156300002
Colombia,"Fertility rate, total (births per woman)",1972,5.067
Colombia,GDP growth (annual %),1972,7.673414682080001
Colombia,Imports of goods and services (% of GDP),1972,14.766842110799999
Colombia,"Industry, value added (% of GDP)",1972,29.3085655315
Colombia,"Inflation, GDP deflator (annual %)",1972,12.9678336472
Colombia,"Life expectancy at birth, total (years)",1972,61.560780487799995
Colombia,Population density (people per sq. km of land area),1972,20.862373141099997
Colombia,"Services, etc., value added (% of GDP)",1972,46.09831871350001
Comoros,"Agriculture, value added (% of GDP)",1972,
Comoros,CO2 emissions (metric tons per capita),1972,0.12336572791099999
Comoros,Domestic credit provided by financial sector (% of GDP),1972,
Comoros,Electric power consumption (kWh per capita),1972,
Comoros,Energy use (kg of oil equivalent per capita),1972,
Comoros,Exports of goods and services (% of GDP),1972,
Comoros,"Fertility rate, total (births per woman)",1972,7.058
Comoros,GDP growth (annual %),1972,
Comoros,Imports of goods and services (% of GDP),1972,
Comoros,"Industry, value added (% of GDP)",1972,
Comoros,"Inflation, GDP deflator (annual %)",1972,
Comoros,"Life expectancy at birth, total (years)",1972,46.5475853659
