Unknown Number of Deaths,0 Deaths,1-50 Deaths,51-100 Deaths,101-1000 Deaths,>1001 Deaths,"Unknown Number of Deaths, lat","Unknown Number of Deaths, lon","0 Deaths, lat","0 Deaths, lon","1-50 Deaths, lat","1-50 Deaths, lon","51-100 Deaths, lat","51-100 Deaths, lon","101-1000 Deaths, lat","101-1000 Deaths, lon",">1001 Deaths, lat",">1001 Deaths, lon"
"Italy:  Ligurian Coast, 1646",,"Russia:  Caucasus, 1652",,"Israel:  Nabulus,Salt; Jordan:  Al-Karak, 1546","China:  Qinghai Province:  Yushu, 2010",43.55,10.317,,,42.1,47.7,,,32,35.5,33.165,96.548
"Guatemala:  San Miguel Upsantan, 1985",,"Venezuela:  Carupano, 1968",,"Afghanistan:  Kabul, 1505","Japan:  Honshu, 2011",15.299,-90.863,,,10.5,-62.6,,,34.5,69.2,38.297,142.372
"Papua New Guinea, 1986",,"Ethiopia:  Sardo, 1969",,"Thailand:  Yonok-Nagabandhu, 460","Nepal:   Kathmandu, 2015",-4.448,143.943,,,11.9,41.21,,,20.3,100,28.147,84.708
"California:  Palm Springs, 1986",,"Balkans Nw:  Bosnia-Herzegovina:  Kakasi, Jablan, 1969",,"China:  Gansu Province, -186",,34,-116.61,,,44.9,17.2,,,33.8,105.6,,
"Greece:  S, Messinia, Berga, Nedousa, 1986",,"Peru:  Panao,Chaclla,Quero,Ayllamarca,La Linda, 1970",,"Turkey:  Hellespont, 93",,36.93,22.175,,,-9.9,-75.6,,,40.6,26.7,,
"Albania:  Tirana, Ulcinj-Bar, 1988",,"Greece:  Kato-Makrinou, 1975",,"Turkey:  S Coasts; Libya, 262",,41.246,19.63,,,38.628,21.798,,,36.6,30,,
"China:  Ningxia, 1227",,"Italy-Balkans Nw, 1976",,"China:  Henan Province, 344",,38.5,106.3,,,46.3,13.2,,,35.4,114.3,,
"Azores:  Sao Miguel Island, 1988",,"Costa Rica:  San Jose, 1983",,"Turkey:  Iznik,Nicaea, 367",,37.938,-26.142,,,9.652,-83.688,,,40.7,29.7,,
"Canada:  Quebec:  Saguenay, Quebec City, 1988",,"Idaho:  Borah Peak, Challis, Mackay, 1983",,"Italy, 614",,48.117,-71.183,,,43.974,-113.916,,,41,15,,
"Macquarie Island:  Macquarie Station; New Zealand, 1989",,"Yemen:  Zabid, 1463",,"Japan, 684",,-52.341,160.568,,,14.1,43.2,,,32.5,134,,
"Italy:  Sicily, 1329",,"Italy-Balkans Nw, 1976",,"Syria;  Israel; Asia, 742",,37.734,15.004,,,46.32,13.13,,,35,38,,
"Tajikistan:  Dzhirgatal, Garm, 1984",,"Peru:  Ica, 1594",,"China:  Hunan Province: Hoang Kin Chan, 778",,39.155,71.328,,,-14,-76,,,28.1,111.4,,
"Greece:  Messina, 1984",,"Greece:  Aegean Sea:  Magnesia, 1980",,"Italy:  Verona, 793",,37.013,21.757,,,39.269,23.041,,,45.5,11,,
"France:  Strasbourg, 1289",,"Turkey:  Izmit, Esme, Labinia, 1878",,"China:  Sichuan Province:  Xichang, 814",,48.6,7.8,,,40.8,29,,,27.9,102.2,,
"Russia:  S. Kuril Islands, 1980",,"Turkey:  Kursunlu, 1951",,"Japan:  Tokkaido, 818",,43.53,146.753,,,40.8,33.4,,,35.2,139.3,,
"California:  Livermore, 1980",,"Guatemala:  Soloma, 1816",,"Iran:  Rey (Ray), 855",,37.855,-121.816,,,15.5,-91.5,,,35.3,51.2,,
"California:  Mammoth Lakes, 1980",,"Indonesia:  Maluku:  Ternate, 1855",,"Iran:  Tabriz, 858",,37.6,-118.84,,,0.8,127.3,,,38,46.2,,
"Greece: Vonitsa, 1983",,"Russia:  Dagestan, 1830",,"Iran:  Rey (Ray), 863",,38.294,20.262,,,43,47,,,35.3,51.2,,
"California:  Westmorland,Calipatria, 1981",,"Italy:  Coast Of Liguria, 1831",,"Turkey; Armenia:  Dvina, 863",,33.133,-115.65,,,43.8,7.8,,,40,44.6,,
"Philippines:  Virac, Catanduanes, 1982",,"Turkey:  Foca,Menemen,Guzelhisar, 1909",,"Japan: Naoetsu, Niigata Prefecture, 863",,13.752,124.358,,,38.6,26.9,,,37.1,138,,
"Kentucky:  Maysville, 1980",,"Guadeloupe; Antigua; St Kitts, 1897",,"Iran:  Tabriz; Armenia:  Jerevan (Erivan), 863",,38.174,-83.907,,,16.1,-61.3,,,38,46.2,,
"Italy:  Perugia, 1982",,"Greece:  Thebes, Boeotia, 1853",,"Japan:  Sanriku, 869",,43.164,12.586,,,38.25,23.5,,,38.5,143.8,,
"Ecuador:  Esmeraldas, Guayaquil, 1989",,"Greece:  Leukas Island, 1914",,"Italy:  Roma (Rome), 896",,1.134,-79.616,,,38.8,20.6,,,41.9,12.6,,
"Turkey:  Western, 1928",,"Venezuela:  Tachira (Lobatera), 1849",,"Iran:  Ladnesa, 942",,40.8,26.8,,,7.3,-72.3,,,36,51.7,,
"Alaska:  Se Alaska, 1927",,"Balkans Nw:  Slovenia:  Ljubljana, 1895",,"Iran:  Hamadan, 956",,57.69,-136.07,,,46.1,14.5,,,34.9,48.4,,
"Papua New Guinea:  New Ireland, 1983",,"Italy:  Caposele,Calabritto,Lioni, 1853",,"Iran:  Rey (Ray); Afghanistan: Talqan, 958",,-4.883,153.581,,,40.9,15.2,,,35.3,51.2,,
"Tajikistan:  Garm, Khazora, 1983",,"Algeria:  Northern, 1856",,"Italy:  Verona, 1001",,38.841,70.727,,,37.1,5.7,,,45.3,11,,
"Mexico:  Oaxaca:   Salina Cruz, 1983",,"Japan:  Off Coast Of Honshu, 1894",,"Turkey:  Istanbul (Constantinople), 1039",,16.147,-95.232,,,42.5,146,,,38.4,27.3,,
"California:  S,  Claremont,  Covina, 1990",,"Philippines:  Luzon:  Bataan, Rizal, Pampanga,Manila, 1852",,"United Kingdom:  Britian, 1048",,34.14,-117.7,,,14,120.5,,,52,        ,,
"Iraq:  Baghdad, 1130",,"Myanmar (Burma):  Mandalay, Mogok, Maymyo, 1912",,"Iraq:  Mosul, Kirkuk, Hamadan, Tikrit, Wasit, Amah, 1058",,33.2,44.2,,,21,97,,,34.3,44.7,,
"Russia:  Kamchatka:  Ust-Kamchatsk, Petropavlovsk, 1997",,"Philippines:  S Mindanao:  Glan,Glan Padidu,Tuyan, 1917",,"Iran:  Khorasan,Jabal, 1065",,54.841,162.035,,,6,125,,,35,58,,
"Spain:  Mula, Puebla De Mula, 1999",,"Algeria:  M'Sila, 1885",,"Iran:  Khorasan, 1066",,38.193,-1.566,,,36.1,4.6,,,34,58,,
"Italy:  Spinello, Santa Sofia, Bagno Di Romagna, 2003",,"Italy, 1837",,"Iran:  Arajan,Khuzestan, 1085",,43.883,11.96,,,44.2,10.5,,,31,49,,
"California:  Ludlow, Landers, Twentynine Palms, 1999",,"Turkey:  Cankiri, 1902",,"Turkey:  Erzurum, 1085",,34.594,-116.271,,,40.7,33.6,,,39.9,41.1,,
"California:  Napa, 2000",,"Philippines:  Sorsogon,Masbate Is,Casiguran,Albay, 1840",,"Italy:  Siracusa (Syracuse), 1086",,38.379,-122.413,,,12.9,123.9,,,37,15.3,,
"Turkey:  Istanbul (Constantinople), 440",,"W. Luzon Island, Philippines, 1925",,"Georgia:  Tmogvi, 1088",,41,29,,,9.3,122.7,,,41.4,43.2,,
"New York:  Clinton, Essex, Au Sable Forks, 2002",,"Ukraine:  Crimea:  Sebastopol, 1927",,"Japan:  Enshunada, 1096",,44.513,-73.699,,,44.4,34.5,,,34,137.5,,
"Guam, 2002",,"California:  Hayward,San Francisco, 1868",,"China:  Shanxi Province:  Chin,Hsi Tai In Tai,Yuan, 1102",,13.088,144.619,,,37.7,-122.1,,,37.5,112.6,,
"Panama:  Baru, Alanje, David; Costa Rica:  Laurel, 2002",,"Italy:  Valley Of Pellice, Chisone, 1808",,"United Kingdom:  Ireland:  Sliabh-Elpa, 1118",,7.929,-82.793,,,44.833,7.25,,,None,None,,
"Turkey:  Antakya (Antioch), 341",,"California, 1899",,"Iraq:  Baghdad, 1149",,36.2,36.1,,,33.5,-117,,,33.2,44.4,,
"Bulgaria: Pernik, 2012",,"Indonesia:  Java:  Jogyakarta, Surakarta, 1867",,"Portugal:  Lisbon, 1151",,42.645,22.968,,,-7.8,110.4,,,38.7,-9.1,,
"Colorado:  Segundo, 2011",,"Turkey:  Erzurum, 1924",,"Italy:  Borgogne, 1155",,37.063,-104.701,,,39.7,42.8,,,45.8,8.1,,
"New Zealand:  South Island:  Canterbury, 2010",,"Ghana:  Accra,Christiansborg,Ashanti,Akwapim, 1862",,"Iran:  Rey (Ray),Qazvin, 1175",,-43.598,172.69,,,7,0.4,,,35.3,51.2,,
"Egypt:  Siwa Oasis; Libya, -221",,"Philippines:  Se Luzon:  Camarines, 1907",,"China:  Fujian Province:  Kien Nan Chan, 1202",,29.2,25.5,,,14,123,,,27.1,118.4,,
"Vanuatu Islands, 2010",,"Bulgaria:  Balchik, 1901",,"Egypt:  Al-Qahirah (Cairo), 1211",,-17.541,168.069,,,43.4,28.5,,,30.5,31.3,,
"Guam, 1997",,"Slovakia:  Banska Stiavnica, 1443",,"Nepal:  Kathmandu, 1255",,13.986,144.901,,,48.5,19.1,,,27.7,85.3,,
"Tonga Islands, 2006",,"Balkans:  Nw:  Popovic, 1893",,"Iran:  Tabriz, 1272",,-20.187,-174.123,,,44.2,21.2,,,38,46.2,,
"India:  Maharashtra, 2005",,"Philippines:  Luzon:  Abra,Pangasinan,Union, 1892",,"Georgia, 1275",,17.398,74.118,,,17.3,120.6,,,42.1,44.2,,
"Kazakhstan:  Akkal, Ust, 1990",,"Italy:  Scarperia, 1542",,"Morocco:  El Araish (Larache), 1276",,47.963,84.961,,,44.07,11.3,,,35.1,-6.1,,
"North Korea:  Kaesong, 1036",,"California:  Owens Valley, 1872",,"China:  Gansu Province:  Tao Yuen Chan, 1340",,37.6,126.3,,,36.7,-118.1,,,29,111.3,,
"China:  Jiangsu Province:   Changzhou, 999",,"Greece:  Zakinthos (Zante), 1840",,"China:  Hunan Province:  Nan Pi Tsin Nan, 1343",,31.8,119.9,,,38,21,,,34.9,105.8,,
"California:  Honeydew, Whitethorn, Petrolia, 1991",,"Chile, 1543",,"Italy:  Firenze (Florence), 1345",,40.235,-124.348,,,-19,-70.5,,,43.8,11.3,,
"Iraq:  Halwan; Iran:  Kerend,Qasr-E-Shirin, 957",,"Peru:  Lima, 1586",,"China:  Shandong Province:  Lintou, Chingchou, 1347",,34.8,44.8,,,-12.3,-77.7,,,36.9,118.2,,
"California:  Joshua Tree, Angelus Oaks, 1992",,"Balkans Nw:  Slovenia:  Idrija,Skofja Loka, 1511",,"Algeria:  Algiers, 1365",,33.961,-116.318,,,46.2,13.433,,,36.8,3,,
"Iraq:  Jazirah:  Between Tigris And Tharthar Rivers, 678",,"Chile, 1871",,"Yemen:  Aden (Adan), 1387",,35,43.5,,,-20.2,-70.2,,,12.4,45.1,,
"Turkey:  Antakya (Antioch), 713",,"Greece:  Vieille,Korinthos,Hexamilia, 1858",,"Turkey:  Antakya (Antioch), 1407",,36,36,,,38,23,,,36,36,,
"Kyrgyzstan:  Dzhergetal, Koshtebe, Kazarman, 1997",,"Albania:  Delvinon, Berati; Greece: Corfu, 1858",,"Tokaido, Japan, 1433",,41.026,74.284,,,40,20,,,34.9,139.5,,
"Russia:  Caspian Sea, 743",,"Portugal:  Setubal, 1858",,"Italy:  Roma (Rome), 1447",,42.1,48.2,,,38.2,-9,,,41.9,12.6,,
"California:  Eureka, Samoa, Arcata, Blue Lake, 1994",,"Italy:  Central:  Marche, Umbria, 1997",,"Greece:  Rhodes, 1481",,40.741,-124.31,,,43.084,12.812,,,36,28,,
"Wyoming:  Afton, 1994",,"Algeria:  Biskra, 1869",,"Iran:  Gilan,Dilaman,Karajian,Shakur,Gulijan, 1484",,42.762,-110.976,,,34.9,5.9,,,37,49,,
"Washington-Oregon Border, 1993",,"Chile, 1859",,"Japan:  Kamakura, 1495",,45.035,-122.607,,,-27.35,-70.35,,,35.1,139.5,,
"Indonesia:  Timor, Dili, Maliana, Maubara, 1995",,"Albania:  Smokthine, Velca, Vlore, 1866",,"China:  Fujian:  Changting, 1535",,-8.452,125.049,,,40.3,19.3,,,25.8,116.4,,
"Guatemala, 1979",,"Russia:  Kosh-Agach, Ust'-Ulagan, Ongudai, Shebalino, 2003",,"Venezuela:  Cumana, Isla Cubagua, 1543",,14.321,-90.082,,,50.038,87.813,,,10.5,-64.2,,
"Papua New Guinea:  Bismarck Sea, 1971",,"Dominican Republic:  Puerto Plata, Santiago, 2003",,"China:  Shaanxi Province:  Hiao Yi, 1545",,-6.5,146.6,,,19.777,-70.673,,,37.2,111.7,,
"Israel:  Palestine; Syria:  Halab; Turkey:  Antakya, 758",,"Hawaii:  Se Of, 1868",,"Iran:  Tabriz, 1550",,31.2,34.2,,,19,-155.5,,,38,46,,
"Uzbekistan:  Gazli, 1976",,"Greece:  Achaie,Valymitika,Tripolis, 1861",,"Ecuador, 1575",,40.31,63.77,,,38.2,22.2,,,-0.2,-78.6,,
"China:  Gansu Province:  Lingtai, 1634",,"Algeria:  Bourava, Gouraya, 1891",,"El Salvador:  San Marcos, 1576",,35.1,107.6,,,36.5,1.8,,,None,None,,
"Greece:  Thessaloniki, Volvi, Langadas, 1978",,"Iceland:  Southland, 1182",,"Greece:  Crete:  Iraklion (Candia), 1613",,40.759,23.268,,,64,-21,,,35.3,25.1,,
"Solomon Islands, 1977",,"Algeria:  Kalaa, 1887",,"Japan:  Niigata Prefecture, 1614",,-9.89,160.348,,,35.58,0.33,,,37.5,138,,
"Guam, 1975",,"Greece:  Kalami, Lakonia, Zakinthos, 1986",,"Japan, 1615",,13.843,144.754,,,37.014,22.176,,,35.7,139.7,,
"Balkans Nw:  Croatia:  Knin, 1970",,"New Zealand:  North Island, Whakatani, Edgecumbe, 1987",,"Iran:  Dughabad,Khorasan, 1618",,44,16,,,-37.965,176.765,,,35,58,,
"Philippines:  Batan Islands:  Basco, Sabtang, 1970",,"Iceland:  Southland,Grimsnes, 1164",,"Germany:  Frankfurt, 1619",,20.6,122,,,64.3,-20,,,52.3,14.6,,
"Peru, 1584",,"Italy, 1879",,"Germany:  Mecklenburg, 1629",,-11.8,-77.8,,,37.5,15,,,53.6,12.3,,
"Iran:  Tabriz, 1640",,"Turkey, 1880",,"Japan:  Odawara, 1633",,38.2,46.3,,,38.6,27.1,,,35.2,139.2,,
"Switzerland, 1574",,"Chile:  Illapel, 1880",,"Greece:  Zakinthos (Zante), 1636",,46.2,6.2,,,-31.62,-71.18,,,38.1,20.3,,
"Papua New Guinea:  Solomon Islands: Buin, Boku, 1975",,"Turkey:  Manyas, Bursa, Balikesir, 1964",,"Ecuador, 1645",,-7.104,155.152,,,40.3,28.2,,,-1.7,-78.6,,
"Romania:  Velingrad, 1977",,"Greece:  Aegean Sea:  St Eustratios, 1968",,"Japan:  Tokyo, 1649",,42.11,23.97,,,39.368,24.957,,,35.5,140,,
"Peru, 1582",,"Iceland:  Sudurland, 1013",,"Iran:  Tabriz, 1650",,-12.2,-77.6,,,64,-21,,,38,46.2,,
"Colombia, 1566",,"Italy:  Crati, 1767",,"Peru:  Trujillo, 1658",,3,-77.3,,,39.3,16.2,,,-8.1,-79,,
"California:  Oxnard, 1973",,"Peru:  Arequipa,Moquegua,Tacna,Torata,Quellaveco, 1948",,"El Salvador:  San Salvador, 1659",,34.1,-119,,,-17.4,-71,,,None,None,,
"Greece: Lixouri, Chavriata, Damoulianata,Kouvalata, 1972",,"Philippines:  Mindanao:  Cotabato, 1918",,"Japan:  Yamasiro, 1662",,38.3,20.3,,,5.5,123,,,35.5,136,,
"Chile:  Central, 1972",,"Chile:  Copiapo, 1819",,"Iran:  Damavand, 1665",,-30.5,-71.8,,,-27,-71.5,,,35.4,52,,
"Philippines:  Luzon: S Batangas To N Cagayan, 1645",,"Philippines:  Luzon:  Tayabas,Laguna, 1743",,"Japan:  Ugo, 1694",,14.4,121,,,14,121.6,,,40,139.5,,
"Malaysia:  Sabah:  Lahad,Datu,Kanak, 1976",,"Greece:  Zakinthos (Zante), 1820",,"Ecuador:  Ambato,Carguayrazo, 1698",,4.96,118.31,,,37.75,21.25,,,-1.3,-78.7,,
"Turkey: Istanbul (Constantinople), 1646",,"Greece:  Lefkada, 1723",,"Turkey:  Kars, 1707",,41.04,28.98,,,38.5,20.5,,,40.4,43,,
"Chile:  Valparaiso, La Ligua, Santiago, 1973",,"Greece:  Stephanovikion-Velestnon (Magnesia), 1957",,"El Salvador:  San Salvador, 1707",,-32.5,-71.5,,,39.4,22.8,,,None,None,,
"Balkans Nw:  Slovenia:  Kozjansko, 1974",,"Turkey:  Fethiye (Lycia, Asia Minor), 1957",,"Seionaikai, Japan, 1711",,44.97,15.53,,,36.4,28.7,,,34.3,134,,
"Alaska:  Sitka, Juneau, 1972",,"Colombia, 1958",,"Turkey:  Mahmatan, Van, 1715",,56.82,-135.68,,,2,-79,,,38.7,43.9,,
"Alaska, 1979",,"Greece:  Aegean Sea, 1955",,"El Salvador:  San Salvador, 1719",,60.691,-141.671,,,39.5,23,,,None,None,,
"Japan:  Arosan, 1975",,"Peru:  Pararca,Paysa,Colta,Oyala, 1914",,"India:  Delhi, 1720",,33,131.1,,,-15.2,-73.2,,,29,77.5,,
"China:  Hubei Province, 1634",,"Greece:  Drakia-Agria (Magnesia), 1955",,"Cuba:  Santiago De Cuba, 1760",,30.7,115.1,,,39.4,23.1,,,20,-75.5,,
"Colombia:  Cartago, 1799",,"Chile:  Chillan, Concepcion, 1953",,"Greece:  St Maura, 1770",,7.5,-73.5,,,-36.5,-72.5,,,38.717,20.65,,
"Indonesia:  Maluku:  Bandanaira, 1975",,"Cyprus:  Paphos, 1953",,"Haiti: Port-Au-Prince, 1770",,-5,130,,,35,32.5,,,18.5,-73.4,,
"Peru, 1555",,"Italy:  Naso, Sicily, 1823",,"Canada:  Newfoundland, 1774",,-11.9,-77.6,,,38.1,14.7,,,47,-55,,
"California:  Southern, 1978",,"Greece:  Sophades (Karditsa), 1954",,"Jamaica:  Savanna La Mar, 1780",,34.35,-119.7,,,39.3,22.2,,,18.2,-78.1,,
"Vanuatu Islands:  Espiritu Santo, Luganille, 1973",,"Turkey, 1935",,"Greece:  Corfu (Kerkira), 1786",,-14.46,166.6,,,40.5,27.5,,,39.7,19.8,,
"Nicaragua:  Leon, Chinandega, Managua, 1898",,"Turkey:  Amaxiki, 1783",,"El Salvador:  San Salvador, 1798",,12,-86,,,38.7,30.7,,,None,None,,
"Philippines:  Luzon:  Ilocos Sur, 1897",,"Peru:  Chacahpoyas,Huancabamba,Cajamarca,Pinpincos, 1928",,"Algeria:  Kolea, Blida, Algiers, 1802",,18,120,,,-5,-78,,,36.5,2.9,,
"Iran:  Gorgan (Astrabad); Turkmenistan, 1898",,"Philippines:  Taal Volcano, 1754",,"Japan:  Kisakata, 1804",,36.5,54.9,,,14.002,120.993,,,39.05,139.95,,
"California:  Sonoma County, 1898",,"Greece:  Zante, Gastuni, 1791",,"Mexico:  Jalisco,Oaxaca,Michoacan, 1806",,38.2,-122.4,,,35.8,21,,,18.9,-103.8,,
"Balkans Nw:  Croatia:  Ston, Slano, 1996",,"Greece:  Zakinthos (Zante), 1791",,"Japan, 1812",,42.803,17.936,,,37.5,20.3,,,35.4,139.6,,
"Chile:  Limache, Almendral, 1896",,"Colombia:  Gachala,Gacheta,Ubala,Medina, 1923",,"Chile:  Copiapo, 1819",,-33,-71,,,5.2,-73.2,,,-27.4,-70.3,,
"Greece:  Corinthia, Arcadia, 1972",,"California; Mexico, 1940",,"Iran:  Shiraz, 1820",,37.9,22.4,,,32.733,-115.5,,,29.6,52.5,,
"Philippines:  Masbate Island, 1897",,"Albania:  Peshkopia, Magellare, 1942",,"Iran:  Mazandaran, 1823",,12,124,,,41.7,20.4,,,36.3,53.3,,
"France:  Laboirie, Arceau, Saint-Pierre D'Oleron, 1972",,"Peru:  Huancabamba,Oxapampa,El Progreso,San David, 1937",,"Balkans Nw:  Croatia:  Dubrovnik, 1823",,46,-1.1,,,-10.5,-76.5,,,42.7,18.2,,
"Philippines:  Northern Samar, 1897",,"Alaska, 1964",,"Philippines:  Manila,San Francisco, 1824",,12,126,,,61.017,-147.648,,,14.25,121.25,,
"Philippines:  Cebu I:  Cebu; Mactan I, 1922",,"Albania, 1967",,"Pakistan:  Lahore, Punjab, 1827",,10.2,123.5,,,41.5,20.5,,,31.6,74.3,,
"Turkey:  Hasankale,Hins,Erzurum, 1901",,"Turkmenistan:  W, -2000",,"India:  Kashmir, 1828",,40,41.5,,,38,58.2,,,34.2,74.5,,
"California: Humboldt County: Ferndale, Petrolia, 1992",,"France:  Vernegues,Charleval,La Roque D'Antheron, 1909",,"Iran:  Damavand,Tehran,Semnan,Damghan, 1830",,40.368,-124.316,,,43.7,5.4,,,35.7,52.1,,
"Russia:  Kuril Islands, 1973",,"Greece:  Chavari (Elis), 1909",,"Japan:  Kyoto, 1830",,43.3,146.4,,,37.9,21.5,,,35,136,,
"Ghana:  Ho, Akpafu, Palime, Misa, Accra; Togo, 1906",,"Portugal:  Ribatejo, Benavente, 1909",,"Afghanistan, 1832",,6.5,0.3,,,38.9,-8.8,,,36.5,71,,
"Greece:  Zakynthos, 1898",,"Montana:  Hebgen Lake, 1959",,"El Salvador:  San Salvador, 1839",,37.75,21,,,44.712,-111.215,,,13.7,-89.2,,
"Philippines:  N Luzon:  Tuguegarao,Laoag,N Ilocos, 1907",,"Greece:  Southern, 1965",,"Costa Rica:  Cartago; Nicaragua, 1841",,18,120,,,37.7,21.8,,,10,-84,,
"Saint Lucia:  Castries, 1906",,"Greece, 1965",,"Afghanistan:  Jalalabad, 1842",,14,-61,,,38.6,22.4,,,34.4,70.5,,
"Turkey:  Koglacik, 1909",,"Austria:  Carinthie, 1690",,"Sw. Sumatra, 1843",,40.3,29.6,,,46.6,13.8,,,1.5,98,,
"Indonesia:  Sulawesi-N. Moluccas Islands, 1910",,"Albania, 1959",,"Colombia:  Magdalena River, 1845",,4,127,,,40.9,19.8,,,11.1,-74.5,,
"Greece:  Leukas Island, Preveza, Vonitsa, 1973",,"Russia:  Near East Coast Of Kamchatka, 1959",,"Venezuela:  Maracaibo, 1849",,38.9,20.44,,,52.5,159.5,,,10.7,-71.6,,
"Alaska:  Kodiak Island, 1900",,"Greece:  Galaxidi, 1660",,"Colombia:  Cartagena, 1851",,57.09,-153.48,,,38.4,22.4,,,10.4,-75.4,,
"California: Big Bear Lake, Big Bear City, 1992",,"Italy:  Foligno, 1832",,"Pakistan:  Upper Sindh, Fort Kahan, Murree Hills, 1852",,34.203,-116.827,,,42.9,12.6,,,27.7,68.8,,
"Romania:  Orsava, 1991",,"Greece:  Samos, Patmos, 1904",,"El Salvador:  San Salvador, 1854",,44.888,22.407,,,37.75,27,,,13.8,-89.2,,
"Philippines:  Mindanao:  E, 1909",,"Italy:  Island Of Ischia, 1828",,"Japan:  Enshunada Sea, 1854",,8,127,,,40.7,13.9,,,34,137.9,,
"Romania:  Voiteg, Deta, Banloc, 1991",,"Arkansas: Northeast (New Madrid Earthquakes), 1811",,"Japan:  Hida:  N, 1858",,45.498,21.115,,,35.6,-90.4,,,36,137.5,,
"Russia:  Kuril Islands, Hiroo, Urakawa, 1973",,"Chile:  Concepcion, Chillan, 1657",,"Indonesia:  Sw. Sumatra, 1861",,50.5,156.6,,,-36.83,-73.03,,,0.009,98,,
"Turkey:  Ayvalik, Mosko Is; Greece:  Khios, 1901",,"Greece:  Rhodes, Kos, 1863",,"Turkey, 1862",,39.4,26.7,,,36.5,28,,,38.8,30.5,,
"Syria:  Rasum-Kale (Near Halab); Lebanon:  Bayront, 1905",,"Italy:  Basilicata, 1836",,"Iran:  Nir,Ardabil, 1863",,36.1,37.1,,,40.1,15.8,,,38,47.6,,
"Greece:  Grevena-Kozani, Thessaloniki, Yugoslavia, 1995",,"Albania:  Vlore, Himare, Kuc, 1930",,"Greece:  Mitilini, 1867",,40.149,21.695,,,40.5,19.5,,,39.2,26.4,,
"California:  San Diego, 1901",,"Greece:  Mitata (Kythera), 1903",,"Nepal:  Kathmandu, 1869",,36,-120.5,,,36,23,,,27.7,85.3,,
"China:  Xinjiang Province, 1965",,"Italy:  Citta Della Pieve, 1861",,"Japan:  Honshu:  Sw, 1872",,43.9,87.8,,,46,12,,,34.9,132,,
"Philippines:  Davao Gulf, 1903",,"California:  Kern County, 1952",,"El Salvador:  San Vicente, 1873",,7,126,,,35,-119.017,,,13.7,-88.7,,
"Indonesia:  Sulawesi:  Lemo, Colo, Anja, Olu Congko, 1907",,"Greece:  Leukas (Ionian Islands), 1869",,"El Salvador:  Salvador,San Vicente, 1873",,-2,121,,,38.8,20.8,,,13.6,-89,,
"Japan:  Hokkaido Island, 1973",,"Chile:  Copiapo, Vallenar, Huasco, Coquimbo, 1796",,"Guatemala:  Antigua,Chimaltenango,Amatitlan, 1874",,43.2,145.8,,,-27.35,-70.35,,,14.5,-90.7,,
"France:  Chateauneuf-Du-Rhone,Donzere,Viviers, 1873",,"Greece:  Tsoukalades-Kalamitsi (Leukas), 1948",,"Afghanistan, 1874",,44.5,4.7,,,38.5,20.5,,,35,69,,
"Philippines:  Se Mindanao:  Davao Gulf, 1894",,"Chile:  Concepcion, 1835",,"El Salvador:  Jucuapa, 1878",,6,126,,,-36.83,-73.03,,,13.5,-88.4,,
"Italy:  Central:  Marche, Umbria, 1997",,"Algeria:  Masqueray,  Kabylia, 1910",,"Turkey:  Izmir, 1880",,43.048,12.879,,,36,4,,,38.1,27.8,,
"Philippines:  S Luzon:  Rizal, Cavite; N Mindoro, 1872",,"Chile:  Valparaiso, 1829",,"Iran:  Bastak, Jonah, 1880",,13.8,121,,,-33.05,-71.63,,,27.1,54.2,,
"Greece:  Vasiliki (Leukas), 1873",,"Greece:  Lesbos, 1889",,"Turkey, 1888",,38,23.3,,,39.2,26,,,41.3,43.3,,
"California:  Northern, 1873",,"Chile:  Valparaiso, 1730",,"Turkey:  Van:  Adeljiwaz, 1891",,42,-124,,,-32.5,-71.5,,,38.3,43.2,,
"California:  Sonoma County:  E Central, 1865",,"Mongolia, 1957",,"Iran:  Shiraz, 1894",,38.5,-122.5,,,45.5,99.5,,,29.4,52.3,,
"Philippines:  Mindanao,Zamboanga,Isabela (Basilan), 1874",,"Switzerland:  Haut-Valais, 1855",,"Japan:  Syonai, 1894",,6.8,122,,,46.3,7.9,,,38.9,139.8,,
"China:  Yunnan Province, 1876",,"Italy:  Treviso, 778",,"Iran:  Khvoy (Khoy), 1896",,25.4,99.4,,,45.4,12.2,,,38.5,45,,
"Philippines:  Se Luzon:  Nueva,Caceres, 1875",,"China:  Shaanxi Province:  Fan Chong, 820",,"Japan:  Senhoku, Ugo, 1896",,13.6,123.2,,,37.4,112.6,,,40,141,,
"California:  Santa Cruz, 1865",,"Iran:  Esfahan, 1344",,"Turkey, 1899",,37.2,-121.9,,,32.6,51.7,,,41.6,43.5,,
"Philippines:  Batan Island,San Domingo, 1892",,"Japan:  Aidu, 1659",,"Iran:  Kashmar, 1903",,21,122,,,37.5,140,,,35.2,58.2,,
"Oklahoma:  Sparks, 2011",,"Japan:  Hiuganada, 1662",,"Taiwan:  Jiayi, 1904",,35.532,-96.765,,,31.7,132,,,23.5,120.3,,
"Solomon Islands:  Santa Cruz Islands, 2013",,"Dominican Republic:  Santo Domingo, 1673",,"Jamaica:  Kingston, 1907",,-10.799,165.114,,,18.3,-69.5,,,18.2,-76.8,,
"Armenia:  Zangezur, 1968",,"Japan:  Tuwano, 1676",,"Indonesia:  Sw Sumatra:  Kerintji, Redjanglebong, 1909",,39.1,46.2,,,34.5,132,,,-2,101,,
