City,State,Population,lat,lon,year
Lauderhill,Florida,69813,26.1403635,-80.2133808,2014
Hendersonville,Tennessee,54068,36.3047735,-86.6199957,2014
Santa Clara,California,120245,37.3541079,-121.9552356,2014
Oceanside,California,172794,33.1958696,-117.3794834,2014
Lake Forest,California,79312,33.6469661,-117.689218,2014
Novi,Michigan,57960,42.48059,-83.4754913,2014
West New York,New Jersey,52122,40.7878788,-74.0143064,2014
Everett,Massachusetts,42935,42.40843,-71.0536625,2014
Linden,New Jersey,41301,40.6220478,-74.2445902,2014
Asheville,North Carolina,87236,35.5950581,-82.5514869,2014
Compton,California,97877,33.8958492,-118.2200712,2014
Marysville,Washington,63269,48.0517637,-122.1770818,2015
Perris,California,72326,33.7825194,-117.2286478,2015
Cleveland,Ohio,390113,41.49932,-81.6943605,2015
Worcester,Massachusetts,182544,42.2625932,-71.8022934,2015
Columbia,South Carolina,133358,34.0007104,-81.0348144,2015
Waterbury,Connecticut,109676,41.5581525,-73.0514965,2015
Eagan,Minnesota,65453,44.8041322,-93.1668858,2015
Southfield,Michigan,73006,42.4733688,-83.2218731,2015
Lafayette,Louisiana,124276,30.2240897,-92.0198427,2015
Boise City,Idaho,214237,43.6187102,-116.2146068,2015
Elkhart,Indiana,51265,41.6819935,-85.9766671,2015
Buena Park,California,82882,33.8675143,-117.9981181,2015
Marietta,Georgia,59089,33.952602,-84.5499327,2015
Parker,Colorado,48608,39.5186002,-104.7613633,2015
West Palm Beach,Florida,102436,26.7153424,-80.0533746,2015
Salem,Massachusetts,42544,42.51954,-70.8967155,2015
Aurora,Illinois,199963,41.7605849,-88.3200715,2015
Leesburg,Virginia,47673,39.1156615,-77.5636015,2015
Doral,Florida,50213,25.8195424,-80.3553302,2015
Westminster,California,91739,33.7513419,-117.9939921,2015
Lubbock,Texas,239538,33.5778631,-101.8551665,2015
Overland Park,Kansas,181260,38.9822282,-94.6707917,2015
Jackson,Mississippi,172638,32.2987573,-90.1848103,2015
Gastonia,North Carolina,73209,35.262082,-81.1873005,2015
Daytona Beach,Florida,62316,29.2108147,-81.0228331,2015
Kansas City,Missouri,467007,39.0997265,-94.5785667,2015
Rancho Palos Verdes,California,42448,33.7444613,-118.3870173,2015
Burnsville,Minnesota,61434,44.7677424,-93.2777226,2015
Rowlett,Texas,58043,32.9029017,-96.56388,2015
Roswell,New Mexico,48611,33.3942655,-104.5230242,2015
Montgomery,Alabama,201332,32.3668052,-86.2999689,2015
Logan,Utah,48913,41.7369803,-111.8338359,2015
Woburn,Massachusetts,39083,42.4792618,-71.1522765,2015
Allentown,Pennsylvania,118577,40.6084305,-75.4901833,2015
Mount Pleasant,South Carolina,74885,32.8323225,-79.8284258,2015
Columbus,Georgia,202824,32.4609764,-84.9877094,2015
Buffalo,New York,258959,42.8864468,-78.8783689,2015
New Berlin,Wisconsin,39834,42.9764027,-88.1084224,2015
North Richland Hills,Texas,67317,32.8342952,-97.2289029,2015
Lima,Ohio,38355,40.742551,-84.1052256,2015
Sacramento,California,479686,38.5815719,-121.4943996,2015
Fort Smith,Arkansas,87650,35.3859242,-94.3985475,2015
East Providence,Rhode Island,47149,41.8137116,-71.3700545,2015
Urbandale,Iowa,41776,41.6266555,-93.7121656,2015
Mount Vernon,New York,68224,40.9125992,-73.8370786,2015
Lakewood,Colorado,147214,39.7047095,-105.0813734,2015
Henderson,Nevada,270811,36.0395247,-114.9817213,2015
Covina,California,48508,34.0900091,-117.8903397,2015
Stamford,Connecticut,126456,41.0534302,-73.5387341,2015
Bloomington,Indiana,82575,39.165325,-86.5263857,2015
Kingsport,Tennessee,52962,36.548434,-82.5618186,2015
Spokane,Washington,210721,47.6587802,-117.4260466,2015
Kennewick,Washington,76762,46.2112458,-119.1372338,2015
Philadelphia,Pennsylvania,1553165,39.9525839,-75.1652215,2015
Bellingham,Washington,82631,48.74908,-122.4781473,2015
Visalia,California,127763,36.3302284,-119.2920585,2015
La Crosse,Wisconsin,51522,43.8013556,-91.2395807,2015
Council Bluffs,Iowa,61969,41.2619444,-95.8608333,2015
North Lauderdale,Florida,42757,26.217305,-80.2258811,2015
Dallas,Texas,1257676,32.7766642,-96.7969879,2015
Antioch,California,107100,38.0049214,-121.805789,2015
Sterling Heights,Michigan,131224,42.5803122,-83.0302033,2015
Deerfield Beach,Florida,78041,26.3184123,-80.0997657,2015
Fishers,Indiana,83891,39.9567548,-86.01335,2015
Cheyenne,Wyoming,62448,41.1399814,-104.8202462,2015
Murrieta,California,107479,33.5539143,-117.2139232,2015
Lenexa,Kansas,50344,38.9536174,-94.7335709,2015
Noblesville,Indiana,56540,40.0455917,-86.0085955,2015
Southaven,Mississippi,50997,34.9889818,-90.0125913,2015
Chino,California,80988,34.0122346,-117.688944,2015
Gaithersburg,Maryland,65690,39.1434406,-77.2013705,2015
Fountain Valley,California,56707,33.7091847,-117.9536697,2015
Frederick,Maryland,66893,39.4142688,-77.4105409,2015
Greenville,North Carolina,89130,35.612661,-77.3663538,2015
DeKalb,Illinois,43849,41.9294736,-88.7503647,2015
West Allis,Wisconsin,60697,43.0166806,-88.0070315,2015
Thornton,Colorado,127359,39.8680412,-104.9719243,2015
West Des Moines,Iowa,61255,41.5772115,-93.711332,2015
Fall River,Massachusetts,88697,41.7014912,-71.1550451,2015
Tulare,California,61170,36.2077288,-119.3473379,2015
Chula Vista,California,256780,32.6400541,-117.0841955,2015
Coral Springs,Florida,126604,26.271192,-80.2706044,2015
Concord,North Carolina,83506,35.4087517,-80.579511,2015
Smyrna,Georgia,53438,33.8839926,-84.5143761,2015
Apopka,Florida,45587,28.6934076,-81.5322149,2015
Grand Forks,North Dakota,54932,47.9252568,-97.0328547,2015
Lancaster,Ohio,39325,39.7136754,-82.5993294,2015
Naperville,Illinois,144864,41.7508391,-88.1535352,2015
Hollywood,Florida,146526,26.0112014,-80.1494901,2015
Rogers,Arkansas,60112,36.3320196,-94.1185366,2015
New Orleans,Louisiana,378715,29.9510658,-90.0715323,2015
Lakewood,Washington,59097,47.1717649,-122.518458,2015
Oak Lawn,Illinois,57073,41.719978,-87.7479528,2015
Caldwell,Idaho,48957,43.6629384,-116.6873596,2015
Portland,Oregon,609456,45.5230622,-122.6764816,2015
Concord,California,125880,37.9779776,-122.0310733,2015
Burien,Washington,49858,47.4703767,-122.3467918,2015
St. Charles,Missouri,67569,38.7881062,-90.4974359,2015
Waukesha,Wisconsin,71016,43.0116784,-88.2314813,2015
Flagstaff,Arizona,68667,35.1982836,-111.651302,2015
Puyallup,Washington,38609,47.1853785,-122.2928974,2015
Schenectady,New York,65902,42.8142432,-73.9395687,2015
Denver,Colorado,649495,39.7392358,-104.990251,2015
Springfield,Illinois,117006,39.7817213,-89.6501481,2015
Campbell,California,40584,37.2871651,-121.9499568,2015
Moreno Valley,California,201175,33.9424658,-117.2296717,2015
Kettering,Ohio,55870,39.6895036,-84.1688274,2015
Lincoln Park,Michigan,37313,42.2505943,-83.1785361,2015
Lake Havasu City,Arizona,52844,34.483901,-114.3224548,2015
North Little Rock,Arkansas,66075,34.769536,-92.2670941,2015
Reno,Nevada,233294,39.5296329,-119.8138027,2015
Littleton,Colorado,44275,39.613321,-105.0166498,2015
Prescott,Arizona,40590,34.5400242,-112.4685025,2015
Dublin,California,52105,37.7021521,-121.9357918,2015
Texarkana,Texas,37442,33.425125,-94.0476882,2015
Portland,Maine,66318,43.661471,-70.2553259,2015
Brooklyn Park,Minnesota,78373,45.0941315,-93.3563405,2015
West Haven,Connecticut,55046,41.2705484,-72.9469711,2015
El Centro,California,43363,32.792,-115.5630514,2015
The Colony,Texas,39458,33.0806083,-96.8928309,2015
Flint,Michigan,99763,43.0125274,-83.6874562,2015
Pittsburg,California,66695,38.0279762,-121.8846806,2015
Buckeye,Arizona,56683,33.3703197,-112.5837766,2015
Brea,California,40963,33.9166805,-117.9000604,2015
Indio,California,83539,33.7205771,-116.2155619,2015
Scottsdale,Arizona,226918,33.4941704,-111.9260519,2015
Columbus,Ohio,822553,39.9611755,-82.9987942,2015
Lancaster,Pennsylvania,59325,40.0378755,-76.3055144,2015
Lincoln,Nebraska,268738,40.8257625,-96.6851982,2015
Trenton,New Jersey,84349,40.2170534,-74.7429384,2015
Boston,Massachusetts,645966,42.3600825,-71.0588801,2015
Glendora,California,51074,34.1361187,-117.865339,2015
Rochester,Minnesota,110742,44.0121221,-92.4801989,2015
Florissant,Missouri,52363,38.789217,-90.322614,2015
Annapolis,Maryland,38722,38.9784453,-76.4921829,2015
Chapel Hill,North Carolina,59635,35.9131996,-79.0558445,2015
Lawrence,Indiana,47135,39.8386516,-86.0252612,2015
Calexico,California,39389,32.6789476,-115.4988834,2015
Calumet City,Illinois,37240,41.6155909,-87.5294871,2015
Missoula,Montana,69122,46.8787176,-113.996586,2015
Clovis,California,99769,36.8252277,-119.7029194,2015
Pearland,Texas,100065,29.5635666,-95.2860474,2015
Gilbert,Arizona,229972,33.3528264,-111.789027,2015
Wausau,Wisconsin,39309,44.9591352,-89.6301221,2015
Raleigh,North Carolina,431746,35.7795897,-78.6381787,2015
Orange,California,139969,33.7877944,-117.8531119,2015
Walnut Creek,California,66900,37.9100783,-122.0651819,2015
Bremerton,Washington,39056,47.5673202,-122.6329356,2015
Porterville,California,55174,36.06523,-119.0167679,2015
Marana,Arizona,38290,32.436381,-111.2224422,2015
Tallahassee,Florida,186411,30.4382559,-84.2807329,2015
Conroe,Texas,63032,30.3118769,-95.4560512,2015
Blacksburg,Virginia,43609,37.2295733,-80.4139393,2015
San Antonio,Texas,1409019,29.4241219,-98.4936282,2015
Hartford,Connecticut,125017,41.7637111,-72.6850932,2015
Waterloo,Iowa,68366,42.492786,-92.3425775,2015
Binghamton,New York,46444,42.0986867,-75.9179738,2015
Meridian,Idaho,83596,43.6121087,-116.3915131,2015
Fond du Lac,Wisconsin,42970,43.7730448,-88.4470508,2015
Baytown,Texas,75418,29.7355047,-94.9774274,2015
Cary,North Carolina,151088,35.79154,-78.7811169,2015
Weymouth Town,Massachusetts,55419,42.2180724,-70.9410356,2015
Tulsa,Oklahoma,398121,36.1539816,-95.992775,2015
Mission,Texas,81050,26.2159066,-98.3252932,2015
Cuyahoga Falls,Ohio,49267,41.1339449,-81.4845585,2015
Malden,Massachusetts,60509,42.4250964,-71.066163,2015
Allen,Texas,92020,33.1031744,-96.6705503,2015
Tucson,Arizona,526116,32.2217429,-110.926479,2015
Franklin,Tennessee,68886,35.9250637,-86.8688899,2015
Shakopee,Minnesota,39167,44.7973962,-93.5272861,2015
Jacksonville,Florida,842583,30.3321838,-81.655651,2015
Atlantic City,New Jersey,39551,39.3642834,-74.4229266,2015
Erie,Pennsylvania,100671,42.1292241,-80.085059,2015
Merced,California,81102,37.3021632,-120.4829677,2015
Abilene,Texas,120099,32.4487364,-99.7331439,2015
Yorba Linda,California,67032,33.8886259,-117.8131125,2015
Greenville,South Carolina,61397,34.8526176,-82.3940104,2015
Huntersville,North Carolina,50458,35.410694,-80.8428504,2015
St. Clair Shores,Michigan,60070,42.4974085,-82.8963604,2015
Harrisburg,Pennsylvania,49188,40.2731911,-76.8867008,2015
San Buenaventura (Ventura),California,108817,34.274646,-119.2290316,2015
Fremont,California,224922,37.5482697,-121.9885719,2015
Pueblo,Colorado,108249,38.2544472,-104.6091409,2015
Chelsea,Massachusetts,37670,42.3917638,-71.0328284,2015
Belleville,Illinois,42895,38.5200504,-89.9839935,2015
Minneapolis,Minnesota,400070,44.977753,-93.2650108,2015
Bartlett,Tennessee,58226,35.2045328,-89.8739753,2015
Wichita Falls,Texas,104898,33.9137085,-98.4933873,2015
Missouri City,Texas,70185,29.6185669,-95.5377215,2015
St. Louis,Missouri,318416,38.6270025,-90.1994042,2015
Pharr,Texas,73790,26.1947962,-98.1836216,2015
Albuquerque,New Mexico,556495,35.0853336,-106.6055534,2015
Athens-Clarke County,Georgia,119980,33.9519347,-83.357567,2015
South Jordan,Utah,59366,40.5621704,-111.929658,2015
North Las Vegas,Nevada,226877,36.1988592,-115.1175013,2015
Pomona,California,151348,34.055103,-117.7499909,2015
Eastvale,California,55191,33.952463,-117.5848025,2015
Grove City,Ohio,37490,39.8814519,-83.0929644,2015
Lawrence,Kansas,90811,38.9716689,-95.2352501,2015
Midland,Texas,123933,31.9973456,-102.0779146,2015
Oklahoma City,Oklahoma,610613,35.4675602,-97.5164276,2015
Oro Valley,Arizona,41627,32.3909071,-110.966488,2015
Mesa,Arizona,457587,33.4151843,-111.8314724,2015
Norwalk,Connecticut,87776,41.117744,-73.4081575,2015
Kentwood,Michigan,50233,42.8694731,-85.6447492,2015
Brookfield,Wisconsin,37999,43.0605671,-88.1064787,2015
Rockwall,Texas,40922,32.9312336,-96.4597089,2015
Mishawaka,Indiana,47989,41.6619927,-86.1586156,2015
Tustin,California,78327,33.7458511,-117.826166,2015
St. Cloud,Minnesota,66297,45.5579451,-94.1632404,2015
Passaic,New Jersey,70868,40.8567662,-74.1284764,2015
Escondido,California,148738,33.1192068,-117.086421,2015
San Bruno,California,42443,37.6304904,-122.4110835,2015
Berkeley,California,116768,37.8715926,-122.272747,2015
San Clemente,California,65040,33.4269728,-117.6119925,2015
Lawton,Oklahoma,97151,34.6035669,-98.3959291,2015
Eau Claire,Wisconsin,67545,44.811349,-91.4984941,2015
Maricopa,Arizona,45508,33.0581063,-112.0476423,2015
DeSoto,Texas,51483,32.5896998,-96.8570738,2015
Fort Wayne,Indiana,256496,41.079273,-85.1393513,2015
Shoreline,Washington,54790,47.7556531,-122.3415178,2015
Medford,Massachusetts,57170,42.4184296,-71.1061639,2015
La Habra,California,61653,33.9319578,-117.9461734,2015
Albany,New York,98424,42.6525793,-73.7562317,2015
Daly City,California,104739,37.6879241,-122.4702079,2015
Taylor,Michigan,61817,42.240872,-83.2696509,2015
Lynchburg,Virginia,78014,37.4137536,-79.1422464,2015
Bowie,Maryland,56759,39.0067768,-76.7791365,2015
Danbury,Connecticut,44349,41.394817,-73.4540111,2015
Charlottesville,Virginia,893423,38.0293059,-78.4766781,2015
Coral Gables,Florida,268285,25.72149,-80.2683838,2015
Coeur d'Alene,Idaho,115501,47.6776832,-116.7804664,2015
El Monte,California,981430,34.0686206,-118.0275667,2015
Crystal Lake,Illinois,716162,42.2411344,-88.3161965,2015
Danville,California,199814,37.8215929,-121.9999606,2015
Goodyear,Arizona,446789,33.4353394,-112.3576567,2015
Paterson,New Jersey,797595,40.9167654,-74.171811,2015
Salem,Oregon,898802,44.9428975,-123.0350963,2015
Kissimmee,Florida,98048,28.2919557,-81.407571,2015
Saginaw,Michigan,116599,43.4194699,-83.9508068,2015
Brownsville,Texas,507276,25.9017472,-97.4974838,2015
Flower Mound,Texas,127345,33.0145673,-97.0969552,2015
Grapevine,Texas,199140,32.9342919,-97.0780654,2015
Edina,Minnesota,661782,44.8896866,-93.3499489,2015
Detroit,Michigan,650490,42.331427,-83.0457538,2015
Fairfield,Ohio,935978,39.3454673,-84.5603187,2015
Mansfield,Texas,286080,32.5631924,-97.1416768,2015
Rochester,New York,162260,43.16103,-77.6109219,2015
Birmingham,Alabama,187043,33.5206608,-86.80249,2015
Austin,Texas,681954,30.267153,-97.7430608,2015
Santa Barbara,California,62374,34.4208305,-119.6981901,2015
Addison,Illinois,286623,41.931696,-87.9889556,2015
Rio Rancho,New Mexico,81431,35.2327544,-106.6630437,2015
Normal,Illinois,797712,40.5142026,-88.9906312,2015
Romeoville,Illinois,21571,41.6475306,-88.0895061,2015
Coon Rapids,Minnesota,871951,45.1732394,-93.3030063,2015
San Mateo,California,434517,37.5629917,-122.3255254,2015
Orlando,Florida,335869,28.5383355,-81.3792365,2015
Casper,Wyoming,772761,42.866632,-106.313081,2015
Bedford,Texas,728234,32.844017,-97.1430671,2015
Wilmington,North Carolina,289551,34.2257255,-77.9447102,2015
Pinellas Park,Florida,491411,27.8428025,-82.6995443,2015
North Miami Beach,Florida,216634,25.9331488,-80.1625463,2015
Kansas City,Kansas,287946,39.114053,-94.6274636,2015
Fitchburg,Massachusetts,637954,42.5834228,-71.8022955,2015
Wheeling,Illinois,357708,42.1391927,-87.9289591,2015
Newton,Massachusetts,121040,42.3370413,-71.2092214,2015
North Miami,Florida,401523,25.8900949,-80.1867138,2015
Norwich,Connecticut,676354,41.5242649,-72.0759105,2015
Newark,New Jersey,204215,40.735657,-74.1723667,2015
Alexandria,Louisiana,600669,31.3112936,-92.4451371,2015
Blaine,Minnesota,267525,45.1607987,-93.2349489,2015
Harlingen,Texas,886212,26.1906306,-97.6961026,2015
Lompoc,California,42146,34.6391501,-120.4579409,2015
Denton,Texas,982575,33.2148412,-97.1330683,2015
Galveston,Texas,934362,29.3013479,-94.7976958,2015
Greenwood,Indiana,744766,39.6136578,-86.1066526,2015
Salinas,California,507753,36.6777372,-121.6555013,2015
Miami Gardens,Florida,514019,25.9420377,-80.2456045,2015
Huntington,West Virginia,386697,38.4192496,-82.445154,2015
Laredo,Texas,494504,27.5305671,-99.4803241,2015
Melbourne,Florida,16598,28.0836269,-80.6081089,2015
Haltom City,Texas,461847,32.7995738,-97.2691817,2015
Palm Bay,Florida,954463,28.0344621,-80.5886646,2015
Wilson,North Carolina,271462,35.7212689,-77.9155395,2015
Bountiful,Utah,772209,40.8893895,-111.880771,2015
Ceres,California,639492,37.5949316,-120.9577098,2015
Parma,Ohio,84683,41.4047742,-81.7229086,2015
Rapid City,South Dakota,489825,44.0805434,-103.2310149,2015
Bell Gardens,California,559501,33.9652918,-118.1514588,2015
Commerce City,Colorado,742744,39.8083196,-104.9338675,2015
Springfield,Massachusetts,673291,42.1014831,-72.589811,2015
Fort Collins,Colorado,397972,40.5852602,-105.084423,2015
San Leandro,California,691867,37.7249296,-122.1560768,2015
Vista,California,969744,33.2000368,-117.2425355,2015
Yonkers,New York,633369,40.9312099,-73.8987469,2015
Cincinnati,Ohio,816681,39.1031182,-84.5120196,2015
Hagerstown,Maryland,753455,39.6417629,-77.7199932,2015
Sanford,Florida,929472,28.8028612,-81.269453,2015
Union City,New Jersey,51318,40.6975898,-74.2631635,2015
Toledo,Ohio,869053,41.6639383,-83.555212,2015
Sierra Vista,Arizona,445171,31.5455001,-110.2772856,2015
Newport News,Virginia,542135,37.0870821,-76.4730122,2015
Hammond,Indiana,120497,41.5833688,-87.5000412,2015
Buffalo Grove,Illinois,936819,42.1662831,-87.9631308,2015
Sugar Land,Texas,707749,29.6196787,-95.6349463,2015
Huntsville,Alabama,426967,34.7303688,-86.5861037,2015
Lodi,California,873111,38.1341477,-121.2722194,2015
Edmonds,Washington,315893,47.8106521,-122.3773552,2015
Duncanville,Texas,709652,32.6518004,-96.9083366,2015
Rocky Mount,North Carolina,488114,35.9382103,-77.7905339,2015
Pontiac,Michigan,514271,42.6389216,-83.2910468,2015
National City,California,895781,32.6781085,-117.0991967,2015
Hayward,California,725849,37.6688205,-122.0807964,2015
Niagara Falls,New York,206525,43.0962143,-79.0377388,2015
Sparks,Nevada,340210,39.5349112,-119.7526886,2015
Hanford,California,123508,36.3274502,-119.6456844,2015
Cypress,California,29409,33.8169599,-118.0372852,2015
Youngstown,Ohio,378793,41.0997803,-80.6495194,2015
Madison,Alabama,467974,34.6992579,-86.7483318,2015
Redlands,California,764486,34.0555693,-117.1825381,2015
Cape Girardeau,Missouri,82548,37.3058839,-89.5181476,2015
Nampa,Idaho,213119,43.5407172,-116.5634624,2015
Washington,District of Columbia,724368,38.9071923,-77.0368707,2015
Wheaton,Illinois,538295,41.8661403,-88.1070127,2015
Lancaster,Texas,112492,32.5920798,-96.7561082,2015
Rialto,California,246067,34.1064001,-117.3703235,2015
Fargo,North Dakota,625309,46.8771863,-96.7898034,2015
Peoria,Illinois,663252,40.6936488,-89.5889864,2015
Omaha,Nebraska,954691,41.2523634,-95.9979883,2015
Rancho Santa Margarita,California,258822,33.640855,-117.603104,2015
Manhattan,Kansas,210164,39.1836082,-96.5716694,2015
Palm Springs,California,614538,33.8302961,-116.5452921,2015
San Diego,California,893718,32.715738,-117.1610838,2015
Santa Rosa,California,940537,38.440429,-122.7140548,2015
Lowell,Massachusetts,542301,42.6334247,-71.3161718,2015
Broken Arrow,Oklahoma,957716,36.060949,-95.7974526,2015
Kent,Washington,507665,47.3809335,-122.2348431,2015
Nashville,Tennessee,518957,36.1626638,-86.7816016,2015
Hackensack,New Jersey,243335,40.8859325,-74.0434736,2015
Broomfield,Colorado,55062,39.9205411,-105.0866504,2015
Durham,North Carolina,832633,35.9940329,-78.898619,2015
Wichita,Kansas,752975,37.688889,-97.336111,2015
Cathedral City,California,744555,33.7805388,-116.4668036,2015
Lakeville,Minnesota,578979,44.6496868,-93.24272,2015
Elmhurst,Illinois,39371,41.8994744,-87.9403418,2015
Weslaco,Texas,970765,26.1595194,-97.9908366,2015
Greenfield,Wisconsin,731523,42.9614039,-88.0125865,2015
Sunnyvale,California,526509,37.36883,-122.0363496,2015
Santa Cruz,California,797152,36.9741171,-122.0307963,2015
Kenosha,Wisconsin,132748,42.5847425,-87.8211854,2015
State College,Pennsylvania,383656,40.7933949,-77.8600012,2015
Mansfield,Ohio,559215,40.75839,-82.5154471,2015
Quincy,Illinois,992528,39.9356016,-91.4098726,2015
Pompano Beach,Florida,154073,26.2378597,-80.1247667,2015
San Angelo,Texas,629270,31.4637723,-100.4370375,2015
Bloomington,Illinois,217567,40.4842027,-88.9936873,2015
Tracy,California,566870,37.7396513,-121.4252227,2015
Spartanburg,South Carolina,266932,34.9495672,-81.9320482,2015
Nashua,New Hampshire,966873,42.7653662,-71.467566,2015
Macon,Georgia,85770,32.8406946,-83.6324022,2015
Hempstead,New York,40238,40.7062128,-73.6187397,2015
Camden,New Jersey,510569,39.9259463,-75.1196199,2015
Palm Desert,California,89123,33.7222445,-116.3744556,2015
Streamwood,Illinois,542066,42.0255827,-88.1784085,2015
Chesapeake,Virginia,754545,36.7682088,-76.2874927,2015
Dublin,Ohio,567375,40.0992294,-83.1140771,2015
Camarillo,California,769202,34.2163937,-119.0376023,2015
Muskegon,Michigan,909886,43.2341813,-86.2483921,2015
Elizabeth,New Jersey,142336,40.6639916,-74.2107006,2015
Anchorage,Alaska,877785,61.2180556,-149.9002778,2015
Minot,North Dakota,812183,48.2329668,-101.2922906,2015
Davie,Florida,675531,26.0764783,-80.2521157,2015
McAllen,Texas,682628,26.2034071,-98.2300124,2015
McKinney,Texas,584249,33.1972465,-96.6397822,2015
Killeen,Texas,863823,31.1171194,-97.7277959,2015
Findlay,Ohio,491395,41.04422,-83.6499321,2015
Oakland,California,116688,37.8043637,-122.2711137,2015
Mountain View,California,784774,37.3860517,-122.0838511,2015
Lake Elsinore,California,682549,33.6680772,-117.3272615,2015
Amarillo,Texas,938714,35.2219971,-101.8312969,2015
Provo,Utah,644420,40.2338438,-111.6585337,2015
Atlanta,Georgia,602656,33.7489954,-84.3879824,2015
Monterey Park,California,869722,34.0625106,-118.1228476,2015
Strongsville,Ohio,695482,41.3144966,-81.83569,2015
Madera,California,912736,36.9613356,-120.0607176,2015
Decatur,Illinois,909650,39.8403147,-88.9548001,2015
Woonsocket,Rhode Island,414168,42.0028761,-71.5147839,2015
Mobile,Alabama,851911,30.6953657,-88.0398912,2015
Vallejo,California,164810,38.1040864,-122.2566367,2015
Arcadia,California,941362,34.1397292,-118.0353449,2015
Collierville,Tennessee,979620,35.042036,-89.6645266,2015
Jefferson City,Missouri,994805,38.5767017,-92.1735164,2015
Longview,Texas,410615,32.5007037,-94.7404891,2015
Chandler,Arizona,713586,33.3061605,-111.8412502,2015
Arvada,Colorado,144358,39.8027644,-105.0874842,2015
Alhambra,California,22742,34.095287,-118.1270146,2015
Kokomo,Indiana,774695,40.486427,-86.1336033,2015
Oakland Park,Florida,620658,26.1723065,-80.1319893,2015
Indianapolis,Indiana,346828,39.768403,-86.158068,2015
Boynton Beach,Florida,164591,26.5317866,-80.0905465,2015
Apache Junction,Arizona,20388,33.4150485,-111.5495777,2015
Mount Prospect,Illinois,668898,42.0664167,-87.9372908,2015
Cranston,Rhode Island,97312,41.7798226,-71.4372796,2015
Lafayette,Indiana,22411,40.4167022,-86.8752869,2015
Olathe,Kansas,675089,38.8813958,-94.8191285,2015
Johns Creek,Georgia,839599,34.0289259,-84.198579,2015
Greensboro,North Carolina,698211,36.0726354,-79.7919754,2015
Kalamazoo,Michigan,961262,42.2917069,-85.5872286,2015
Tigard,Oregon,389606,45.4312294,-122.7714861,2015
Jacksonville,North Carolina,525027,34.7540524,-77.4302414,2015
Citrus Heights,California,95608,38.7071247,-121.2810611,2015
Tuscaloosa,Alabama,483171,33.2098407,-87.5691735,2015
Ankeny,Iowa,396154,41.7317884,-93.6001278,2015
Hawthorne,California,104352,33.9164032,-118.3525748,2015
Hoover,Alabama,47891,33.4053867,-86.8113781,2015
Delray Beach,Florida,36362,26.4614625,-80.0728201,2015
Wellington,Florida,891159,26.6617635,-80.2683571,2015
Bullhead City,Arizona,672019,35.1359386,-114.5285981,2015
Weston,Florida,365925,26.1003654,-80.3997748,2015
Troy,Michigan,656227,42.6064095,-83.1497751,2015
New Rochelle,New York,539006,40.9114882,-73.7823549,2015
Stockton,California,505077,37.9577016,-121.2907796,2015
Royal Oak,Michigan,478603,42.4894801,-83.1446485,2015
Titusville,Florida,747926,28.6122187,-80.8075537,2015
Laguna Niguel,California,632798,33.5225261,-117.7075526,2015
Spokane Valley,Washington,966663,47.6732281,-117.2393748,2015
Costa Mesa,California,962032,33.6411316,-117.9186689,2015
Grand Prairie,Texas,146826,32.7459645,-96.9977846,2015
Portsmouth,Virginia,184046,36.8354258,-76.2982742,2015
Lacey,Washington,679573,47.0342629,-122.8231915,2015
Apex,North Carolina,171696,35.732652,-78.8502856,2015
Sioux City,Iowa,502011,42.4999942,-96.4003069,2015
Encinitas,California,222519,33.0369867,-117.2919818,2015
Spanish Fork,Utah,72470,40.114955,-111.654923,2015
Huntington Park,California,724816,33.9816812,-118.2250725,2015
Eden Prairie,Minnesota,576518,44.8546856,-93.470786,2015
Peoria,Arizona,197044,33.5805955,-112.2373779,2015
Tempe,Arizona,575218,33.4255104,-111.9400054,2015
Wilmington,Delaware,88945,39.7390721,-75.5397878,2015
Taylorsville,Utah,970259,40.6677248,-111.9388258,2015
Westland,Michigan,402347,42.324204,-83.400211,2015
Mesquite,Texas,172061,32.7667955,-96.5991593,2015
Burlington,North Carolina,226516,36.0956918,-79.4377991,2015
Garland,Texas,593294,32.912624,-96.6388833,2015
Richmond,California,348251,37.9357576,-122.3477486,2015
Bismarck,North Dakota,308337,46.8083268,-100.7837392,2015
Carson City,Nevada,663632,39.1637984,-119.7674034,2015
Muskogee,Oklahoma,287762,35.7478769,-95.3696909,2015
Augusta-Richmond County,Georgia,588984,33.4734978,-82.0105148,2015
Fayetteville,North Carolina,726090,35.0526641,-78.8783585,2015
Albany,Georgia,725570,31.5785074,-84.155741,2015
Sayreville,New Jersey,702528,40.4594021,-74.360846,2015
Newark,California,507600,37.5296593,-122.0402399,2015
Diamond Bar,California,222499,34.0286226,-117.8103367,2015
Decatur,Alabama,906188,34.6059253,-86.9833417,2015
Chattanooga,Tennessee,456493,35.0456297,-85.3096801,2015
Jeffersonville,Indiana,210145,38.2775702,-85.7371847,2015
Bartlett,Illinois,41813,41.9950276,-88.1856301,2015
Baldwin Park,California,988427,34.0852868,-117.9608978,2015
Miami Beach,Florida,756058,25.790654,-80.1300455,2015
Jackson,Tennessee,521250,35.6145169,-88.8139469,2015
Port Arthur,Texas,46405,29.8849504,-93.939947,2015
San Luis Obispo,California,322735,35.2827524,-120.6596156,2015
Burleson,Texas,802359,32.5420821,-97.3208492,2015
Newport Beach,California,450892,33.6189101,-117.9289469,2015
Riverton,Utah,608333,40.521893,-111.9391023,2015
