DATE,DFF,CPIAUCSL,Real Fed Funds,USRECM
01/08/2006,5.25,3.92657,1.32343,
01/09/2006,5.25,2.01207,3.23793,
01/10/2006,5.25,1.40633,3.84367,
01/11/2006,5.25,1.9687,3.2813,
01/12/2006,5.24,2.52398,2.71602,
01/01/2007,5.25,2.07577,3.17423,
01/02/2007,5.26,2.42026,2.83974,
01/03/2007,5.26,2.7982,2.4618,
01/04/2007,5.25,2.59292,2.65708,
01/05/2007,5.25,2.70989,2.54011,
01/06/2007,5.25,2.69277,2.55723,
01/07/2007,5.26,2.31789,2.94211,
01/08/2007,5.02,1.89745,3.12255,
01/09/2007,4.94,2.83383,2.10617,
01/10/2007,4.76,3.6107,1.1493,
01/11/2007,4.49,4.37327,0.11673,
01/12/2007,4.24,4.10881,0.13119,
01/01/2008,3.94,4.2947,-0.3547,
01/02/2008,2.98,4.14296,-1.16296,
01/03/2008,2.61,3.9749,-1.3649,
01/04/2008,2.28,3.90376,-1.62376,
01/05/2008,1.98,4.08841,-2.10841,
01/06/2008,2,4.93597,-2.93597,
01/07/2008,2.01,5.49751,-3.48751,
01/08/2008,2,5.30802,-3.30802,
01/09/2008,1.81,4.95332,-3.14332,
01/10/2008,0.97,3.73106,-2.76106,
01/11/2008,0.39,1.09992,-0.70992,
01/12/2008,0.16,-0.02223,0.18223,0
01/01/2009,0.15,-0.11359,0.26359,0
01/02/2009,0.22,0.00846,0.21154,0
01/03/2009,0.18,-0.44648,0.62648,0
01/04/2009,0.15,-0.57632,0.72632,0
01/05/2009,0.18,-1.01576,1.19576,0
01/06/2009,0.21,-1.22917,1.43917,0
01/07/2009,0.16,-1.95876,2.11876,1
01/08/2009,0.16,-1.48384,1.64384,1
01/09/2009,0.15,-1.37794,1.52794,1
01/10/2009,0.12,-0.22397,0.34397,1
01/11/2009,0.12,1.91459,-1.79459,1
01/12/2009,0.12,2.81412,-2.69412,1
01/01/2010,0.11,2.62111,-2.51111,1
01/02/2010,0.13,2.15134,-2.02134,1
01/03/2010,0.16,2.28617,-2.12617,1
01/04/2010,0.2,2.20677,-2.00677,1
01/05/2010,0.2,2.00355,-1.80355,1
01/06/2010,0.18,1.12156,-0.94156,1
01/07/2010,0.18,1.34078,-1.16078,
01/08/2010,0.19,1.15018,-0.96018,
01/09/2010,0.19,1.11831,-0.92831,
01/10/2010,0.19,1.1667,-0.9767,
01/11/2010,0.19,1.08454,-0.89454,
01/12/2010,0.18,1.43779,-1.25779,
01/01/2011,0.17,1.70078,-1.53078,
01/02/2011,0.16,2.1249,-1.9649,
01/03/2011,0.14,2.61924,-2.47924,
01/04/2011,0.1,3.07723,-2.97723,
01/05/2011,0.09,3.45897,-3.36897,
01/06/2011,0.09,3.50232,-3.41232,
01/07/2011,0.07,3.57988,-3.50988,
01/08/2011,0.1,3.755,-3.655,
01/09/2011,0.08,3.81262,-3.73262,
01/10/2011,0.07,3.52227,-3.45227,
01/11/2011,0.08,3.45143,-3.37143,
01/12/2011,0.07,3.06207,-2.99207,
01/01/2012,0.08,3.0169,-2.9369,
01/02/2012,0.1,2.91981,-2.81981,
01/03/2012,0.13,2.62188,-2.49188,
01/04/2012,0.14,2.31734,-2.17734,
01/05/2012,0.16,1.74195,-1.58195,
01/06/2012,0.16,1.64586,-1.48586,
01/07/2012,0.16,1.36649,-1.20649,
01/08/2012,0.13,1.65321,-1.52321,
01/09/2012,0.14,1.93736,-1.79736,
01/10/2012,0.16,2.16318,-2.00318,
01/11/2012,0.16,1.80879,-1.64879,
01/12/2012,0.16,1.78195,-1.62195,
01/01/2013,0.14,1.65935,-1.51935,
01/02/2013,0.15,2.02647,-1.87647,
01/03/2013,0.14,1.4937,-1.3537,
01/04/2013,0.15,1.12087,-0.97087,
01/05/2013,0.11,1.38727,-1.27727,
01/06/2013,0.09,1.68529,-1.59529,
01/07/2013,0.09,1.87066,-1.78066,
01/08/2013,0.08,1.48144,-1.40144,
01/09/2013,0.08,1.14942,-1.06942,
01/10/2013,0.09,0.92551,-0.83551,
01/11/2013,0.08,1.26774,-1.18774,
01/12/2013,0.09,1.5458,-1.4558,
01/01/2014,0.07,1.63831,-1.56831,
01/02/2014,0.07,1.12272,-1.05272,
01/03/2014,0.08,1.54275,-1.46275,
01/04/2014,0.09,2.00081,-1.91081,
01/05/2014,0.09,2.11648,-2.02648,
01/06/2014,0.1,2.0051,-1.9051,
01/07/2014,0.09,1.93771,-1.84771,
01/08/2014,0.09,1.67804,-1.58804,
01/09/2014,0.09,1.65552,-1.56552,
01/10/2014,0.09,1.64757,-1.55757,
01/11/2014,0.09,1.30268,-1.21268,
01/12/2014,0.12,0.68853,-0.56853,
01/01/2015,0.11,-0.20473,0.31473,
01/02/2015,0.11,-0.08743,0.19743,
01/03/2015,0.11,-0.01611,0.12611,
01/04/2015,0.12,-0.12601,0.24601,
01/05/2015,0.12,0.03083,0.08917,
01/06/2015,0.13,0.17172,-0.04172,
01/07/2015,0.13,0.2002,-0.0702,
01/08/2015,0.14,0.22769,-0.08769,
01/09/2015,0.14,-0.00884,0.14884,
01/10/2015,0.12,0.12539,-0.00539,
01/11/2015,0.12,0.43876,-0.31876,
01/12/2015,0.24,0.66691,-0.42691,
01/01/2016,0.34,1.34196,-1.00196,
01/02/2016,0.38,0.9736,-0.5936,
01/03/2016,0.36,0.87383,-0.51383,
01/04/2016,0.37,1.14015,-0.77015,
01/05/2016,0.37,1.06976,-0.69976,
