mauna loa co2,date,south pole co2,heat content,date,+2σ heat content,-2σ heat content,date,-2σ temperature anomaly,temperature anomaly,+2σ temperature anomaly
354.27,11/01/92,354.61,0,0,0,0,0,0,0,0
355.53,12/01/92,354.68,0,0,0,0,0,0,0,0
356.86,01/01/93,354.74,0,0,0,0,0,0,0,0
357.27,02/01/93,354.8,0,0,0,0,0,0,0,0
358.36,03/01/93,354.85,0,0,0,0,0,0,0,0
359.27,04/01/93,354.91,0,0,0,0,0,0,0,0
360.19,05/01/93,354.97,0,0,0,0,0,0,0,0
359.52,06/01/93,355.03,0,0,0,0,0,0,0,0
357.42,07/01/93,355.11,0,0,0,0,0,0,0,0
355.46,08/01/93,355.18,0,0,0,0,0,0,0,0
354.1,09/01/93,355.26,0,0,0,0,0,0,0,0
354.12,10/01/93,355.35,0,0,0,0,0,0,0,0
355.4,11/01/93,355.43,0,0,0,0,0,0,0,0
356.84,12/01/93,355.52,0,0,0,0,0,0,0,0
358.22,01/01/94,355.62,0,0,0,0,0,0,0,0
358.98,02/01/94,355.72,0,0,0,0,0,0,0,0
359.91,03/01/94,355.84,0,0,0,0,0,0,0,0
361.32,04/01/94,355.95,0,0,0,0,0,0,0,0
361.68,05/01/94,356.08,0,0,0,0,0,0,0,0
360.8,06/01/94,356.22,0,0,0,0,0,0,0,0
359.39,07/01/94,356.37,0,0,0,0,0,0,0,0
357.42,08/01/94,356.53,0,0,0,0,0,0,0,0
355.63,09/01/94,356.7,0,0,0,0,0,0,0,0
356.09,10/01/94,356.87,0,0,0,0,0,0,0,0
357.56,11/01/94,357.03,0,0,0,0,0,0,0,0
358.87,12/01/94,357.2,0,0,0,0,0,0,0,0
359.87,01/01/95,357.36,0,0,0,0,0,0,0,0
360.79,02/01/95,357.52,0,0,0,0,0,0,0,0
361.77,03/01/95,357.68,0,0,0,0,0,0,0,0
363.23,04/01/95,357.82,0,0,0,0,0,0,0,0
363.77,05/01/95,357.97,0,0,0,0,0,0,0,0
363.22,06/01/95,358.11,0,0,0,0,0,0,0,0
361.7,07/01/95,358.26,0,0,0,0,0,0,0,0
359.11,08/01/95,358.41,0,0,0,0,0,0,0,0
358.11,09/01/95,358.56,0,0,0,0,0,0,0,0
357.97,10/01/95,358.72,0,0,0,0,0,0,0,0
359.4,11/01/95,358.88,0,0,0,0,0,0,0,0
360.61,12/01/95,359.05,0,0,0,0,0,0,0,0
362.04,01/01/96,359.2,0,0,0,0,0,0,0,0
363.17,02/01/96,359.36,0,0,0,0,0,0,0,0
364.17,03/01/96,359.5,0,0,0,0,0,0,0,0
364.51,04/01/96,359.63,0,0,0,0,0,0,0,0
365.16,05/01/96,359.75,0,0,0,0,0,0,0,0
364.93,06/01/96,359.85,0,0,0,0,0,0,0,0
363.53,07/01/96,359.96,0,0,0,0,0,0,0,0
361.38,08/01/96,360.05,0,0,0,0,0,0,0,0
359.6,09/01/96,360.14,0,0,0,0,0,0,0,0
359.54,10/01/96,360.23,0,0,0,0,0,0,0,0
360.84,11/01/96,360.31,0,0,0,0,0,0,0,0
362.18,12/01/96,360.4,0,0,0,0,0,0,0,0
363.04,01/01/97,360.49,0,0,0,0,0,0,0,0
364.09,02/01/97,360.58,0,0,0,0,0,0,0,0
364.47,03/01/97,360.68,0,0,0,0,0,0,0,0
366.25,04/01/97,360.76,0,0,0,0,0,0,0,0
366.69,05/01/97,360.86,0,0,0,0,0,0,0,0
365.59,06/01/97,360.96,0,0,0,0,0,0,0,0
364.34,07/01/97,361.07,0,0,0,0,0,0,0,0
362.2,08/01/97,361.19,0,0,0,0,0,0,0,0
360.31,09/01/97,361.33,0,0,0,0,0,0,0,0
360.71,10/01/97,361.49,0,0,0,0,0,0,0,0
362.44,11/01/97,361.67,0,0,0,0,0,0,0,0
364.33,12/01/97,361.88,0,0,0,0,0,0,0,0
365.18,01/01/98,362.1,0,0,0,0,0,0,0,0
365.98,02/01/98,362.35,0,0,0,0,0,0,0,0
367.13,03/01/98,362.61,0,0,0,0,0,0,0,0
368.61,04/01/98,362.85,0,0,0,0,0,0,0,0
369.49,05/01/98,363.11,0,0,0,0,0,0,0,0
368.95,06/01/98,363.37,0,0,0,0,0,0,0,0
367.74,07/01/98,363.63,0,0,0,0,0,0,0,0
365.79,08/01/98,363.86,0,0,0,0,0,0,0,0
364.01,09/01/98,364.09,0,0,0,0,0,0,0,0
364.35,10/01/98,364.3,0,0,0,0,0,0,0,0
365.52,11/01/98,364.49,0,0,0,0,0,0,0,0
367.08,12/01/98,364.67,0,0,0,0,0,0,0,0
368.12,01/01/99,364.83,0,0,0,0,0,0,0,0
368.98,02/01/99,364.98,0,0,0,0,0,0,0,0
369.6,03/01/99,365.12,0,0,0,0,0,0,0,0
370.96,04/01/99,365.24,0,0,0,0,0,0,0,0
370.77,05/01/99,365.37,0,0,0,0,0,0,0,0
370.33,06/01/99,365.49,0,0,0,0,0,0,0,0
369.28,07/01/99,365.61,0,0,0,0,0,0,0,0
366.86,08/01/99,365.73,0,0,0,0,0,0,0,0
364.94,09/01/99,365.86,0,0,0,0,0,0,0,0
365.35,10/01/99,366,0,0,0,0,0,0,0,0
366.68,11/01/99,366.14,0,0,0,0,0,0,0,0
368.04,12/01/99,366.28,0,0,0,0,0,0,0,0
369.25,01/01/00,366.42,0,0,0,0,0,0,0,0
369.5,02/01/00,366.56,0,0,0,0,0,0,0,0
370.56,03/01/00,366.68,0,0,0,0,0,0,0,0
371.82,04/01/00,366.79,0,0,0,0,0,0,0,0
371.51,05/01/00,366.89,0,0,0,0,0,0,0,0
371.71,06/01/00,366.97,0,0,0,0,0,0,0,0
369.85,07/01/00,367.05,0,0,0,0,0,0,0,0
368.2,08/01/00,367.12,0,0,0,0,0,0,0,0
366.91,09/01/00,367.19,0,0,0,0,0,0,0,0
366.99,10/01/00,367.26,0,0,0,0,0,0,0,0
368.33,11/01/00,367.33,0,0,0,0,0,0,0,0
369.67,12/01/00,367.41,0,0,0,0,0,0,0,0
370.52,01/01/01,367.5,0,0,0,0,0,0,0,0
371.49,02/01/01,367.59,0,0,0,0,0,0,0,0
372.53,03/01/01,367.69,0,0,0,0,0,0,0,0
373.37,04/01/01,367.79,0,0,0,0,0,0,0,0
373.82,05/01/01,367.92,0,0,0,0,0,0,0,0
373.18,06/01/01,368.05,0,0,0,0,0,0,0,0
371.57,07/01/01,368.21,0,0,0,0,0,0,0,0
369.63,08/01/01,368.37,0,0,0,0,0,0,0,0
368.16,09/01/01,368.55,0,0,0,0,0,0,0,0
368.42,10/01/01,368.74,0,0,0,0,0,0,0,0
369.69,11/01/01,368.93,0,0,0,0,0,0,0,0
371.18,12/01/01,369.14,0,0,0,0,0,0,0,0
372.45,01/01/02,369.34,0,0,0,0,0,0,0,0
373.14,02/01/02,369.55,0,0,0,0,0,0,0,0
373.93,03/01/02,369.76,0,0,0,0,0,0,0,0
375,04/01/02,369.96,0,0,0,0,0,0,0,0
375.65,05/01/02,370.17,0,0,0,0,0,0,0,0
375.5,06/01/02,370.37,0,0,0,0,0,0,0,0
374,07/01/02,370.58,0,0,0,0,0,0,0,0
371.83,08/01/02,370.77,0,0,0,0,0,0,0,0
370.66,09/01/02,370.96,0,0,0,0,0,0,0,0
370.51,10/01/02,371.16,0,0,0,0,0,0,0,0
372.2,11/01/02,371.34,0,0,0,0,0,0,0,0
373.71,12/01/02,371.52,0,0,0,0,0,0,0,0
374.87,01/01/03,371.7,0,0,0,0,0,0,0,0
375.62,02/01/03,371.89,0,0,0,0,0,0,0,0
376.48,03/01/03,372.08,0,0,0,0,0,0,0,0
377.74,04/01/03,372.24,0,0,0,0,0,0,0,0
378.5,05/01/03,372.41,0,0,0,0,0,0,0,0
378.18,06/01/03,372.58,0,0,0,0,0,0,0,0
376.72,07/01/03,372.74,0,0,0,0,0,0,0,0
374.31,08/01/03,372.89,0,0,0,0,0,0,0,0
373.2,09/01/03,373.05,0,0,0,0,0,0,0,0
373.1,10/01/03,373.2,0,0,0,0,0,0,0,0
374.64,11/01/03,373.34,0,0,0,0,0,0,0,0
375.93,12/01/03,373.49,0,0,0,0,0,0,0,0
377,01/01/04,373.64,0,0,0,0,0,0,0,0
377.87,02/01/04,373.81,0,0,0,0,0,0,0,0
378.73,03/01/04,373.97,0,0,0,0,0,0,0,0
380.41,04/01/04,374.12,0,0,0,0,0,0,0,0
380.63,05/01/04,374.28,0,0,0,0,0,0,0,0
379.56,06/01/04,374.43,0,0,0,0,0,0,0,0
377.61,07/01/04,374.57,0,0,0,0,0,0,0,0
376.15,08/01/04,374.71,0,0,0,0,0,0,0,0
374.11,09/01/04,374.84,0,0,0,0,0,0,0,0
374.44,10/01/04,374.98,0,0,0,0,0,0,0,0
375.93,11/01/04,375.12,0,0,0,0,0,0,0,0
377.45,12/01/04,375.26,0,0,0,0,0,0,0,0
378.47,01/01/05,375.42,0,0,0,0,0,0,0,0
379.76,02/01/05,375.59,0,0,0,0,0,0,0,0
381.14,03/01/05,375.78,0,0,0,0,0,0,0,0
382.2,04/01/05,375.96,0,0,0,0,0,0,0,0
382.47,05/01/05,376.16,0,0,0,0,0,0,0,0
382.2,06/01/05,376.36,0,0,0,0,0,0,0,0
380.78,07/01/05,376.55,0,0,0,0,0,0,0,0
378.73,08/01/05,376.74,0,0,0,0,0,0,0,0
376.66,09/01/05,376.92,0,0,0,0,0,0,0,0
376.98,10/01/05,377.1,0,0,0,0,0,0,0,0
378.29,11/01/05,377.27,0,0,0,0,0,0,0,0
379.92,12/01/05,377.43,0,0,0,0,0,0,0,0
381.35,01/01/06,377.59,0,0,0,0,0,0,0,0
382.16,02/01/06,377.75,0,0,0,0,0,0,0,0
382.66,03/01/06,377.91,0,0,0,0,0,0,0,0
384.73,04/01/06,378.05,0,0,0,0,0,0,0,0
384.98,05/01/06,378.2,0,0,0,0,0,0,0,0
384.09,06/01/06,378.33,0,0,0,0,0,0,0,0
382.38,07/01/06,378.47,0,0,0,0,0,0,0,0
380.45,08/01/06,378.6,0,0,0,0,0,0,0,0
378.92,09/01/06,378.73,0,0,0,0,0,0,0,0
379.16,10/01/06,378.86,0,0,0,0,0,0,0,0
380.18,11/01/06,379,0,0,0,0,0,0,0,0
381.79,12/01/06,379.15,0,0,0,0,0,0,0,0
382.93,01/01/07,379.31,0,0,0,0,0,0,0,0
383.81,02/01/07,379.48,0,0,0,0,0,0,0,0
384.56,03/01/07,379.67,0,0,0,0,0,0,0,0
386.4,04/01/07,379.84,0,0,0,0,0,0,0,0
386.58,05/01/07,380.04,0,0,0,0,0,0,0,0
386.05,06/01/07,380.23,0,0,0,0,0,0,0,0
384.49,07/01/07,380.42,0,0,0,0,0,0,0,0
382,08/01/07,380.61,0,0,0,0,0,0,0,0
380.9,09/01/07,380.8,0,0,0,0,0,0,0,0
381.14,10/01/07,380.99,0,0,0,0,0,0,0,0
382.42,11/01/07,381.17,0,0,0,0,0,0,0,0
383.89,12/01/07,381.35,0,0,0,0,0,0,0,0
385.44,01/01/08,381.53,0,0,0,0,0,0,0,0
385.73,02/01/08,381.7,0,0,0,0,0,0,0,0
385.97,03/01/08,381.87,0,0,0,0,0,0,0,0
387.16,04/01/08,382.01,0,0,0,0,0,0,0,0
388.5,05/01/08,382.16,0,0,0,0,0,0,0,0
387.88,06/01/08,382.29,0,0,0,0,0,0,0,0
386.43,07/01/08,382.42,0,0,0,0,0,0,0,0
384.15,08/01/08,382.54,0,0,0,0,0,0,0,0
383.09,09/01/08,382.67,0,0,0,0,0,0,0,0
382.99,10/01/08,382.8,0,0,0,0,0,0,0,0
384.13,11/01/08,382.92,0,0,0,0,0,0,0,0
385.56,12/01/08,383.05,0,0,0,0,0,0,0,0
386.94,01/01/09,383.18,0,0,0,0,0,0,0,0
387.42,02/01/09,383.31,0,0,0,0,0,0,0,0
388.77,03/01/09,383.44,0,0,0,0,0,0,0,0
389.44,04/01/09,383.56,0,0,0,0,0,0,0,0
390.19,05/01/09,383.68,0,0,0,0,0,0,0,0
389.45,06/01/09,383.8,0,0,0,0,0,0,0,0
387.78,07/01/09,383.93,0,0,0,0,0,0,0,0
385.92,08/01/09,384.05,0,0,0,0,0,0,0,0
384.79,09/01/09,384.17,0,0,0,0,0,0,0,0
384.39,10/01/09,384.3,0,0,0,0,0,0,0,0
386,11/01/09,384.43,0,0,0,0,0,0,0,0
387.31,12/01/09,384.58,0,0,0,0,0,0,0,0
388.5,01/01/10,384.72,0,0,0,0,0,0,0,0
389.94,02/01/10,384.88,0,0,0,0,0,0,0,0
391.09,03/01/10,385.05,0,0,0,0,0,0,0,0
392.53,04/01/10,385.22,0,0,0,0,0,0,0,0
393.04,05/01/10,385.42,0,0,0,0,0,0,0,0
392.15,06/01/10,385.62,0,0,0,0,0,0,0,0
390.22,07/01/10,385.83,0,0,0,0,0,0,0,0
388.26,08/01/10,386.04,0,0,0,0,0,0,0,0
386.83,09/01/10,386.25,0,0,0,0,0,0,0,0
387.2,10/01/10,386.45,0,0,0,0,0,0,0,0
388.65,11/01/10,386.63,0,0,0,0,0,0,0,0
389.73,12/01/10,386.81,0,0,0,0,0,0,0,0
391.25,01/01/11,386.96,0,0,0,0,0,0,0,0
391.82,02/01/11,387.11,0,0,0,0,0,0,0,0
392.49,03/01/11,387.25,0,0,0,0,0,0,0,0
393.34,04/01/11,387.37,0,0,0,0,0,0,0,0
394.21,05/01/11,387.5,0,0,0,0,0,0,0,0
393.72,06/01/11,387.62,0,0,0,0,0,0,0,0
392.42,07/01/11,387.75,0,0,0,0,0,0,0,0
390.19,08/01/11,387.88,0,0,0,0,0,0,0,0
389.04,09/01/11,388.02,0,0,0,0,0,0,0,0
388.96,10/01/11,388.17,0,0,0,0,0,0,0,0
390.24,11/01/11,388.32,0,0,0,0,0,0,0,0
391.83,12/01/11,388.48,0,0,0,0,0,0,0,0
393.12,01/01/12,388.64,0,0,0,0,0,0,0,0
393.6,02/01/12,388.82,0,0,0,0,0,0,0,0
394.45,03/01/12,388.99,0,0,0,0,0,0,0,0
396.18,04/01/12,389.17,0,0,0,0,0,0,0,0
396.78,05/01/12,389.37,0,0,0,0,0,0,0,0
395.83,06/01/12,389.57,0,0,0,0,0,0,0,0
394.3,07/01/12,389.79,0,0,0,0,0,0,0,0
392.41,08/01/12,390,0,0,0,0,0,0,0,0
391.06,09/01/12,390.23,0,0,0,0,0,0,0,0
391.01,10/01/12,390.45,0,0,0,0,0,0,0,0
392.81,11/01/12,390.68,0,0,0,0,0,0,0,0
394.28,12/01/12,390.91,0,0,0,0,0,0,0,0
395.54,01/01/13,391.14,0,0,0,0,0,0,0,0
396.8,02/01/13,391.39,0,0,0,0,0,0,0,0
397.31,03/01/13,391.64,0,0,0,0,0,0,0,0
398.35,04/01/13,391.87,0,0,0,0,0,0,0,0
399.76,05/01/13,392.12,0,0,0,0,0,0,0,0
398.58,06/01/13,392.37,0,0,0,0,0,0,0,0
397.2,07/01/13,392.61,0,0,0,0,0,0,0,0
395.15,08/01/13,392.83,0,0,0,0,0,0,0,0
393.51,09/01/13,393.04,0,0,0,0,0,0,0,0
393.66,10/01/13,393.23,0,0,0,0,0,0,0,0
395.11,11/01/13,393.41,0,0,0,0,0,0,0,0
396.81,12/01/13,393.58,0,0,0,0,0,0,0,0
397.8,01/01/14,393.74,0,0,0,0,0,0,0,0
397.91,02/01/14,393.9,0,0,0,0,0,0,0,0
399.58,03/01/14,394.05,0,0,0,0,0,0,0,0
401.29,04/01/14,394.18,0,0,0,0,0,0,0,0
401.77,05/01/14,394.32,0,0,0,0,0,0,0,0
401.15,06/01/14,394.46,0,0,0,0,0,0,0,0
399,07/01/14,394.6,0,0,0,0,0,0,0,0
397.01,08/01/14,394.73,0,0,0,0,0,0,0,0
395.26,09/01/14,394.87,0,0,0,0,0,0,0,0
395.93,10/01/14,395.01,0,0,0,0,0,0,0,0
397.13,11/01/14,395.14,0,0,0,0,0,0,0,0
398.78,12/01/14,395.27,0,0,0,0,0,0,0,0
399.96,01/01/15,0,0,0,0,0,0,0,0,0
400.26,02/01/15,0,0,0,0,0,0,0,0,0
401.52,03/01/15,0,0,0,0,0,0,0,0,0
