mission,company,location,date,time,rocket,price,successful
Chandrayaan-2 lunar mission,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2019-07-22,9:13:00,GSLV Mk III,21260000,True
Soyuz MS-13 (59S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2019-07-20,16:28:00,Soyuz FG,13170000,True
Spektr-RG,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2019-07-13,12:31:00,Proton-M/DM-3,23850000,True
Falcon Eye 1,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2019-07-11,1:53:00,Vega,6460000,False
"Meteor-M No.2-2, Landmapper-BC 5 & 6, and Others",Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",2019-07-05,5:41:00,Soyuz 2.1b/Fregat-M,7670000,True
Make it Rain,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-06-29,4:30:00,Electron/Curie,16950000,True
STP-2,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019-06-25,6:30:00,Falcon Heavy,19200000,True
Eutelsat 7C &  AT&T T-16,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019-06-20,21:43:00,Ariane 5 ECA,5860000,True
RADARSAT Constellation,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2019-06-12,14:17:00,Falcon 9 Block 5,12720000,True
Yamal-601,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2019-05-30,17:42:00,Proton-M/Briz-M,4010000,True
Cosmos 2534,Roscosmos,"Site 43/4, Plesetsk Cosmodrome, Russia",2019-05-27,6:23:00,Soyuz 2.1b/Fregat-M,1850000,True
Starlink V0.9,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-05-24,2:30:00,Falcon 9 Block 5,11630000,True
RISAT-2B,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2019-05-22,0:00:00,PSLV-CA,18410000,True
That's a Funny Looking Cactus,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-05-05,6:00:00,Electron/Curie,19190000,True
CRS-17,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-05-04,6:48:00,Falcon 9 Block 5,14970000,True
CRS NG-11,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2019-04-17,20:46:00,Antares 230,15660000,True
ArabSat 6A,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019-04-11,22:35:00,Falcon Heavy,16110000,True
O3b FM17-FM20,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2019-04-04,17:04:00,Soyuz ST-B/Fregat-MT,5040000,True
Progress MS-11 (72P),Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019-04-04,11:01:00,Soyuz 2.1a,16090000,True
EMISAT & Rideshares,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2019-04-01,3:57:00,PSLV-QL,5910000,True
Two Thumbs Up,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-03-28,23:27:00,Electron/Curie,12900000,True
PRISMA,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2019-03-22,1:50:00,Vega,9940000,True
Soyuz MS-12 (58S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2019-03-14,19:14:00,Soyuz FG,7900000,True
SpaceX Demo-1,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019-03-02,7:49:00,Falcon 9 Block 5,23300000,True
OneWeb #1,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2019-02-27,21:37:00,Soyuz ST-B/Fregat-M,17370000,True
Nusantara Satu & Beresheet,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-02-22,1:45:00,Falcon 9 Block 5,1340000,True
GSAT-31 & Hellas-Sat-4,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019-02-05,21:01:00,Ariane 5 ECA,21140000,True
Microsat-R,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2019-01-24,18:07:00,PSLV-DL,22930000,True
Iridium-8,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2019-01-11,15:31:00,Falcon 9 Block 5,10050000,True
Kanopus-V No. 5-6 & Rideshares,Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",2018-12-27,2:07:00,Soyuz 2.1a/Fregat,3660000,True
GPS III SV01,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-12-23,13:51:00,Falcon 9 Block 5,10560000,True
CSO 1,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2018-12-19,16:37:00,Soyuz ST-A/Fregat-M,11440000,True
GSAT-7A,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2018-12-19,10:40:00,GSLV Mk II,17940000,True
This one's for Pickering,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2018-12-16,6:33:00,Electron/Curie,3580000,True
CRS-16,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-12-05,18:16:00,Falcon 9 Block 5,9050000,True
GSAT-11 & GEO-KOMPSAT 2A,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2018-12-04,20:37:00,Ariane 5 ECA,23560000,True
Spaceflight SSO-A,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2018-12-03,18:34:00,Falcon 9 Block 5,8510000,True
Soyuz MS-11 (57S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2018-12-03,11:31:00,Soyuz FG,24430000,True
HySIS,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2018-11-29,4:27:00,PSLV-CA,18770000,True
Mohammed VI-B,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2018-11-21,1:42:00,Vega,11970000,True
CRS NG-10,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2018-11-17,9:01:00,Antares 230,2680000,True
Progress MS-10 (71P),Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2018-11-16,18:14:00,Soyuz FG,20410000,True
Es'hail 2,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2018-11-15,20:46:00,Falcon 9 Block 5,3310000,True
GSAT 29,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2018-11-14,11:38:00,GSLV Mk III,13090000,True
It's Business Time,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2018-11-11,3:50:00,Electron/Curie,23060000,True
MetOp C,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2018-11-07,0:47:00,Soyuz ST-B/Fregat-M,14540000,True
Lotus-S No.4,Roscosmos,"Site 43/4, Plesetsk Cosmodrome, Russia",2018-10-25,0:15:00,Soyuz 2.1b,10630000,True
BepiColombo,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2018-10-20,1:45:00,Ariane 5 ECA,3140000,True
Soyuz MS-10 (56S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2018-10-11,8:40:00,Soyuz FG,19920000,False
SAOCOM 1A,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2018-10-08,2:21:00,Falcon 9 Block 5,3720000,True
Horizons-3e & Azerspace 2/Intelsat 38,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2018-09-25,22:38:00,Ariane 5 ECA,15700000,True
SSTL-1 & NovaSAR-S,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2018-09-16,16:38:00,PSLV-CA,15700000,True
Telstar 18V / APStar 5C,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-09-10,4:45:00,Falcon 9 Block 5,23740000,True
ADM-Aeolus,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2018-08-22,21:20:00,Vega,13030000,True
Merah Putih (Telkom-4),SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-08-07,5:18:00,Falcon 9 Block 5,8340000,True
Iridium-7,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2018-07-25,11:39:00,Falcon 9 Block 5,11110000,True
Galileo FOC FM19-FM22,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2018-07-25,11:25:00,Ariane 5 ES,5730000,True
Telstar 19V,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-07-22,5:50:00,Falcon 9 Block 5,20850000,True
Progress MS-09 (70P),Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2018-07-09,21:51:00,Soyuz 2.1a,24080000,True
CRS-15,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-06-29,9:42:00,Falcon 9 Block 4,9230000,True
Soyuz MS-09 (55S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2018-06-06,11:12:00,Soyuz FG,19810000,True
SES-12,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-06-04,4:29:00,Falcon 9 Block 4,10550000,True
Iridium-6 & GRACE-FO,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2018-05-22,19:47:00,Falcon 9 Block 4,14580000,True
CRS OA-9E,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2018-05-21,4:44:00,Antares 230,11570000,True
Bangabandhu-1,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2018-05-11,20:14:00,Falcon 9 Block 5,3480000,True
Transiting Exoplanet Survey Satellite (TESS),SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-04-18,22:51:00,Falcon 9 Block 4,19290000,True
IRNSS-1I,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2018-04-11,22:34:00,PSLV-XL,17550000,True
Superbird-B3/DSN-1 & HYLAS-4,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2018-04-05,21:34:00,Ariane 5 ECA,14360000,True
CRS-14,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-04-02,20:30:00,Falcon 9 Block 4,8120000,True
Iridium-5,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2018-03-30,14:14:00,Falcon 9 Block 4,2050000,True
Cosmos 2525,Roscosmos,"Site 43/4, Plesetsk Cosmodrome, Russia",2018-03-29,17:38:00,Soyuz 2.1v,4170000,True
GSAT-6A,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2018-03-29,11:26:00,GSLV Mk II,5350000,True
Soyuz MS-08 (54S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2018-03-21,17:44:00,Soyuz FG,16870000,True
O3b FM13-FM16,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2018-03-09,17:10:00,Soyuz ST-B/Fregat-MT,19780000,True
Hispasat 30W-6,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-03-06,5:33:00,Falcon 9 Block 4,8140000,True
"PAZ & Tintin A, Tintin B",SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2018-02-22,14:17:00,Falcon 9 Block 3,10290000,True
Progress MS-08 (69P),Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2018-02-13,8:13:00,Soyuz 2.1a,19160000,True
Test Flight,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2018-02-06,20:45:00,Falcon Heavy,1690000,True
Kanopus-V No. 3-4 & Rideshares,Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",2018-02-01,2:07:00,Soyuz 2.1a/Fregat-M,20620000,True
GovSat-1 / SES-16,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-01-31,21:25:00,Falcon 9 Block 3,15650000,True
SES-14/GOLD & Al Yah-3,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2018-01-25,22:20:00,Ariane 5 ECA,11130000,False
Still Testing,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2018-01-21,1:43:00,Electron/Curie,23610000,True
Cartosat-2F & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2018-01-12,3:58:00,PSLV-XL,21850000,True
Zuma,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-01-08,1:00:00,Falcon 9 Block 4,6750000,True
Iridium-4,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2017-12-23,1:27:00,Falcon 9 Block 3,2380000,True
Soyuz MS-07 (53S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2017-12-17,7:21:00,Soyuz FG,22750000,True
CRS-13,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2017-12-15,15:36:00,Falcon 9 Block 3,11710000,True
Galileo FOC FM15-FM18,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2017-12-12,18:36:00,Ariane 5 ES,23190000,True
Meteor-M No.2-1 & Rideshares,Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",2017-11-28,5:41:00,Soyuz 2.1b/Fregat-M,18470000,False
CRS OA-8E,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2017-11-12,12:19:00,Antares 230,2550000,True
Mohammed VI-A,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2017-11-08,1:42:00,Vega,14280000,True
SkySat & Flock-3m,Northrop,"SLC-576E, Vandenberg AFB, California, USA",2017-10-31,21:37:00,Minotaur C (Taurus),19920000,True
Koreasat 5A,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-10-30,19:34:00,Falcon 9 Block 4,8620000,True
Progress MS-07 (68P),Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2017-10-14,8:46:00,Soyuz 2.1a,8200000,True
SES-11 / EchoStar 105,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-10-11,22:53:00,Falcon 9 Block 3,5950000,True
Iridium-3,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2017-10-09,12:37:00,Falcon 9 Block 4,13800000,True
"Intelsat 37e, BSAT-4a",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2017-09-29,21:56:00,Ariane 5 ECA,17960000,True
Amazonas 5,ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2017-09-11,19:23:00,Proton-M/Briz-M,10620000,True
OTV-5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-09-07,14:00:00,Falcon 9 Block 4,1440000,True
IRNSS-1H,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2017-08-31,13:30:00,PSLV-XL,3860000,False
ORS-5,Northrop,"SLC-46, Cape Canaveral AFS, Florida, USA",2017-08-25,6:04:00,Minotaur IV,21480000,True
Formosat-5,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2017-08-24,18:51:00,Falcon 9 Block 3,18500000,True
CRS-12,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-08-14,16:31:00,Falcon 9 Block 4,13000000,True
Soyuz MS-06 (52S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2017-08-12,21:17:00,Soyuz FG,2270000,True
OPSAT 3000 & VEN†æS,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2017-08-02,1:58:00,Vega,6730000,True
Soyuz MS-05 (51S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2017-07-28,15:41:00,Soyuz FG,16620000,True
Kanopus-V IK & Rideshares,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2017-07-14,6:36:00,Soyuz 2.1a/Fregat,19120000,False
Intelsat 35e,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-07-05,20:25:00,Falcon 9 Block 3,21370000,True
"Hellas Sat 3-Inmarsat S EAN, GSAT-17",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2017-06-28,21:15:00,Ariane 5 ECA,21320000,True
Iridium-2,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2017-06-25,20:25:00,Falcon 9 Block 3,24950000,True
BulgariaSat-1,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-06-23,19:10:00,Falcon 9 Block 3,3610000,True
Cartosat-2E & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2017-06-23,3:59:00,PSLV-XL,22090000,True
Progress MS-06 (67P),Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2017-06-14,9:20:00,Soyuz 2.1a,5980000,True
Echostar 21,ILS,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2017-06-08,3:45:00,Proton-M/Briz-M,2740000,True
GSAT-19,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2017-06-05,11:58:00,GSLV Mk III,24260000,True
CRS-11,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-06-03,21:07:00,Falcon 9 Block 3,2300000,True
"ViaSat 2, Eutelsat 172B",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2017-06-01,23:45:00,Ariane 5 ECA,15520000,True
It's a Test,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2017-05-25,4:20:00,Electron,19200000,False
SES-15,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2017-05-18,11:54:00,Soyuz ST-A/Fregat-M,16030000,True
Inmarsat-5 F4,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-05-15,23:21:00,Falcon 9 Block 3,11400000,True
GSAT-9,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2017-05-05,11:27:00,GSLV Mk II,15400000,True
"Koreasat 7, SGDC-1",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2017-05-04,21:50:00,Ariane 5 ECA,16910000,True
NROL-76,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-05-01,11:15:00,Falcon 9 Block 3,17050000,True
Soyuz MS-04 (50S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2017-04-20,7:13:00,Soyuz FG,13770000,True
SES-10,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-03-30,22:27:00,Falcon 9 Block 3,8360000,True
Echostar 23,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-03-16,6:00:00,Falcon 9 Block 3,23280000,True
Sentinel 2B,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2017-03-07,1:49:00,Vega,9800000,True
Progress MS-05 (66P),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2017-02-22,5:58:00,Soyuz U,10030000,True
CRS-10,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-02-19,14:39:00,Falcon 9 Block 3,15500000,True
Cartosat-2D & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2017-02-15,3:58:00,PSLV-XL,11820000,True
Intelsat 32e/SkyBrasil-1 & Telkom-3S,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2017-02-14,21:39:00,Ariane 5 ECA,22720000,True
Hispasat AG1,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2017-01-28,1:03:00,Soyuz ST-B/Fregat-MT,1050000,True
Iridium-1,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2017-01-14,17:54:00,Falcon 9 Block 3,11640000,True
"Star One D1, JCSAT-15",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2016-12-21,20:30:00,Ariane 5 ECA,6590000,True
CYGNSS,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",2016-12-15,13:37:00,Pegasus XL,6550000,True
Resourcesat-2A,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2016-12-07,4:54:00,PSLV-XL,3480000,True
G??kt??rk-1A,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2016-12-05,13:51:00,Vega,7790000,True
Progress MS-04,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2016-12-01,14:52:00,Soyuz U,24900000,False
Soyuz MS-03,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2016-11-17,20:20:00,Soyuz FG,10020000,True
Galileo FOC FM7/FM12-FM14,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2016-11-17,13:06:00,Ariane 5 ES,1620000,True
Soyuz MS-02,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2016-10-19,8:05:00,Soyuz FG,4150000,True
CRS OA-5,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2016-10-17,23:45:00,Antares 230,13770000,True
"Sky Muster II, GSAT-18",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2016-10-05,20:30:00,Ariane 5 ECA,10020000,True
ScatSat-1 & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2016-09-26,3:42:00,PSLV-G,8360000,True
PeruSat-1 and SkySats 4-7,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2016-09-16,1:43:00,Vega,2380000,True
INSAT-3DR,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2016-09-08,11:20:00,GSLV Mk II,23640000,True
AMOS-6,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2016-09-01,13:07:00,Falcon 9 Block 3,11300000,False
"Intelsat 33e, Intelsat 36",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2016-08-24,22:16:00,Ariane 5 ECA,16680000,True
JCSAT-16,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2016-08-14,5:26:00,Falcon 9 Block 3,19300000,True
CRS-9,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2016-07-18,4:45:00,Falcon 9 Block 3,17800000,True
Progress MS-03,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2016-07-16,21:41:00,Soyuz U,21890000,True
Soyuz MS-01,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2016-07-07,1:36:00,Soyuz FG,2700000,True
Cartosat-2C & Rideshares,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2016-06-22,3:56:00,PSLV-XL,24870000,True
"EchoStar 18, BRISat",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2016-06-18,5:20:00,Ariane 5 ECA,23340000,True
ABS-2A & Eutelsat 117 West B,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2016-06-15,14:29:00,Falcon 9 Block 3,14090000,True
Intelsat 31 / DLA-2,ILS,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2016-06-09,7:10:00,Proton-M/Briz-M,9110000,True
Thaicom 8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2016-05-27,21:39:00,Falcon 9 Block 3,5740000,True
Galileo FOC FM10/FM11,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2016-05-24,8:48:00,Soyuz ST-B/Fregat-MT,22570000,True
JCSAT-14,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2016-05-06,5:21:00,Falcon 9 Block 3,19400000,True
IRNSS-1G,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2016-04-28,7:20:00,PSLV-XL,12630000,True
"Mikhailo Lomonosov, Aist-2D, & SamSat 218",Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",2016-04-28,2:01:00,Soyuz 2.1a/Volga,7360000,True
"Sentinel 1B, MICROSCOPE & Others",Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2016-04-25,21:02:00,Soyuz ST-A/Fregat-M,5020000,True
CRS-8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2016-04-08,20:43:00,Falcon 9 Block 3,9970000,True
Progress MS-02,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2016-03-31,16:23:00,Soyuz 2.1a,19880000,True
Soyuz TMA-20M,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2016-03-18,21:26:00,Soyuz FG,14930000,True
ExoMars Trace Gas Orbiter & Schiaparelli EDM,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2016-03-14,9:31:00,Proton-M/Briz-M,11860000,True
Resurs-P No.3,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2016-03-13,18:56:00,Soyuz 2.1b,22470000,True
IRNSS-1F,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2016-03-10,10:31:00,PSLV-XL,16640000,True
Eutelsat 65 West A,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2016-03-09,5:20:00,Ariane 5 ECA,19070000,True
SES-9,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2016-03-04,23:35:00,Falcon 9 Block 3,3760000,True
Eutelsat 9B,ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2016-01-29,22:20:00,Proton-M/Briz-M,11240000,True
Intelsat 29e,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2016-01-27,23:20:00,Ariane 5 ECA,15390000,True
IRNSS-1E,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2016-01-20,4:01:00,PSLV-XL,14050000,True
Jason-3,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2016-01-17,18:42:00,Falcon 9 v1.1,8910000,True
OG2 Mission 2,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2015-12-22,1:29:00,Falcon 9 Block 3,23620000,True
Galileo FOC FM8-FM9,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2015-12-17,11:51:00,Soyuz ST-B/Fregat-MT,22220000,True
TeLEOS-1 & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2015-12-16,12:30:00,PSLV-CA,21900000,True
Elektro-L n†­2,Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",2015-12-11,13:45:00,Zenit-3 SLBF,22850000,True
LISA Pathfinder,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2015-12-03,4:04:00,Vega,2180000,True
"Arabsat 6B, GSAT-15",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2015-11-10,21:34:00,Ariane 5 ECA,22000000,True
"NBN Co 1A, ARSAT-2",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2015-09-30,20:30:00,Ariane 5 ECA,19340000,True
Astrosat & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2015-09-28,4:30:00,PSLV-XL,18700000,True
Galileo FOC FM05-FM06,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2015-09-11,2:08:00,Soyuz ST-B/Fregat-MT,20160000,True
GSAT-6,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2015-08-27,11:22:00,GSLV Mk II,23060000,True
"Eutelsat 8 West B, Intelsat 34",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2015-08-20,20:34:00,Ariane 5 ECA,13630000,True
"Star One C4, MSG-4",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2015-07-15,21:42:00,Ariane 5 ECA,9100000,True
UK-DMC3A/B/C & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2015-07-10,16:28:00,PSLV-XL,22600000,True
CRS-7,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2015-06-28,14:21:00,Falcon 9 v1.1,7890000,False
Sentinel-2A,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2015-06-23,1:51:00,Vega,5880000,True
"DirecTV-15, Sky Mexico 1",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2015-05-27,21:16:00,Ariane 5 ECA,18120000,True
